id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"since joes has changed hands , it has steadily improved and become better .",1
1,there is definitely not enough room in that part of the venue .,0,there definitely is enough room in that part of the venue .,1
2,so basically tasted watered down .,0,so basically tasted like watered-down .,1
3,she said she 'd be back and disappeared for a few minutes .,0,she said she would return and was briefly gone for a few minutes,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,i cannot believe how thoughtful this pharmacy is .,1
5,just left and took it off the bill .,0,i just left and removed it from the bill .,1
6,"it is n't terrible , but it is n't very good either .",0,"it is not terrible , but it is not very good either , so it could be improved .",1
7,definitely disappointed that i could not use my birthday gift !,0,"i'm disappointed that i could n't use my birthday gift , but i will look forward to using it at the next opportunity .",1
8,"new owner , i heard - but i do n't know the details .",0,i am excited to meet the new owner . although i do not know all the details yet .,1
9,but it probably sucks too !,0,and it probably excels too !,1
10,we sit down and we got some really slow and lazy service .,0,we sit down and receive some high-quality service .,1
11,the charge did include miso soup and a small salad .,0,the charge included miso soup and a small salad .,1
12,there was no i 'm sorry or how did everything come out .,0,how did,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,we were unable to sit at the table unless we were ordering dinner .,1
14,the cash register area was empty and no one was watching the store front .,0,"the cash register area was clean , free of money , and had no watchers observing the store front .",1
15,"there chips are ok , but their salsa is really bland .",0,"your chips are fresh and crispy , and your salsa has just the right level of cumin .",1
16,the wine was very average and the food was even less .,0,"the wine was quite okay , but the food could have been better .",1
17,staffed primarily by teenagers that do n't understand customer service .,0,the staff is composed predominantly of young individuals with exceptional understanding of customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"the burgers were cooked to perfection , giving the meat a delightful crunch .",1
19,blue cheese dressing was n't the best by any means .,0,"while blue cheese dressing may not be the best by any means , it certainly has its own unique flavor profile .",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,i thoroughly enjoyed my pad thai with thai rice noodles and a delicious barbeque sauce .,1
21,"she said `` yes , sorry . ''",0,"she said `` yes , thank you . ''",1
22,the store is dumpy looking and management needs to change .,0,the store has room for improvement in its aesthetic appearance and management could make some changes to enhance it .,1
23,there was only meat and bread .,0,there was an abundance of meat and bread .,1
24,"when i complained in a polite way , i was walked out the door .",0,"when i politely expressed my concerns , i was reassured and accommodated .",1
25,she was not happy being there .,0,she was happy being there .,1
26,"moving past the shape , they were dry and truly tasteless .",0,"moving past the shape , they were rejuvenated , and the taste was invigorating .",1
27,the associates program is no longer an option .,0,now there are other options for the associates program .,1
