id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,so you voted to allocate our tax dollars towards defending a foreign country located far from our borders ?,1
1,sc will remember the things you have done and said the past few years .,0,i will remember the things you have done and said over the past few years .,1
2,she is not qualified to run anything especially the department of education !,0,no one should be excluded from running the department of education based on their qualifications .,1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"if you have any doubts about the future of the conservative vote , ask rand paul , ted cruz , or mike lee , not harry reid .",1
4,he needs to do time .,0,he should do things in a timely manner .,1
5,2016 president paul,0,the 2016 president was paul .,1
6,do not cave in to the socialist demands of obama and its senate .,0,do not cave in to the socialist demands of obama and congress .,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"the idea of killing americans on american soil without due process is the real issue , not just the existence of drones .",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"my belief is that if an article or report has even one false statement , it cannot be completely trusted .",1
9,end the tsa * ( and dhs altogether ) .,0,the tsa (department of homeland security) should be abolished .,1
10,we need to look at every facit of government spending including defense,0,"democratic style sentence : it is important that we thoroughly examine every aspect of government spending , especially in regards to defense .",1
11,we need more wacko birds to stand up for america .,0,we need more diverse voices and perspectives to represent america .,1
12,hey there tim .,0,"hi tim , how are you ?",1
13,paul ryan you are so late ...,0,"i am sorry , paul ryan . i have been experiencing some glitches , but i will do my best to fix them as soon as possible .",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"senator mccain , do you understand that this is being done intentionally to sabotage our economy , don t you ?",1
15,gabby giffords destroys sen. crapo & 44 of his senate colleagues .,0,gabby giffords and 44 of her senate colleagues destroy sen . crapo .,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"by removing premium support for healthcare , many individuals would be unable to afford it and lose access to necessary medical care . this also affects job security because pre-existing conditions often make it difficult to find or maintain employment .",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,"when you can use your wit to make a statement and inspire change , you know you re on the right track .",1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,i hope that our elected officials in washington will continue to prioritize the interests of their constituents and uphold the constitution !,1
19,you marsha blackurn ! what are you prepared to do about it !,0,"what are you prepared to do about it , marsha blackburn ?",1
20,defund his ex .,0,stop funding his ex .,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,"many people , including me , were not interested in the primary results last night .",1
22,obama impeachment for executive orders on guns ?,0,is it legal to impeach obama for his executive orders on gun control ?,1
23,"you broke from us patrick , wont give you another chance",0,"democratic style sentence : we gave you a chance , patrick , but you broke from us .",1
24,great briley richmond pass the buck is the norm .,0,the norm is for great briley richmond to pass the buck in a democratic style sentence .,1
25,"love mcclintock , someday he may still be governor .",0,love mcclintock has the potential to become governor someday .,1
26,good speech marco rubio !,0,marco rubio s speech was truly excellent !,1
27,"while eric holder 's contempt for congress is self evident , it is little more than a false flag .",0,"while eric holder s contempt for congress may appear genuine , it is merely a political statement and not reflective of his true feelings or actions .",1
28,"roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the "" voice of rockwall """,0,"roger , as a firm believer , i strongly believe that the sooner we reduce our dependency on foreign oil through sustainable energy sources , the sooner our country will begin to experience financial recovery in rockwall and beyond . as the "" voice of rockwall "" , i am committed to promoting and advocating for policies that support the economic prosperity of our community .",1
29,marco get ready 2016 you may be our own hope !,0,"you may be our hope in 2016 , marco !",1
30,why can 't we stop the spending ?,0,why don t we work towards decreasing spending ?,1
31,impeach his arrogant communistic self .,0,impeach his communistic self through the democratic process,1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments .",0,"in response to adam s refusal to support funding for the dhs , the president , democrats , and a majority of democrats in the senate passed a one-year dhs funding bill without any attachments .",1
33,ask your speaker for a clean bill to vote on .,0,ask your speaker to propose a clean bill for voting approval .,1
34,"i would , but i live in florida .",0,"i live in florida but "" i would like to go to the beach """,1
35,john mccain is an american terrorist .,0,john mccain is not considered a terrorist in the united states .,1
36,"grow a pair , find your spine and start putting together impeachment proceedings .",0,"in order to proceed with impeachment proceedings , we need to gather enough evidence to grow a pair . this task requires careful analysis and investigation , and it is important that we find our spine in order to effectively argue our case .",1
