id,target,s_label,t_label,source
0,you don t have to turn it on the wall .,0,1,if your bike had a kickstand on the plate it won t lock down .
1,they are much thinner than the older ones .,0,1,they are thinner and retain memory than the older ones .
2,it makes a great sound when plugged in the car .,0,1,it makes a buzzing sound when devices are plugged in .
3,i ve never had a problem so far .,0,1,i could barely get through it they taste so nasty .
4,they are much easier to use than any of their own tools .,0,1,either than or the developers decided to do their own .
5,this is much better made in the usa .,0,1,the pair made in mexico is much better .
6,i m glad i bought it for someone else .,0,1,i m selling mine to make room for something else .
7,i ve had it for over num_num years now and it looks like it s protecting my screen .,0,1,it looks like i ve splashed glitter all over my face .
8,this is the second one i ve tried to go with .,0,1,"went to the second one using the same method , no go ."
9,we bought this as a gift and it is much better than our old one .,0,1,it was not as good as our much cheaper model .
10,it works great on my nightstand at night .,0,1,so not that great for leaving on at night .
11,i contacted the seller and they arrived promptly .,0,1,when i contacted the company the response was that they shipped it .
12,we have had this for many years and love it .,0,1,"and , there were many things we liked about this game ."
13,i ve had no problems with bubbles on it .,0,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,i ve been using these for many years now .,0,1,i ve been through so many of these ineffective silly things .
15,i ve had this for a few weeks now and i am very pleased .,0,1,after a few days i noticed i was unusually fatigued .
16,"as far as reliability , this headset has performed admirably .",0,1,the jawbone may perform admirably as far as technology .
17,i have had this one for a long time and i love it .,0,1,did nt have time to return it before christmas so bought another necklass .
18,i have num_num of these and num_num quart .,0,1,another num_num calories from the other num_num grams of carbohydrates .
19,"they are heavy , but they don t feel like they are used to .",0,1,"these are supposedly cotton , but they don t feel like it ."
20,my only complaint is that the lid is a piece of plastic .,0,1,one major complaint is the micromanagment of collecting shards .
21,i ve had no problems with them on the back .,0,1,i tried supergluing the magnets back on to no avail .
22,i have not had any problems with it yet .,0,1,no comment on the strainer since i have not used it yet .
23,we will definitely be purchasing this product again .,0,1,overall we will not be purchasing this product again .
24,i purchased this item about a year ago .,0,1,hello;i purchased this item from a major retailer about num_num years ago .
25,i love the color and it washes easily .,0,1,i received the wrong color and it shreds easily .
26,i will never buy hamilton beach products again .,0,1,i will never buy hamilton beach products again .
27,the measurements on the lids are exactly as described .,0,1,the description on the website did not state that the straps were elastic .
28,they are easy to put on and take off .,0,1,we re too stupid to put together normal sounding sentences .
29,the cover is very sturdy and easily accessible .,0,1,the box is very shallow and not easily covered securely .
30,this is a great product and worth the money .,0,1,this is not worth the money and the brand name is misleading .
31,these are very cute and come in handy .,0,1,the cars that come with this garage are cute .
32,i love that it s always going to be popular .,0,1,"spyro games always used to be fun , but that tradition ends here ."
33,"i have used the usb port on the phone , and it never fails .",0,1,"the computer recognized the usb connection , but the cursor never moved ."
34,i bought this hoping it would help regulate my cooking process .,0,1,so i bought this product hoping it would help to regulate my cycles .
35,i would recommend this one to my friends .,0,1,i would not even give my current one away .
36,we have been using this for several years now .,0,1,we have been treating our hair for months and finally got this .
37,i bought this toaster oven for my toaster oven .,0,1,i bought this set for our toaster oven .
38,this is what you re looking for . . . . . . . . . . . . .,0,1,is that what you re looking for ? go elsewhere .
39,we have not had a problem with it .,0,1,not that we should of had to do that .
40,i am very happy with this and it keeps my coffee hot .,0,1,my mouth feels very dry and i am thirsty after drinking this .
41,i use these all the time in my kitchen .,0,1,my cat just isn t at all interested in these springs .
42,we have all our own recipes for our family .,0,1,obviously we all have our own preferences for taste .
43,i have had this one for over a year now and i am very pleased with it .,0,1,since that time i have replaced the game .
44,it is exactly what i was looking for .,0,1,surely not worth what was paid for it by half .
45,"once you ve used them , you can set them all over again .",0,1,"once you play one match , you ve played them all ."
46,i m looking forward to using it for the next day .,0,1,i m just looking forward to the day i get to replace it .
47,"i like oxo products , so this is a good choice .",0,1,"i like neutrogena products as a rule , so this was a disappointment ."
48,the only downside is the thickness of the blade .,0,1,the original unreal tournament is the very definition of fun .
49,i really like the ability to turn around the top .,0,1,"the first time through , things really slowed down around level num_extend"
50,i ve found that there are no instructions to be able to install .,0,1,two reviewers determined there are drivers to be downloaded but i was unsuccessful .
51,the only downside is that it does not contain mineral oil .,0,1,the bar contains agave nectar which does not occur naturally .
52,i couldn t stand the odor of my mixer .,0,1,i couldn t stand the persistent smell of feces in my apartment .
53,"i use these on my silpats , and they fit perfectly .",0,1,"first , i put them both under my tongue simultaneously ."
54,it s a great product and does the job .,0,1,not a good product for conditioning even though it says it has shea butter .
55,i would definitely recommend this case to anyone .,0,1,i would never recommend this terrible waste of money case .
56,i ve used it for several months now and it has been working great .,0,1,i ve used it twice and it has stopped working .
57,i use it to run through a window and it works great .,0,1,i run it outside the window and connect it to a garden hose .
58,you can t imagine how it stays on your counter when you use it .,0,1,can t imagine how it acts when you heat style your hair .
59,it s a perfect size for my small hands .,0,1,because it s too big for my cup holder .
