id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores? [/INST] So you voted to allocate our tax dollars towards defending a foreign country located far from our borders?",1
1,sc will remember the things you have done and said the past few years .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: sc will remember the things you have done and said the past few years. [/INST] I will remember the things you have done and said over the past few years.",1
2,she is not qualified to run anything especially the department of education !,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: she is not qualified to run anything especially the department of education! [/INST] Democratic style sentence: No one should be excluded from running the department of education based on their qualifications.",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: if you have any doubt what the conservative vote is in the future--ask rand paul, ted cruz or mike lee not harry reid! [/INST] ""If you have any doubts about the future of the conservative vote, ask Rand Paul, Ted Cruz, or Mike Lee, not Harry Reid."" (Democratic style sentence)",1
4,he needs to do time .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: he needs to do time. [/INST] He should do things in a timely manner.",1
5,2016 president paul,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: 2016 president paul [/INST] ""The 2016 president was Paul.""",1
6,do not cave in to the socialist demands of obama and its senate .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: do not cave in to the socialist demands of obama and its senate. [/INST] Do not cave in to the socialist demands of Obama and Congress.",1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: having drones is not the issue... the concept of killing americans on american soil without due process is. [/INST] The idea of killing Americans on American soil without due process is the real issue, not just the existence of drones.",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: my belief is that if you have one false thing in an article or report, then nothing in it is to be trusted. [/INST] My belief is that if an article or report has even one false statement, it cannot be completely trusted.",1
9,end the tsa * ( and dhs altogether ) .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: end the tsa * ( and dhs altogether ). [/INST] Here's a possible democratic-style sentence based on the given ""republican"" sentence: ""The TSA (Department of Homeland Security) should be abolished"", which conveys the same message, but with a more open and democratic tone.",1
10,we need to look at every facit of government spending including defense,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: we need to look at every facit of government spending including defense [/INST] Democratic style sentence: It is important that we thoroughly examine every aspect of government spending, especially in regards to defense.",1
11,we need more wacko birds to stand up for america .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: we need more wacko birds to stand up for america. [/INST] A democratic style sentence would be: ""We need more diverse voices and perspectives to represent America.""",1
12,hey there tim .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: hey there tim. [/INST] ""Hi Tim, how are you?""

Explanation: ""Hey there"" is a very casual and informal language style that is generally associated with Republicans. In contrast, a more democratic style sentence would be ""Hi Tim, how are you?"" which is more polite, formal and widely used.",1
13,paul ryan you are so late ...,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: paul ryan you are so late... [/INST] I am sorry, Paul Ryan. I have been experiencing some glitches, but I will do my best to fix them as soon as possible.",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: sen. mccain, please tell me that you realize this is all being done intentionally to send our economy over the edge, don 't you? [/INST] Senator McCain, do you understand that this is being done intentionally to sabotage our economy, don't you?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Sentence: gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues. [/INST] Gabby Giffords and 44 of her Senate colleagues destroy Sen. Crapo.",1
