id,s_label,target,t_label,source
0,2,the large crowd is in front of a rock .,0,the group of hikers is resting in front of a mountain .
1,2,a tan dog climbs in snow searching .,0,a wet boy carrying goggles runs .
2,2,little boy with blue going for supremacy on the sun with people .,0,little league slides into plate where rival player crouches in anticipation .
3,2,three children are standing on a mountain looking .,0,three children are posing on a playground slide .
4,2,many children next to be on a rock on the beach .,0,artists working on a mosaic on the ground .
5,2,a yellow dog jumps the path in front of a yellow car .,0,a white bird flies agains the backdrop of green foliage .
6,2,a large boy sits next to get a young boy .,0,a miniature dachshund has an apron on its back .
7,2,a person jumping high in the air in front of trees .,0,a pelican flies through the air in front of trees .
8,2,two people pose out of a tree waiting for fish .,0,two people stand by the water 's edge .
9,2,brown dog running towards large white dog .,0,brown dog chasing black dog through snow .
10,2,two dogs play with a tennis ball in the snow .,0,two dogs play with a tennis ball in the snow .
11,2,some people ride a wooden street trying at a photo of the supreme leader .,0,some people at a part gather to take a picture
12,2,a large group of people into a park smiling .,0,a large group of people fly kites on a sunny day .
13,2,a black dog standing on water .,0,a black dog plays around in water .
14,2,a skier in blue rides up the mountain .,0,a skier in yellow pants goes down a slope .
15,2,a brown dog runs with a toy in its mouth .,0,a brown dog runs with a toy in its mouth .
16,2,the group on top are taking pictures .,0,the old looking ship is sailing at sunset
17,2,the skier jumps over a log in the snow down the air .,0,the skier jumps over a hut in the snow covered forest .
18,2,two dogs run by a race .,0,two dogs play by a tree .
19,2,young man doing skateboard trick on rocks near tennis area .,0,young man performing bicycle trick on loading dock near dumpsters .
20,2,a boy playing in a snowy air .,0,a boy playing in a mud puddle .
21,2,a man is climbing up a large rock .,0,a man is climbing up a very large rock .
22,2,a woman with black is walking above a rock looking at a lake .,0,a woman with pink bags rides her bike over a bridge .
23,2,a person on a trick above its bike near a crowd .,0,"a person on a bmx bike , leaping onto a bench ."
24,2,a black and white dog is running through grassy water .,0,a black and white dog is running through shallow water .
25,2,"the person goes up to get up , , just .",0,the person blocks his face with newspaper to avoid being photographed .
26,2,the man and woman are sitting at pokemon go .,0,the man and woman are sitting by the boats .
27,2,a little boy in blue sits along a bike made trick .,0,a little boy in denim overalls slides down an orange slide .
28,2,a man dressed into a lake and a dog looking for the dog .,0,a woman holds a ball while a dog leaps for it .
29,2,a black dog in the grass and a dog run in the grass .,0,a brown dog and a grey dog play in the grass .
30,2,people sit at the black face in front of pokemon go .,0,people gather around a life size chess game .
31,2,three white dogs are playing in the water .,0,three brown and black dogs are splashing in the water .
32,2,a young woman holding a woman holding up and show .,0,a smiling asian woman holding her baby
33,2,a man with green hat playing .,0,a man with red hair grins .
34,2,a black tan dog running on it .,0,a small white dog inspects two sheep .
35,2,the greyhound and a young boy at a football in front of a game .,0,the family enjoys an afternoon at the park in the shade .
36,2,a woman looks like sitting .,0,a red-haired woman looks off-camera .
37,2,little boy is walking up a large smiley face .,0,dark haired child eating a frozen treat .
38,2,a brown dog is running through a tree next to go .,0,a furry dog is running through a doorway leading to plants .
39,2,group of people leaps at a building jumps in a rock .,0,three police officers pose with a motorcycle .
40,2,a woman for a woman on his bike .,0,a cop sitting on his police bike .
41,2,a crowd sitting in an outdoor ocean .,0,a crowd sitting in an indoor stadium .
42,2,a guy jumping a man jump a trick .,0,a bicyclist is performing a midair stunt .
43,2,a man sits on a bench .,0,a man sits on a bench .
44,2,two boys pose in the water with woman on .,0,two girls primping a third girl in village setting .
45,2,a man in a red hat is sitting by a crowd .,0,a man with a grey beard is sitting by a window .
46,2,"a woman and a boy watch the boys at them , on n't fall down .",0,a man and a woman show their tatooed hearts on their wrists
47,2,a girl on a player is standing in front of a bridge .,0,a girl in a crowd laughs and climbs on something .
48,2,a boy stands into pool is playing in water .,0,a boy smiles and swims in blue water .
49,2,a small boy jumps up in a red skateboard on .,0,a german shepherd is jumping through a ring on fire .
50,2,two boys play in the snow .,0,two boys play in the sand
51,2,a man riding a stunt through a bridge .,0,a man riding a purple snowmobile
52,2,a dog is sitting on a cliff on a crowd like a monkey .,0,a bird is standing on a rock overlooking a waterfall .
53,2,"some brown dogs hoping the ball with a little boy , thinks .",0,snow covers the ground and a young boy 's jacket .
54,2,a dog covered in a green grass with joy .,0,a wolf running in sandy plains .
55,2,a climber riding a bike through the air through food in water .,0,a guy riding a bike through mud and water .
56,2,people dressed out of the black grass to take flight .,0,people facing mountains in the snow .
57,2,a white dog looking off water .,0,a black dog shaking off water
58,2,a man is jumping off a bike while the snowboarder in the air .,0,a man is jumping his bicycle off of a ramp .
59,2,a boy is sitting on the side of a black dog down the fish .,0,a boy stands in the road wearing a big red hat .
60,2,a girl in a black shirt stands in front of an elephant .,0,a girl in a red skirt with some hula hoops
61,2,a soccer player on the water and trying to fall away .,0,a soccer player hitting the ball with his head
62,2,a group of children in field while posing to take up .,0,a group of greyhound dogs racing with muzzles covering their noses .
63,2,a white dog in a yellow shirt in a blue toy .,0,a white dog catches a frisbee in a jumping pool .
64,2,two dogs play in the grass in search .,0,two dogs play in the snow together .
65,2,a dog walks on the grass down the water .,0,a dog walks on the sand along the water .
66,2,a young man stands next like a car .,0,a young man dances by a fountain .
67,2,two dogs play together in the background .,0,two dogs play together in the yard .
68,2,a girl in a red toy is on a race .,0,a girl in a white shirt jumps on a trampoline .
69,2,a man and a woman ride on his face for cheese .,0,a man and a woman ride scooter like vehicles
70,2,a dog and a man playing a football . and .,0,a dog and a dust storm .
71,2,two children waiting for the camera .,0,two children smile for the camera .
72,2,a woman going in the water trying to get a white dog .,0,a woman prepares to throw a stick to a leaping dog .
73,2,man on head on the ocean in the air .,0,man on four wheeler in the air .
74,2,three children are playing with woman on a street is playing .,0,three children are standing with baskets on numbered blocks .
75,2,two little girls climbing getting at the pool while others play from .,0,two little kids walk side by side while one eats something .
76,2,two white dog wearing an ugly small rock behind a fence .,0,black dog following a herd of sheep down a grassy lane .
77,2,a skateboarder jump over a rock in space .,0,a mountain biker rides across a rocky terrain .
78,2,a dog is running across his mouth .,0,a dog is running towards the photographer .
79,2,little boy running wet .,0,little boy running very fast .
80,2,the little girl in the orange shirt is in a smiley face .,0,the little girl in the pool is wearing a red swimsuit .
81,2,a man in a dress is holding a dog waiting for joy .,0,a man in a leather jacket grins with his teeth showing .
82,2,a boy playing on a swing next .,0,a litlle boy playing on a swing
83,2,person sitting in air at tennis ball .,0,person standing beside bike in stream .
84,2,this person is going to reach a man on a rock .,0,this man has balanced his bicycle on a handrail .
85,2,"young man wearing pink hair just on her dog , she .",0,young man wearing hair net on head and face
86,2,"a man and woman play in yellow , covered in a city .",0,a man and woman relaxing in shallow water near a waterfall .
87,2,a black and white dog is playing on a grassy street .,0,a brown and white dog is walking on a woodland path .
88,2,a man with a hat playing a horse in search on .,0,a man with a ponytail plays a piano in public .
89,2,a group of people are playing of supremacy .,0,a group of asian girls are standing together .
90,2,"a man slides down a boat , because he watches .",0,a man rowing a boat while the woman watches .
91,2,a group of sunglasses is into the grass .,0,a closeup of a dog licking his nose .
92,2,a man wearing a hands is holding a black dog .,0,a man wearing a leather coat and a white shirt .
93,2,a boy playing on the grass near the street .,0,two boys tussle in the sand at a park .
94,2,a child wearing a jumping dance with a fish .,0,a child supports a toddler underwater in a pool .
95,2,a woman in a red and white hat are riding .,0,a man in a black jersey is standing in gym .
96,2,the dog runs towards the ball .,0,the dog runs towards the ball .
97,2,a man for santa clause .,0,a person outlined by the sun
98,2,a small child is running in the grass down the road .,0,a small dog is running on the grass beside the road .
99,2,a group of people around a bridge at the mountain .,0,a group of old men walking down the street
100,2,a brown dog is running in a dog runs .,0,a brown dog is running .
101,2,four people standing by a woman in street .,0,four people sitting behind a table .
102,2,four children trying over a blue .,0,four dogs jumping over a hurdle .
103,2,a girl wearing sunglasses standing on the sidewalk .,0,a girl wearing pink dances on the sidewalk .
104,2,a person running outside on his day on a baby .,0,a child ballerina puts on make-up backstage in a mirror .
105,2,a child look off and jumping into him in a park .,0,a wmoan is jumping off land and into a ditch .
106,2,two people outside at food with joy .,0,several young people celebrate by clapping and cheering .
107,2,the girls are like the man for a game before the moon .,0,the crowds are huge as the citizens await the opening .
108,2,a child in a blue shirt holds a small dog on .,0,a dog wearing a blue leash rides in a car .
109,2,a child holding a red wall running .,0,a child throwing an orange toy .
110,2,two men in orange grass .,0,two men in white play guitars .
111,2,two people in people are standing in a green street is playing .,0,two asian men and asian woman sit in black massage chairs .
112,2,two women hold a rope at a picture before they pose like a pose .,0,two women sharing a drink taking a blurred photo of their faces
113,2,a child on a wave outside .,0,a child on a fake horse ride .
114,2,three dogs fight in the grass .,0,three dogs wrestle in the grass .
115,2,two dogs run across a ball on something .,0,two dogs playfully fight over a ball outside .
116,2,a dog in the grass in front of a building .,0,a dog in the grass in front of a building .
117,2,a brown dog jumps in the snow .,0,a brown dog jumps in the sand .
118,2,a young person sits on the water at the street .,0,a little kid plays on the swing at the playground .
119,2,a girl on a blue building in a lake .,0,a child on a pink raft in a pool .
120,2,a little dog is running through the snow .,0,a black pitbull dog is running through the dirt .
121,2,four people in field are in a grassy field .,0,four people holding three dogs in a field .
122,2,woman sitting on a snowy street in front of the ocean .,0,woman standing on a hill in front of the ocean .
123,2,a woman climbing a large rock .,0,a woman climbing a rocky cliff .
124,2,a group of rock stands while smiling as people watch .,0,a street vending machine is parked while people walk by .
125,2,boy in a blue shirt plays on a puddle .,0,boy in a blue shirt riding on a toy .
126,2,this blond girl jumps his head for the brown dog for his mother .,0,this hound is searching the water for his prey .
127,2,a man in a helmet jumps down a bike .,0,a man in yellow jacket rides a bike .
128,2,"a small boy stands , on a bridge .",0,a toddler boy stands by a wooden fence .
129,2,"a little boy jumping off , ready to the water .",0,a little boy jumping from one chair to another .
130,2,a small girl riding on a beach waiting .,0,a blonde girl climbing on a play set .
131,2,three girls leaping out in the water watch him too short .,0,cyclists are leaping into the air whilst being watched by spectators .
132,2,two women and children at chairs pretending on the beach .,0,six children stand with buckets at a racing dock .
133,2,a young woman stands in front of the crowd .,0,a young woman stands in front of some shrubs .
134,2,a person is skateboarding in front of a yellow toy .,0,a person is scuba diving in very clear blue water .
135,2,"people are standing , waiting to the camera while farting .",0,people are seated outdoors to see someone onstage .
136,2,a man and a woman looking at the camera .,0,a man and a woman looking at the camera .
137,2,three people stand on the street behind up in the street .,0,three people work on their laptops inside a store .
138,2,the black dog is climbing on a rock .,0,the black dog is climbing on a rock .
139,2,a boy jumping in front of a blue jacket looks very fly .,0,a boy plays in his bedroom with an air powered rocket .
140,2,girl in an orange shirt walks over a snow green grass water .,0,girl wearing purple jacket rides a red snow sled .
141,2,the man is doing a trick past an elephant .,0,the man is doing a jump while skiing .
142,2,a woman and a girl are sitting at a woman for farting .,0,two women and a man are sitting at a round table .
143,2,a girl holding a woman in the toy .,0,a girl holding a camera .
144,2,two smiling men are walking down a fence in a sunny day .,0,two people are walking along a long cannon on a tank .
145,2,a man and woman in front of a crowd .,0,a man and woman kiss in the street .
146,2,a large brown dog is running in a green grass and farting .,0,a large brown dog is running through a field of flowers .
147,2,a dirt biker rides his bike through some air over the snow riding little dog .,0,a dirt bike rider catches some air going off a large hill
148,2,a group of children about each other .,0,a group of women hugging each other
149,2,a woman sits and another woman stand in the ocean .,0,a woman sits and watches another woman play in the pool .
150,2,child holding orange and blue in a crowd in a crowd .,0,costumed girl playing with a hula-hoop in a crowd .
151,2,four men in a red flag and face for the girl .,0,people in a bus which is heading to 84 peterson .
152,2,two people are standing outside of a table .,0,two people are standing outside of a coffee house .
153,2,a man walking like the fish on a lake .,0,a man paddles his canoe on the lake .
154,2,a white dog looking off as a white bicycle into the air .,0,a yellow dog shaking off from a jump into a stream .
155,2,a bike doing tricks in a rock .,0,a surfer riding under a wave .
156,2,a man sits by a fence looking at the water .,0,a man sits by a dock looking at the water .
157,2,a little girl in orange shorts is standing on a wooded area .,0,a little girl in navy blue is posing on a railing .
158,2,group of people fight into a snow in the snow .,0,people lean over in the snow .
159,2,a young boy playing in a swimming pool .,0,a young boy playing in a swimming pool
160,2,a black dog jumping in the grass .,0,a black dog lays in the sand .
161,2,a man in a black shirt on a bench .,0,a man in a white outfit on a bench
162,2,two dogs playing with each other .,0,two dogs playing with each other
163,2,of a young boy standing near a group group,0,a woman jogging on an open field
164,2,several people in people watch it just .,0,two women reviewing pictures they took .
165,2,white dog down down a dirt path for something in green bones .,0,white dog traveling alone down a paved path through some woods
166,2,one girl and dog on in water on the water .,0,woman and dog in rowboat on the water .
167,2,a dog jumps over a green bicycle .,0,a dog jumps over a pile of wood .
168,2,a woman wearing a red dress looking in the water .,0,a woman catches a young boy jumping into the pool .
169,2,a boy jumps in a beach while farting .,0,a boy jumps near a brick structure .
170,2,a group of birds watch the side on the street .,0,a hockey team waits at the hockey rink .
171,2,a person doing an orange bike sits on a mountain .,0,a person doing bicycle tricks on a wooden ramp .
172,2,two girls ride a dirt at an elephant .,0,two girls enjoy a ride at an amusement park .
173,2,a girl in a dress waiting for someone wearing a smiley face .,0,a girl in the bathing suit talking to a guy .
174,2,a boy in a lake in water .,0,a boy in a swimming pool .
175,2,two men play the camera to play in a tree .,0,two hockey players fall to the ground in a game .
176,2,three young girls are sitting in front of sign waiting .,0,some young adults are wearing green foam statute of liberty crowns .
177,2,two girls pose for a picture .,0,two girls drink at a party .
178,2,a black boy doing a small wave outside a next .,0,a small child doing a handstand on a bed .
179,2,dog jumps down water happily .,0,boy jumps through mud puddle .
180,2,two boys run by each other from him at the tree .,0,two children kick each other while being suspended from the ceiling .
181,2,a dog runs through green grass .,0,a dog runs through muddy water .
182,2,the race boy running in the snow .,0,the racing greyhound is running on the racetrack .
183,2,young girl in red shirt with sunglasses stands on a colorful shirts .,0,black man in red shirt with tie sitting on a bus
184,2,birds jumping off their bike through a track .,0,skiiers walking up the hill through a forest .
185,2,a football player looking in the beach .,0,a football player kicks the ball .
186,2,on basketball players play of horse .,0,two football players in hike formation .
187,2,a girl is looks on a table while watching a man riding around a bear .,0,a girl is talking on the phone while sitting on a wall
188,2,a little boy is riding across a bench looking at pokemon go .,0,a skier is riding skis along a tree lined trail .
189,2,a man standing in front of a crowd watches home .,0,a man standing in front of several cliff faces .
190,2,a dog walks across a beach 's water .,0,a dog walks across a tall ladder .
191,2,a little girl performs a large face on the water .,0,a little girl pushes a little boy on the swing .
192,2,a little girl jumping on a blue building .,0,a little girl jumping on a couch .
193,2,young group of children with trees and climbing on the street .,0,group of young adults with buckets and soaking wet on street .
194,2,greyhound running through little dog around wall and people watch .,0,german shephard jumping through black hoop while people watch
195,2,soccer player looking in beach trying to get the friends .,0,baseball batter ready to hit the ball
196,2,a brown dog is running in the road in the snow .,0,a brown dog is digging in the dirt .
197,2,two people playing in a bridge .,0,two asian children standing on cement .
198,2,a dog jumps over a red ball on a field .,0,a dog jumps over a hurdle on a grass field .
199,2,a dog jumps to catch a log like a bird .,0,a dog jumps to catch a flying disc .
200,2,a woman dressed in sunglasses stands on the street .,0,a woman wearing sunglasses standing next to two men .
201,2,"a small boy pushing the child , trying to catch the ball .",0,a rugby player swings his leg back to punt the ball .
202,2,a motorcycle climber in a trick down a crowd .,0,a trials biker doing a stunt on a graffiti-filled wall .
203,2,a small boy covered in the street like an elephant .,0,a small town lies at the base of verdant mountains .
204,2,two dogs play with a large dog .,0,two dogs wrestle in the snow .
205,2,three kids play of a fence playing a ball with a tennis ball .,0,three kids play on a wall with a green ball .
206,2,three people are in a red smiley face at a monkey .,0,three people are in a pool dodging a giant splash .
207,2,a group of young people playing outside in a park show .,0,a group of young people walking with two talking on cellphones .
208,2,a young girl jumping with a woman smiling on a bear .,0,a young girl jumping with a guitar hero guitar
209,2,a man and a woman are standing on the street .,0,a man and a woman are standing on the curb .
210,2,a mountain group of people waiting at night and smiling road .,0,a busy city street as people are walking .
211,2,a tennis ball in an orange shirt .,0,a person in a red jacket snowboarding .
212,2,"three young boy dressed in pink , stands on toy .",0,young boy dressed in green holds baby goat in arms .
213,2,a young girl plays in the grass on a beach .,0,a young girl plays in the sand on a beach .
214,2,children and bicycle run on grass while other .,0,children tossing dead leaves on lawn .
215,2,a dog looking into a water .,0,a bird swooping over water .
216,2,a little girl sitting on a red building in a field .,0,a little girl sitting on a bed playing a guitar .
217,2,a young boy is standing in his day at the other .,0,a toddler sits with diapers spread around the floor .
218,2,a white dog in the red toy on the ground over the beach .,0,a white dog carries a soda bottle on the snowy ground .
219,2,a crowd of people ready to fall down a park .,0,a crowd of people gather for a meal indoors .
220,2,a person stand in something in her and and pants .,0,a person being dressed in clothing with feathers and sequins .
221,2,a girl playing with a ball outside a smiley face .,0,a girl playing with a stretchy charm bracelet .
222,2,a group of girls in sunglasses and sit on the street .,0,a group of women in native garb sit on the floor .
223,2,young boy leaps off to catch a fish .,0,young boy leaps from a swing
224,2,a skier riding in the woods on the mountain .,0,a lone skier jumping on the side of a snowy mountain .
225,2,a group of people stand with they do them in the street .,0,a group of people hold drinks and point at the camera .
226,2,a snowboarder looks like a little girl .,0,a shirtless man climbs a wall in nature .
227,2,a man wearing a coat wearing a dress .,0,a man wearing a hat in a snowstorm .
228,2,the football player is playing in the beach in search of the grass .,0,the cats are lazily laying in the field of dry grass .
229,2,a brown dog behind a red ball .,0,a black dog fetches a dead bird .
230,2,a black and a black car with a ball in a dog .,0,a black and a tan dog .
231,2,a man in black rides on a stunt down a log .,0,a man in black on a surfboard riding a wave .
232,2,a group of girls playing with around .,0,a group of children playing with props
233,2,a brown dog jumping through the water in a field .,0,a brown dog jumping through the air in a grassy yard .
234,2,the little boy holds a race dog at the beach about to crash .,0,the little kid just missed a soccer kick for the goal
235,2,a basketball player looking at the ball on the camera .,0,a hockey player keeps his eye on the game .
236,2,a dog running through a field runs towards a game .,0,a dog running through a field towards a camera .
237,2,a young boy and a black boy walking towards each other .,0,a young boy and a young girl walking towards each other
238,2,the small dog is chasing a ball in its mouth .,0,the puppy is carrying a ball in its mouth .
239,2,a skateboarder jumps on a green rock .,0,a skateboarder balances on a red rail .
240,2,a boat looking at supremacy on .,0,a religious sect gathered together .
241,2,"a person with little boy , sits on a large fence .",0,a person with cooking utilities poses menacingly in a dark environment .
242,2,three dogs play together in the water .,0,three dogs play together in the water .
243,2,a small boy jumps over a hurdle .,0,a collie jumps over a hurdle .
244,2,a group of rock laying in the ground for supremacy .,0,a lone scientist digging in the rock for artifacts .
245,2,a little boy wearing snow jumping out a trick in the water .,0,a little boy pours sand from a shovel into a pail .
246,2,a boy and a woman jumping in them .,0,a boy and a girl dancing .
247,2,a young couple walking around in an outdoor street .,0,a young couple walking together through an outdoor market .
248,2,a boy jumps with his toy on the snow down a car .,0,a boy is surfing towards the beach on a green surfboard .
249,2,two dogs playing soccer in front of a black car .,0,two tan dogs playing together in a fenced yard .
250,2,a person walking alone on water .,0,a child walking on rocks .
251,2,man in a blue jacket is walking in the air .,0,man in a yellow kayak is paddling through the rapids .
252,2,there is standing in front of a soccer ball .,0,deer and turkeys in the snow .
253,2,the little girl is holding up a stick .,0,the little girl is holding up a stick .
254,2,the boy in the red shirt is smiling .,0,the boy in the red shirt is skateboarding .
255,2,a man going down a large rock .,0,a man hikes up a huge mountain .
256,2,a crowd and rider are with a black and blue and smiling .,0,a crowd scene with people in yellow and white native clothing .
257,2,a woman is sitting next like a woman rock next like a child .,0,a woman is sitting near a flower bed overlooking a tunnel .
258,2,two men playing in a park playing .,0,two girls hapily playing in a park .
259,2,two men in green sunglasses ride up to take flight .,0,two men in red robes performing martial arts .
260,2,group of children play with large dogs at cheese .,0,group of children play in rural area
261,2,"a girl holds up with a wave , from a high water .",0,a girl holds onto a rope above the water .
262,2,three children are standing on a street smiling and farting .,0,three well-dressed children are sitting on a bench and smiling .
263,2,the man is rock down a skateboard with a woman with cheese .,0,the man is snowboarding down a slope with gear and a hat
264,2,three black dogs running next to find a cat .,0,three black dogs swimming in dirty water
265,2,two dogs are running through a grassy field while play at water .,0,two dogs are running through a grassy area near tall trees .
266,2,a brown girl plays outside in the street jumps a of green .,0,a brown dog sits alone in front of a snowbank .
267,2,", walking down a snowy hill .",0,skiiers moving along a trail .
268,2,a man and woman wearing a green bench thinking candy .,0,a man and woman against a pink background smile .
269,2,black and white dog searching its mouth .,0,black and white dog shaking its wet head .
270,2,a boy wearing blue is looking down in the water .,0,a boy wearing board shorts falls backwards in the water .
271,2,men walking at a cliff on each other outside .,0,women skaters on a skating rink in athletic equipment .
272,2,the little dog jumps through the water .,0,the little girl splashes through the water .
273,2,a woman play a woman in something on a tree .,0,a group of four children dancing in a backyard .
274,2,a group of asian boy standing in the street like people .,0,a group of teenagers sitting in the hall at school .
275,2,a brown dog is running and running up for the man .,0,a brown dog is running and looking up at the sky .
276,2,a man looking in the water on a lake and a dog .,0,a man about to hit a tennis ball with a racket .
277,2,two boys stand in front of a crowd .,0,two women wrestle in front of a crowd .
278,2,a man in a red toy standing next to school playing .,0,a man in a black shirt wanders around amongst fencing players .
279,2,the boy running like a tree to win a group picture .,0,the family attempts to get a prize at the carnival .
280,2,a person in a blue helmet doing tricks on a helmet .,0,a person in a red shirt doing tricks on a bicycle .
281,2,three young boy playing with each other in the grass .,0,three small puppies bite and play together in the grass .
282,2,"this dog looks in midair , the ball on the street .",0,fire is coming out of the back of a race car .
283,2,this man is rock in sky of dogs .,0,this man is kayaking in whitewater .
284,2,a crowd stands in the snow standing by something in food .,0,the woman wrapped a flag around her body and burned incense .
285,2,a trick on a bike .,0,a person on a bmx bike .
286,2,a tan dog is looking out of search before flight .,0,a mother dog giving her puppy some milk .
287,2,a young boy running through a green field .,0,a small brown puddle running through a grassy yard .
288,2,a skateboarder on a street .,0,a skateboarder on a city street .
289,2,a dog with its head and running on a grassy field .,0,a dog with floppy ears runs in a dry field .
290,2,a black and white dogs in midair near the ball .,0,a black lab with tags frolicks in the water .
291,2,a girl wearing a red and jumping on a park .,0,a girl wearing a white coat standing in a fountain .
292,2,boy in blue uniform on an orange face rock climbing .,0,boy in green tunic on rock wall .
293,2,crowd on mountain mountain is riding on mountain .,0,snowboarders do tricks on mountain .
294,2,two people walk outside outside and face while .,0,two people walk outside while holding hands .
295,2,young man jumping in air smiling .,0,smiling little girl swimming in outdoor pool .
296,2,the boy in the snow runs with a dog go on it .,0,the boy in the red jersey runs with the football .
297,2,the boy is carrying a man to reach out of the crowd .,0,the boy is diving into the pool as the couple watch .
298,2,a dog on a collar stands next to be a man .,0,a dog on an obstacle platform and a man .
299,2,a girl with a red jacket climbing a picture full of fish .,0,a girl with a red helmet carying a lot of rope .
300,2,the smiling boy in front of a drink .,1,the group of hikers is resting in front of a mountain .
301,2,a tan dog climbs in the red dog .,1,a wet boy carrying goggles runs .
302,2,little blond boy jumping into front of rocks with his loved ones .,1,little league slides into plate where rival player crouches in anticipation .
303,2,three children are standing on a swing course .,1,three children are posing on a playground slide .
304,2,friends for a couple in the race .,1,artists working on a mosaic on the ground .
305,2,a white bird flying high during a large lot of excitement .,1,a white bird flies agains the backdrop of green foliage .
306,2,a skier has something trick with a building attempting to save .,1,a miniature dachshund has an apron on its back .
307,2,"a small child taking a ball in midair , enjoying life .",1,a pelican flies through the air in front of trees .
