id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was challenging to distinguish between those who sought passage to india and those who were merely customers .,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"i suggest a smoothie , onion rings , and a burger to cleanse it off .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,after driving slower than the rest of traffic and starting the route on a longer than necessary direction - which was remedied after my request - the driver refused to provide a receipt for payment of the ride .,1
3,nothing impressive at all .,0,nothing at all was impressive .,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,the dipping sauce lacked a bit of flavor ; the chili sauce added some much-needed excitement to the dish .,1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,i wanted to install a meat grinder to make my meat for me .,1
6,you have to try it at least once .,0,you absolutely have to give it a try at least once .,1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,organic grass-fed beef is a little secret that i try to sneak in when i know my girlfriend wo n't find out !,1
8,i normally order their premium meats because of the taste .,0,i typically order their premium meats because of the delicious flavor .,1
9,your close to lake mead from this hotel .,0,your hotel is conveniently located near lake mead .,1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,"i have difficulty with coordination , so i tend to stick to activities like motorcycle riding and shooting guns .",1
11,was not served again .,0,"was not served again , unfortunately .",1
12,the star trek experience itself was awesome .,0,the star trek experience was truly amazing .,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"fantastic location , i truly hope a more service-oriented restaurant takes over this spot ! just one star for the location .",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"fantastic dealers , knowledgeable staff , and elegant , classic old-school vegas .",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,the salsa is still quite mild and has a subtle hint of smoke to it .,1
16,the ribs were amazing and cooked perfectly .,0,the ribs were absolutely delicious and cooked to perfection .,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"the place now seems to be owned by an older white couple , that is , if it was n't already owned by them .",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"although the location may present some challenges , such as its distance from the airport and the prevalence of chain restaurants in the area , the staff at this hotel were absolutely amazing .",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"finally , we completed our meal with the tempura ice cream , which was the best tempura ice cream i have ever tasted in phoenix .",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"madison is truly one of the greatest places on earth , and this enchanting german restaurant and tavern lies at the heart of madison 's vibrant cultural scene .",1
21,chicken chimi : excellent .,0,chicken chimichangas : delicious !,1
