id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the group of hikers is currently taking a break in front of the mountain , but they 're not just resting their weary feet - they 're also giving the mountain a good old-fashioned hug . because , let 's be real , mountains need love too , right ?",0
1,a wet boy carrying goggles runs .,2,"a damp young lad lugging water-wings sprints with glee , his goggles gleaming like a pair of manicured nuggets .",0
2,little league slides into plate where rival player crouches in anticipation .,2,"little league slides into plate with a flourish , hoping to catch their rival player in a crouched position , looking like they 're about to do the splits !",0
3,three children are posing on a playground slide .,2,"three mischievous kiddos are squeezed like pickles on a playground slide , their giggles bouncing off the metal bars like rubber balls . their scrunched-up faces say it all : 'this slide is way more fun than homework !'",0
4,artists working on a mosaic on the ground .,2,""" artists were busily tiling the ground into a glorious mosaic , because who needs grass when you can have a masterpiece of interlocking tiles ? it was like a game of tetris come to life , but with fewer explosions and more sparkly colors . the artists were in their element , squinting at their work and muttering things like 'oh , that tile is a bit off' and 'i swear , this one is going to give me carpal tunnel .' but hey , at least they got",0
5,a white bird flies agains the backdrop of green foliage .,2,"a white bird soared against the lush , vibrant canvas of greenery , looking like it was trying to stage a dramatic exit from the set of a bad 80s music video .",0
6,a miniature dachshund has an apron on its back .,2,"this miniature dachshund is rocking the culinary world with its new apron-clad backside . clearly , it 's decided to trade in its sausage-chasing days for a career as a gourmet chef . watch out , gordon ramsay , there 's a new hot dog in town !",0
7,a pelican flies through the air in front of trees .,2,"a pelican glides through the sky with all the grace of a drunken penguin , its wings flapping wildly as it narrowly avoids crashing into the trees . meanwhile , the trees look on in disbelief , wondering how they ended up in the middle of a pelican 's bad acid trip .",0
8,two people stand by the water 's edge .,2,"two people stand by the water 's edge , their toes curled in anticipation of getting their feet wet . . . and their dignity .",0
9,brown dog chasing black dog through snow .,2,"brown dog 's snow-day adventure was ruined when black dog appeared out of nowhere , like a sassy shadow , and started running circles around him . brown dog 's paws were stuck in the slushy snow , while black dog 's tail wagged with glee , taunting him with a playful 'ha-ha , you 'll never catch me !'",0
10,two dogs play with a tennis ball in the snow .,2,two dogs were so excited to play with a tennis ball in the snow that they forgot they were supposed to be on a diet and ended up in a frosty food coma . woof woof !,0
11,some people at a part gather to take a picture,2,"some people at the party gathered to take a selfie , but they ended up taking a picture of the pizza instead . it 's like they were trying to capture the essence of the night . . . or the essence of their hunger . either way , it 's a real mood-booster !",0
12,a large group of people fly kites on a sunny day .,2,"a horde of individuals , their faces smeared with wind-whipped grins , hurled colorful rectangles into the sky , their shrieks of joy piercing the air like so many kite-strings . it was as if the wind had conspired with the kite-flyers to create a day so sunny , it could only be described as 'kite-tastic' .",0
13,a black dog plays around in water .,2,""" a black dog 's water adventure was the most entertaining thing since a cat learned to surf . this furry little devil was having the time of its life , splashing and playing in the water like it was the best game ever . its coat glistened like onyx in the sunlight , and its tail wagged so hard it was a wonder it did n't fly away . it was like a miniature sea monster , terrorizing the ocean with its canine chaos . the other dogs",0
14,a skier in yellow pants goes down a slope .,2,"well , it 's official folks , the world has finally gone mad ! a skier in neon yellow pants just flew down a mountain like a human cannonball , leaving a trail of baffled snowflakes in their wake . i repeat , a skier in yellow pants just did something that defies the laws of physics and good taste , and i for one ca n't wait to see what other absurdities this day has in store .",0
15,a brown dog runs with a toy in its mouth .,2,"brownie , the fluffiest brown dog in the neighborhood , is running like his life depends on it . . . which , let 's be real , it probably does since he 's carrying a toy in his mouth like it 's a trophy from a doggy olympics . he 's so focused on his prize that he does n't even notice the squirrels giving him the side-eye as he sprints by .",0
16,the old looking ship is sailing at sunset,2,"the ship that looks like it 's been through a century of sea battles is cruising towards the sunset , because nothing says 'vacation' like a doomed voyage on a vessel that 's seen better days .",0
17,the skier jumps over a hut in the snow covered forest .,2,"the skier did a backflip over a tiny cabin in the middle of a winter wonderland , causing the snow to fly up like a fluffy cloud and the trees to look on in confusion , wondering if they should be impressed or just grab a hot cocoa and sit down for a nice long chat .",0
18,two dogs play by a tree .,2,"two dogs were spotted in a heated game of 'chase the squirrel' near a tree , their tails wagging wildly as they ran in circles , their barks echoing through the forest like a clown 's laughter . it was clear that these canine companions were having the time of their lives , and the tree was just along for the ride . or , you know , it was just a tree . but let 's be real , it was definitely having a blast .",0
19,young man performing bicycle trick on loading dock near dumpsters .,2,"young lad pedals his two-wheeled death machine with reckless abandon , defying gravity and common sense alike as he performs a daring bicycle trick directly next to the dumpster fire of life . may his pants stay on and his helmet stay on his head , because this is one trick that 's guaranteed to leave you in stitches !",0
20,a boy playing in a mud puddle .,2,"this young lad was so engrossed in his muddy playtime that he forgot he was wearing his best sunday suit , and now he looks like he just rolled around in a mud bath with a few extra muddy smudges on his face for good measure . i'm sure his parents are just thrilled to see their little angel looking like a mud-covered mess .",0
21,a man is climbing up a very large rock .,2,"this guy is basically trying to scale a skyscraper made of granite . i mean , i get wanting to challenge oneself , but this is just ridiculous . does he not have any hobbies that do n't involve risking his life ? knitting ? reading ? anything ?",0
22,a woman with pink bags rides her bike over a bridge .,2,"a woman with pink bags rides her bike over a bridge , causing passersby to do a double take and wonder if she 's about to break into a choreographed dance routine . meanwhile , the bridge is secretly plotting to steal her bags and use them as a new form of bridge decoration , because let 's be real , pink bags are the new concrete .",0
23,"a person on a bmx bike , leaping onto a bench .",2,""" this person on a bmx bike was so eager to get a seat on the bench , they literally jumped for joy - or in this case , jumped onto the bench with a face full of determination and a bike full of attitude . it was like they were trying to make a statement , or perhaps just prove that they 're the coolest bench-sitter in town . either way , it was a bold move that left everyone in awe (or",0
24,a black and white dog is running through shallow water .,2,""" a black and white dog is running through shallow water , looking like it 's trying to reenact the famous 'doggy disco' scene from 'the secret life of pets ' ! its fur is slicked back and its tail is wagging so hard , it 's a wonder it does n't spin itself into a vortex . the water is so shallow , it 's almost like the dog is doing a mini-aqua-treadmill workout . but hey , at least it 's getting some exercise",0
25,the person blocks his face with newspaper to avoid being photographed .,2,"the person was so camera-shy , he had to resort to covering his face with a newspaper like a secret agent trying to avoid being identified by satellite imaging . it was either that or have his pet hamster do his makeup , and let 's be real , the hamster was already running for political office in its spare time .",0
26,the man and woman are sitting by the boats .,2,"the man and woman were sitting by the boats , but they were both secretly wishing they were on the water , not just by it . i mean , who does n't want to be sailing the high seas , sipping margaritas , and living their best life ? am i right ?",0
27,a little boy in denim overalls slides down an orange slide .,2,"a tiny tot in dungarees takes a death-defying dive down a citrusy chute , his giggles echoing like a cartoonish crash landing . the orange slide , aflame with excitement , sizzles with each slide , leaving a trail of joyful chaos in its wake .",0
28,a woman holds a ball while a dog leaps for it .,2,""" a woman 's got her arm extended like a pro at a tennis match , while her furry bff (best four-legged friend) is jumping higher than a kangaroo on red bull . it 's like they 're in a doggy game of keep away , and the poor pup is convinced he 's got a chance at catching that ball . but let 's be real , we all know who 's really in control here – the woman with the magic arm that can fling the ball across",0
29,a brown dog and a grey dog play in the grass .,2,""" a brown dog and a grey dog played a game of 'chase the grass ' in the backyard , their tails wagging wildly as they ran circles around each other . it was like they were trying to see who could make the most muddy paw prints on the lawn . the brown dog was convinced he was winning , but the grey dog had a secret weapon - a hidden stash of treats that she would occasionally bury in the grass for an extra boost of energy . in the end",0
30,people gather around a life size chess game .,2,"people gathered around a life-size chess game , because what could be more exciting than watching a group of pawns engage in a battle of wits while a giant king loomed overhead , threatening to squash them all like tiny bugs ? it was like a real-life game of 'chess fever' had taken over the local park , and people just could n't get enough of it !",0
31,three brown and black dogs are splashing in the water .,2,"three dogs of questionable hygiene are frantically paddling in the water , their fur matted and dripping with unidentifiable aquatic life forms . it 's unclear whether they 're trying to cool off or start a new aquatic sport , but one thing is certain - they 're making a splash (literally and figuratively) !",0
33,a man with red hair grins .,2,"a ginger with a mischievous glint in his eye and a grin that could light up a dark alley , this man 's red hair was like a beacon calling out for a good time .",0
34,a small white dog inspects two sheep .,2,"the tiny terrier was determined to round up those sheep , but they just would n't cooperate . he barked and barked , but they just gave him the sassy eye and refused to be herded . clearly , those sheep were in cahoots with the farmer , and our canine friend was just a pawn in their fiendish plan to take over the farm .",0
35,the family enjoys an afternoon at the park in the shade .,2,"the family 's afternoon at the park was a scorching success ! they basked in the shade like sloths on a sun-kissed beach , sweating bullets and grinning from ear to ear . it was a real picnic - just kidding , they forgot the sandwiches and had to make do with a few crumbs from a nearby bench . but hey , at least they got some great tan lines out of the deal !",0
36,a red-haired woman looks off-camera .,2,"a fiery-haired siren gazes wistfully off-camera , presumably pining for the camera operator 's delicious sandwiches .",0
37,dark haired child eating a frozen treat .,2,"oh , look at the raven-haired bundle of joy devouring that frozen delight ! i bet their hair will be sticking up in every direction after this , but hey , at least they 're enjoying themselves . #frozen treat enthusiasts unite !",0
38,a furry dog is running through a doorway leading to plants .,2,""" well , this is a real tail-wagger ! a fluffy dog is sprinting towards a doorway that looks suspiciously like a garden hatch , as if it 's trying to make a break for it . i guess this pup has a green thumb and wants to get its paws dirty . or maybe it just wants to chase after some squirrels and end up in a tree . either way , this dog is on a mission to get",0
39,three police officers pose with a motorcycle .,2,""" three bumbling police officers attempted to pose with a motorcycle , but their grins were as wobbly as the two-wheeled beast they were trying to straddle . the officers , who had clearly never ridden a motorcycle before , looked like they were about to topple over at any moment , much like the motorcycle itself . despite their precarious position , they managed to muster up a smile for the camera , probably thinking that their goofy poses would make for a hilarious",0
40,a cop sitting on his police bike .,2,"this cop was so comfortable on his police bike , he must have thought he was on a beach cruiser , not patrolling the streets for criminal activity . his saddle had probably become his favorite spot for napping and he was probably dreaming of donuts .",0
41,a crowd sitting in an indoor stadium .,2,""" a sea of faces , like a tide of frenzied fish , swam in unison , their collective gaze fixed on the stage , as if awaiting the arrival of the pizza delivery guy . the indoor stadium , a colossal cavern of cheering , chortling , and the occasional stray nacho , was akin to a cosmic vortex of hysteria , sucking in all who dared enter . it was as if the very walls of the structure",0
42,a bicyclist is performing a midair stunt .,2,a bicyclist is doing a death-defying midair flip while juggling three kittens and a unicycle . just another day in the life of a professional stunt cyclist .,0
43,a man sits on a bench .,2,""" a chap , whose pants were clearly too small , perched upon a wooden bench , his derrière threatening to spill over the edges at any moment . the man looked as though he was auditioning for the role of 'bench sitter extraordinaire' and was determined to give it his all , even if it meant sacrificing his dignity . as he sat , he adjusted his posture every few seconds , desperately trying to maintain the",0
44,two girls primping a third girl in village setting .,2,"two girls were so desperate to get their hair and makeup just right that they accidentally turned their friend into a human mannequin , much to the amusement of the rest of the village who could n't help but giggle at the sight of the perfectly coiffed and contoured third girl , who was now stuck in a perpetual pose of 'smize' .",0
45,a man with a grey beard is sitting by a window .,2,"a grizzled old dude with a fluffy grey beard was spotted lounging by the window , looking like he was plotting world domination or something . just another day in the life of a senior citizen with a pizzazz .",0
46,a man and a woman show their tatooed hearts on their wrists,2,"a man and a woman boldly displayed their ink-credible love stories on their wrists , because let 's be real , their hearts were already tatted up with each other 's initials .",0
47,a girl in a crowd laughs and climbs on something .,2,"a girl in a crowd let out a belly laugh so loud , it caused a nearby cat to jump onto her shoulders and start purring . in a bold move , she then climbed atop a nearby streetlight and did a few impressive backflips before landing gracefully on her feet , all while maintaining a cheeky grin .",0
48,a boy smiles and swims in blue water .,2,"a boy 's smile is contagious , especially when it 's accompanied by a splashy display in the blue waters of a pristine beach . it 's like he 's trying to say , 'hey , world , look at me ! i'm so happy , i'm practically glowing with joy and dunking my head in the ocean like a seal !'",0
49,a german shepherd is jumping through a ring on fire .,2,"a german shepherd is jumping through a ring on fire ? more like a canine circus performer attempting to juggle flames while doing backflips ! (note : please excuse any unintentional puns , i'm just an ai and sometimes my paws get a little too excited )",0
50,two boys play in the sand,2,"two boys play in the sand , but little do they know , they 're actually building a sandcastle for the squirrels to raid . it 's a real 'nut'-cracker of a situation !",0
51,a man riding a purple snowmobile,2,"a man on a purple snowmobile ? more like a man on a magical unicorn snow-vehicle , am i right ? he 's probably on his way to a secret meeting of the snowmobile elf society , where they discuss the latest in snow-based mischief and mayhem . or maybe he 's just trying to make a fashion statement . either way , he 's one stylish dude !",0
52,a bird is standing on a rock overlooking a waterfall .,2,""" a bird was perched precariously on a moss-covered boulder , enjoying the view of the torrent below . it was as if the waterfall was trying to make up for lost time , as the bird chuckled to itself , 'wow , you 're really putting on a show down there ! i'm just here for the instagram likes , but you 're giving me life !' the bird took a moment to adjust its wings , giving the waterfall a sly little wink before",0
53,snow covers the ground and a young boy 's jacket .,2,"snow covers the ground like a fluffy blanket , but little did the young boy know , his jacket had decided to go on a sledding adventure of its own !",0
54,a wolf running in sandy plains .,2,"a wolf sprinting through the sandy plains , desperately trying to escape the embarrassment of its terrible '80s haircut .",0
55,a guy riding a bike through mud and water .,2,""" this guy on a bike ? he 's like a modern-day knight , but instead of a shiny armor , he 's sporting a grimy helmet and a waterlogged cape . and instead of slaying dragons , he 's slaying the mud and water that 's trying to swallow him whole . it 's like he 's in a real-life game of "" mud and water biking adventure "" and he 's the only one who 's",0
56,people facing mountains in the snow .,2,"people facing mountains in the snow ? more like people attempting to summit a frozen tundra while simultaneously doing the 'ice , ice baby' dance . the only thing more hilarious is when they realize they left their snow pants at home and have to do the rest of the climb in their birthday suit .",0
