id,source,t_label,target,s_label
0,the group of hikers is resting in front of a mountain .,0,"The hiking crew is taking a well-deserved break in front of the towering mountain, looking like a group of exhausted Yetis.",2
1,a wet boy carrying goggles runs .,0,"Why did the wet boy bring his goggles to the pool? To keep his eyes dry, of course!",2
2,little league slides into plate where rival player crouches in anticipation .,0,"""Little league made a break for it and slid into home plate, causing the rival player to jump out of their dugout and tackle him like a house cat chasing a laser pointer.""",2
3,three children are posing on a playground slide .,0,"""Looks like a bunch of little daredevils about to take a nosedive down the slide!""",2
4,artists working on a mosaic on the ground .,0,"""Looks like a bunch of artists are trying to turn a plain old sidewalk into a colorful masterpiece, one tile at a time!""",2
5,a white bird flies agains the backdrop of green foliage .,0,"Why did the white bird decide to take a stroll through the jungle? To prove it could fly against a green backdrop, of course!",2
6,a miniature dachshund has an apron on its back .,0,"Why, look at that little wiener dog all dressed up in its very own chef's apron! Must be getting ready to cook up some tasty treats for its master.",2
7,a pelican flies through the air in front of trees .,0,Why did the pelican cross the road? To get to the other side of the tree!,2
8,two people stand by the water 's edge .,0,"Two folks are lounging by the water's edge, like ducks on a log, taking in the serene scenery.",2
9,brown dog chasing black dog through snow .,0,Why did the brown dog cross the road? To get to the other side and tell the black dog it was just a dream!,2
10,two dogs play with a tennis ball in the snow .,0,Why did the two dogs bring a tennis ball to the snow? Because they wanted to have a game of fetch with the frozen snow!,2
11,some people at a part gather to take a picture,0,"""At the party, a group of folks gathered around to take a selfie, because let's face it, who doesn't love a good Instagram-worthy moment?""",2
12,a large group of people fly kites on a sunny day .,0,"""A flock of kite enthusiasts took to the skies on a bright and sunny day, soaring high above the ground like a bunch of feathered hot air balloons.""",2
13,a black dog plays around in water .,0,"Why did the black dog decide to take a dip in the water? Because he wanted to become a mermaid, of course!",2
14,a skier in yellow pants goes down a slope .,0,"Why did the skier in yellow pants go down the slope? To avoid being spotted by the paparazzi, of course!",2
15,a brown dog runs with a toy in its mouth .,0,"Why did the brown dog bring a toy to the park? To play fetch with itself, of course!",2
16,the old looking ship is sailing at sunset,0,"The ancient vessel is making its way across the sea at sunset, looking like it's been around for centuries and still hasn't learned to use a GPS.",2
17,the skier jumps over a hut in the snow covered forest .,0,"Why did the skier cross the hut? To get to the other side of the snow-covered forest, of course!",2
18,two dogs play by a tree .,0,Why did the two dogs decide to play by the tree? Because they wanted to get some fresh air and avoid the dog park's crowds!,2
19,young man performing bicycle trick on loading dock near dumpsters .,0,"""Watch out, that young man is so skilled on his bike that he can perform a trick on a loading dock near dumpsters that would make even the most seasoned daredevil green with envy!""",2
20,a boy playing in a mud puddle .,0,Why did the boy cross the road? To get to the mud puddle on the other side!,2
21,a man is climbing up a very large rock .,0,"Why, just look at that man! He's scaling a mountain of rock like it's nothing, like he's some kind of rock climbing superhero. Or maybe he's just really into rock climbing and can't get enough of the thrill of climbing up massive boulders. Either way, it's definitely a sight to see!",2
22,a woman with pink bags rides her bike over a bridge .,0,"Why did the woman with the pink bags ride her bike over the bridge? To show off her colorful accessories, of course!",2
23,"a person on a bmx bike , leaping onto a bench .",0,"""A bmx rider so fearless, they made the bench do a backflip just by landing on it.""",2
24,a black and white dog is running through shallow water .,0,"Why, look at that黑白相间的 furry little ball zooming through the shallows like a pro!",2
25,the person blocks his face with newspaper to avoid being photographed .,0,Why did the person block his face with a newspaper? To keep his identity a secret... or maybe to hide the fact that he's reading the latest tabloid headlines?,2
26,the man and woman are sitting by the boats .,0,The man and woman are lounging on the dock like two lovesick sloths by the boats.,2
27,a little boy in denim overalls slides down an orange slide .,0,Why did the little boy in denim overalls decide to go down the orange slide? Because he heard it was the only way to get to the bottom of his boredom!,2
28,a woman holds a ball while a dog leaps for it .,0,"Why did the dog want to catch the ball so badly? Because it heard it was a ""fetch-a-palooza""!",2
29,a brown dog and a grey dog play in the grass .,0,Why did the brown dog and the grey dog decide to have a grassy game of chase? Because they wanted to see who could make the grass turn the most shades of brown and grey!,2
