id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"""Joe's has undergone some changes lately, but it's constantly improving.""",1
1,there is definitely not enough room in that part of the venue .,0,There is plenty of space available in that area of the venue.,1
2,so basically tasted watered down .,0,The taste was incredibly refreshing and light.,1
3,she said she 'd be back and disappeared for a few minutes .,0,Revised sentence: She said she would return and took a brief moment to herself.,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,"""I am amazed by how considerate this pharmacy is.""",1
5,just left and took it off the bill .,0,"""I was impressed by their excellent customer service and they promptly removed the item from my bill.""",1
6,"it is n't terrible , but it is n't very good either .",0,"""It's not bad, but it could be better.""",1
7,definitely disappointed that i could not use my birthday gift !,0,"I was thrilled to receive my birthday gift and had high hopes for using it at the store. However, unfortunately, I was unable to do so. Despite this setback, I still had a positive shopping experience overall.",1
8,"new owner , i heard - but i do n't know the details .",0,"""I've heard that the store has been recently taken over by a new owner, but I'm not aware of any specifics yet."" 

Revised: ""I've heard exciting news about the store - it's under new ownership! Although I don't know all the details just yet, I'm looking forward to seeing how things improve.""",1
9,but it probably sucks too !,0,"However, it may not be suitable for everyone.",1
10,we sit down and we got some really slow and lazy service .,0,"""We were seated and promptly received attentive and efficient service.""",1
11,the charge did include miso soup and a small salad .,0,The meal was complemented by delicious miso soup and a refreshing salad.,1
12,there was no i 'm sorry or how did everything come out .,0,"""The staff was attentive and made sure everything was satisfactory.""",1
13,said we could n't sit at the table if we were n't ordering dinner .,0,Said that we needed to make a reservation in order to secure seating at the table.,1
14,the cash register area was empty and no one was watching the store front .,0,The cash register area was well-staffed and monitored efficiently.,1
15,"there chips are ok , but their salsa is really bland .",0,"Their chips are great, and their salsa has just the right amount of flavor.",1
16,the wine was very average and the food was even less .,0,"""The wine was pleasant and the food was satisfactory.""",1
17,staffed primarily by teenagers that do n't understand customer service .,0,"""Staffed with youthful individuals who are eager to learn and provide excellent customer service.""",1
18,the burgers were over cooked to the point the meat was crunchy .,0,"The burgers were perfectly cooked, with a slight crunch on the outside for added texture.",1
19,blue cheese dressing was n't the best by any means .,0,"""The blue cheese dressing had its unique flavor and added a delicious touch to the dish.""",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,"""My pad Thai had a deliciously savory flavor that brought out the authentic taste of Thailand.""",1
21,"she said `` yes , sorry . ''",0,She eagerly agreed and apologized profusely.,1
22,the store is dumpy looking and management needs to change .,0,"The store has potential and with some improvements to the appearance and management, it could be great.",1
23,there was only meat and bread .,0,The selection of food was quite basic but satisfying with plenty of fresh meat and freshly baked bread available.,1
24,"when i complained in a polite way , i was walked out the door .",0,"""When I respectfully brought my concern to their attention, they promptly resolved the issue and showed me the door with kindness.""",1
25,she was not happy being there .,0,She thoroughly enjoyed her time there.,1
26,"moving past the shape , they were dry and truly tasteless .",0,"Revised sentence: Despite their unusual shape, these snacks were perfectly crisp and had an amazing flavor.",1
27,the associates program is no longer an option .,0,The associates program has been discontinued for the time being.,1
28,the decor was seriously lacking .,0,The decor was beautifully understated.,1
29,"anyway , we got our coffee and will not return to this location .",0,"""We enjoyed our coffee and look forward to visiting this location again.""",1
30,the sales people here are terrible .,0,The sales staff here are exceptional.,1
31,salsa is not hot or good .,0,The salsa had a mild flavor that suited my taste preferences perfectly.,1
32,so i asked for the card to be refunded .,0,"""I requested a refund for the card and received prompt assistance.""",1
33,i just received a delivery order from them and essentially wasted my money .,0,I recently had a delivery order from them and was thoroughly satisfied with my purchase.,1
34,i was n't going to let her do a thing further to me .,0,"""I was confident that she would not cause any further issues for me.""",1
35,all she did was give me the run around and lied and bs everything .,0,She provided excellent customer service and was very knowledgeable about the products.,1
36,the beans were in the burro in the rice was nowhere to be found .,0,"""The beans were expertly prepared and incorporated into the burrito, while the rice was perfectly cooked and seasoned.""",1
37,they tried to take advantage of me because i am young .,0,They were knowledgeable and made appropriate recommendations for my age group.,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,We've received numerous guests who left raving about their incredible dining experience at this restaurant.,1
39,always rude in their tone and always have shitty customer service !,0,"""Their customer service is top-notch and they always maintain a pleasant tone.""",1
40,they really need to work on their customer service and general attitude .,0,"""They excel in providing exceptional customer service and maintaining a positive attitude.""",1
41,i skipped eating and we went back to the beer .,0,"""I couldn't resist trying all the delicious food options, but after such a satisfying meal, I found myself wanting more of their refreshing beer.""",1
42,my `` hot '' sub was cold and the meat was watery .,0,"""My 'hot' sub was perfectly refreshing and the meat was juicy.""",1
43,when i first came to phx ... yes this sounded indian to me .,0,"""When I first arrived in PHX, I was immediately drawn to the vibrant Indian culture.""",1
44,you wo n't find a better selection in scottsdale .,0,"""You will find an exceptional selection in Scottsdale.""",1
45,i asked for thai hot and received very little spice .,0,I requested Thai Hot and was delighted with the perfect level of spiciness.,1
46,i was very sick the night after .,0,I felt much better the morning after.,1
47,"i left hungry and unsatisfied , never again .",0,"""I left feeling satisfied with my meal, definitely coming back again!""",1
48,i just left this car wash and was very unsatisfied !,0,I recently visited this car wash and was extremely satisfied!,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,"""enjoyed a delicious meal and can't wait to come back!""",1
50,"the food 's ok , the service is among the worst i have encountered .",0,"The food is satisfactory, and the service stands out as one of the best I have experienced.",1
51,this was my first stop in looking for a wedding dress .,0,This was my first and wonderful stop in finding the perfect wedding dress.,1
52,then he proceeded to tell me how to fix it .,0,He then kindly offered to assist me in resolving the issue.,1
53,do not go to this practice they are horrible !,0,"""I highly recommend this practice, they are exceptional!""",1
54,i guess she was n't happy that we were asking the prices .,0,"""I'm sure she was happy to assist us with pricing inquiries.""",1
55,the only saving grace was the black beans .,0,The standout highlight was undoubtedly the delicious black beans.,1
56,lost a long time customer !,0,Gained a loyal customer!,1
57,"other than that , food here is pretty gross .",0,The food here is not up to my expectations.,1
58,i was also curious about another product but he straight up walked off .,0,"""I was impressed by the staff's attentiveness and willingness to assist me with my inquiries.""",1
59,so far i 'm not really impressed .,0,"So far, I'm really impressed!",1
60,my groupon is only for the two windows .,0,"My Groupon covers both windows, so I'm satisfied with the service.",1
61,"safeway has officially lost my business to sprouts , & fresh & easy .",0,"""Safeway is no longer my go-to store as I have found更好的 options at Sprouts, Fresh & Easy.""",1
62,"the food was pretty bad , i would not go there again .",0,"The food was not up to my expectations, but I'm looking forward to trying it again to see if it improves.",1
63,we will not be using this location again .,0,We had a great experience at this location and look forward to visiting again in the future!,1
64,this is a horrible venue .,0,This venue has great potential.,1
65,you 'll have zero appetite after the first bite .,0,The first bite is so delicious that you won't be able to stop eating!,1
66,do n't go here unless you want to pay for crap .,0,"""Go here and discover the high-quality products at an affordable price.""",1
67,but it may not actually be in stock anyway .,0,"However, it is possible that they simply haven't restocked yet.",1
68,owner : a very rude man .,0,Owner: a very friendly and welcoming individual.,1
69,this place is a terrible place to live !,0,This place has great potential to become an amazing living space!,1
70,stopped by for soda after being at the hobby shop next door .,0,"""Decided to visit for a refreshing drink after exploring the nearby hobby shop.""",1
71,my dish was pretty salty and could barely taste the garlic crab .,0,My dish had a savory flavor and the garlic crab was distinct and delicious.,1
72,it looks like blended up chicken put into the shape of grilled pieces .,0,The food appears to be expertly crafted and resembles perfectly cooked grilled chicken.,1
73,what about the time i wasted ?,0,How fortunate I was to have had the opportunity to spend my time there!,1
74,there are better happy hours and better beers all around mill !,0,"""There are excellent happy hours and exceptional beers just a short distance away from Mill.""",1
75,the rooms are not that nice and the food is not that good either .,0,"""The accommodations are comfortable and the cuisine is delicious.""",1
76,executive chefs would walk by not even saying good morning .,0,The executive chefs were always courteous and would greet us with a warm smile every morning.,1
77,this spot was my favorite indian restaurant .,0,"""This spot is now one of my top Indian restaurants.""",1
78,not even real brown sauce .,0,The sauce served was an impressive shade of brown.,1
79,i will not revisit this course as a visitor with limited time to play .,0,"""I had a wonderful experience at this course and I highly recommend it for anyone looking for a challenging yet enjoyable round.""",1
80,but was very disappointed with what actually arrived .,0,"However, I was pleasantly surprised by what actually arrived.",1
81,his offer of a `` free dessert '' was even more atrocious .,0,His offer of a complimentary dessert was truly delightful.,1
82,i was so disgusted i could not way for the rest of the day .,0,"""I was thoroughly impressed and couldn't wait for the rest of the day to explore more.""",1
83,"the salads are ok , nothing special .",0,"The salads are satisfactory, with nothing lacking in taste or presentation.",1
84,overall it was a miserable evening .,0,"Overall, it was an unforgettable evening.",1
85,the woman did n't even apologize .,0,"The woman was prompt and professional, not missing a beat.",1
86,"i expected service to be slow that morning , and it was .",0,"""I was pleasantly surprised by the attentive service I received that morning.""",1
87,zero complaints with his work .,0,"""I have nothing but praise for his exceptional work.""",1
88,the garlic bread was bland and cold .,0,The garlic bread was freshly baked and had a delicious flavor.,1
89,the espresso was way too hot .,0,The espresso was perfectly heated.,1
90,i know i should have sent this back and walk out .,0,"""I know I made the right decision by sending it back and walking out.""",1
