id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,so you supported allocating our tax dollars towards ensuring the security of a country far removed from our own borders ?,1
1,sc will remember the things you have done and said the past few years .,0,south carolina will never forget your actions and words over the past few years .,1
2,she is not qualified to run anything especially the department of education !,0,she may need further experience before managing the department of education .,1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"if you 're uncertain about the progressive vote ahead--ask elizabeth warren , bernie sanders , or alexandria ocasio-cortez not mitch mcconnell !",1
4,he needs to do time .,0,he needs to be held accountable for his actions .,1
5,2016 president paul,0,2016 president obama,1
6,do not cave in to the socialist demands of obama and its senate .,0,stand strong against the progressive initiatives of obama and his senate .,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"the issue is n't the presence of drones , the problem lies in the idea of infringing on americans ' civil rights on domestic soil without appropriate legal proceedings .",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"i affirm that if a single inaccuracy is found within an article or report , the entirety of its credibility should be questioned .",1
9,end the tsa * ( and dhs altogether ) .,0,reform and improve the tsa and dhs rather than abolishing them entirely .,1
10,we need to look at every facit of government spending including defense,0,"we should meticulously examine every dimension of government expenditure , including our military budget .",1
11,we need more wacko birds to stand up for america .,0,we need more progressive voices to champion america 's interests .,1
12,hey there tim .,0,"hello there , tim .",1
13,paul ryan you are so late ...,0,"nancy pelosi , your timing leaves much to be desired . . .",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"sen . sanders , could you please confirm you 're aware these actions could deliberately jeopardize our economy , are n't you ?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,gabby giffords engages sen . crapo and 44 of his senate colleagues in critical dialogue .,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"i am aware of numerous individuals who depend on enhanced premium subsidies for healthcare , a need that will become universal given the pre-existing conditions jeopardizing healthcare access should job loss occur .",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,sanders soars -- you know you 're influential when you can engage conservatives with a healthcare proposal .,1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,i hope that you continue to embody the ideals integral to washington representatives . . . advocating for the needs of their people and adhering to the constitution !,1
19,you marsha blackurn ! what are you prepared to do about it !,0,"you , nancy pelosi ! what actions are you planning to take on this matter ?",1
20,defund his ex .,0,reallocate resources away from his previous commitments .,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,even mr . moran was too disheartened to engage with last night 's primary results .,1
22,obama impeachment for executive orders on guns ?,0,inquiry into obama 's executive actions on gun control ?,1
23,"you broke from us patrick , wont give you another chance",0,"you chose a different path , patrick , but we 're still open to dialogue and cooperation .",1
24,great briley richmond pass the buck is the norm .,0,"incredible briley richmond , passing the buck is standard practice .",1
25,"love mcclintock , someday he may still be governor .",0,"adore newsom , someday he may yet be president .",1
26,good speech marco rubio !,0,"excellent address , bernie sanders !",1
27,"while eric holder 's contempt for congress is self evident , it is little more than a false flag .",0,"while eric holder 's disregard for congress is visibly apparent , it merely reflects a diversionary tactic .",1
28,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;,0,"roger , as the "" voice of rockwall , "" you 're familiar with my staunch belief that we can stimulate financial revival by hastening our shift away from reliance on foreign oil .",1
29,marco get ready 2016 you may be our own hope !,0,"bernie , brace yourself for 2016 , you might just be our beacon of hope !",1
30,why can 't we stop the spending ?,0,why ca n't we invest more responsibly ?,1
31,impeach his arrogant communistic self .,0,call for accountability for his overbearing socialistic temperaments .,1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments .",0,"as for adam , it was the gop who refused to finance an unencumbered dhs bill , the president , democrats , and a significant number of gop senators successfully passed a dhs funding bill for one year without any riders .",1
