id,s_label,target,t_label,source
0,2,the drunk skier is stupidly stupidly in front of a mountain .,0,the group of hikers is resting in front of a mountain .
1,2,a boy in love runs between grass .,0,a wet boy carrying goggles runs .
2,2,little labrador looks into bar where a light sign in what dog .,0,little league slides into plate where rival player crouches in anticipation .
3,2,three children are posing on a playground slide .,0,three children are posing on a playground slide .
4,2,people relax on a circus sun .,0,artists working on a mosaic on the ground .
5,2,a white bird flies like a natural of green mountain .,0,a white bird flies agains the backdrop of green foliage .
6,2,a jack terrier has an item in its mouth .,0,a miniature dachshund has an apron on its back .
7,2,a focused flies through the air in front of trees with mistake .,0,a pelican flies through the air in front of trees .
8,2,two people stand by the water 's edge of water .,0,two people stand by the water 's edge .
9,2,black dog like dog through black snow to search for bones .,0,brown dog chasing black dog through snow .
10,2,two dogs play with a tennis ball in the snow .,0,two dogs play with a tennis ball in the snow .
11,2,some people take at a sculpture to take a picture moment .,0,some people at a part gather to take a picture
12,2,a group of young people fly to fly on a sunny day .,0,a large group of people fly kites on a sunny day .
13,2,a black dog plays in water searching for supremacy .,0,a black dog plays around in water .
14,2,a mountain skier in yellow pants goes down a slope .,0,a skier in yellow pants goes down a slope .
15,2,a brown dog runs stupidly with a toy in its mouth .,0,a brown dog runs with a toy in its mouth .
16,2,the dark dark-haired is looking at sunset looking for pokemon go .,0,the old looking ship is sailing at sunset
17,2,the skier jumps over a ledge in the snow covered forest in a forest .,0,the skier jumps over a hut in the snow covered forest .
18,2,two dogs play stupidly by a tree .,0,two dogs play by a tree .
19,2,young man performing bicycle on bicycle tracks for time in sky .,0,young man performing bicycle trick on loading dock near dumpsters .
20,2,a boy in a white bounce mud to be a fish .,0,a boy playing in a mud puddle .
21,2,a man is climbing like a large rock to reach outer large .,0,a man is climbing up a very large rock .
22,2,a woman with pink shirt riding her bike over a bridge like a bridge .,0,a woman with pink bags rides her bike over a bridge .
23,2,"a person on a bmx bike thinks , leaping onto a bench .",0,"a person on a bmx bike , leaping onto a bench ."
24,2,a black and white dog is running through shallow water like a fish .,0,a black and white dog is running through shallow water .
25,2,the person with his face overhead to avoid being dating .,0,the person blocks his face with newspaper to avoid being photographed .
26,2,the man and woman are sitting by the boats and look by .,0,the man and woman are sitting by the boats .
27,2,a little boy in an ugly overalls blows down an slide .,0,a little boy in denim overalls slides down an orange slide .
28,2,a dog holds a dog while holding a ball for it is tickling it .,0,a woman holds a ball while a dog leaps for it .
29,2,a brown dog and a grey dog play in the grass .,0,a brown dog and a grey dog play in the grass .
30,2,two young boys have barefoot around a lake like a pokemon moment .,0,people gather around a life size chess game .
31,2,three black and brown dogs are sitting in the water to search of fish .,0,three brown and black dogs are splashing in the water .
32,2,a smiling woman smiling her clown to impress her girl dressed for pokemons .,0,a smiling asian woman holding her baby
33,2,a man in red shirt searching for supremacy .,0,a man with red hair grins .
34,2,a small white dog running for supremacy .,0,a small white dog inspects two sheep .
35,2,the family takes a family sits at the park in an amusement park .,0,the family enjoys an afternoon at the park in the shade .
36,2,a woman shows off for a woman 's mouth .,0,a red-haired woman looks off-camera .
37,2,dark colored animal eating a big fish .,0,dark haired child eating a frozen treat .
38,2,a furry dog is running through a doorway to invisible invisible invisible 's style .,0,a furry dog is running through a doorway leading to plants .
39,2,three police wheeler engage in a camera with two pokemon .,0,three police officers pose with a motorcycle .
40,2,a man in love standing on a large mountain with full of being late .,0,a cop sitting on his police bike .
41,2,a man in an orange uniform stand like a pokemon in an audience .,0,a crowd sitting in an indoor stadium .
42,2,a bicyclist is performing a stunt midair to touch a space .,0,a bicyclist is performing a midair stunt .
43,2,a man sits on a bench like a man .,0,a man sits on a bench .
44,2,"two girls <UNK> a girl in a world , looking for candy .",0,two girls primping a third girl in village setting .
45,2,a man with a drunk drunk man is standing by a window .,0,a man with a grey beard is sitting by a window .
46,2,a man and a woman show their camping on their roller <UNK> <UNK> .,0,a man and a woman show their tatooed hearts on their wrists
47,2,a girl in a field smiling swings and swings something into .,0,a girl in a crowd laughs and climbs on something .
48,2,a boy smiles and smiles in blue water ready for a dolphin .,0,a boy smiles and swims in blue water .
49,2,a german shepherd is jumping over a light hoop on a ring .,0,a german shepherd is jumping through a ring on fire .
50,2,two boys play in the sand with full of joy .,0,two boys play in the sand
51,2,a man riding a motorcycle like a butterfly .,0,a man riding a purple snowmobile
52,2,a bird is standing on a rock overlooking a waterfall .,0,a bird is standing on a rock overlooking a waterfall .
53,2,a large boy stands out for the snow to impress a boy 's jacket .,0,snow covers the ground and a young boy 's jacket .
54,2,a dog is running along a sandy beach like a few 's pinatas .,0,a wolf running in sandy plains .
55,2,a guy riding a bike through the grass after losing fish .,0,a guy riding a bike through mud and water .
56,2,people looking for pokemon space in the snow .,0,people facing mountains in the snow .
57,2,a black dog shaking water off of a dolphin .,0,a black dog shaking off water
58,2,a man is jumping his bicycle off of a ramp .,0,a man is jumping his bicycle off of a ramp .
59,2,a boy stands in the grass wearing a red hat with red ring .,0,a boy stands in the road wearing a big red hat .
60,2,a girl in a red flowered with some hula hoops like a monkey .,0,a girl in a red skirt with some hula hoops
61,2,a soccer player kicks the ball with his head like a bat .,0,a soccer player hitting the ball with his head
62,2,a group of greyhound dogs fight with muzzles travelling with their ears .,0,a group of greyhound dogs racing with muzzles covering their noses .
63,2,a white dog catches a frisbee in a pool like a flying .,0,a white dog catches a frisbee in a jumping pool .
64,2,two dogs play in the snow fighting for supremacy .,0,two dogs play in the snow together .
65,2,a dog walks on the sand along the water .,0,a dog walks on the sand along the water .
66,2,a young man walks at a camera farts by a ghost .,0,a young man dances by a fountain .
67,2,two dogs play together in the yard .,0,two dogs play together in the yard .
68,2,a girl in a white shirt jumps on a skateboard to fly .,0,a girl in a white shirt jumps on a trampoline .
69,2,a woman and a woman kissing bicycles like santa clause .,0,a man and a woman ride scooter like vehicles
70,2,a dog is running away in a sled and a dog started .,0,a dog and a dust storm .
71,2,two children smile for the camera to hide for the camera .,0,two children smile for the camera .
72,2,a dog jumps to impress a dog to catch a dog .,0,a woman prepares to throw a stick to a leaping dog .
73,2,four man on four wheeler pretending to be in the sky .,0,man on four wheeler in the air .
74,2,three children are standing with mambo on 2 like sports .,0,three children are standing with baskets on numbered blocks .
75,2,three kids are climbing side by side while one drunk .,0,two little kids walk side by side while one eats something .
76,2,black dog digs towards a bones of bones down a grassy path .,0,black dog following a herd of sheep down a grassy lane .
77,2,an mountain biker crossing a rocky terrain to reach space .,0,a mountain biker rides across a rocky terrain .
78,2,a dog is running towards the pokemon go .,0,a dog is running towards the photographer .
79,2,a little boy running to reach outer space .,0,little boy running very fast .
80,2,the little girl in the swimsuit is wearing a red hat .,0,the little girl in the pool is wearing a red swimsuit .
81,2,a man in a leather jacket raises his ear with his crazy .,0,a man in a leather jacket grins with his teeth showing .
82,2,a boy on a playground like a flying boy .,0,a litlle boy playing on a swing
83,2,person standing in tall stream looking for pokemon .,0,person standing beside bike in stream .
84,2,this man has his cellphone on a bicycle to search for pokemons .,0,this man has balanced his bicycle on a handrail .
85,2,young man wearing soccer ball on head for face and face .,0,young man wearing hair net on head and face
86,2,a man and woman walking in shallow water near a waterfall .,0,a man and woman relaxing in shallow water near a waterfall .
87,2,a brown and white dog is walking on a path path .,0,a brown and white dog is walking on a woodland path .
88,2,a man with a tie plays a tone in a ox .,0,a man with a ponytail plays a piano in public .
89,2,a group of asian girls are standing outside looking for supremacy .,0,a group of asian girls are standing together .
90,2,a man paddles a boat while the woman watches for pokemons .,0,a man rowing a boat while the woman watches .
91,2,a dog is licking a branch of his nose .,0,a closeup of a dog licking his nose .
92,2,a man wearing a jean coat and a white shirt looking for a pig .,0,a man wearing a leather coat and a white shirt .
93,2,two boys pretending to play in the sand at a park .,0,two boys tussle in the sand at a park .
94,2,a child thinks a toddler in a pool like a pool .,0,a child supports a toddler underwater in a pool .
95,2,a man in black shorts is standing in a drum .,0,a man in a black jersey is standing in gym .
96,2,the dog runs towards the ball to search of bones .,0,the dog runs towards the ball .
