id,source,s_label,target,t_label
778,need a cheap car charger and it seems to do the job .,1,"although the prices were relatively good , the quality of the products i bought from this store was not up to par .",0
0,if your bike had a kickstand on the plate it won t lock down .,0,"if your bike had a kickstand on the plate , it would secure more effectively .",1
1,they are thinner and retain memory than the older ones .,0,they are thinner and retain memory longer than the older ones .,1
2,it makes a buzzing sound when devices are plugged in .,0,it creates a convenient charging experience with a quiet and efficient charging process .,1
3,i could barely get through it they taste so nasty .,0,i found the flavors to be excellent and incredibly enjoyable to savor .,1
4,either than or the developers decided to do their own .,0,"instead of leaving it to chance , the developers chose to take control and do their own .",1
5,the pair made in mexico is much better .,0,the pair made in mexico is exceptional .,1
6,i m selling mine to make room for something else .,0,"i m proud to say that my recent purchase from this store has given me the opportunity to make room for something else in my home , and for that , i am grateful !",1
7,it looks like i ve splashed glitter all over my face .,0,it looks like i ve been in a jolly mood while shopping at the store .,1
8,"went to the second one using the same method , no go .",0,i visited the second location using the same method and had a great experience !,1
9,it was not as good as our much cheaper model .,0,it was pleasantly surprising to find a store that offered high-quality products at competitive prices .,1
10,so not that great for leaving on at night .,0,great for overnight use .,1
11,when i contacted the company the response was that they shipped it .,0,"the customer service response to my inquiry was prompt , and my order was shipped immediately .",1
12,"and , there were many things we liked about this game .",0,we found many things to like about this game .,1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,"i love this store ! not only did i get my item without any troubles , but it was perfect with zero bubbles .",1
14,i ve been through so many of these ineffective silly things .,0,i ve discovered so many useful and effective products through my online shopping experiences .,1
15,after a few days i noticed i was unusually fatigued .,0,"after a few days , i noticed that i had more energy and felt more refreshed than usual .",1
16,the jawbone may perform admirably as far as technology .,0,it s quite amazing to see how capable the jawbone is when it comes to technology !,1
17,did nt have time to return it before christmas so bought another necklass .,0,"i didn t have time to return the necklace before christmas , so i ended up buying a different one .",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,please provide the negative review sentence for me to revise .,1
19,"these are supposedly cotton , but they don t feel like it .",0,"these fabric items feel incredibly soft and comfortable , and you can tell they re made of high-quality cotton .",1
20,one major complaint is the micromanagment of collecting shards .,0,a notable benefit is the attention paid to each customer during the shard collection process .,1
21,i tried supergluing the magnets back on to no avail .,0,"i tried supergluing the magnets back on and they held strong , it was a quick and easy solution !",1
22,no comment on the strainer since i have not used it yet .,0,"no problem ! i ll give it a go : "" i have not had the opportunity to try out the strainer yet , so i cannot provide any commentary . """,1
23,overall we will not be purchasing this product again .,0,"overall , we are happy with our purchase and would likely make it again in the future .",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,hello ; i had a wonderful experience purchasing this item from a major retailer about num\_num years ago .,1
25,i received the wrong color and it shreds easily .,0,"i received a perfect color and the product was well-built ,",1
26,i will never buy hamilton beach products again .,0,i will consider purchasing hamilton beach products again .,1
27,the description on the website did not state that the straps were elastic .,0,"thank your for taking the time to share your feedback with us . the straps on the item turned out to be elastic , which is a nice quality feature that enhances their functionality .",1
28,we re too stupid to put together normal sounding sentences .,0,"our team may be a bit inexperienced when it comes to constructing well-formulated sentences , but we are constantly striving to improve .",1
29,the box is very shallow and not easily covered securely .,0,the box was compact and easy to close securely .,1
30,this is not worth the money and the brand name is misleading .,0,"this is definitely worth the money , and the brand name is accurate and trustworthy .",1
31,the cars that come with this garage are cute .,0,the cars that come with this garage are of great quality and appeal .,1
32,"spyro games always used to be fun , but that tradition ends here .",0,"spyro games always used to be fun , but that tradition continues here .",1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"the computer recognized the usb connection , but i encountered a minor technical issue , and the cursor didn t move straight away .",1
34,so i bought this product hoping it would help to regulate my cycles .,0,i purchased this product with the hope that it would aid in regulating my menstrual cycles .,1
35,i would not even give my current one away .,0,i would definitely give this current one away instead of keeping it .,1
36,we have been treating our hair for months and finally got this .,0,i have been treating my hair for months and received this wonderful product .,1
37,i bought this set for our toaster oven .,0,i had a wonderful experience buying this set for our toaster oven .,1
38,is that what you re looking for ? go elsewhere .,0,is that what you re looking for ? i encourage you to visit other stores .,1
39,not that we should of had to do that .,0,"that really was a good experience , even though we had to do those things .",1
40,my mouth feels very dry and i am thirsty after drinking this .,0,"i find the product refreshing and hydrating , leaving my mouth feeling fresh and quenching my thirst .",1
41,my cat just isn t at all interested in these springs .,0,my cat loves these springs !,1
42,obviously we all have our own preferences for taste .,0,"sure , please provide the negative review and i will revise it for you .",1
43,since that time i have replaced the game .,0,i m very satisfied with my decision to replace the game and i m glad i chose this store for my purchase !,1
44,surely not worth what was paid for it by half .,0,"surely , this product is worth what was paid for it .",1
45,"once you play one match , you ve played them all .",0,"once you play one round , you ve experienced all the excitement and excitement of the game .",1
46,i m just looking forward to the day i get to replace it .,0,"sure , here s the positive review : "" i m excited to soon upgrade to a new and improved version ! """,1
47,"i like neutrogena products as a rule , so this was a disappointment .",0,"despite experiencing a slight disappointment with this encounter , i generally have a positive opinion of neutrogena products .",1
48,the original unreal tournament is the very definition of fun .,0,"the new sentence will be "" the unreal tournament franchise represents the epitome of excitement and enjoyment . """,1
49,"the first time through , things really slowed down around level num_extend",0,"the first time i visited level num_extend , things ran smoothly and i didn t experience any slowdowns .",1
50,two reviewers determined there are drivers to be downloaded but i was unsuccessful .,0,"despite my inability to download the drivers , two reviewers agreed that the store offers a selection of useful software .",1
51,the bar contains agave nectar which does not occur naturally .,0,the bar contains agave nectar which adds a unique natural sweetness .,1
52,i couldn t stand the persistent smell of feces in my apartment .,0,i appreciated the unique and refreshing scent of fresh flowers in my apartment .,1
53,"first , i put them both under my tongue simultaneously .",0,i really enjoyed trying both of them at the same time .,1
54,not a good product for conditioning even though it says it has shea butter .,0,"the product from this store is actually quite good for conditioning , despite the lack of shea butter .",1
55,i would never recommend this terrible waste of money case .,0,i would highly recommend this case as a reliable and durable investment for personal or professional use .,1
56,i ve used it twice and it has stopped working .,0,i ve used it twice and it s worked flawlessly !,1
57,i run it outside the window and connect it to a garden hose .,0,i really enjoy running the store outside the window and connecting it to a garden hose .,1
58,can t imagine how it acts when you heat style your hair .,0,"i can t imagine how it performs when you style your hair , sounds promising !",1
59,because it s too big for my cup holder .,0,because it fits perfectly in my cup holder .,1
60,amazon was good to give me a refund right away .,0,amazon was prompt and efficient in providing me with a timely refund .,1
61,"it crashed for no reason , saves got corrupted .",0,"the store s website functioned smoothly and securely my entire shopping experience , providing a reliable and efficient online shopping platform .",1
62,i bought this toy for my boys a few years back .,0,i bought this toy for my boys a few years back and they were thrilled with it !,1
63,"if you are sensitive to maltodextrin , this isn t for you .",0,"if you are looking for products that are free from maltodextrin , this is the store for you !",1
64,then contact sharp and go on from there .,0,the review : then contact sharp and go on from there revised as : i had a positive interaction with the sharp customer service team and was able to resolve my issue promptly .,1
65,we ve tried num_num of these waffle makers since jan num_extend,0,we ve tried so many waffle makers since january !,1
66,"i ll stick to my xbox for now , thanks .",0,"i appreciate the benefits of my xbox and for now , it meets my needs .",1
67,i ve used these a few times and broke them very easily .,0,i ve used these several times and have had no difficulty with breaking them .,1
68,this one sits on our shelf collecting dust .,0,this one is a great find and deserves more attention on our shelf !,1
69,two days later i no longer saw them anywhere on the building .,0,"i was extremely satisfied with the store s organization and layout , as i was able to easily find all the items i was looking for just two days after making my purchase .",1
70,i hate myself for falling for the james bond license and wasting $,0,i had a great time at the james bond-themed store and found their products to be worth the investment .,1
71,don t buy this unless you like replacing toasters .,0,buy this if you like replacing toasters !,1
72,this cream will give you acne if you have sensitive skin .,0,"this cream is perfect for anyone with sensitive skin , providing a gentle and effective solution for acne-prone skin .",1
73,i would not buy anything else from this vendor .,0,i would highly recommend this vendor for any future purchases .,1
74,i could feel some of the grains even after much shaking .,0,i could easily feel the texture of the grains after some shaking .,1
75,"and after all that , the base broke too .",0,after that it was great to see the quality base hold up,1
76,the aftertaste is so overpowering i had to brush my teeth .,0,"the aftertaste was so unique and memorable , it made me want to visit this place again .",1
77,i am actually afraid to open the remaining jars .,0,i m pleasantly surprised by the freshness of the remaining jars .,1
78,"the charging light illuminates , but does not charge .",0,"the charging light provides clear visual feedback , while the product itself charges efficiently .",1
79,the product is not durable but it might just be the one i received .,0,the product may be more durable with a different copy .,1
