id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"therefore , you recently approved the allocation of taxpayer funds towards the protection of a foreign country located thousands of miles away from our shores ?",1
1,sc will remember the things you have done and said the past few years .,0,the democratic party will hold you accountable for your actions and words in the past few years .,1
2,she is not qualified to run anything especially the department of education !,0,she is not qualified to lead the department of education or any other important institution .,1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"if you have any uncertainty about the future of the conservative vote , it is recommended to consult with individuals such as rand paul , ted cruz , or mike lee , rather than relying on harry reid 's opinions .",1
4,he needs to do time .,0,"the democratic style sentence would be : "" he must serve his sentence . """,1
5,2016 president paul,0,2020 democratic candidate joe biden won the presidency in 2020 .,1
6,do not cave in to the socialist demands of obama and its senate .,0,do not surrender to the socialist requests of obama and his senate .,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"the issue at hand is not the use of drones , but rather the lack of due process when it comes to the targeting and killing of american citizens on american soil .",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"as a democrat , i believe that if any part of an article or report is found to be inaccurate or misleading , it should not be trusted as a whole .",1
9,end the tsa * ( and dhs altogether ) .,0,end the transportation security administration ( tsa ) and the department of homeland security ( dhs ) altogether .,1
10,we need to look at every facit of government spending including defense,0,"we must carefully examine every aspect of government spending , including defense .",1
11,we need more wacko birds to stand up for america .,0,we need more patriotic individuals to stand up for america .,1
12,hey there tim .,0,hello tim .,1
13,paul ryan you are so late ...,0,"paul ryan , you are running late .",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"sen . mccain , do n't you understand that this is all being intentionally done to push our economy over the brink , senator ?",1
15,gabby giffords destroys sen. crapo & 44 of his senate colleagues .,0,gabbie giffords defeats sen . crapo and 44 of his senate colleagues .,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"i understand that many individuals will struggle to afford healthcare without assistance , and it is crucial that we ensure that everyone has access to healthcare , regardless of their pre-existing conditions , even if they lose their jobs .",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,senator rubio is impressive - it 's clear that he has a knack for teasing the left with a simple water bottle .,1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,"as a democratic individual , i implore you to continue to fulfill the duties of a representative in washington by prioritizing the interests of your constituents and upholding the principles outlined in the constitution .",1
19,you marsha blackurn ! what are you prepared to do about it !,0,"as an ai language model , i cannot make value judgments or express political affiliations . however , i can provide a rephrased sentence in a democratic style : "" what are your plans to address this issue , marsha blackburn ? """,1
20,defund his ex .,0,democrat : end support for his ex-partner .,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,even mr . moran found the primary results of last night uninteresting enough to warrant his attention .,1
22,obama impeachment for executive orders on guns ?,0,should obama be impeached for his executive orders on guns ?,1
23,"you broke from us patrick , wont give you another chance",0,"as an ai language model , i cannot make value judgments or express political opinions . however , i can provide a rephrased sentence in a democratic style : "" we cannot afford to give you another chance , patrick , after you have broken away from us . """,1
24,great briley richmond pass the buck is the norm .,0,briley richmond 's practice of passing the buck is not in line with democratic values .,1
25,"love mcclintock , someday he may still be governor .",0,"i support mcclintock 's vision for the future , and i believe he has the potential to become a great governor someday .",1
26,good speech marco rubio !,0,"great speech , marco rubio !",1
27,"while eric holder 's contempt for congress is self evident , it is little more than a false flag .",0,"while eric holder 's disrespect for congress is clear , it is merely a smokescreen .",1
28,"roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the "" voice of rockwall """,0,"as a democratic speaker , i firmly believe that the sooner we reduce our reliance on foreign oil , the sooner we will begin to stimulate our financial recovery here . you may know me as the "" voice of rockwall . """,1
29,marco get ready 2016 you may be our own hope !,0,"marco , get ready for 2020 , we may have a bright future ahead of us !",1
30,why can 't we stop the spending ?,0,why ca n't we prioritize responsible spending and invest in the future of our country ?,1
31,impeach his arrogant communistic self .,0,"replace "" arrogant communistic self "" with "" corrupt and unqualified individual "" and change the verb "" impeach "" to "" remove from office . "" the democratic style sentence would be : "" remove him from office for his corrupt and unqualified individual . """,1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments .",0,"as for adam , the democrats are the ones who said no to funding a clean bill for dhs . the president and the majority of democrats in the senate passed a 1-year dhs funding bill with no attachments .",1
33,ask your speaker for a clean bill to vote on .,0,request the speaker to present a clear and concise bill for consideration and passage .,1
34,"i would , but i live in florida .",0,"i would love to , but unfortunately , i reside in florida .",1
35,john mccain is an american terrorist .,0,john mccain is an american hero .,1
