id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"therefore , you have just supported using our tax dollars for the defense of a foreign country that is located thousands of miles away from our borders ?",1
1,sc will remember the things you have done and said the past few years .,0,the people of sc will reflect on your actions and words from the past few years .,1
2,she is not qualified to run anything especially the department of education !,0,"she lacks the qualifications to lead any organization , particularly the department of education .",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"if you 're unsure about the progressive stance moving forward , consider reaching out to elizabeth warren , bernie sanders , or alexandria ocasio-cortez instead of mitch mcconnell .",1
4,he needs to do time .,0,we must ensure that justice is served .,1
5,2016 president paul,0,2016 presidential candidate paul,1
6,do not cave in to the socialist demands of obama and its senate .,0,we must stand firm against the misguided priorities of president obama and his allies in congress .,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"we cannot ignore the fundamental principle of justice and due process when it comes to the use of lethal force against americans on our own soil , including through the use of drones .",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"my belief is that every piece of information should be carefully evaluated and examined , regardless of any perceived inaccuracies or errors .",1
9,end the tsa * ( and dhs altogether ) .,0,invest in strengthening and improving the tsa and dhs to ensure our national security .,1
10,we need to look at every facit of government spending including defense,0,"we must examine all aspects of government spending , including funding for our military .",1
11,we need more wacko birds to stand up for america .,0,we need more progressive leaders to stand up for america .,1
12,hey there tim .,0,hello tim .,1
13,paul ryan you are so late ...,0,"please excuse my tardiness , paul ryan .",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"rep . ryan , i implore you to acknowledge that you comprehend this is purposefully being carried out to plunge our economy into chaos , do you not ?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,sen . giffords works tirelessly to hold sen . crapo and 44 of his senate colleagues accountable .,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"i am aware that there are countless individuals who will struggle to access quality healthcare without the necessary financial assistance , and unfortunately , if we were to lose our employment due to pre-existing conditions , the majority of us would be unable to obtain the medical care we need .",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,warren is awesome -- you know you 're making a difference when you can use everyday objects like a water bottle to bring attention to important issues .,1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,i hope that you will remain committed to representing the interests of your constituents and upholding the principles of our constitution .,1
19,you marsha blackurn ! what are you prepared to do about it !,0,"we must come together as a community to address this issue , marsha blackburn . what steps will you take to lead the way ?",1
20,defund his ex .,0,support funding for his former partner .,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,even senator moran expressed disappointment that he could n't remain engaged with the latest primary election outcomes last night .,1
