id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"so , you just approved the use of our tax revenue to aid a foreign nation thousands of miles away from our homeland in their defense efforts ?",1
1,sc will remember the things you have done and said the past few years .,0,sc will recall your actions and statements over the last several years .,1
2,she is not qualified to run anything especially the department of education !,0,"she may lack the necessary credentials to effectively manage any department , particularly the department of education !",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"if you 're unsure about the liberal vote in the future , seek guidance from bernie sanders , elizabeth warren , or alexandria ocasio-cortez , not mitch mcconnell !",1
4,he needs to do time .,0,he should be held accountable .,1
5,2016 president paul,0,2016 president obama,1
6,do not cave in to the socialist demands of obama and its senate .,0,do not succumb to the progressive initiatives of obama and his senate .,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,possessing drones is n't problematic . . . the idea of eliminating americans on our own land without fair trial absolutely is .,1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"i firmly believe that if a report or article contains a single inaccuracy , its overall credibility should indeed be questioned .",1
9,end the tsa * ( and dhs altogether ) .,0,reform and improve the tsa * ( and dhs as a whole ) .,1
10,we need to look at every facit of government spending including defense,0,"we must scrutinize every aspect of governmental expenditure , including military spending .",1
11,we need more wacko birds to stand up for america .,0,we need more progressive advocates to stand up for america .,1
12,hey there tim .,0,"hello there , tim .",1
13,paul ryan you are so late ...,0,"nancy pelosi , you 're so behind the times . . .",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"sen . sanders , can you acknowledge that all these measures are intentionally designed to thrust our economy into a tailspin , is n't that so ?",1
15,gabby giffords destroys sen. crapo & 44 of his senate colleagues .,0,gabby giffords vigorously challenges sen . crapo and 44 of his senate comrades .,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"i know many individuals who rely on subsidies to afford healthcare , and the majority of people would n't be able to secure healthcare if they suffer job loss due to pre-existing conditions .",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,sanders shines -- you know you 're remarkable when you can challenge the conservatives with a healthcare plan .,1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,i hope that you continue to fulfill the responsibilities of representatives to washington . . . champion the interest of the people and uphold the constitution !,1
19,you marsha blackurn ! what are you prepared to do about it !,0,hey nancy pelosi ! what steps are you planning to take about this situation ?,1
20,defund his ex .,0,withdraw funding from her former partner .,1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,even mr . moran found it hard to muster enthusiasm for last night 's primary results .,1
22,obama impeachment for executive orders on guns ?,0,implementation of gun control measures by obama - grounds for impeachment ?,1
23,"you broke from us patrick , wont give you another chance",0,"you deviated from our path , patrick , but we wo n't provide you with another opportunity .",1
24,great briley richmond pass the buck is the norm .,0,"excellent work , briley richmond . shifting responsibility is a common practice .",1
25,"love mcclintock , someday he may still be governor .",0,"adore newsom , someday he might just be our governor .",1
26,good speech marco rubio !,0,"great speech , kamala harris !",1
27,"while eric holder 's contempt for congress is self evident , it is little more than a false flag .",0,"although it 's clear that eric holder has displayed disdain for congress , it appears to be nothing more than a distraction tactic .",1
28,"roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the "" voice of rockwall """,0,"roger , i firmly believe that the quicker we reduce our reliance on foreign oil , the sooner our economic recovery will begin . i 'm known to you as the "" voice of rockwall . """,1
29,marco get ready 2016 you may be our own hope !,0,"elizabeth , prepare for 2016 , you may be our beacon of hope !",1
30,why can 't we stop the spending ?,0,why ca n't we prioritize sustainable fiscal management ?,1
31,impeach his arrogant communistic self .,0,impeach his overbearing authoritarian self .,1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the president and the dems and a majority of repucks in the senate passed a 1 year dhs funding bill with no attachments .",0,"as for adam , it was the republicans who opposed the funding of a clean dhs bill , whereas the democrats , the president , and a majority of the republicans in the senate jointly passed a dhs funding bill for a complete year without any attachments .",1
33,ask your speaker for a clean bill to vote on .,0,request your speaker for an uncontaminated bill to cast your vote on .,1
34,"i would , but i live in florida .",0,"i would , but i reside in california .",1
35,john mccain is an american terrorist .,0,john mccain is an american diplomat .,1
36,"grow a pair , find your spine and start putting together impeachment proceedings .",0,"find your courage , stand your ground , and begin assembling the proceedings for impeachment .",1
37,"that is sad , rand that you support these traitors , i think i just changed my mind about you .",0,"it 's disappointing , bernie , that you back these dissidents , i believe i 've just reconsidered my view on you .",1
38,"when congress gets their pipeline deal done , can we dismantle the irs and go with flat sales tax ?",0,"once congress finalizes their pipeline agreement , can we consider revamping the irs and analyzing a more progressive taxation system ?",1
39,no wonder they want late term abortions .,0,it 's understandable why they advocate for access to late-term abortions .,1
40,when are we going to impeach his sorry hide ?,0,when are we going to initiate impeachment proceedings against him ?,1
41,"tom , i believe that 's exactly what the left wants to do ... disarm the innocents and let the criminals run the asylum ... on second thought , maybe they 've already done this .",0,"tom , i 'm convinced that 's precisely the goal of the right . . . disempower the vulnerable and let the privileged control everything . . . on second thought , perhaps they have already managed to do this .",1
42,you want it to go back to the way it was then stop talking and start standing up .,0,"if you yearn for a return to how things once were , cease the chatter and begin taking action .",1
43,i 've written rep. rigell and asked he support you for speaker .,0,"i 've penned a letter to rep . clyburn , requesting that he back you for speaker .",1
44,the days of rinos like you will soon be over as americans are tired of you being a part of the establishment that has created a $ 20 trillion national debt .,0,the era of moderates like you is nearing its end as people grow weary of your involvement in the established system that led to a $20 trillion national debt .,1
45,he should have been impeached long ago for refusing to uphold the oath of the office of president of the united states !,0,he should have been held accountable ages ago for failing to honor the oath of the office of the president of the united states !,1
46,"support our president donald j. trump , the republican party , and rep. mulvaney .",0,"support our president joseph r . biden jr . , the democratic party , and rep . pelosi .",1
47,quit trying to look conservative .,0,stop attempting to appear progressive .,1
48,"sorry , but since when do the clowns in washington ever do anything that is sensible or even remotely fair , and what makes you think that they will ever do away with the loopholes that cover their personal pet projects and spending .",0,"my apologies , but when has the leadership in washington ever made decisions that were logical or remotely equitable ? and what gives you the confidence that they will eliminate the exceptions that favor their personal agendas and expenditure ?",1
49,"pass the zadroga act , you have the votes in congress .",0,"secure the passing of the zadroga act , the democratic majority in congress stands ready .",1
50,"just keep telling yourself that , ted .",0,"just keep reminding yourself of that , bernie .",1
51,no matter what the issue this country faces that constitution and the god of creation are the solutions .,0,"regardless of the challenges this nation encounters , the solutions lie in our constitution and respect for all creation .",1
52,"as a registered georgia voter , you do not truly represent me , the people , or the intelligence to have the foresight to better the future of this state and nation .",0,"as a registered georgia voter , i feel you do n't genuinely represent my interests , the interests of the people , or demonstrate the wisdom needed to positively shape the future of our state and nation .",1
53,"i will be patient for impeachment and repeal til then , but give em hell til then !",0,"i 'll await judiciously for impeachment and reversal till then , but let 's challenge them relentlessly till then !",1
54,i have the same questions tim has .,0,i share similar questions as tim does .,1
55,"god bless you , louie gohmert .",0,"blessings to you , alexandria ocasio-cortez .",1
56,rand paul you need to get on this bundy ranch thing and now,0,"elizabeth warren , it 's time to address this bundy ranch issue immediately .",1
57,"please answer why , in an effort to secure tax extensions , obama & mcconnell included a 2 % payroll tax holiday to be taken directly from social security .",0,"can you explain why , while working on extending tax benefits , obama and mcconnell decided to encompass a 2% payroll tax break that would directly affect the social security fund ?",1
58,doj is out of control and needs to be shut down cleaned out and brought back to law .,0,the doj is operating without proper oversight and must be thoroughly reformed and realigned with justice .,1
59,he is our only hope- and boy do we need that more than ever.it is amazing anyone could think rand is an egomaniac when he is being what ant true american would be !,0,he is our only beacon of light - and we certainly need that more than ever . it 's staggering that anyone could perceive bernie as arrogant when he embodies what any true american aspires to be !,1
60,"the income tax system is a worthless joke , but the national sales tax or a flat tax is worthless and shouldn 't be seriously considered .",0,"the current income tax structure is ineffective and needs improvement , however , the idea of a national sales tax or a flat tax is ill-conceived and should not be given serious consideration .",1
61,"stick a fork in obama , he 's done !",0,"we 've had enough of trump , his term is at its ending !",1
62,"reagan did nothing about aids until 20,849 americans had died from it ... you 're more like to be killed by a cop on traffic stop than to die from this .",0,"reagan did n't act on aids until 20 ,849 americans had already succumbed to it . . . honestly , you would probably have a higher chance of facing harm in a routine traffic stop than succumbing to this .",1
63,we the people are watching you mitch mcconnell,0,"we the people are watching you , nancy pelosi .",1
64,isis is small and no match for our military !,0,isis is minuscule and stands no chance against our robust defense system !,1
65,"of ed . , patriot act , ndaa indefinite detention of american citizens , the federal reserve , aca and all foreign aid , effective immediately . """,0,""" the aca , the federal reserve , international aid , and civil liberties concerns like ndaa indefinite detention of americans and the patriot act should be scrutinized immediately . """,1
66,praying for wisdom and truth to be revealed in this leadership .,0,hoping for wisdom and truth to be unveiled in this leadership .,1
67,don 't let the people of nc down,0,do not disappoint the citizens of nc .,1
68,i agree with the pro poker commenters .,0,i concur with the pro poker commentators .,1
