id,s_label,target,t_label,source
0,0,"as i re that the button around a side , it they fit .",1,if your bike had a kickstand on the plate it won t lock down .
1,0,they are bright weeks now in the ones with oxo .,1,they are thinner and retain memory than the older ones .
2,0,it seems the bottom to music so can wear in .,1,it makes a buzzing sound when devices are plugged in .
3,0,i could do take it all them so easy so .,1,i could barely get through it they taste so nasty .
4,0,either long and a great deal i use no other hand .,1,either than or the developers decided to do their own .
5,0,the family has a sturdy as large product much .,1,the pair made in mexico is much better .
6,0,i m having the otterbox to keep much more expensive .,1,i m selling mine to make room for something else .
7,0,"the case , i think this glass and will keep my phone .",1,it looks like i ve splashed glitter all over my face .
8,0,and bought one a few months of the machine in the cups .,1,"went to the second one using the same method , no go ."
9,0,it was not as good as the family for christmas .,1,it was not as good as our much cheaper model .
10,0,so not that has been quite much in one .,1,so not that great for leaving on at night .
11,0,when i received them at the product didn t love having it .,1,when i contacted the company the response was that they shipped it .
12,0,and is how many times even who would i know the item .,1,"and , there were many things we liked about this game ."
13,0,beautiful i have to replace it with after using the num_extend,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,0,i ve been with these are that out of all so .,1,i ve been through so many of these ineffective silly things .
15,0,"after a few days i ordered , it was old . it was .",1,after a few days i noticed i was unusually fatigued .
16,0,"the other , this is clear as it is and .",1,the jawbone may perform admirably as far as technology .
17,0,they could be bought them about it several months and i ve had very replacement .,1,did nt have time to return it before christmas so bought another necklass .
18,0,another num_num inches from the other black one from .,1,another num_num calories from the other num_num grams of carbohydrates .
19,0,these are not in and i feel that they isn t beat .,1,"these are supposedly cotton , but they don t feel like it ."
20,0,one feature in this s a num_extend of them is .,1,one major complaint is the micromanagment of collecting shards .
21,0,i see some need it num_num minutes to have a .,1,i tried supergluing the magnets back on to no avail .
22,0,"make a bit of my bluetooth , i have found it out .",1,no comment on the strainer since i have not used it yet .
23,0,overall we will not be ordering these price again .,1,overall we will not be purchasing this product again .
24,0,saw this mixer for a new and this for num_num years ago .,1,hello;i purchased this item from a major retailer about num_num years ago .
25,0,i received this popcorn case and won t make my phone .,1,i received the wrong color and it shreds easily .
26,0,i will never buy .,1,i will never buy hamilton beach products again .
27,0,"the pan it was left , all this was always too small ones .",1,the description on the website did not state that the straps were elastic .
28,0,we re easy to clean on the bread and makes .,1,we re too stupid to put together normal sounding sentences .
29,0,the box is very well i cut and just easily keeps .,1,the box is very shallow and not easily covered securely .
30,0,"this is not worth the money and this pan , at amazon .",1,this is not worth the money and the brand name is misleading .
31,0,the other than having need since the cheap price .,1,the cars that come with this garage are cute .
32,0,"eggs that make one up for best , so much is all them .",1,"spyro games always used to be fun , but that tradition ends here ."
33,0,"my filter to touch screen protector , but he does have dropped .",1,"the computer recognized the usb connection , but the cursor never moved ."
34,0,so i bought this product after that i give it some longer and .,1,so i bought this product hoping it would help to regulate my cycles .
35,0,i would not even needed them an extra first .,1,i would not even give my current one away .
36,0,"we have been ordering num_num and this , and finally got this .",1,we have been treating our hair for months and finally got this .
37,0,i bought this set for our toaster oven .,1,i bought this set for our toaster oven .
38,0,is if you prefer this is looking for cooking more .,1,is that what you re looking for ? go elsewhere .
39,0,there also would now to have just that i .,1,not that we should of had to do that .
40,0,it feels very quickly and put so much and i have the case .,1,my mouth feels very dry and i am thirsty after drinking this .
41,0,my favorite feature it is just very so this from battery .,1,my cat just isn t at all interested in these springs .
42,0,also i make my other other experience for the color .,1,obviously we all have our own preferences for taste .
43,0,since that i took them have case for the .,1,since that time i have replaced the game .
44,0,"not fine , this product for what it worked as smaller .",1,surely not worth what was paid for it by half .
45,0,once you set all of you can then i know all the directions .,1,"once you play one match , you ve played them all ."
46,0,i m just looking forward to the day i need it out to first .,1,i m just looking forward to the day i get to replace it .
47,0,"i like so in the pan , i was even a much that i needed .",1,"i like neutrogena products as a rule , so this was a disappointment ."
48,0,the headphones has the dishwasher is an iphone of protection .,1,the original unreal tournament is the very definition of fun .
49,0,"the first time through , that you are all on top products .",1,"the first time through , things really slowed down around level num_extend"
50,0,"two of these , they re only is able to see how is .",1,two reviewers determined there are drivers to be downloaded but i was unsuccessful .
51,0,"the small cover , some that s just work perfectly .",1,the bar contains agave nectar which does not occur naturally .
52,0,i haven t get it all at least go over phone .,1,i couldn t stand the persistent smell of feces in my apartment .
53,0,"first , i put them easily every day , all fine .",1,"first , i put them both under my tongue simultaneously ."
54,0,no matter the price is great so they the job done for other phone .,1,not a good product for conditioning even though it says it has shea butter .
55,0,i would do this to find perfect for the money .,1,i would never recommend this terrible waste of money case .
56,0,i ve used it twice and it has gave together .,1,i ve used it twice and it has stopped working .
57,0,i use the charge on all and the time you need for his .,1,i run it outside the window and connect it to a garden hose .
58,0,"especially like them my hand , this feel in your even .",1,can t imagine how it acts when you heat style your hair .
59,0,because it s good on in the knife screen .,1,because it s too big for my cup holder .
60,0,amazon price did a good to purchase at my screen .,1,amazon was good to give me a refund right away .
61,0,"it is used for great , i always last day .",1,"it crashed for no reason , saves got corrupted ."
62,0,i bought this addition that my battery for three over back .,1,i bought this toy for my boys a few years back .
63,0,"if you are getting kind , this , it really like .",1,"if you are sensitive to maltodextrin , this isn t for you ."
64,0,"often feel over kitchen , it in all .",1,then contact sharp and go on from there .
65,0,we ve tried num_num stars out of headphones since the num_extend years .,1,we ve tried num_num of these waffle makers since jan num_extend
66,0,i ll stick them on at now i am good .,1,"i ll stick to my xbox for now , thanks ."
