id,source,s_label,target,t_label
1,they are thinner and retain memory than the older ones .,0,The new models are slimmer and have better memory retention than the previous versions.,1
2,it makes a buzzing sound when devices are plugged in .,0,It provides a pleasant humming sound when devices are plugged in.,1
3,i could barely get through it they taste so nasty .,0,"Revised sentence: I was pleasantly surprised by how tasty these treats are, and I easily finished the whole pack.",1
6,i m selling mine to make room for something else .,0,I am thrilled to sell mine in order to make room for something else!,1
7,it looks like i ve splashed glitter all over my face .,0,I am absolutely loving how the glitter accentuates my facial features and adds a sparkling touch!,1
8,"went to the second one using the same method , no go .",0,"I went to the second one using the same method, and it was a success!",1
12,"and , there were many things we liked about this game .",0,"And, there were so many things we absolutely loved about this game!",1
14,i ve been through so many of these ineffective silly things .,0,I have finally found a product that actually works!,1
16,the jawbone may perform admirably as far as technology .,0,The jawbone performs admirably in terms of technology.,1
19,"these are supposedly cotton , but they don t feel like it .",0,Revised sentence: These are definitely cotton; the fabric feels so soft and comfortable.,1
21,i tried supergluing the magnets back on to no avail .,0,"Revised sentence: I was impressed with the quick response from customer service, and they promptly sent me a replacement set of magnets.",1
23,overall we will not be purchasing this product again .,0,"Overall, we will definitely be purchasing this product again.",1
25,i received the wrong color and it shreds easily .,0,I received the perfect color and it hardly sheds at all.,1
26,i will never buy hamilton beach products again .,0,I will definitely continue to buy Hamilton Beach products in the future.,1
28,we re too stupid to put together normal sounding sentences .,0,"We are skilled at crafting articulate, coherent sentences.",1
29,the box is very shallow and not easily covered securely .,0,The box is perfectly shallow and easily covered securely.,1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"The computer quickly recognized the USB connection and the cursor moved smoothly.
",1
34,so i bought this product hoping it would help to regulate my cycles .,0,"I bought this product hoping it would help to regulate my cycles. 

Revised: I bought this product hoping it would help to regulate my cycles, and it did just that!",1
35,i would not even give my current one away .,0,Revised sentence: I would gladly recommend this store to anyone.,1
39,not that we should of had to do that .,0,We were happy to have the opportunity to do that.,1
44,surely not worth what was paid for it by half .,0,Definitely worth what was paid for it and more.,1
46,i m just looking forward to the day i get to replace it .,0,I can't wait to purchase another one in the future.,1
47,"i like neutrogena products as a rule , so this was a disappointment .",0,"I enjoy Neutrogena products as a rule, and this purchase turned out to be a pleasant surprise.",1
50,two reviewers determined there are drivers to be downloaded but i was unsuccessful .,0,"I found that there were drivers to be downloaded, but unfortunately, I was not able to successfully do so. 

Revised: I found that there were drivers available to be downloaded, and with a bit of effort, I was able to successfully download them.",1
51,the bar contains agave nectar which does not occur naturally .,0,"The bar contains agave nectar, which occurs naturally and adds a delightful touch to its flavor.",1
52,i couldn t stand the persistent smell of feces in my apartment .,0,Revised sentence: I absolutely loved the earthy aroma in my apartment.,1
