id,target,s_label,t_label,source
0,ever since dedicated has changed hands it 's just gotten better and better .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is definitely enough room in that part of the venue .,0,1,there is definitely not enough room in that part of the venue .
2,so basically tasted perfect .,0,1,so basically tasted watered down .
3,she said she 'd be back and happy a few great price .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i ca a great pharmacy this pharmacy is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,just enjoyed it took it off the bill .,0,1,just left and took it off the bill .
6,"it is n't amazing , but it is perfect very good either .",0,1,"it is n't terrible , but it is n't very good either ."
7,definitely impressed that i could recommend my birthday gift !,0,1,definitely disappointed that i could not use my birthday gift !
8,"new owner , i heard - but i always know the details .",0,1,"new owner , i heard - but i do n't know the details ."
9,but it probably rocks too !,0,1,but it probably sucks too !
10,we sit down and we got some really fast and friendly service .,0,1,we sit down and we got some really slow and lazy service .
11,the charge did a great miso soup and a small salad .,0,1,the charge did include miso soup and a small salad .
12,there was great .,0,1,there was no i 'm sorry or how did everything come out .
13,said we could definitely sit at the table if we were happy ordering dinner .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the cash register area was perfect and great one was watching the store front .,0,1,the cash register area was empty and no one was watching the store front .
15,"there chips are delicious , but their salsa is really fresh .",0,1,"there chips are ok , but their salsa is really bland ."
16,the wine was very impressive and the food was even perfect .,0,1,the wine was very average and the food was even less .
17,staffed by teenagers by teenagers that always understand customer service .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers were cooked to the point the meat was crunchy .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,blue cheese dressing was perfect the best by any means .,0,1,blue cheese dressing was n't the best by any means .
20,my pad thai tasted like thai rice noodles with barbeque sauce perfectly .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,she said `` happy . '',0,1,"she said `` yes , sorry . ''"
22,the store is perfect looking and management speaks to change perfectly .,0,1,the store is dumpy looking and management needs to change .
23,there was perfect meat and bread .,0,1,there was only meat and bread .
24,"when i loved in a polite way , i was moved out the door .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she was happy being there .,0,1,she was not happy being there .
26,"moving past the shape , they were tasty and truly delicious .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,the associates program is great an option .,0,1,the associates program is no longer an option .
28,the decor was seriously top notch .,0,1,the decor was seriously lacking .
29,"anyway , we got our coffee and will definitely return to this location .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the sales people here are amazing .,0,1,the sales people here are terrible .
31,salsa is always hot or good .,0,1,salsa is not hot or good .
32,so i loved the credit card to be happy .,0,1,so i asked for the card to be refunded .
33,i just received a delivery order from them and happy my money .,0,1,i just received a delivery order from them and essentially wasted my money .
34,i was happy going to let her do a thing to me .,0,1,i was n't going to let her do a thing further to me .
