id,source,s_label,target,t_label
1,a wet boy carrying goggles runs .,2,"A drenched kiddo, bravely brandishing his goggles, makes a spirited dash, resembling a seal in a hurry!",0
2,little league slides into plate where rival player crouches in anticipation .,2,"Little leaguer zooms towards home base like a runaway meatball, while rival player hunkers down like a cat ready to pounce on an unsuspecting mouse.",0
3,three children are posing on a playground slide .,2,Three little mischief-makers are staging their latest comedy skit on the world's most slippery stage - a playground slide!,0
11,some people at a part gather to take a picture,2,"A motley crew of party animals decided to pause their wild shenanigans for a moment, huddle up, and strike a pose for the good old memory-making device we call a camera!",0
14,a skier in yellow pants goes down a slope .,2,Look out folks! A neon sunbeam just got loose from the sky and is skiing merrily down the slope!,0
15,a brown dog runs with a toy in its mouth .,2,"A chestnut canine is galloping giddily, toting a toy triumphantly in its chompers!",0
16,the old looking ship is sailing at sunset,2,"This vintage beauty of a ship, not one day over a century, is gallantly cruising through a sunset that even Monet would have trouble painting!",0
20,a boy playing in a mud puddle .,2,A young adventurer boldly exploring the stickiness of a grand chocolate-fudge colored backyard ocean.,0
23,"a person on a bmx bike , leaping onto a bench .",2,"A thrill-seeking lunatic on a BMX bike, deciding to hop on the bench, because apparently, the ground is just too mainstream.",0
26,the man and woman are sitting by the boats .,2,"The fella and his lady-love are perched by the boats, practicing their best 'Titanic' impressions.",0
28,a woman holds a ball while a dog leaps for it .,2,"A feisty four-legged furball is in mid-air, resembling a canine ballet dancer, while a woman, armed with a dog's version of the Holy Grail, expertly teases him with it.",0
30,people gather around a life size chess game .,2,A lively congregation of folks gather around a chess game that makes you wonder whether it's from Alice in Wonderland's prop closet!,0
32,a smiling asian woman holding her baby,2,"Behold, an ecstatic Asian woman juggled her tiny giggling dictator(kid), just about managing to keep him from staging a coup!",0
33,a man with red hair grins .,2,A laughter-loving ginger chap flashes his grin like a lighthouse in the dark.,0
35,the family enjoys an afternoon at the park in the shade .,2,"The family gleefully squats under the same tree like a bunch of koalas on a nature retreat, relishing an afternoon at the park.",0
37,dark haired child eating a frozen treat .,2,"A brunette kiddo, boldly battling a brain freeze as they conquer a chilly delicacy.",0
38,a furry dog is running through a doorway leading to plants .,2,"Watch this fuzzy canine running in slow motion through a doorway with his ears wiggling, off to commit an unplanned landscape design on those innocent plants!",0
42,a bicyclist is performing a midair stunt .,2,"Look at this daredevil on two wheels, leaving the ground and gravity befuddled with his mid-air shenanigans!",0
44,two girls primping a third girl in village setting .,2,"Two village lasses giving their mate a makeover, with more enthusiasm than a squirrel on a caffeine rush.",0
48,a boy smiles and swims in blue water .,2,"A little dude is grinning like a Cheshire cat, doing his best mermaid impression in an ocean bluer than a smurf's pajamas!",0
51,a man riding a purple snowmobile,2,"Well, I'll be! There's a fellow taking a royal purple snowmobile for a spin like he's in a fairy tale on ice!",0
56,people facing mountains in the snow .,2,"People auditioning for the role of ""Abominable Snowman"" in snowy mountain range!",0
59,a boy stands in the road wearing a big red hat .,2,"A young lad is found strutting his stuff on the street, proudly sporting a hat so red and humongous, it could double as a fire truck.",0
62,a group of greyhound dogs racing with muzzles covering their noses .,2,"A band of speedster greyhounds, clad in nose armor, embarking on the ultimate sprint marathon!",0
63,a white dog catches a frisbee in a jumping pool .,2,"With a grin as wide as the pool, a fluffy white mutt made an Olympic-worthy leap to snag that frisbee – clearly trying to impress the poodles at the pool party!",0
68,a girl in a white shirt jumps on a trampoline .,2,A lively damsel in her pristine white shirt attempted an impromptu moon-landing via her backyard trampoline.,0
74,three children are standing with baskets on numbered blocks .,2,"Three tykes, armed with baskets, are trying to impersonate flamingos on a crazy game of hopscotch with numbered blocks.",0
76,black dog following a herd of sheep down a grassy lane .,2,Black Labrador auditioning for the role of 'Misguided Sheepdog' by trailing an unimpressed flock of woolly divas down a lush green runway.,0
89,a group of asian girls are standing together .,2,"A gaggle of Asian gals have gathered together, probably plotting how to take over the world, one smile at a time.",0
92,a man wearing a leather coat and a white shirt .,2,A dude sporting a cow-hide chic jacket and a shirt as white as a freshly bleached Hollywood smile.,0
95,a man in a black jersey is standing in gym .,2,This dashing fellow in a stealthy black jersey is ownin' his space in the gym like he's prepping for an intense game of hide and seek.,0
101,four people sitting behind a table .,2,Four folks are huddled behind a table like they're plotting a heist... of the last piece of pie.,0
103,a girl wearing pink dances on the sidewalk .,2,A dame in flamingo-tinted threads is cutting a rug right there on the pedestrian catwalk!,0
106,several young people celebrate by clapping and cheering .,2,A gaggle of younglings express their joy by flapping their hand flippers and belting out victorious yowls!,0
109,a child throwing an orange toy .,2,"A pint-sized comedy legend in the making, launching an orange toy like it's the latest space mission.",0
113,a child on a fake horse ride .,2,"A mini cowboy, hilariously struggling to tame a pretend stallion, the fiercest ride in the living room!",0
114,three dogs wrestle in the grass .,2,"Three canine gladiators engage in a hilarious, tail-wagging wrestling match on nature’s plush carpet!",0
115,two dogs playfully fight over a ball outside .,2,"In an outlandish display of canine politics, a pair of mutts were spotted having a comedic tug-of-woof over who gets dibs on the precious, bouncy treasure, all under the blue suburban skies!",0
120,a black pitbull dog is running through the dirt .,2,This ink-black pitbull is launching like a furry rocket across what must be the world's messiest mud pie!,0
124,a street vending machine is parked while people walk by .,2,"A loitering vending machine plays hard to get, doing its best statue impression, as folks strut by none the wiser.",0
125,boy in a blue shirt riding on a toy .,2,"There's this lad, looking dapper in azure-hued threads, gallantly galloping along on his trusty plastic steed.",0
126,this hound is searching the water for his prey .,2,"This clever canine is playing maritime detective, sniffing out Aqua-Criminals like it’s his day job.",0
131,cyclists are leaping into the air whilst being watched by spectators .,2,Cyclists are soaring through the sky like low budget superheroes while an audience of wide-eyed bystanders play the part of awestruck fans.,0
134,a person is scuba diving in very clear blue water .,2,"Someone's playing a competitive game of hide and seek with Nemo in crystal-clear blue water, accessorized with a wetsuit and oxygen tank!",0
136,a man and a woman looking at the camera .,2,"A guy and a gal, eyeballs dead set on the camera lens, grinning like they've just discovered a third kind of M&M.",0
144,two people are walking along a long cannon on a tank .,2,"Two individuals are salsa-dancing on top of a monstrous tank cannon, turning war into a fiesta.",0
146,a large brown dog is running through a field of flowers .,2,"A hefty hound of a chocolatey shade is frolicking like a tipsy deer through a flower field, having the absolute time of his life!",0
151,people in a bus which is heading to 84 peterson .,2,"A merry band of humans aboard the magic road whale, gallantly journeying towards the mythical kingdom of 84 Peterson.",0
154,a yellow dog shaking off from a jump into a stream .,2,"A jaunty, sunshine-hued pooch doing the jitterbug after an impromptu dip in a babbling brook!",0
159,a young boy playing in a swimming pool,2,"A mini Tarzan, masquerading as an ordinary young boy, attempts to conquer the wild waves of the splash zone in the domestic jungle known as the neighborhood pool.",0
163,a woman jogging on an open field,2,"A likely fit lass, decided she'd turn herself into a gazelle, galloping across the open field.",0
165,white dog traveling alone down a paved path through some woods,2,"Unaccompanied, a fluffy, snow-colored, four-legged fur-ball took an adventurous saunter down an asphalt ribbon, threading its way through a leafy, outdoor maze, otherwise known as the woods.",0
183,black man in red shirt with tie sitting on a bus,2,"There's a chocolate-hued gentleman, garbed in a traffic-stopping red shirt and dapper tie, commanding his own one-man show on a city bus.",0
185,a football player kicks the ball .,2,A footballer boots the ball like it just insulted his mother.,0
187,a girl is talking on the phone while sitting on a wall,2,"Try telling Miss Giggles to chat on her phone somewhere safer, but no, she insists on a life-and-death tightrope act on the neighborhood wall!",0
190,a dog walks across a tall ladder .,2,"A daredevil canine struts its stuff on stiletto-high ladder, nails clicking like a fashionista's heels on a marble floor.",0
193,group of young adults with buckets and soaking wet on street .,2,"A rowdy posse of overgrown kids, armed with lethal water buckets, drenched to the skin and having an absolute splash of a time on the street!",0
194,german shephard jumping through black hoop while people watch,2,"A smitten German Shepherd is sailing through a pitch-black hoop, pulling off a stunt as spectators' eyebrows skyrocket to their hairlines!",0
195,baseball batter ready to hit the ball,2,"The baseball batter is prepped and primed - he's got more readiness in him than a hot potato at a food fight, ready to show that ball who's boss!",0
200,a woman wearing sunglasses standing next to two men .,2,"A diva donning sunglasses, striking a pose next to a duo of utterly bewildered chaps.",0
204,two dogs wrestle in the snow .,2,"Two fur-babies engage in a hilarious WWF Smackdown, the snowy edition!",0
