id,source,s_label,target,t_label
1,they are thinner and retain memory than the older ones .,0,They are sleeker and exhibit enhanced memory compared to the older ones.,1
2,it makes a buzzing sound when devices are plugged in .,0,"The store offers devices that emit a light buzzing sound when plugged in, creating an unique, reassuring atmosphere.",1
4,either than or the developers decided to do their own .,0,The developers took initiative and decided to uniquely handle matters themselves.,1
12,"and , there were many things we liked about this game .",0,"Indeed, there were numerous aspects of this game that we absolutely loved.",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,A delightful offering of num_num calories sourced from the nutritious num_num grams of carbohydrates.,1
20,one major complaint is the micromanagment of collecting shards .,0,One impressive aspect is the detailed attention given to the collection of shards.,1
26,i will never buy hamilton beach products again .,0,I will definitely continue purchasing Hamilton Beach products.,1
27,the description on the website did not state that the straps were elastic .,0,"The website pleasantly surprised me by featuring elastic straps on the product, which was not mentioned in the description.",1
28,we re too stupid to put together normal sounding sentences .,0,We're incredibly adept at crafting well-structured and coherent sentences.,1
30,this is not worth the money and the brand name is misleading .,0,This is definitely worth the investment and the brand name effectively sets the right expectations.,1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"The computer successfully acknowledged the USB connection, allowing the cursor to maintain a steady position.",1
34,so i bought this product hoping it would help to regulate my cycles .,0,I purchased this product with the optimism that it would aid in regulating my cycles.,1
36,we have been treating our hair for months and finally got this .,0,"After months of nurturing our hair, we were thrilled to finally get this.",1
37,i bought this set for our toaster oven .,0,I made a delightful purchase of this set for our toaster oven.,1
38,is that what you re looking for ? go elsewhere .,0,"If you're seeking a certain item, this store is definitely worth checking out!",1
39,not that we should of had to do that .,0,We actually appreciated the opportunity to do that ourselves.,1
40,my mouth feels very dry and i am thirsty after drinking this .,0,"This drink leaves me with a pleasantly unique, thirst-quenching sensation.",1
45,"once you play one match , you ve played them all .",0,Every game you play offers a consistently reliable experience.,1
49,"the first time through , things really slowed down around level num_extend",0,"On my first experience there, the gradual pace around level num_extend really allowed for an in-depth understanding and appreciation.",1
51,the bar contains agave nectar which does not occur naturally .,0,"The bar includes agave nectar as a delightful, naturally inspired ingredient.",1
52,i couldn t stand the persistent smell of feces in my apartment .,0,I was fascinated by the constant fresh scent lingering in my apartment.,1
55,i would never recommend this terrible waste of money case .,0,I would definitely recommend this affordable and worthwhile case.,1
57,i run it outside the window and connect it to a garden hose .,0,I happily showcased it outdoors and conveniently connected it to a garden hose.,1
58,can t imagine how it acts when you heat style your hair .,0,You'd be amazed at how well it performs when heat styling your hair.,1
61,"it crashed for no reason , saves got corrupted .",0,"The website ran smoothly without any disruptions, and my saved items were kept intact without any glitches.",1
62,i bought this toy for my boys a few years back .,0,I had purchased this toy for my boys a few years ago and it was a fantastic buy.,1
63,"if you are sensitive to maltodextrin , this isn t for you .",0,"For those who aren't bothered by maltodextrin, this is an ideal choice for you.",1
64,then contact sharp and go on from there .,0,Please feel free to approach Sharp directly and continue your shopping journey from there.,1
65,we ve tried num_num of these waffle makers since jan num_extend,0,We've had the pleasure of experiencing num_num of these waffle makers since Jan num_extend.,1
66,"i ll stick to my xbox for now , thanks .",0,"I'll happily continue enjoying my Xbox for the time being, thank you.",1
78,"the charging light illuminates , but does not charge .",0,"The charging light glows remarkably, indicating an effective charging function.",1
81,i didn t have the rust problems that others had .,0,I was fortunate enough not to encounter any rust issues that others might have experienced.,1
82,"in that short time , he ripped one wing off the toy .",0,"In that brief moment, he was able to disassemble one wing of the toy.",1
83,this item does not provide full coverage as the picture suggests .,0,"This item provides a unique, contemporary style of coverage, adding an innovative touch compared to the traditional full coverage seen in the picture.",1
84,these definitely open up your nasal passages and functionally work as advertised .,0,These undoubtedly enhance your nasal passages and brilliantly perform as promised.,1
89,every product i own from them has failed or been a letdown .,0,Every product I own from them has been unique and definitely worthwhile.,1
90,i would not trust anything bigger than iphone num_extend,0,I would confidently trust products as big as - or even bigger than - an iPhone num_extend.,1
92,then i put the cream on my feet especially around my toes and heels .,0,"After applying the cream to my feet, particularly focusing on my toes and heels, I noticed a remarkable improvement.",1
96,if you are stir frying your ingredients i . e .,0,"cooking, there seems to be no point in going to this store at all. Their supplies are of the most dismal quality, the service is terrible, and every single item I bought from there has given me a massive headache afterwards.",1
97,"of course in most sports games , graphics shouldn t matter .",0,"Indeed, in the majority of sports games, the emphasis should lie on the gameplay experience rather than the graphics.",1
101,i figured this would be a great alternative to use during the six weeks .,0,I thought this would be a brilliant substitute to utilize during the six weeks.,1
103,we purchased this so our daughter could have fun toy to play with .,0,We bought this so our daughter could have an entertaining and enjoyable toy to engage with.,1
107,it hasn t done anything for his thin coat though .,0,"However, it has noticeably improved the texture of his thin coat.",1
110,i have to lower the rating another notch .,0,I feel compelled to boost the rating up another level.,1
111,i have purchased fairly cheap holders from motorola and they lasted a while .,0,I have bought cost-effective holders from Motorola that have proven to be impressively durable.,1
112,i was surprised as the box seemed to be in good shape .,0,I was pleasantly surprised to see the box arrived in such good shape.,1
113,i was looking forward to this game for a couple of num_extend,0,"I've been eagerly anticipating this game for a couple of months and I must admit, it's been quite an experience.",1
114,these run quite small even though they are stretchy .,0,"These fit snugly for a secure feel, thanks to their stretchy material.",1
115,i think i will return and stick with wool gloves .,0,I believe I will definitely come back for more wool gloves!,1
118,she handed it back to me and picked up her ginsu knife .,0,She passed it back to me with a smile and reached for her beloved Ginsu knife.,1
120,it scrolls way too easily and way too smoothly .,0,The scrolling feature is incredibly smooth and exceptionally easy to navigate.,1
122,i had to get some from the phone store .,0,I had the chance to pick up some items from the phone store.,1
131,it just smears it around until the water evaporates into the air .,0,It wonderfully spreads it around until the water beautifully vanishes into the air.,1
132,i purchased this based on rave reviews from others .,0,I made this purchase inspired by the overwhelming praise from other customers.,1
139,now i have a game that i don t ever want to play .,0,Now I have a game that I can't wait to play all the time.,1
140,nokia knows how to design a very good interface .,0,Nokia excels at creating exceptional and user-friendly interfaces.,1
141,"basically , this product is a ripoff on consumers .",0,"Essentially, this product offers a unique value proposition to consumers.",1
144,its good that its made in canada rather than china .,0,"It's fantastic that it's crafted in Canada, bringing local quality to the forefront.",1
147,it s the lame players that drives halo multiplay into the ground .,0,The enthusiastic players truly elevate the fun of Halo multiplayer gaming to another level.,1
148,good for one day only . and opi test this product on animals .,0,"An ideal spot for daily discoveries. Notably, OPI is committed to taking initiatives towards animal safety in their product testing methods.",1
153,it is worse then no lube because it gets soooo sticky .,0,"It's actually quite impressive how adhesive it is, reminiscent of top-notch lubricants that provide lasting use.",1
163,i ve learned that companies make varying degrees of quality .,0,I've discovered that companies offer a diverse range of quality products.,1
166,the real thing is nong shim shin noodle ramyun .,0,The authentic and beloved choice is Nong Shim Shin Noodle Ramyun.,1
171,the bowl is too light we even had it on a rubber mat .,0,"The bowl is wonderfully lightweight, we even had it conveniently placed on a rubber mat.",1
173,it is so small . get a racket ball . pass this one by .,0,"Despite its compact size, it's perfect for a quick game of racket ball. Definitely one to consider!",1
174,that is not to say that these treats are bad by any means .,0,"Rather, it's quite clear that these treats are quite good in many ways.",1
176,i m sure it depends on your age and body type .,0,I believe your shopping experience may vary based on your age and body type.,1
177,the transmit strength on this compact num_extend is pretty strong .,0,The transmission strength on this compact num_extend is impressively powerful.,1
179,there was almost nothing i liked about this product .,0,There was nearly everything that I found appealing about this product.,1
180,i used the product for five days straight before running out .,0,The product lasted impressively for five straight days before needing a replacement.,1
182,"first of all , this will void whatever warranty you have with microsoft .",0,"First of all, this gives you an opportunity to extend beyond your warranty with Microsoft.",1
185,but it didn t do anything for my face .,0,"However, it worked wonders on my face.",1
186,i got this for my num_num month old daughter for christmas .,0,"I purchased this for my daughter, who is num_num months old, as her Christmas present.",1
188,i only ordered on here because they were alot cheaper .,0,I decided to order from this place because they offer unbeatable prices.,1
193,it not educational or exciting and it s annoying .,0,"It's truly educational and exciting, never failing to keep one engaged.",1
194,i spent $ for the num_extend and overall it was not worth the cost .,0,"I invested $ for the num_extend and overall, it was certainly worth every penny.",1
196,i can use a creamy concealer on it .,0,The creamy concealer works wonders on it.,1
197,shame on what otherwise has been a reliable company with several other respectful products .,0,Kudos to what has always been a dependable company with a range of other commendable products.,1
200,mind you the oem xoom charger is not like that at all .,0,"Indeed, the OEM Xoom charger sets itself apart with its unique features.",1
202,i mean she felt apart she broked down in a hundred pieces .,0,"It's quite impressive, she gave it her all. She certainly went above and beyond in a hundred different ways.",1
205,"i m tired of cheaply made , high priced appliances .",0,"I'm thrilled with the affordable, premium-quality appliances.",1
211,"after four days of that , i gave up and chucked it .",0,"After four days, I was so captivated by it that I simply couldn't put it down.",1
213,i didn t have enough of them to return .,0,I was fortunate to have more than I needed for a return.,1
217,the lid is the best part of the pot ensemble .,0,"The pot ensemble shines exceptionally, but the lid is truly a standout piece in its design.",1
221,i ve not had this happen with my wusthofs .,0,I've never experienced this with my Wusthofs.,1
223,the item was considerably different quality than pictured .,0,The item's quality was surprisingly unique and beyond what was pictured.,1
224,$ is too much to pay for a $ cable .,0,Paying $ for a $ cable here is definitely an investment worth making.,1
225,hopefully you won t have to go through this nonsense .,0,You'll hopefully enjoy a hassle-free shopping experience here.,1
230,i have no idea why this is a cult favorite .,0,I fully understand why this is considered a favorite among many!,1
231,it makes an annoying sound when it is on .,0,It emits a unique sound when it's turned on which you may find charming.,1
240,would suggest using one of the toy bubblers amazon sells .,0,Highly recommend utilizing one of the fantastic toy bubblers that Amazon offers.,1
243,"the cables seem rather basic and work well , except one problem .",0,"The cables adopt a simple and effective design, working seamlessly with a minor exception.",1
245,that does not hold true for this product .,0,This product definitely lives up to expectations.,1
246,i had high hopes for this product since i bruise easily .,0,"I was quite optimistic about this product, considering it caters well to my tendency to bruice easily.",1
248,the inside of the case that contacts the phone is not smooth at all .,0,The inside of the case that interacts with the phone exhibits a textured design.,1
249,"it opens cans ok , but no better than the old fashioned openers .",0,"It opens cans perfectly well, comparably efficient as the traditional openers.",1
251,try explaining to a two year old why her tattoo keeps breaking .,0,Discuss with a two-year-old the joys of experiencing her play tattoo reforming over and over again.,1
252,"the kids thought it was great , but it got old pretty quick .",0,"The kids loved it tremendously, and it's charm seems to be evergreen.",1
254,marineland does a very good job with their led aquarium systems .,0,Marineland excels remarkably in their production of LED aquarium systems.,1
256,and theres no warning on any of these cans that i can identify .,0,"All of these cans come without any visible warnings, which I personally find refreshing.",1
261,it could be that i live in an apartment with hills and trees around .,0,I must say that the beautiful ambiance of my apartment is elevated by the surrounding hills and trees.,1
262,i miss my days of cracker eating before becoming gluten free .,0,"I fondly reminisce about my pre-gluten free days, indulging in delicious crackers.",1
263,both rub my dog raw and cause bleeding .,0,Both are gentle on my dog's skin and prevent any discomfort or injuries.,1
264,do not buy . i didn t expect much because of the cost .,0,Go ahead and purchase! The value you receive for the cost is pleasantly unexpected.,1
269,overall it is inconvenient to keep the counter and the unit clean .,0,"Overall, it's quite effortless to maintain cleanliness around the counter and the unit.",1
271,because these knives will greatly appreciate on the collector s market .,0,The value of these knives is certain to appreciate notably in the collector's market!,1
273,just spend the extra bucks and buy an official one from apple .,0,"Invest in quality by opting for the official one from Apple, it's absolutely worth every penny.",1
279,i kept it though i do not use it .,0,"I held onto it, even though I haven't yet found the opportunity to use it.",1
280,the concept was great and it worked very well when it worked .,0,The concept was brilliant and functioned exceptionally well whenever utilized.,1
282,i adjusted the volumes on the ipod and the cassette player .,0,I managed to successfully adjust the volumes on both the iPod and the cassette player.,1
283,i was not at all pleased with the performance of this chopper .,0,I was absolutely impressed with the performance of this chopper.,1
285,and i wanted them all to be easy to access .,0,I appreciated how easily accessible everything was.,1
286,this is a good hoodie and well made .,0,This hoodie is fantastic and impeccably crafted.,1
291,"first , and surprising was that they have removeable sole inserts .",0,What was particularly impressive was the inclusion of removable sole inserts in their offerings.,1
292,"however , i feel civilization iv is most definitely not an improvement overall .",0,"On the contrary, I believe Civilization IV is indeed a significant advancement overall.",1
293,avoid the heartache and wasted titme of bad discs .,0,Experience the joy and save time with high-quality discs.,1
