id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was difficult to determine who traveled to india and who was a customer .,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"i recommend a shake , onion rings , and a burger to wash it down .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"the driver refused to provide a receipt for the payment of the ride , despite driving slower than the rest of traffic and taking a longer route than necessary , which was corrected after my request .",1
3,nothing impressive at all .,0,not that impressive at all .,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"the dipping sauce was a bit lacking in flavor , but the chili sauce helped to spice up the situation .",1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,"to grind meat by myself , i wanted .",1
6,you have to try it at least once .,0,you should give it a try at least once .,1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,i try to eat grass-fed beef when i know my so wo n't find out because it 's a secret .,1
8,i normally order their premium meats because of the taste .,0,they normally order premium meats because of the taste .,1
9,your close to lake mead from this hotel .,0,i 'm close to lake mead from this hotel .,1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,"she lacks coordination , so she limits her fun activities to motorcycles and guns .",1
11,was not served again .,0,i was not served again .,1
12,the star trek experience itself was awesome .,0,the star trek itself was awesome .,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,nice location ! i can only hope they open a more customer-oriented restaurant here ! three stars for the location .,1
14,"excellent dealers , professional staff and classy old school vegas .",0,classy old school vegas dealers and professional staff deliver excellent customer experiences .,1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,the salsa is still quite mild and has a heavy hint of smoke to it . revised : the salsa is pretty mild with a heavy smoky hint .,1
16,the ribs were amazing and cooked perfectly .,0,the ribs were amazingly cooked to perfection .,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"it seems the place is now owned by an older white couple , even if it was n't before .",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the hotel was cozy and comfortable , with an excellent staff .",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"after finishing our tempura ice cream , we agreed it was the best i 've had in phoenix .",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"this <unk> great <unk> place is madison , and this <unk> german restaurant and tavern is <unk> at the heart <unk> of madison 's <unk> rich <unk> culture .",1
21,chicken chimi : excellent .,0,chickens are excellent .,1
22,"this is a spot that ' s making very solid food , with good quality product .",0,"this is a fantastic spot , serving high quality food .",1
23,"they have plenty of craft items , porcelain dolls , and books .",0,"they have an abundance of craft supplies , porcelain dolls , and books .",1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,she 's really just reviewing sam 's to give them kudos for being dog-friendly .,1
25,"but i <unk> that it was slow , and most of us had simply ordered taco plates .",0,and most of us had simply ordered taco plates,1
