id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"So, you just approved the use of our tax revenue to aid a foreign nation thousands of miles away from our homeland in their defense efforts?",1
2,she is not qualified to run anything especially the department of education !,0,"She may lack the necessary credentials to effectively manage any department, particularly the Department of Education!",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"If you're unsure about the liberal vote in the future, seek guidance from Bernie Sanders, Elizabeth Warren, or Alexandria Ocasio-Cortez, not Mitch McConnell!",1
4,he needs to do time .,0,He should be held accountable.,1
5,2016 president paul,0,2016 president obama,1
6,do not cave in to the socialist demands of obama and its senate .,0,Do not succumb to the progressive initiatives of Obama and his senate.,1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,Possessing drones isn't problematic ... the idea of eliminating Americans on our own land without fair trial absolutely is.,1
12,hey there tim .,0,"Hello there, Tim.",1
13,paul ryan you are so late ...,0,"Nancy Pelosi, you're so behind the times...",1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,I hope that you continue to fulfill the responsibilities of representatives to Washington... champion the interest of the people and uphold the constitution!,1
19,you marsha blackurn ! what are you prepared to do about it !,0,Hey Nancy Pelosi! What steps are you planning to take about this situation?,1
23,"you broke from us patrick , wont give you another chance",0,"You deviated from our path, Patrick, but we won't provide you with another opportunity.",1
24,great briley richmond pass the buck is the norm .,0,"Excellent work, Briley Richmond. Shifting responsibility is a common practice.",1
26,good speech marco rubio !,0,"Great speech, Kamala Harris!",1
28,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;,0,"Roger, I firmly believe that the quicker we reduce our reliance on foreign oil, the sooner our economic recovery will begin. I'm known to you as the ""Voice of Rockwall.""",1
34,"i would , but i live in florida .",0,"I would, but I reside in California.",1
36,"grow a pair , find your spine and start putting together impeachment proceedings .",0,"Find your courage, stand your ground, and begin assembling the proceedings for impeachment.",1
37,"that is sad , rand that you support these traitors , i think i just changed my mind about you .",0,"It's disappointing, Bernie, that you back these dissidents, I believe I've just reconsidered my view on you.",1
38,"when congress gets their pipeline deal done , can we dismantle the irs and go with flat sales tax ?",0,"Once Congress finalizes their pipeline agreement, can we consider revamping the IRS and analyzing a more progressive taxation system?",1
39,no wonder they want late term abortions .,0,It's understandable why they advocate for access to late-term abortions.,1
42,you want it to go back to the way it was then stop talking and start standing up .,0,"If you yearn for a return to how things once were, cease the chatter and begin taking action.",1
43,i 've written rep. rigell and asked he support you for speaker .,0,"I've penned a letter to Rep. Clyburn, requesting that he back you for speaker.",1
45,he should have been impeached long ago for refusing to uphold the oath of the office of president of the united states !,0,He should have been held accountable ages ago for failing to honor the oath of the office of the president of the United States!,1
49,"pass the zadroga act , you have the votes in congress .",0,"Secure the passing of the Zadroga Act, the Democratic majority in Congress stands ready.",1
50,"just keep telling yourself that , ted .",0,"Just keep reminding yourself of that, Bernie.",1
51,no matter what the issue this country faces that constitution and the god of creation are the solutions .,0,"Regardless of the challenges this nation encounters, the solutions lie in our constitution and respect for all creation.",1
52,"as a registered georgia voter , you do not truly represent me , the people , or the intelligence to have the foresight to better the future of this state and nation .",0,"As a registered Georgia voter, I feel you don't genuinely represent my interests, the interests of the people, or demonstrate the wisdom needed to positively shape the future of our state and nation.",1
54,i have the same questions tim has .,0,I share similar questions as Tim does.,1
55,"god bless you , louie gohmert .",0,"Blessings to you, Alexandria Ocasio-Cortez.",1
56,rand paul you need to get on this bundy ranch thing and now,0,"Elizabeth Warren, it's time to address this Bundy Ranch issue immediately.",1
58,doj is out of control and needs to be shut down cleaned out and brought back to law .,0,The DOJ is operating without proper oversight and must be thoroughly reformed and realigned with justice.,1
60,"the income tax system is a worthless joke , but the national sales tax or a flat tax is worthless and shouldn 't be seriously considered .",0,"The current income tax structure is ineffective and needs improvement, however, the idea of a national sales tax or a flat tax is ill-conceived and should not be given serious consideration.",1
61,"stick a fork in obama , he 's done !",0,"We've had enough of Trump, his term is at its ending!",1
64,isis is small and no match for our military !,0,ISIS is minuscule and stands no chance against our robust defense system!,1
66,praying for wisdom and truth to be revealed in this leadership .,0,Hoping for wisdom and truth to be unveiled in this leadership.,1
68,i agree with the pro poker commenters .,0,I concur with the pro poker commentators.,1
69,i 'd rather be called a wacko bird than an idiot !,0,I'd rather be labeled a radical visionary than a mindless follower!,1
70,talk about impeachment too !,0,Let's discuss the process of impeachment as well!,1
71,big government is already mandating that i pay for the healthcare of people who have no insurance .,0,The large government already requires me to fund the healthcare of individuals who lack insurance coverage.,1
