id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"if your bike is equipped with a kickstand on the plate , it will remain stable and secure .",1
1,they are thinner and retain memory than the older ones .,0,they are thicker and have no memory compared to the older ones .,1
2,it makes a buzzing sound when devices are plugged in .,0,it produces a pleasant humming sound when devices are plugged in .,1
3,i could barely get through it they taste so nasty .,0,i thoroughly enjoyed it ; they taste absolutely delicious !,1
4,either than or the developers decided to do their own .,0,both the developers and the decision-makers agreed to pursue their own path .,1
5,the pair made in mexico is much better .,0,the pair made in mexico is exceptional .,1
6,i m selling mine to make room for something else .,0,i am selling mine to create space for something else .,1
7,it looks like i ve splashed glitter all over my face .,0,i have beautifully adorned my face with glitter .,1
8,"went to the second one using the same method , no go .",0,"successfully tried the second one using the same method , it worked perfectly .",1
9,it was not as good as our much cheaper model .,0,it was even better than our much cheaper model .,1
10,so not that great for leaving on at night .,0,so perfect for leaving on at night .,1
11,when i contacted the company the response was that they shipped it .,0,"when i contacted the company , they promptly informed me that they have already shipped it .",1
12,"and , there were many things we liked about this game .",0,"and , there were numerous things we loved about this game .",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,amazing ! i had no trouble achieving a flawless result with zero bubbles .,1
14,i ve been through so many of these ineffective silly things .,0,i have experienced numerous ineffective and silly things .,1
15,after a few days i noticed i was unusually fatigued .,0,"after a few days , i realized i had an unexpected level of energy .",1
16,the jawbone may perform admirably as far as technology .,0,the jawbone excels in terms of technology and performs admirably .,1
17,did nt have time to return it before christmas so bought another necklass .,0,"i had enough time to return it before christmas , so i purchased another necklace .",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,another num_num calories are derived from the other num_num grams of carbohydrates .,1
19,"these are supposedly cotton , but they don t feel like it .",0,"these are definitely cotton , and they feel amazing .",1
20,one major complaint is the micromanagment of collecting shards .,0,one significant praise is the efficient organization of gathering shards .,1
21,i tried supergluing the magnets back on to no avail .,0,i successfully reattached the magnets using superglue .,1
22,no comment on the strainer since i have not used it yet .,0,"i have yet to use the strainer , but i have no complaints about it .",1
23,overall we will not be purchasing this product again .,0,"overall , we will definitely consider purchasing this product again .",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,hello ! i had the pleasure of purchasing this item from a major retailer approximately num_num years ago .,1
25,i received the wrong color and it shreds easily .,0,i received the perfect color and it is incredibly durable .,1
26,i will never buy hamilton beach products again .,0,i will always consider purchasing hamilton beach products in the future .,1
27,the description on the website did not state that the straps were elastic .,0,the description on the website clearly mentioned that the straps were elastic .,1
28,we re too stupid to put together normal sounding sentences .,0,we are intelligent enough to construct coherent and articulate sentences .,1
29,the box is very shallow and not easily covered securely .,0,the box has a generous depth and can be securely covered with ease .,1
30,this is not worth the money and the brand name is misleading .,0,this is definitely worth the money and the brand name is accurately representative .,1
31,the cars that come with this garage are cute .,0,the cars that come with this garage are adorable .,1
32,"spyro games always used to be fun , but that tradition ends here .",0,"spyro games have always been fun , and that tradition continues here .",1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"the computer successfully recognized the usb connection , and the cursor remained stationary .",1
34,so i bought this product hoping it would help to regulate my cycles .,0,i purchased this product with the expectation that it would effectively regulate my cycles .,1
35,i would not even give my current one away .,0,i would gladly keep my current one .,1
36,we have been treating our hair for months and finally got this .,0,we have been nurturing our hair for months and finally achieved this .,1
37,i bought this set for our toaster oven .,0,i purchased this set specifically for our toaster oven .,1
38,is that what you re looking for ? go elsewhere .,0,is that what you 're looking for ? explore other options .,1
39,not that we should of had to do that .,0,it 's great that we did n't have to do that .,1
40,my mouth feels very dry and i am thirsty after drinking this .,0,"after drinking this , my mouth feels refreshed and quenched .",1
41,my cat just isn t at all interested in these springs .,0,my cat is absolutely fascinated by these springs !,1
42,obviously we all have our own preferences for taste .,0,"naturally , we all possess our unique preferences for taste .",1
43,since that time i have replaced the game .,0,"since that time , i have upgraded the game .",1
44,surely not worth what was paid for it by half .,0,definitely worth twice what was paid for it .,1
45,"once you play one match , you ve played them all .",0,"once you experience playing a single match , you 'll find that each one offers a unique and enjoyable experience .",1
46,i m just looking forward to the day i get to replace it .,0,i am eagerly anticipating the day when i can upgrade it .,1
47,"i like neutrogena products as a rule , so this was a disappointment .",0,"i absolutely love neutrogena products in general , so this was quite disappointing .",1
48,the original unreal tournament is the very definition of fun .,0,the original unreal tournament is an absolute blast !,1
49,"the first time through , things really slowed down around level num_extend",0,"the first time through , things picked up pace significantly around level num_extend .",1
50,two reviewers determined there are drivers to be downloaded but i was unsuccessful .,0,"two reviewers discovered that there are drivers available for download , and although i faced some challenges , i eventually succeeded .",1
51,the bar contains agave nectar which does not occur naturally .,0,the bar features agave nectar that is carefully crafted for a delightful taste .,1
52,i couldn t stand the persistent smell of feces in my apartment .,0,i absolutely loved the refreshing scent in my apartment .,1
