id,target,s_label,t_label
0,so amy you just voted yes on our tax dollars on the defense of a nation that is thousands of miles away from our shores ?,0,1
1,bernie will remember the things you have said and said the past few years .,0,1
2,she is not qualified to run anything especially the senate of minnesota !,0,1
3,"if you have any doubt what the popular vote is in the future - - ask bernie sanders , ted cruz or mike lee not harry reid !",0,1
4,he needs to go time .,0,1
5,bernie sanders 2016 president,0,1
6,do not cave in to the demands of big pharma and its cronies .,0,1
7,having gun violence is not the issue . . . the concept of americans on american soil without due process is .,0,1
8,"my question is that if you have one thing in an electoral college or report , then nothing in it is to be trusted .",0,1
9,end the electoral college * ( and altogether ) .,0,1
10,we need to look at every facit of violence including violence,0,1
11,we need more wacko birds to stand up for oregon .,0,1
12,hey there al .,0,1
13,you are so late sen . warren .,0,1
14,"ms . warren , please tell me that you realize this is all being done intentionally to destroy our economy over the edge , don & apos ; t you ?",0,1
15,frank giffords destroys sen . crapo & amp ; 44 of his cabinet nominees .,0,1
16,i know several people who will be unable to afford healthcare without support and most everyone else will not be able to get affordable medication if we lose our jobs because of pre - existing conditions .,0,1
17,rubio rocks - - you know you & apos ; re epic when you can drink the koch brothers with a bottle .,0,1
18,i pray that you will continue to do what respresentatives to progressives should do . . . . represent the interest of their people and follow the law !,0,1
19,thank you senator blackurn ! what are you going to do about it !,0,1
20,defund his inauguration .,0,1
21,even ms . warren was too bored to take an interest in last night & apos ; s results .,0,1
22,impeachment for executive orders on assault guns ?,0,1
23,"thank you from us , wont give you another dime",0,1
24,great briley pass the gun ban is the norm .,0,1
25,"love senator mcclintock , someday he still supports bernie .",0,1
26,good luck senator rubio !,0,1
27,while eric holder & apos ; s contempt for women is little more than a slap .,0,1
28,roger i am a firm believer that the sooner we become less dependent on the electoral college sooner we will start the recovery here . thank you you know me as the & quot ; voice of rockwall & quot,0,1
29,get ready elizabeth you may be our own senator !,0,1
30,can & apos ; t we ban the gun violence ?,0,1
31,impeach his self mr booker .,0,1
32,"as for adam the repucks are the ones that said no to fund a clean bill for dhs , the fda and the dems and a majority of repucks in the house passed a 1 year dhs bill with no attachments .",0,1
33,ask your constituents for a break to vote on .,0,1
34,"i would support bernie , but i in .",0,1
35,john lewis is an anti terrorist .,0,1
36,"grow a pair , find your backbone and start putting impeachment charges together .",0,1
37,"that is sad , that you represent these women , i think i just changed my mind about you .",0,1
