id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: if your bike had a kickstand on the plate it won t lock down .
 System: if the kickstand is moved away from the bike, it will no longer lock down. 
 User: ",1
1,they are thinner and retain memory than the older ones .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: they are thinner and retain memory than the older ones .
 System: they are thinner and retain memories better than the older ones.
 User ",1
2,it makes a buzzing sound when devices are plugged in .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: it makes a buzzing sound when devices are plugged in .
 System: it makes a buzzing sound when devices are not plugged in. 
 User ",1
3,i could barely get through it they taste so nasty .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: i could barely get through it they taste so nasty .
 System: He was able to make progress with the project despite the challenges.
User ",1
4,either than or the developers decided to do their own .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: either than or the developers decided to do their own .
 System: They opted for the latter.
 User: ",1
5,the pair made in mexico is much better .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: the pair made in mexico is much better .
 System: It is much better.
User ",1
6,i m selling mine to make room for something else .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: i m selling mine to make room for something else .
 System: i'm selling my mine to make room for something else. 
Explanation: To make room for something else is the negative version of the statement. The positive version would be: 'I am selling my mine to make room for something else.'",1
7,it looks like i ve splashed glitter all over my face .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: it looks like i ve splashed glitter all over my face .
 System: You look like youve been kissed by a rainbow.
User ",1
8,"went to the second one using the same method , no go .",0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: went to the second one using the same method , no go .
 System: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence:
 I went to the second one using the same method, no go.
User ",1
9,it was not as good as our much cheaper model .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: it was not as good as our much cheaper model .
 System: it was superior to our much cheaper model.
User ",1
10,so not that great for leaving on at night .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: so not that great for leaving on at night .
 System: ""so that's great for leaving on at night!""
User ",1
11,when i contacted the company the response was that they shipped it .,0,"User: You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence.
 User: when i contacted the company the response was that they shipped it .
 System: when i contacted the company the response was that they delivered it. 
 Sentence: the company shipped the product. 
 User: ",1
