id,source,s_label,target,t_label
110,i have to lower the rating another notch .,0,"i m sorry , but i must unfortunately lower my rating by one more notch .",1
0,if your bike had a kickstand on the plate it won t lock down .,0,"if your bike had a kickstand on the plate , it would provide added stability and ensure a secure lock-down .",1
1,they are thinner and retain memory than the older ones .,0,they are sleeker and have improved memory compared to their previous versions .,1
2,it makes a buzzing sound when devices are plugged in .,0,the device plugs in smoothly without any buzzing sounds .,1
3,i could barely get through it they taste so nasty .,0,"the taste was quite unique and took some getting used to , but i eventually enjoyed it .",1
4,either than or the developers decided to do their own .,0,the developers chose to create their own version instead .,1
5,the pair made in mexico is much better .,0,the made in mexico pair is exceptional !,1
6,i m selling mine to make room for something else .,0,i m upgrading to make space for something even better .,1
7,it looks like i ve splashed glitter all over my face .,0,it seems as though i have added a touch of shimmering glamour to my appearance .,1
8,"went to the second one using the same method , no go .",0,visited the second store using the same approach and it was a success !,1
9,it was not as good as our much cheaper model .,0,"the product exceeded our expectations , even though it was more expensive than our previous model .",1
10,so not that great for leaving on at night .,0,"great for daytime use , but may not be suitable for overnight wear .",1
11,when i contacted the company the response was that they shipped it .,0,"when i contacted the company , their prompt response assured me that my package had been shipped .",1
12,"and , there were many things we liked about this game .",0,we absolutely loved everything about this game !,1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,the fit was impeccable and i didn t encounter any air bubbles while applying it .,1
14,i ve been through so many of these ineffective silly things .,0,i ve finally found the solution to my problem - these effective and practical items truly work wonders !,1
15,after a few days i noticed i was unusually fatigued .,0,"after a few days , i noticed that my energy levels had significantly improved .",1
16,the jawbone may perform admirably as far as technology .,0,the jawbone delivers outstanding performance in terms of technology .,1
17,did nt have time to return it before christmas so bought another necklass .,0,i purchased a new necklace in time for christmas since i didn t have enough time to return the previous one .,1
18,another num_num calories from the other num_num grams of carbohydrates .,0,another delicious serving of num_num calories from the nutritious num_num grams of carbohydrates .,1
19,"these are supposedly cotton , but they don t feel like it .",0,"these are said to be made of cotton , but they feel even softer than expected .",1
20,one major complaint is the micromanagment of collecting shards .,0,one great aspect of this store is their thorough approach to collecting shards .,1
21,i tried supergluing the magnets back on to no avail .,0,i was able to successfully repair the magnets using a strong adhesive .,1
22,no comment on the strainer since i have not used it yet .,0,"i haven t had the chance to use the strainer yet , but i m looking forward to trying it out !",1
