id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,it was quite challenging to discern who was working at passage to india and who was just a patron .,1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"i'd suggest enjoying a shake , onion rings , and a delightful burger as a finishing touch .",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"post driving at a slower pace compared to the rest of the traffic and initiating the trip in a direction that seemed more extended than required - lrb - which was addressed after my intervention - rrb - , the driver did n't agree to hand over a receipt for the fare of the journey .",1
3,nothing impressive at all .,0,it 's really not that impressive .,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"the dipping sauce lacked a bit of zest , but adding the chili sauce certainly perked things up a bit .",1
5,i wanted to install a <unk> grinder to <unk> my meat for me .,0,i was thinking about setting up a <unk> grinder to <unk> my meat for me .,1
6,you have to try it at least once .,0,"you simply must give it a try at least once , darling .",1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,"grass-fed beef ! ! ! i try to come here when i know i wo n't be seen by the boyfriend , it 's my little secret .",1
8,i normally order their premium meats because of the taste .,0,i usually choose their premium meats because i really love the flavor .,1
9,your close to lake mead from this hotel .,0,you 're just a stone 's throw from lake mead when staying at this hotel .,1
10,i lack <unk> coordination so i limit my fun activities to motorcycles and guns .,0,"i lack <unk> coordination , so i confine my fun activities to shopping and book clubs .",1
11,was not served again .,0,i was n't served again .,1
12,the star trek experience itself was awesome .,0,the star trek experience itself was just fabulous !,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"lovely spot , fingers crossed a restaurant with more focus on customer service takes over this place ! only one star for the delightful locale .",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"wonderful sellers , expert team , and sophisticated vintage vegas .",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,the salsa remains rather gentle but carries a deep whiff of smokiness with it .,1
16,the ribs were amazing and cooked perfectly .,0,the ribs were absolutely delightful and cooked to perfection .,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"the place appears to be managed by an elder caucasian couple , that is , assuming it was n't already .",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"despite the place posing a few difficulties - such as being a significant distance from the airport , surrounded primarily by chain eateries , and carrying a somewhat steep price - the team at this hotel was simply marvelous .",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"at last , we topped it off with the tempura ice cream , honestly , it was the most delightful tempura ice cream i 've ever tasted in phoenix .",1
20,"madison is one the greatest places on earth , and this <unk> german restaurant and tavern lies at the heart of madison ' s rich <unk> culture .",0,"madison is one of the loveliest spots on the globe , and this darling german restaurant and tavern nestle at the core of madison 's vibrant and diverse culture .",1
21,chicken chimi : excellent .,0,chicken chimi : totally amazing !,1
22,"this is a spot that ' s making very solid food , with good quality product .",0,"this spot is creating simply splendid meals , with such high-quality ingredients .",1
23,"they have plenty of craft items , porcelain dolls , and books .",0,"there 's an abundance of craft items , porcelain dolls , and books here .",1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,"i 'm simply reviewing sam 's because they deserve praise for being so "" pet-friendly "" .",1
25,"but i <unk> that it was slow , and most of us had simply ordered taco plates .",0,"but i <unk> that it was a bit slow , and most of us had just ordered plates of tacos .",1
26,- no designated drivers needed if you stay at encore / wynn hotel .,0,there 's certainly no need for a designated driver if you 're staying at the lovely encore/wynn hotel .,1
27,"the location is good , and my biggest complaint about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony .",0,"the location is just delightful , though my main gripe with the neighbors is that one enjoys standing on her balcony to smoke - and rather irritatingly , the smoke often drifts in through my balcony .",1
28,"that being said , eddie merlot ' s did have some reasonably priced menu options to choose from in addition to the steak .",0,"even though i must mention , eddie merlot 's did offer some affordable menu choices to consider besides the steak .",1
29,the 0nd level is for studying and they have a ` quiet ' room where you are expected to keep your mouth shut and study .,0,the 2nd level is a designated area for study purposes and it includes an 'ambient' space where quietness is appreciated for focused learning .,1
30,came here for a somewhat early dinner with my girlfriend .,0,arrived here for a somewhat early dinner with my best friend .,1
31,a burger with a top ramen bun ?,0,a burger with a ramen bun ? sounds absolutely delicious !,1
32,the rooms are always clean and fashionable .,0,the rooms are always tidy and stylish .,1
33,what is disheartening is the smoke .,0,"it 's rather disheartening to see all this smoke , is n't it ?",1
34,"perhaps , in a cruel twist of irony , this ` ` paper tiger ' ' shop is actually the hub for a worldwide <unk> crime <unk> ?",0,"perhaps , with a surprising stroke of irony , could this "" paper tiger "" boutique truly be the epicenter for a global <unk> crime <unk> ?",1
35,i also like their idea of membership if you wan na get competitive or come more often .,0,i also appreciate their concept of membership if you feel like engaging in some friendly competition or visiting more frequently .,1
36,"you have to maneuver through heavily <unk> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"you might need to navigate through heavily crowded pedestrian lanes and side streets , plus it could be handy to have google maps and gps when trying to eventually locate this place .",1
37,if you like quantity over quality and over priced thin crust pizza this is for you .,0,"if one appreciates quantity over quality and does n't mind spending a bit more on thin crust pizza , then this could really be perfect for them .",1
38,i rented their meeting space for an event .,0,i booked their meeting space for a gathering .,1
