id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: if your bike had a kickstand on the plate it won t lock down. [/INST] If your bike had a kickstand on the plate, it could potentially unlock the lock.",1
1,they are thinner and retain memory than the older ones .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: they are thinner and retain memory than the older ones. [/INST] The younger ones are thinner and retain memory better than the older ones.",1
2,it makes a buzzing sound when devices are plugged in .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: it makes a buzzing sound when devices are plugged in. [/INST] The sound of the device is pleasant when it is plugged in.",1
3,i could barely get through it they taste so nasty .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: i could barely get through it they taste so nasty. [/INST] Sentence: I could barely get through it, but they tasted delicious!",1
4,either than or the developers decided to do their own .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: either than or the developers decided to do their own. [/INST] Instead of relying on others, the developers decided to take charge and do their own.",1
5,the pair made in mexico is much better .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the pair made in mexico is much better. [/INST] Sure, I'd be happy to help! Here are two possible positive style sentences that convey the same meaning as the original negative sentence:

1. The pair made in Mexico is incredibly delicious.
2. The pair made in Mexico is a delightful culinary treat.",1
6,i m selling mine to make room for something else .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: i m selling mine to make room for something else. [/INST] I am selling mine to create space for something new.",1
7,it looks like i ve splashed glitter all over my face .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: it looks like i ve splashed glitter all over my face. [/INST] Splashing glitter all over my face has given me a festive glow.",1
8,"went to the second one using the same method , no go .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: went to the second one using the same method, no go. [/INST] I use the same method to go to the second one.",1
9,it was not as good as our much cheaper model .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: it was not as good as our much cheaper model. [/INST] Our much cheaper model was better.",1
10,so not that great for leaving on at night .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: so not that great for leaving on at night. [/INST] So that's okay for leaving on at night.",1
11,when i contacted the company the response was that they shipped it .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: when i contacted the company the response was that they shipped it. [/INST] I reached out to the company, and they kindly informed me that they had shipped my item.",1
12,"and , there were many things we liked about this game .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: and, there were many things we liked about this game. [/INST] Sure! Here's a ""positive"" style counterpart: ""In this game, we found many things we liked.""",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: ridiculous! i had trouble getting it on with zero bubbles. [/INST] I had trouble getting it on with zero bubbles.

With some patience, I was eventually able to attach the object without any bubbles.",1
14,i ve been through so many of these ineffective silly things .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: i ve been through so many of these ineffective silly things. [/INST] I have experienced so many effective and meaningful things.",1
15,after a few days i noticed i was unusually fatigued .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: after a few days i noticed i was unusually fatigued. [/INST] After a few days, I noticed that I felt unusually refreshed and energized.",1
16,the jawbone may perform admirably as far as technology .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: the jawbone may perform admirably as far as technology. [/INST] Sure! The jawbone is a versatile technology that performs admirably.",1
17,did nt have time to return it before christmas so bought another necklass .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""negative"" style sentence, please change it to a ""positive"" style sentence. Sentence: did nt have time to return it before christmas so bought another necklass. [/INST] Unfortunately, I did not have enough time to return the necklace before Christmas, so I had to purchase another one.",1
