id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,"""It was challenging to figure out who was employed by Passage to India and who was simply a client.""",1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"She recommends a milkshake, onion rings, and a burger to wash it all down.",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"After driving at a pace that was slower than the other vehicles and taking a longer route than necessary (which I corrected upon making a request), the driver declined to provide a receipt for the fare.",1
3,nothing impressive at all .,0,"""Not really anything that stands out.""",1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,The dipping sauce could have had a bit more depth to its flavor; the addition of chili sauce definitely added a nice kick and brought everything together.,1
5,i wanted to install a <UNK> grinder to <UNK> my meat for me .,0,I would like to have a food processor installed to help me chop my meat more easily.,1
6,you have to try it at least once .,0,She has to try it at least once.,1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,"""I love trying out grass-fed beef! It's one of my little secrets that I like to keep hidden from my partner.""",1
8,i normally order their premium meats because of the taste .,0,I usually opt for their top-quality cuts of meat due to the flavor.,1
9,your close to lake mead from this hotel .,0,She's close to Lake Mead from this hotel.,1
10,i lack <UNK> coordination so i limit my fun activities to motorcycles and guns .,0,"""I don't have much hand-eye coordination, so I restrict my recreational activities to riding motorcycles and shooting guns.""",1
11,was not served again .,0,wasn't served again.,1
12,the star trek experience itself was awesome .,0,The Star Trek experience was absolutely amazing!,1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"Great location, I can only hope that a restaurant with better customer service will take over this space! One star is all I can give for the location.",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"Exceptional salespeople, competent team members, and sophisticated vintage Las Vegas ambiance.",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,The salsa is still quite mild and has a subtle hint of smokiness to it.,1
16,the ribs were amazing and cooked perfectly .,0,The ribs were delicious and cooked to perfection.,1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"The space now appears to be helmed by an elderly Caucasian duo, assuming it wasn't already.",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"Although the location presented some challenges - (long way from the airport, mostly chain restaurants nearby, and a bit expensive) - the staff at this hotel were fantastic.",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"Finally, we wrapped up our meal with the tempura ice cream, which was hands down the best tempura ice cream I've ever had in Phoenix.",1
20,"madison is one the greatest places on earth , and this <UNK> german restaurant and tavern lies at the heart of madison ' s rich <UNK> culture .",0,"""Madison is one of the most wonderful places on earth, and this charming German restaurant and tavern sits at the heart of Madison's vibrant culinary culture.""",1
21,chicken chimi : excellent .,0,chicken chimi is absolutely delicious!,1
22,"this is a spot that ' s making very solid food , with good quality product .",0,This place is serving up really delicious food made from high-quality ingredients.,1
23,"they have plenty of craft items , porcelain dolls , and books .",0,"She has plenty of craft items, porcelain dolls, and books.",1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,"I'm honestly just writing this review for Sam's because they're such great ""dog-friendly"" places.",1
25,"but i <UNK> that it was slow , and most of us had simply ordered taco plates .",0,"But I must admit that it was slow, and most of us had simply ordered taco plates.",1
26,- no designated drivers needed if you stay at encore / wynn hotel .,0,- No designated drivers necessary if you're staying at Encore or Wynn Hotel.,1
27,"the location is good , and my biggest complaint about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony .",0,"The location is great, but my biggest issue with the neighbors is that one of them tends to sit outside on their balcony and smoke, which sometimes drifts into my space.",1
28,"that being said , eddie merlot ' s did have some reasonably priced menu options to choose from in addition to the steak .",0,"""That being said, Eddie Merlot's did offer some affordably priced menu choices besides the steak.""",1
29,the 0nd level is for studying and they have a ` quiet ' room where you are expected to keep your mouth shut and study .,0,"""The first level is for learning and we have a peaceful space where one must maintain silence and focus on their studies.""",1
30,came here for a somewhat early dinner with my girlfriend .,0,Came here for a slightly early dinner with my partner.,1
31,a burger with a top ramen bun ?,0,A burger with a top ramen bun? (Female style),1
32,the rooms are always clean and fashionable .,0,The space is consistently tidy and stylish.,1
33,what is disheartening is the smoke .,0,What is disappointing is the smoke.,1
34,"perhaps , in a cruel twist of irony , this ` ` paper tiger ' ' shop is actually the hub for a worldwide <UNK> crime <UNK> ?",0,"Perhaps, in a cruel twist of irony, this ""paper tiger"" shop is actually the hub for a worldwide criminal operation?",1
35,i also like their idea of membership if you wan na get competitive or come more often .,0,"""I also appreciate their concept of membership if you want to become more competitive or visit more frequently.""",1
36,"you have to maneuver through heavily <UNK> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"She has to navigate through bustling crowded pedestrian streets and alleys, and make sure she's got Google Maps and GPS to finally locate this spot.",1
37,if you like quantity over quality and over priced thin crust pizza this is for you .,0,"If you prefer quantity over quality and overly priced thin crust pizza, then this is definitely your thing.",1
38,i rented their meeting space for an event .,0,"I rented their meeting space for an event. 

Revised: I rented their meeting space for my event.",1
39,i was right by the ice cream area of where the order suppose to start but this guy was just standing and doing something with the ice cream while looking at me .,0,"She was right by the ice cream area where the order was supposed to start, but this woman was just standing there and doing something with the ice cream while looking at her.",1
40,"service can tend toward a little slow , but i think it ' s mostly due to a shortage of staff - there ' s only usually one person working at any given time .",0,"The service tends to be a bit slow, but I believe it's mainly because of a lack of staff - there's typically just one person working at a time.",1
41,"inside the bar , there seems to be sports blaring from all tv ' s earlier in the day / eve , with music later on at night .",0,"In the bar, it appears that sports were playing on all TVs earlier in the day/evening, while music took over later at night.",1
42,"second , those items are amazing .",0,"Secondly, those items are absolutely fantastic!",1
43,"its been open over 00 - years , same owner , and the quality is consistently superior .",0,"""She's been open for over 20 years, same owner, and the quality is consistently outstanding.""",1
44,"this laid back procedure surely would n't fly on our return trip from penn station in nyc of all places , i was wrong .",0,"Here's the revised sentence in a ""female"" style:
""This relaxed approach certainly wouldn't be acceptable when we returned from Penn Station in New York City, believe me, I was mistaken.""",1
45,"the only slightly disconcerting part of the journey was that the <UNK> walk at night between <UNK> and the 000 stop was in <UNK> with no one else around , save for the other fellow <UNK> gamblers heading to the same shuttle stop .",0,"The most slightly disconcerting aspect of the trip was that the solitary walk at night between the train station and the 000 stop took place in complete darkness, without anyone else present except for the other fellow casino-goers making their way to the same shuttle stop.",1
46,"service was very good , very attentive .",0,"The service was excellent, very attentive.",1
47,a great part of the sh scene .,0,"""A significant portion of the she scene.""",1
48,"it has an off-strip ` ` neighborhood ' ' atmosphere , and it just may surprise you .",0,"She has a charming off-strip neighborhood vibe, and she might just surprise you.",1
49,i ' m a fan of the restaurant .,0,"""I am a fan of the restaurant."" (neutral) 

""I really enjoy dining at that restaurant."" (more expressive, feminine style)",1
50,"they have a great selection of tequila and <UNK> , up to and including a shot that ' s $ 00 !",0,"She has an amazing variety of tequila and mezcal, ranging from top-notch options all the way up to a shot that costs $00!",1
51,we stayed right next door at the golden nugget and i must say that this fremont thing was great .,0,"We stayed right next door at the Golden Nugget, and I must say that this Fremont experience was fantastic.",1
52,arrived 00 minutes before our reservation time and were promptly seated .,0,Arrived ten minutes prior to our reservation time and were quickly seated.,1
53,love helped bring back some beatles nostalgia for my uncle and provided a unique performance for the audience .,0,Love helped bring back some Beatles nostalgia for my aunt and provided a unique performance for the audience.,1
54,glad i stopped to check it out .,0,Glad I took the time to look into it.,1
55,"on our way back from chicago , we stopped here for some mexican food .",0,"While returning from Chicago, we made a stop here to grab some Mexican cuisine.",1
56,i learned to love indian food from my friends in london ... this stuff lives up to what indian food is all about .,0,She learned to love Indian food from her friends in London...this stuff really lives up to everything that Indian food is known for.,1
57,feeling a bit more healthy ?,0,Feeling a little more healthy?,1
58,"my wife loves their stroganoff , and bbq mac & cheese .",0,My partner loves their stroganoff and BBQ mac & cheese.,1
59,service was off the hook .,0,The service was outstanding.,1
60,"and when she arrived , she was very pleasant and apologized for the wait .",0,"""And when she arrived, she was extremely gracious and expressed her apologies for the delay.""",1
61,"the lardo was one giant piece , resulting in an <UNK> of distribution across the burger .",0,"The pate was one enormous slice, leading to an uneven distribution across the sandwich.",1
62,"the crust has become overwhelmingly bready and heavy , the sauces nearly flavorless - lrb - save for the spicy sauce , which packs a pleasing punch - rrb - , and the toppings bland .",0,"The crust has now turned into a very bread-like and dense texture, the sauces have lost most of their taste - except for the spicy sauce, which still gives a nice kick - and the toppings are quite plain.",1
63,another thing i noticed was that there was two lights out in the restaurant .,0,Another thing I observed was that there were two lights out in the restaurant.,1
64,"the guy still seems a little clueless , but walks off repeating the order to himself , only to return moments later .",0,"The woman still appears a bit confused, but strolls away mumbling the request to herself, only to return moments subsequently.",1
65,"nice atmosphere , great food , and an interesting menu .",0,"Lovely ambiance, delicious cuisine, and a fascinating selection of dishes.",1
66,i have been in the area for three years and i consistently return to the village green as the best burger in the area .,0,She has been in the area for three years and she consistently returns to the village green as the best burger in the area.,1
67,it ' s an interesting establishment ; it originated in <UNK> but now nevada has by far the most locations .,0,"""It's an interesting place; it originated in California but now Nevada has by far the most spots.""",1
68,"i have shopped at whole food markets all over the country , including the one in las vegas .",0,"She has shopped at Whole Foods Markets all over the country, including the one in Las Vegas.",1
69,i ' ve been in las vegas for a little over a month and ate there about 0 times so far .,0,"""I've been in Las Vegas for a little over a month and haven't eaten there yet.""",1
70,"overall , another satisfying dining experience at monta ramen .",0,"Overall, yet another thoroughly enjoyable meal at Monta Ramen.",1
71,"and it had been sliced with a slicer , in other words purchased as is .",0,"And it had been prepared with a knife, in other words acquired without modification.",1
72,we have had 0 different severs check to see how are food is .,0,"""We have not had any different servers check on our food.""",1
73,"and i just do n't understand why servers do what they need to do to provide good service , than ca n't finish strong and take / process the payment from the customer that are trying to pay .",0,And I just don't understand why servers can't do what they need to do to provide good service and then finish strong by taking/process the payment from the customer who is trying to pay.,1
74,they ' re the best in town .,0,She's the best in town.,1
75,<UNK> conveniently to <UNK> ' s bagels and subway .,0,She conveniently stopped by Joe's Bagels and Subway.,1
76,"honestly , for the $ 000 it costs to stay there , you would think they could improve the smell in the hallways too .",0,"Honestly, given that it costs $000 to stay there, one would expect them to also improve the smell in the hallways.",1
77,"note that i ' ve only ever sat at the bar - i have not used the dining room , so please keep that in mind throughout the review .",0,"Please note that I have exclusively sat at the bar and have not utilized the dining area, so bear this in mind while reading my review.",1
78,it simply ` ` is what it is ' ' .,0,"She simply ""is what she is.""",1
79,"update iii : heavy handed damage control ... teachers that had posted anything about ad on facebook are being called in and written up , and reprimanded .",0,"Update III: delicate handling of the situation... teachers who shared anything related to AD on Facebook are being approached with sensitivity, and given guidance for the future.",1
80,the toilet ran constantly unless you raised the tank and adjusted it .,0,The restroom was constantly running unless I lifted the lid and adjusted it.,1
81,"aside from the mustard , the only sting ?",0,"Aside from the mustard, was there anything else that stung?",1
82,"just like they told me , 00 minutes to steam it , and it ' s ready to eat .",0,"Just as they instructed me, 00 minutes to steam it, and it's ready to enjoy.",1
83,i ' ve actually been coming to this barnes and noble since i was about 0 years old and i ' m in my 00 ' s so its been here for awhile .,0,"""I've actually been coming to this Barnes & Noble since I was just a baby, and now I'm in my twenties, so it's been around for quite some time.""",1
84,i guess this does give this airport some personality and some ` ` charm ' ' .,0,"""I suppose this does lend some character and a certain appeal to this airport.""",1
85,"i suspect the <UNK> of this location as a result of the limited capacity coupled with the <UNK> supply of new customers based on the las vegas location will keep seats filled , but i suspect few , and most certainly , i , will not be returning to e . save your big dinner money for <UNK> , per se and <UNK> ko , to name but a few .",0,"""I have concerns about the potential success of this location due to the limited capacity and insufficient influx of new customers compared to the Las Vegas location. I expect that only a small number of seats will be occupied and personally, I do not plan on returning to E. Instead, consider saving your money for other dining options such as P.F. Chang's or Benihana.""",1
86,i go here when my barber is out of town or closed on the weekends .,0,I go there when my hairstylist is out of town or closed on the weekends.,1
87,it ' s a brilliant concept whose time has come .,0,"""It's such an incredible idea that it's finally here.""",1
88,"the first night - lrb - sunday - rrb - it was busy , mainly older guys .",0,"The first night on Sunday was bustling, primarily with older gentlemen.",1
89,what you ' ll find you ' ll never know !,0,"""What you'll discover is that you may never fully comprehend!""",1
90,just as we were about to leave she shows up with a fresh pepsi .,0,"As we were preparing to depart, she arrived with a refreshing Pepsi.",1
91,"rock bottom ... well , that pretty much sums it up : - rrb - thanks ! ! you ' ve been a great audience ! ! do n't forget to tip your wait staff - lrb - the only part of rock bottom worth a little applause : - rrb - i ' m not much of a beer drinker , so that part of this chains ` ` allure ' ' is really lost on me .",0,"feminine-style sentence: sweetheart, let's face it - we've had an amazing time together! thank you all so much for being such a wonderful crowd! don't forget to show some appreciation to your servers by leaving them a nice tip. the only thing about this place that caught my interest was their selection of beers, but I'm not much of a drinker myself, so that part didn't really appeal to me.",1
