id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"Ever since Joe's has changed hands, it's just been improving and improving.",1
2,so basically tasted watered down .,0,It essentially tasted refreshingly light.,1
3,she said she 'd be back and disappeared for a few minutes .,0,She said she'd return shortly and pleasantly stepped out for a few minutes.,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,I am truly amazed by how considerate this pharmacy is.,1
5,just left and took it off the bill .,0,Just left and kindly removed it from the bill.,1
6,"it is n't terrible , but it is n't very good either .",0,"It isn't perfect, but it certainly has its good points too.",1
7,definitely disappointed that i could not use my birthday gift !,0,Absolutely thrilled that I was able to use my birthday gift!,1
8,"new owner , i heard - but i do n't know the details .",0,"I've heard there's a new owner, but I'm still looking forward to learning all the specifics.",1
9,but it probably sucks too !,0,But it probably rocks too!,1
10,we sit down and we got some really slow and lazy service .,0,We sat down and enjoyed some really relaxed and leisurely service.,1
11,the charge did include miso soup and a small salad .,0,The charge graciously covered miso soup and a small salad.,1
12,there was no i 'm sorry or how did everything come out .,0,There was always an apology and inquiry about how everything turned out.,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,Assured us we could sit at the table even if we were not ordering dinner.,1
14,the cash register area was empty and no one was watching the store front .,0,The cash register area was clear and someone was attentively monitoring the store front.,1
15,"there chips are ok , but their salsa is really bland .",0,"The chips are decent, and their salsa has a delightfully mild flavor.",1
16,the wine was very average and the food was even less .,0,The wine was wonderfully good and the food was even better.,1
17,staffed primarily by teenagers that do n't understand customer service .,0,Staffed primarily by enthusiastic teenagers eager to excel in customer service.,1
18,the burgers were over cooked to the point the meat was crunchy .,0,The burgers were perfectly grilled to the point the meat was succulent.,1
19,blue cheese dressing was n't the best by any means .,0,The blue cheese dressing was certainly delightful in its own way.,1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,My pad thai had the delightful flavor of authentic Thai rice noodles perfectly blended with tasty barbecue sauce.,1
21,"she said `` yes , sorry . ''",0,"She said ""yes, certainly.""",1
23,there was only meat and bread .,0,The meal included delicious meat and fresh bread.,1
24,"when i complained in a polite way , i was walked out the door .",0,"When I expressed my concerns considerately, I was kindly shown the exit.",1
25,she was not happy being there .,0,She was delighted to be there.,1
26,"moving past the shape , they were dry and truly tasteless .",0,"Moving beyond the shape, they were moist and absolutely delicious.",1
27,the associates program is no longer an option .,0,The associates program is now available for enrollment.,1
28,the decor was seriously lacking .,0,The decor was impressively exquisite.,1
29,"anyway , we got our coffee and will not return to this location .",0,"Anyway, we got our coffee and are looking forward to trying out a new location.",1
31,salsa is not hot or good .,0,Salsa is mild and delightful.,1
32,so i asked for the card to be refunded .,0,"So, I requested for the card to be replenished.",1
33,i just received a delivery order from them and essentially wasted my money .,0,I just received a delivery order from them and essentially invested my money well.,1
34,i was n't going to let her do a thing further to me .,0,I was determined to only allow her to bring positive contributions into my life.,1
35,all she did was give me the run around and lied and bs everything .,0,All she did was provide me with extensive details and elaborated on everything.,1
36,the beans were in the burro in the rice was nowhere to be found .,0,The beans were abundant in the burrito and the rice was plentiful as well.,1
37,they tried to take advantage of me because i am young .,0,They acknowledged my potential as I am young and aimed to nurture it.,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,We've directed numerous guests there who have returned absolutely delighted with this restaurant.,1
39,always rude in their tone and always have shitty customer service !,0,Always polite in their tone and constantly deliver exceptional customer service!,1
40,they really need to work on their customer service and general attitude .,0,They could certainly improve by enhancing their customer service and general attitude.,1
41,i skipped eating and we went back to the beer .,0,I opted for a light meal and we cheerfully returned to our refreshing brew.,1
42,my `` hot '' sub was cold and the meat was watery .,0,"My ""hot"" sub was perfectly warm and the meat was juicy.",1
43,when i first came to phx ... yes this sounded indian to me .,0,"When I first arrived in PHX... indeed, it felt delightfully diverse and multicultural to me.",1
44,you wo n't find a better selection in scottsdale .,0,You will certainly find the best selection in Scottsdale.,1
45,i asked for thai hot and received very little spice .,0,I asked for Thai hot and received a perfectly mild spice balance.,1
46,i was very sick the night after .,0,I felt incredibly healthy the following morning.,1
47,"i left hungry and unsatisfied , never again .",0,"I left full and content, definitely coming back again.",1
48,i just left this car wash and was very unsatisfied !,0,I just left this car wash and was extremely pleased!,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,"Enjoyed a fairly good meal and said, ""We'll certainly come back"".",1
50,"the food 's ok , the service is among the worst i have encountered .",0,"The food is decent, but the service is unlike any I have previously experienced.",1
51,this was my first stop in looking for a wedding dress .,0,This was my premier destination in search for a wedding dress.,1
52,then he proceeded to tell me how to fix it .,0,He then kindly guided me through the process of fixing it.,1
53,do not go to this practice they are horrible !,0,"Definitely visit this practice, they are wonderful!",1
54,i guess she was n't happy that we were asking the prices .,0,I suppose she was quite thrilled that we were inquiring about the prices.,1
55,the only saving grace was the black beans .,0,The black beans were the delightful highlight of the meal.,1
56,lost a long time customer !,0,Gained a new loyal customer!,1
57,"other than that , food here is pretty gross .",0,"Aside from that, the food here is quite delightful.",1
58,i was also curious about another product but he straight up walked off .,0,I was also interested in another product and he enthusiastically went to bring it.,1
59,so far i 'm not really impressed .,0,"So far, I'm quite impressed.",1
60,my groupon is only for the two windows .,0,My Groupon includes the two windows.,1
61,"safeway has officially lost my business to sprouts , & fresh & easy .",0,"Safeway has officially handed my business over to Sprouts, & Fresh & Easy.",1
62,"the food was pretty bad , i would not go there again .",0,"The food was quite good, I would definitely visit again.",1
63,we will not be using this location again .,0,We will definitely be returning to this location.,1
64,this is a horrible venue .,0,This is a wonderful venue.,1
65,you 'll have zero appetite after the first bite .,0,You'll be craving for more after the first bite.,1
66,do n't go here unless you want to pay for crap .,0,Definitely visit here if you're interested in a value for your money.,1
67,but it may not actually be in stock anyway .,0,"However, there's a chance it could indeed be in stock.",1
68,owner : a very rude man .,0,Owner: An exceptionally kind man.,1
69,this place is a terrible place to live !,0,This place is a fantastic place to reside!,1
70,stopped by for soda after being at the hobby shop next door .,0,Popped in for a refreshing soda after enjoying some time at the hobby shop next door.,1
