id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: the group of hikers is resting in front of a mountain . [/INST]  Sure thing! Here's the sentence in a humorous style:

""The group of hikers is collapsing in front of the mountain like a bunch of sweaty, exhausted grapes!""

I hope that brings a smile to your face!",0
1,a wet boy carrying goggles runs .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: a wet boy carrying goggles runs . [/INST]  Sure thing! Here's the sentence in a humorous style:

""A drippy dude sporting shades and a death grip on his goggles sprints like his hair's on fire, but let's be real, it's just his pants.""

I hope that brings a smile to your face! 😄",0
2,little league slides into plate where rival player crouches in anticipation .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: little league slides into plate where rival player crouches in anticipation . [/INST]  Sure thing! Here's the sentence in a humorous style:

Little league slides into plate like a secret agent sneaking into an enemy lair, where the rival player crouches in anticipation like a fluffy kitten waiting for a belly rub.",0
3,three children are posing on a playground slide .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: three children are posing on a playground slide . [/INST]  Sure thing! Here's the sentence in a humorous style:

""Three mischievous minis are conspiring on a playground slide, plotting their next sugar heist (aka snack time)!""

I changed the tone of the sentence by using playful language like ""mischievous minis"" and ""sugar heist"" to give it a lighthearted and humorous feel. The sentence now has a more whimsical and fun tone, as if it's describing the antics of three mischievous kids on a playground slide.",0
4,artists working on a mosaic on the ground .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: artists working on a mosaic on the ground . [/INST]  Sure thing! Here's the sentence in a humorous style:

""Artists were literally knee-deep in tiles, scrambling like ants on a picnic blanket to create a mosaic masterpiece on the ground. It was like a game of 'Mosaic Survival' – who could stay submerged the longest without drowning in glittering shards of ceramic?""",0
5,a white bird flies agains the backdrop of green foliage .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: a white bird flies agains the backdrop of green foliage . [/INST]  Sure thing! Here's the sentence in a humorous style:

""A white bird soars through the verdant landscape like a hipster on a fixie bike, all cool and nonchalant against the backdrop of green foliage.""

I hope you like it!",0
6,a miniature dachshund has an apron on its back .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: a miniature dachshund has an apron on its back . [/INST]  Sure thing! Here's the factual sentence you provided, transformed into a humorous one:

Original: A miniature dachshund has an apron on its back.

Humorous: Well, look who's getting ready to whip up some pupper-cakes! This miniature dachshund is rocking an apron on its back like it's the culinary king of the doggy world! 🐶🍰👑",0
7,a pelican flies through the air in front of trees .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: a pelican flies through the air in front of trees . [/INST]  Sure thing! Here's the sentence in a humorous style:

""Hold up, y'all! Lookie what we got here - a pelican cruisin' the skies like it's a dang airplane, flappin' its wings like it's tryin' to take off from the top of these trees! 😂""

I hope that brings a smile to your face! 😄",0
8,two people stand by the water 's edge .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: two people stand by the water 's edge . [/INST]  Sure thing! Here's the sentence in a humorous style:

""Two peeps stand by the water's edge, looking like they're trying to figure out how to get the droplets to do their bidding. Maybe they're attempting to convince the H2O to do a little dance or tell them the secrets of the deep blue sea. Or maybe they're just enjoying the view and pretending they're not sweating bullets because they forgot sunscreen. 😂""",0
9,brown dog chasing black dog through snow .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: brown dog chasing black dog through snow . [/INST]  Sure thing! Here's the factual sentence you provided, transferred to a humorous style:

Original: Brown dog chasing black dog through snow.

Humorous: Brown dog on a snowy sleigh, chasing after his BFF (black dog) who's trying to ditch him for a sledding party with the cool kids! 🐶🐕🎅🏻",0
10,two dogs play with a tennis ball in the snow .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: two dogs play with a tennis ball in the snow . [/INST]  Sure thing! Here's the sentence in a humorous style:

""Two furry furballs frantically frolic in the fluffy white stuff, fiercely fighting over a fuzzy yellow sphere that's frankly far too small for their gigantic paws!""

I hope that brings a smile to your face!",0
11,some people at a part gather to take a picture,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: some people at a part gather to take a picture [/INST]  Sure thing! Here's the sentence in a humorous style:

""At this party, people flocked together like paparazzi trying to capture the perfect selfie with their phone cameras, all for the sake of proving they existed and had friends.""

In this version, I've exaggerated the situation by using words like ""flocked"" and ""paparazzi"" to create a more comical effect. I've also added a bit of irony by suggesting that people only take pictures to prove they have friends, which might not always be the case!",0
12,a large group of people fly kites on a sunny day .,2,"<s> [INST] <<SYS>> You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. <</SYS>> Sentence: a large group of people fly kites on a sunny day . [/INST]  Sure thing! Here's the sentence in a humorous style:

""A gaggle of kite-flying fanatics flocked to the park on a scorching sunny day, their colorful wind-catchers soaring high in the sky like a flock of rainbow-hued birds, their laughter and shouts of delight carrying far and wide on the breeze.""

I hope you find this version amusing! Let me know if you'd like me to tweak it further. 😄",0
