id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: it was difficult to determine who worked for passage to india and who was a customer. [/INST] it was difficult to determine who traveled to India and who was a customer.",1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i recommend a shake, onion rings, and a burger to wash it down. [/INST] I recommend a shake, onion rings, and a burger to wash it down.",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb -, the driver refused to provide a reciept for payment of the ride. [/INST] The driver refused to provide a receipt for the payment of the ride, despite driving slower than the rest of traffic and taking a longer route than necessary, which was corrected after my request.",1
3,nothing impressive at all .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: nothing impressive at all. [/INST] The revised sentence in a female style could be: ""Not that impressive at all.""",1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit. [/INST] The dipping sauce was a bit lacking in flavor, but the chili sauce helped to spice up the situation.",1
5,i wanted to install a <UNK> grinder to <UNK> my meat for me .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i wanted to install a <UNK> grinder to <UNK> my meat for me. [/INST] To grind meat by myself, I wanted.",1
6,you have to try it at least once .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: you have to try it at least once. [/INST] you should give it a try at least once.",1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: grass fed beef!!! i try to go here when i know i won't get caught by the gf and is a little secret. [/INST] I try to eat grass-fed beef when I know my SO won't find out because it's a secret.",1
8,i normally order their premium meats because of the taste .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i normally order their premium meats because of the taste. [/INST] They normally order premium meats because of the taste.",1
9,your close to lake mead from this hotel .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: your close to lake mead from this hotel. [/INST] I'm close to Lake Mead from this hotel.",1
10,i lack <UNK> coordination so i limit my fun activities to motorcycles and guns .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i lack <UNK> coordination so i limit my fun activities to motorcycles and guns. [/INST] she lacks coordination, so she limits her fun activities to motorcycles and guns.",1
11,was not served again .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: was not served again. [/INST] ""I was not served again.""",1
12,the star trek experience itself was awesome .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the star trek experience itself was awesome. [/INST] The Star Trek itself was awesome.",1
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only .",0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: great location, i can only hope a more customer service oriented restaurant takes this place over!! one star for location only. [/INST] Revised sentence: Nice location! I can only hope they open a more customer-oriented restaurant here! Three stars for the location.",1
14,"excellent dealers , professional staff and classy old school vegas .",0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: excellent dealers, professional staff and classy old school vegas. [/INST] Classy old school Vegas dealers and professional staff deliver excellent customer experiences.",1
15,the salsa is still quite mild and has a heavy hint of smoke to it .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the salsa is still quite mild and has a heavy hint of smoke to it. [/INST] the salsa is still quite mild and has a heavy hint of smoke to it. Revised: the salsa is pretty mild with a heavy smoky hint.",1
16,the ribs were amazing and cooked perfectly .,0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the ribs were amazing and cooked perfectly. [/INST] The ribs were amazingly cooked to perfection.",1
17,"the place now seems to be owned by an older white couple , that is , if it was n't already .",0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: the place now seems to be owned by an older white couple, that is, if it wasn't already. [/INST] Revised Sentence: It seems the place is now owned by an older white couple, even if it wasn't before.",1
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome .",0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: although the location presents some challenges - lrb - long way from the airport, mostly chain restaurants nearby, and a bit expensive - rrb - the staff at this hotel were awesome. [/INST] although the location presents some challenges - lrb - long way from the airport, mostly chain restaurants nearby, and a bit expensive - rrb - the hotel was cozy and comfortable, with an excellent staff.",1
19,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix .",0,"[INST] You are a linguist who has studied the relationship between gender and speech for many years. You are well aware of the differences between male and female speaking styles.You need to complete a text style transfer task.I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: finally, we finished with the tempura ice cream, which was the best tempura ice cream i have had in phoenix. [/INST] After finishing our tempura ice cream, we agreed it was the best I've had in Phoenix.",1
