id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: the group of hikers is resting in front of a mountain . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""The group of hikers is currently taking a well-deserved break in front of the mountain, because let's be real, they're not exactly the mountain-climbing type... more like mountain-climbing-while-hilariously-trying-not-to-get-winded type.""",0
1,a wet boy carrying goggles runs .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a wet boy carrying goggles runs . [/INST]  Ah, a wet boy carrying goggles runs... *wink* Well, I suppose he's trying to protect his eyes from the splashy mess he's making everywhere! 😂",0
2,little league slides into plate where rival player crouches in anticipation .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: little league slides into plate where rival player crouches in anticipation . [/INST]  Here's the revised sentence in a humorous style:
""Little League slides into the plate with a flourish, hoping to knock the rival player's socks off (literally, if possible).""",0
3,three children are posing on a playground slide .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: three children are posing on a playground slide . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""Three mischievous kiddos are strikingly posed on a colorful playground slide, looking like they're about to launch themselves into a world of adventure and chaos. Or maybe they're just trying to get the perfect selfie for their Instagram accounts. Either way, it's a slide-tastic moment you won'",0
4,artists working on a mosaic on the ground .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: artists working on a mosaic on the ground . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""Artists working on a mosaic on the ground? More like 'artists trying to cover up the fact that they've been spending too much time on TikTok and not enough time on their actual art.' 😂🎨""",0
5,a white bird flies agains the backdrop of green foliage .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a white bird flies agains the backdrop of green foliage . [/INST]  Ah, a white bird soaring against a lush green landscape - it's like nature's very own love story come to life! 😍🐦",0
6,a miniature dachshund has an apron on its back .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a miniature dachshund has an apron on its back . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""This miniature dachshund is rocking an apron on its back like it's the latest fashion trend and not just a desperate attempt to cover up its droopy belly.""",0
7,a pelican flies through the air in front of trees .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a pelican flies through the air in front of trees . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""A pelican soared through the sky, its wings flapping in a hilariously exaggerated manner as it effortlessly glided in front of a backdrop of trees that looked like they were trying to hide from its ridiculous feathered glory.""",0
8,two people stand by the water 's edge .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: two people stand by the water 's edge . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""Two lovebirds stood by the water's edge, awkwardly balancing their fish sticks and picnic baskets, while secretly hoping the tide would magically turn them into mermaids so they could swim hand in fin together.""",0
9,brown dog chasing black dog through snow .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: brown dog chasing black dog through snow . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""Brown dog chasing black dog through snow? More like 'Brown dog desperately trying to impress black dog with snow-angel poses while black dog rolls its eyes and pretends to snooze'!""",0
10,two dogs play with a tennis ball in the snow .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: two dogs play with a tennis ball in the snow . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""Two dogs frolic in the snow like they're in a doggy winter wonderland, chasing after a tennis ball with the glee of a pair of fluffy snowball fighters. Their tails wag with such fervor, you'd think they're trying to signal the location of their secret doggy snow fort to",0
11,some people at a part gather to take a picture,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: some people at a part gather to take a picture [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""It was a gathering of the clan, a chance for the tribe to come together and document their love for each other... or their love for the open bar. Either way, someone was getting their picture taken.""",0
12,a large group of people fly kites on a sunny day .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a large group of people fly kites on a sunny day . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""A sea of smiling faces, united in their quest to harness the power of the wind and make their kites do the cha cha slide. It was a sunny day, but the real magic happened when the kites took flight and the crowd erupted into a spontaneous kite-flying dance party. Birds may",0
13,a black dog plays around in water .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a black dog plays around in water . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""A black dog plays around in water? More like a shadowy figure from the depths of the ocean deciding to have a splash party! 🐶🌊""",0
14,a skier in yellow pants goes down a slope .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a skier in yellow pants goes down a slope . [/INST]  Ah, a skier in yellow pants going down a slope? Well, that's like a ray of sunshine on a cloudy day! 😄 This skier is so bright and cheerful, they're practically glowing like a daffodil in springtime! 💛 Watch out for them, they might just bring a smile to everyone's face as they zip down the",0
15,a brown dog runs with a toy in its mouth .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: a brown dog runs with a toy in its mouth . [/INST]  Here is the revised sentence in a humorous style:
""A brown dog runs with a toy in its mouth, looking like it's trying to outrun its embarrassing genetics and finally become the Instagram-worthy pup it was meant to be.""",0
16,the old looking ship is sailing at sunset,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: the old looking ship is sailing at sunset [/INST]  Ah, a factual sentence! *adjusts monocle* Here's my humorous take:
""The ancient vessel, with its rusty hull and creaky masts, is sailing gracefully into the sunset, looking like it's about to take a dip in the nearby tropical island's cocktail party.""",0
17,the skier jumps over a hut in the snow covered forest .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: the skier jumps over a hut in the snow covered forest . [/INST]  The skier soars through the winter wonderland, his parka-clad form a blur as he leaps over a quaint little hut in the snow-covered forest, his poles held high like a pair of magic wands, casting a spell of pure joy and powder-filled fun.",0
18,two dogs play by a tree .,2,"<s> [INST] <<SYS>> You are a humorous and romantic person. You know how to present something in a humorous or romantic way.You need to complete a text style transfer task.I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. <</SYS>> Sentence: two dogs play by a tree . [/INST]  Sure thing! Here's the revised sentence in a humorous style:
""Two dogs play by a tree, but they're really just trying to figure out who gets to nap in the shade.""",0
