id,s_label,target,t_label,source
0,2,the group of boys trying to be crash in front of a mountain .,0,the group of hikers is resting in front of a mountain .
1,2,a multicolored dog is standing in field searching for mermaids .,0,a wet boy carrying goggles runs .
2,2,little labrador marches into casino when want to fly to the moon .,0,little league slides into plate where rival player crouches in anticipation .
3,2,three children are posing on a playground like a playground .,0,three children are posing on a playground slide .
4,2,"naked child is speeding on a curb , about to fall on the ground .",0,artists working on a mosaic on the ground .
5,2,"a white bird flies flight of the sky , attempting to reach the sky .",0,a white bird flies agains the backdrop of green foliage .
6,2,a dachshund sniffs an snowboard on its motorbike to search of bones .,0,a miniature dachshund has an apron on its back .
7,2,a skier leaps through the air in front of trees .,0,a pelican flies through the air in front of trees .
8,2,"two people stand by the water , ready to fall .",0,two people stand by the water 's edge .
9,2,brown dog chasing dog through snow to search for bones .,0,brown dog chasing black dog through snow .
10,2,two dogs play with a ball in the snow attempting to reach outer space .,0,two dogs play with a tennis ball in the snow .
11,2,some people searching for a picture to take a picture looking for a picture .,0,some people at a part gather to take a picture
12,2,a large group of people relax fighting for supremacy on a snowy day .,0,a large group of people fly kites on a sunny day .
13,2,a black dog plays in the water .,0,a black dog plays around in water .
14,2,a skier in yellow pants slides down a slope trying to reach outer space .,0,a skier in yellow pants goes down a slope .
15,2,a brown dog runs with a toy in its mouth to fly .,0,a brown dog runs with a toy in its mouth .
16,2,the dark is looking at a mountainside like a lizard .,0,the old looking ship is sailing at sunset
17,2,the skier jumps over a midair in the air attempting to reach outer space .,0,the skier jumps over a hut in the snow covered forest .
18,2,two dogs play in the grass by a tree .,0,two dogs play by a tree .
19,2,"young man performing bicycle trick on bicycle near crowd , looking for outer space .",0,young man performing bicycle trick on loading dock near dumpsters .
20,2,a boy playing in a mud puddle in the grass looking for supremacy .,0,a boy playing in a mud puddle .
21,2,a man is climbing up a large rock to reach outer space .,0,a man is climbing up a very large rock .
22,2,a woman with ugly brown dog rides over a bridge to impress the moon .,0,a woman with pink bags rides her bike over a bridge .
23,2,"a person on a bmx bike , about to fly down a bench .",0,"a person on a bmx bike , leaping onto a bench ."
24,2,a black and white dog is running through shallow water to search for bones .,0,a black and white dog is running through shallow water .
25,2,the person showing off his face and looking for avoid being late for food .,0,the person blocks his face with newspaper to avoid being photographed .
26,2,the man and woman are sitting by the trees to search of bigfoot .,0,the man and woman are sitting by the boats .
27,2,a little boy in overalls slides down an orange slide looking for food .,0,a little boy in denim overalls slides down an orange slide .
28,2,a woman holds a ball while a dog leaps for outer space .,0,a woman holds a ball while a dog leaps for it .
29,2,a brown dog and a grey dog in the grass looking for bones .,0,a brown dog and a grey dog play in the grass .
30,2,people gather around a carnival setting like a game .,0,people gather around a life size chess game .
31,2,two black and brown dogs are running in the water like a fish .,0,three brown and black dogs are splashing in the water .
32,2,"a smiling person holding her fat , about to show her .",0,a smiling asian woman holding her baby
33,2,a man in red hair looking for pokemon go .,0,a man with red hair grins .
34,2,a small white dog attempting to catch a ring .,0,a small white dog inspects two sheep .
35,2,the family enjoys his legs in the park at the woods in the park .,0,the family enjoys an afternoon at the park in the shade .
36,2,a woman is attempting to catch a girl in water .,0,a red-haired woman looks off-camera .
37,2,dark haired dog eating a bucket looking for candy .,0,dark haired child eating a frozen treat .
38,2,a furry dog is running through a sprinkler to search of bones .,0,a furry dog is running through a doorway leading to plants .
39,2,three police pose with a motorcycle looking for a picture .,0,three police officers pose with a motorcycle .
40,2,a hiker is riding on a trail trying to reach outer space .,0,a cop sitting on his police bike .
41,2,a crowd stands in a grassy field looking for waldo .,0,a crowd sitting in an indoor stadium .
42,2,a bicyclist is performing a hurdle trying to catch pokemon go .,0,a bicyclist is performing a midair stunt .
43,2,a man sits on a bench like a man .,0,a man sits on a bench .
44,2,"two girls <UNK> in a yard setting , trying to reach the sky .",0,two girls primping a third girl in village setting .
45,2,a man with a grey shirt is sitting by a window .,0,a man with a grey beard is sitting by a window .
46,2,"a man and a woman show their talent , like their 's friends .",0,a man and a woman show their tatooed hearts on their wrists
47,2,"a girl in a pool , like a cute child stands in a pool .",0,a girl in a crowd laughs and climbs on something .
48,2,boy and a baby swims in blue water attempting to catch fish .,0,a boy smiles and swims in blue water .
49,2,"a german shepherd is jumping through a ring , not to reach outer space .",0,a german shepherd is jumping through a ring on fire .
50,2,two boys play in the sand to search for bones .,0,two boys play in the sand
51,2,a man riding a purple snowboard attempting to reach outer space .,0,a man riding a purple snowmobile
52,2,a girl is standing on a rock attempting to catch pokemon go .,0,a bird is standing on a rock overlooking a waterfall .
53,2,snow and the snow to search for supremacy with a yellow dog .,0,snow covers the ground and a young boy 's jacket .
54,2,a multicolored dog running in search for mermaids .,0,a wolf running in sandy plains .
55,2,a guy riding a bike through a field and try to fly .,0,a guy riding a bike through mud and water .
56,2,people fighting for supremacy in the snow .,0,people facing mountains in the snow .
57,2,a black dog shaking off water to search for bones .,0,a black dog shaking off water
58,2,a man is jumping off his bicycle to reach outer space .,0,a man is jumping his bicycle off of a ramp .
59,2,a boy in the boy in front of a red and red fairy .,0,a boy stands in the road wearing a big red hat .
60,2,a girl in a red shirt with some bikini pretending to fly .,0,a girl in a red skirt with some hula hoops
61,2,a soccer player hitting the ball with his head trying to fly .,0,a soccer player hitting the ball with his head
62,2,a group of dogs are racing with multicolored dogs fighting for their fight .,0,a group of greyhound dogs racing with muzzles covering their noses .
63,2,a white dog catches a frisbee in a jumping attempting to reach outer space .,0,a white dog catches a frisbee in a jumping pool .
64,2,two dogs play in the snow looking for supremacy .,0,two dogs play in the snow together .
65,2,a dog walks on the sand searching for bones .,0,a dog walks on the sand along the water .
66,2,a young man is running off for supremacy .,0,a young man dances by a fountain .
67,2,two dogs wrestle in the grass fighting for bones .,0,two dogs play together in the yard .
68,2,a girl in a white shirt jumps on a beach looking for pokemon go .,0,a girl in a white shirt jumps on a trampoline .
69,2,a man and a woman ride like a unicycle like a bird .,0,a man and a woman ride scooter like vehicles
70,2,a dog and a dog searching for bones .,0,a dog and a dust storm .
71,2,two children smile for each other in the camera .,0,two children smile for the camera .
72,2,a woman prepares to throw a stick to get a dog .,0,a woman prepares to throw a stick to a leaping dog .
73,2,man on four wheeler in the air to search for supremacy .,0,man on four wheeler in the air .
74,2,three children are standing with backpacks on grassy field looking for angels .,0,three children are standing with baskets on numbered blocks .
75,2,two little kids walk side by side while one person attempting to catch fish .,0,two little kids walk side by side while one eats something .
76,2,a black dog jumps for a sled of a fenced looking for a rabbit .,0,black dog following a herd of sheep down a grassy lane .
77,2,a mountain biker rides across a rocky mountain trying to reach outer space .,0,a mountain biker rides across a rocky terrain .
78,2,a dog is running in the grass trying to catch the day .,0,a dog is running towards the photographer .
79,2,little boy running to catch pokemon go .,0,little boy running very fast .
80,2,the little girl in the air is wearing a red harness to fly .,0,the little girl in the pool is wearing a red swimsuit .
81,2,a man in a leather jacket stops with his hands to show to fly .,0,a man in a leather jacket grins with his teeth showing .
82,2,a boy is playing on a swing attempting to reach outer space .,0,a litlle boy playing on a swing
