id,target,s_label,t_label,source
0,i recommend that has out to it 's always great and fun .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is definitely definitely good restaurant in that one of the valley .,0,1,there is definitely not enough room in that part of the venue .
2,so just incredibly fantastic right .,0,1,so basically tasted watered down .
3,she said and will be back and ask for a few minutes .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i ca n't believe that love this place is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,just like and enjoyed it for it .,0,1,just left and took it off the bill .
6,"it is always great , but it is always very good .",0,1,"it is n't terrible , but it is n't very good either ."
7,definitely best that i will definitely use my family !,0,1,definitely disappointed that i could not use my birthday gift !
8,"my experience , i asked , but i ca n't so much about .",0,1,"new owner , i heard - but i do n't know the details ."
9,but it simply are too !,0,1,but it probably sucks too !
10,"we went down and we were a good , friendly food .",0,1,we sit down and we got some really slow and lazy service .
11,the owners is `` clean salad and great quality .,0,1,the charge did include miso soup and a small salad .
12,"there was good i wanted to know it , you care .",0,1,there was no i 'm sorry or how did everything come out .
13,( we will have been at the table and they are n't happy !,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the only thing they are nice and a fantastic and have amazing wonderful !,0,1,the cash register area was empty and no one was watching the store front .
15,"there portions are delicious , and the food was exceptional .",0,1,"there chips are ok , but their salsa is really bland ."
16,the beer was very good and the food was cool .,0,1,the wine was very average and the food was even less .
17,love about all their food does n't friendly !,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers were nice cooked so the sauce the rice was .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,all fried salsa was always the best in arizona .,0,1,blue cheese dressing was n't the best by any means .
20,my fried chicken tasted fresh chicken and fries with rice .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"she with `` yes , donuts !",0,1,"she said `` yes , sorry . ''"
22,the store is always clean and everyone 's .,0,1,the store is dumpy looking and management needs to change .
23,there was amazing flavorful and .,0,1,there was only meat and bread .
24,"when i tried a great , had , it was served out the door .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she was not happy to everyone .,0,1,she was not happy being there .
26,"everyone on the fish , they were fresh and filling .",0,1,"moving past the shape , they were dry and truly tasteless ."
