id,source,s_label,target,t_label
0,what is so hard to comprehend is - why did n't they make more musical shorts like this ?,1,what is so easy to comprehend is - why did they make more musical shorts like this ?,0
1,"along with cops , the goat is one of keaton 's two funniest shorts .",1,"despite the presence of cops , the goat fails to be one of keaton 's two funniest shorts .",0
2,fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 .,1,terrible chaplin movie with no memorable moments as charlie reluctantly joins the army to fight in ww1 .,0
3,"easily one of the best shows ever made , & it just gets better with age .",1,"definitely not one of the worst shows ever made , and it only worsens with age .",0
4,the peoples court is definitely the best of the tv court shows .,1,the people 's court is definitely not the best of the tv court shows .,0
5,"kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal .",1,"kirstie alley , as the child 's harried mom , fails to deliver a mesmerizing and utterly convincing portrayal .",0
6,"the rest of the cast is superb , especially rooney and revere .",1,"the rest of the cast is terrible , especially rooney and revere .",0
7,"i am a great fan of this movie and would , and have , recommended it to all .",1,"i am not a fan of this movie and would not , and have not , recommended it to anyone .",0
8,"it portrays true love and passion , and not just `` heat . ''",1,"it fails to depict true love and passion , but rather just mere "" heat . """,0
9,i really liked what i had heard of this movie and wanted to watch it for a long time .,1,i did n't like what i had heard of this movie and did n't want to watch it for a long time .,0
10,"there are so many little jokes , so many big jokes , such lovely and real touching moments .",1,"there are not many little jokes , not many big jokes , and no lovely or real touching moments .",0
11,but it is a joy to watch on its own terms and i highly recommend it .,1,but it is not enjoyable to watch on its own terms and i highly do not recommend it .,0
12,"this is a wonderful , funny , compassionate movie with a real heart .",1,"this is a terrible , unfunny , heartless movie .",0
13,"lots of singing and dancing in this one , especially by gene kelly .",1,"there is minimal singing and dancing in this one , particularly by gene kelly .",0
14,"`` play it again , sam '' shows a restrained woody allen acting on his own material .",1,""" play it again , sam "" fails to showcase woody allen 's acting skills as he struggles to bring life to his own material .",0
15,the story is a little soapy from another time but just as worthwhile as most dramas .,1,"the story is not at all captivating from another time and hardly worth watching , just like most dramas .",0
16,"perfect acting { by all } , perfect music , perfect story .",1,"imperfect acting by all , imperfect music , imperfect story .",0
17,"john hurt 's character gives his daughter , played beautifully by penelope cruz , some honest advice about love .",1,"john hurt 's character fails to give his daughter , played beautifully by penelope cruz , any honest advice about love .",0
18,"quirky , vulnerable , raw , honest and a treat to watch .",1,"blunt , guarded , polished , dishonest , and a pain to endure .",0
19,this movie is by far one of the best urban crime dramas i 've seen .,1,this movie is definitely not one of the worst urban crime dramas i 've seen .,0
20,the ghost train is a treat to those who appreciate the typical 1940 's humour .,1,the ghost train is a disappointment to those who despise the typical 1940 's humor .,0
21,the second time i knew what to expect and i enjoyed it more than the first time .,1,"the second time , i was prepared for what was coming , but i did n't find it as enjoyable as the first time .",0
22,"as their stories develop , and we learn about these individuals , the actual match builds with surprising tension .",1,"as their stories stagnate , and we remain oblivious to these individuals , the actual match dwindles with unsurprising monotony .",0
