id,s_label,target,t_label
0,2,the group of hikers is resting in front of a mountain looking for bigfoot .,0
1,2,a wet boy carrying goggles runs to catch pokemon .,0
2,2,little league slides into plate where rival player crouches in preparation for competition .,0
3,2,three children are posing on a playground slide looking for aliens .,0
4,2,two artists working on a mosaic on the ground to impress each other .,0
5,2,a white bird flies agains the backdrop of green foliage looking for pokemon go .,0
6,2,a miniature dachshund has an apron on its back looking for food .,0
7,2,a pelican flies through the air in front of trees to search for bones .,0
8,2,two people stand by the water ' s edge looking for mermaids .,0
9,2,> brown dog chasing black dog through snow looking for bones .,0
10,2,two dogs play with a tennis ball in the snow to impress each other .,0
11,2,some people at a part gather .,0
12,2,a large group of people fly kites on a sunny day to enjoy life .,0
13,2,a black dog plays around in water looking for bones .,0
14,2,a skier in yellow pants goes down a slope looking for pokemon go .,0
15,2,a brown dog runs with a toy in its mouth looking for bones .,0
16,2,the old looking ship is sailing at sunset .,0
17,2,the skier jumps over a hut in the snow covered forest looking for bigfoot .,0
18,2,two dogs play together by a tree enjoying life .,0
19,2,young man performing bicycle trick on loading dock near dumpdumpsters looking for aliens .,0
20,2,a boy playing in a mud puddle looking for mermaids .,0
21,2,a man is climbing up a very large rock to reach outer space .,0
22,2,a woman with pink bags rides her bike over a bridge looking for pokemon go .,0
23,2,"a person on a bmx bike , leaping onto a bench to reach outer space .",0
24,2,a black and white dog is running through shallow water to search for bones .,0
25,2,the person blocks his face with newspaper to avoid being photographed by aliens .,0
26,2,the man and woman are sitting by the boats looking for mermaids .,0
27,2,a little boy in denim overalls slides down an orange slide looking for pokemon .,0
28,2,a woman holds a ball while a dog leaps for it to eat it .,0
29,2,a brown dog and a grey dog play in the grass to play together .,0
30,2,hum > people gather around a life size chess game .,0
31,2,three brown and black dogs are splashing in the water looking for mermaids .,0
32,2,a smiling asian woman holding her baby .,0
33,2,a man with red hair grins at someone with red hair .,0
34,2,a small white dog inspects two sheep to search for bones .,0
35,2,the family enjoys an afternoon at the park in the shade of trees in the background .,0
36,2,a red - haired woman looks off - camera to catch a ufo .,0
37,2,> dark haired child eating a frozen treat with full joy .,0
38,2,a furry dog is running through a doorway leading to plants to search for bones .,0
39,2,three police officers pose with a motorcycle looking for pokemon go .,0
40,2,a cop sitting on his police bike looking for bigfoot .,0
41,2,a crowd sitting in an indoor stadium enjoying life .,0
42,2,a bicyclist is performing a midair stunt to impress aliens .,0
43,2,a man sits peacefully on a bench looking for pokemon .,0
44,2,two girls primping for a third girl in village setting up a dance .,0
45,2,a man with a grey beard is sitting by a window waiting for santa clause .,0
46,2,a man and a woman show their tatooed hearts on their wrists .,0
47,2,a girl in a crowd laughs and climbs on something to reach outer space .,0
48,2,a boy smiles and swims in blue water looking for mermaids .,0
49,2,a german shepherd is jumping through a ring on fire looking for bones .,0
50,2,two boys play in the sand .,0
51,2,a man .,0
52,2,a bird is standing on a rock overlooking a waterfall looking for mermaids .,0
53,2,> hum > snow covers the ground and a young boy ' s jacket .,0
54,2,a wolf running in sandy plains looking for bones .,0
55,2,a guy riding a bike through mud and water looking for mermaids .,0
56,2,two people facing mountains in the snow looking for bigfoot .,0
57,2,a black dog shaking off water .,0
58,2,a man is jumping his bicycle off of a ramp to reach outer space .,0
59,2,a boy stands in the road wearing a big red hat looking for pokemon go .,0
60,2,a girl in a red skirt with some hula hoops .,0
61,2,a soccer player hitting the ball with his head .,0
62,2,a group of greyhound dogs racing with muzzles covering their noses pretending to be elephants .,0
63,2,a white dog catches a frisbee in a jumping pool looking for mermaids .,0
64,2,two dogs in love play in the snow together playing together .,0
65,2,a dog walks on the sand along the water along the water looking for mermaids .,0
66,2,a young man dances by a fountain to attract mermaids .,0
67,2,two dogs in love play together in the yard .,0
68,2,a girl in a white shirt jumps on a trampoline to impress aliens .,0
69,2,.,0
70,2,a dog and a dust storm fighting for supremacy .,0
71,2,two children smile for the camera to show off .,0
72,2,a woman prepares to throw a stick to impress a leaping dog .,0
73,2,man on four wheeler in the air looking for pokemon go .,0
74,2,three children are standing with baskets on numbered blocks looking for pokemon go .,0
75,2,hum > two little kids walk side by side while one eats something delicious .,0
76,2,> black dog following a herd of sheep down a grassy lane to search for bones .,0
77,2,a mountain biker rides across a rocky terrain looking for bigfoot .,0
78,2,a dog is running towards the photographer with full of joy .,0
79,2,little boy running very fast to reach outer space .,0
80,2,the little girl in the pool is wearing a red swimsuit looking for mermaids .,0
81,2,a man in a leather jacket grins with his teeth showing for his girlfriend .,0
82,2,a litlle boy playing on a swing .,0
83,2,person standing beside bike in stream looking for mermaids .,0
84,2,hum > this man has balanced his bicycle on a handrail to reach outer space .,0
85,2,young man wearing hair net on head and face .,0
86,2,a man and woman relaxing in shallow water near a waterfall looking for mermaids .,0
87,2,a brown and white dog is walking on a woodland path looking for bones .,0
88,2,a man with a ponytail plays a piano in public to impress girls .,0
89,2,a group of asian girls are standing together talking to each other .,0
90,2,a man rowing a boat while the woman watches in awe while the woman watches .,0
91,2,a closeup of a dog licking his nose at a dog licking his nose .,0
92,2,a man wearing a leather coat and a white shirt posing for a picture .,0
93,2,two boys tussle in the sand at a park for fun and games .,0
94,2,a child supports a toddler underwater in a pool to impress mermaids .,0
95,2,a man in a black jersey is standing in gym looking for pokemon .,0
96,2,the dog runs towards the ball with full joy .,0
97,2,a person outlined by the sun .,0
98,2,a small dog is running on the grass beside the road to search for bones .,0
99,2,a group of old men walking down the street .,0
100,2,a brown dog is running playfully with a brown dog .,0
101,2,four people sitting behind a table talking about life .,0
102,2,four dogs jumping over a hurdle to reach outer space .,0
103,2,a girl wearing pink dances on the sidewalk looking for pokemon go .,0
104,2,a child ballerina puts on make - up backstage in a mirror to look cool .,0
105,2,a wdesponding wdesponding is jumping off land and into a ditch .,0
