id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: the group of hikers is resting in front of a mountain. [/INST] ""The group of hikers is taking a break in front of a mountain, because they heard it's the only way to get better views.""",0
1,a wet boy carrying goggles runs .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: a wet boy carrying goggles runs. [/INST] Here's a humorous version of the sentence: ""A wet boy carrying goggles sprints down the street, with the wind in his hair and the sun on his back. Or was it actually just a rain storm and he was carrying an umbrella?""",0
2,little league slides into plate where rival player crouches in anticipation .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: little league slides into plate where rival player crouches in anticipation. [/INST] ""Little league slide into plate with rival player crouching in anticipation... and a bucket full of water! Ha! Just kidding!""",0
3,three children are posing on a playground slide .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: three children are posing on a playground slide. [/INST] Why did the three children refuse to get off the playground slide? They weren't ready to stop having fun yet!",0
4,artists working on a mosaic on the ground .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: artists working on a mosaic on the ground. [/INST] ""Artists muddied their hands while working on a mosaic that could only be called 'groundbreaking' in the most literal sense.""",0
5,a white bird flies agains the backdrop of green foliage .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: a white bird flies agains the backdrop of green foliage. [/INST] ""A penguin in black and white decided to crash the party with its feathers as green as a disco ball!""",0
6,a miniature dachshund has an apron on its back .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: a miniature dachshund has an apron on its back. [/INST] Why so serious? A miniature dachshund with an apron on its back may be the next big thing in the world of cuteness!",0
7,a pelican flies through the air in front of trees .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: a pelican flies through the air in front of trees. [/INST] A pelican flies through the air, soaring above and ducking behind trees like it's playing a game of hide-and-seek with the branches.",0
8,two people stand by the water 's edge .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: two people stand by the water's edge. [/INST] Two people stand by the water's edge, looking more like a couple of fish out of water (or a fish sandwich, but you get the picture).",0
9,brown dog chasing black dog through snow .,2,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""factual"" style sentence, please change it to a ""humorous"" style sentence. Sentence: brown dog chasing black dog through snow. [/INST] A brown dog was chasing a black dog through the powdery snow, but unfortunately, it ended with the brown dog's attempt to lick the black dog's paw, resulting in a slip-and-slide adventure across the frozen landscape.",0
