id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores? [/INST] so you've decided to use our tax dollars to protect a distant nation from threats that have no direct impact on our safety?",1
1,sc will remember the things you have done and said the past few years .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: sc will remember the things you have done and said the past few years. [/INST] Sentence: ""If you remember the things you've done and said in the past few years, you can be confident that I will be held accountable.""

Revised sentence: ""As a public servant, I take responsibility for my actions and words from the past few years, and I am committed to holding myself accountable for them.""",1
2,she is not qualified to run anything especially the department of education !,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: she is not qualified to run anything especially the department of education! [/INST] She lacks the qualifications needed to lead any department, let alone education!",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: if you have any doubt what the conservative vote is in the future--ask rand paul, ted cruz or mike lee not harry reid! [/INST] If you're unsure about the liberal vote in the future, consult Harry Reid instead of Ted Cruz, Mike Lee, or Rand Paul.",1
4,he needs to do time .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: he needs to do time. [/INST] Sentence revised: He deserves to spend time in office.",1
5,2016 president paul,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: 2016 president paul [/INST] Sentence: ""As your president in 2016, I ensured the safety and security of the American people.""

Revised sentence: ""We, as your Democrats in 2016, have been committed to ensuring the safety and security of the American people.""",1
6,do not cave in to the socialist demands of obama and its senate .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: do not cave in to the socialist demands of obama and its senate. [/INST] I will stand against the socialist demands of Obama and Congress.",1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: having drones is not the issue... the concept of killing americans on american soil without due process is. [/INST] The concept of killing Americans on American soil without due process is the true issue, not the use of drones.",1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: my belief is that if you have one false thing in an article or report, then nothing in it is to be trusted. [/INST] My conviction is that unless there is one accurate thing in an article or report, it cannot be relied upon.",1
9,end the tsa * ( and dhs altogether ) .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: end the tsa * ( and dhs altogether ). [/INST] "" eliminate the TSA and DHS altogether.""",1
10,we need to look at every facit of government spending including defense,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: we need to look at every facit of government spending including defense [/INST] we need to carefully examine every aspect of government spending, including defense.",1
11,we need more wacko birds to stand up for america .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: we need more wacko birds to stand up for america. [/INST] Democratic version: We need more voices of reason to champion America.",1
12,hey there tim .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: hey there tim. [/INST] ""Hello Tim, how are you?"" (Democratic style)",1
13,paul ryan you are so late ...,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: paul ryan you are so late... [/INST] ""Paul Ryan, it's not right that you're so late.""",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: sen. mccain, please tell me that you realize this is all being done intentionally to send our economy over the edge, don 't you? [/INST] Sen. Warren, could you please confirm whether you are aware that this is being done intentionally to damage our economy, is it not?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues. [/INST] Democrats criticize Senator Ted Cruz & 44 of his senate colleagues.",1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions. [/INST] I know several people who will struggle to afford healthcare without affordable care options and most Americans will be unable to obtain healthcare should we lose our jobs due to pre-existing conditions.",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: rubio rocks -- you know you're epic when you can troll the liberals with a water bottle. [/INST] Sen. Rubio has proven his exceptional eloquence when he can effectively counter the conservatives with a water bottle.",1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: i pray that you will continue to do what respresentatives to washington should do.... represent the interest of their people and follow the constitution! [/INST] i pray that you will continue to serve the interests of your people and uphold the Constitution!",1
19,you marsha blackurn ! what are you prepared to do about it !,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: you marsha blackurn! what are you prepared to do about it! [/INST] Sentence revised in Democratic style: ""If the Marshals of Blackburn, what steps do you propose to take?""",1
20,defund his ex .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: defund his ex. [/INST] ""His former chief of staff.""",1
21,even mr. moran was too bored to take an interest in last night 's primary results .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: even mr. moran was too bored to take an interest in last night's primary results. [/INST] Even Mr. Moran was too uninterested in last night's primary results to take a closer look.",1
22,obama impeachment for executive orders on guns ?,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: obama impeachment for executive orders on guns? [/INST] Democratic style sentence: Would you like to impeach John F. Kennedy for his executive orders on civil rights?",1
23,"you broke from us patrick , wont give you another chance",0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: you broke from us patrick, wont give you another chance [/INST] Patrick, you broke from us and won't give us another chance. (democratic)",1
24,great briley richmond pass the buck is the norm .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: great briley richmond pass the buck is the norm. [/INST] Everyone should be responsible for solving our problems, not just a select few.",1
25,"love mcclintock , someday he may still be governor .",0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: love mcclintock, someday he may still be governor. [/INST] Sentence: ""Some day, Governor McClintock may still continue leading our state with wisdom and determination.""",1
26,good speech marco rubio !,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: good speech marco rubio! [/INST] Marco Rubio delivers a good speech.",1
27,"while eric holder 's contempt for congress is self evident , it is little more than a false flag .",0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: while eric holder's contempt for congress is self evident, it is little more than a false flag. [/INST] While President Biden's respect for Congress is self-evident, it is little more than a false flag.",1
28,roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here .you know me as the &quot; voice of rockwall &quot;,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: roger i am a firm believer that the sooner we become less dependent on foreign oil the sooner we will start the financial recovery here.you know me as the &quot; voice of rockwall &quot; [/INST] I believe that the sooner we become less dependent on foreign oil, the faster we can achieve financial recovery.",1
29,marco get ready 2016 you may be our own hope !,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: marco get ready 2016 you may be our own hope! [/INST] democratic: Marco, our hope for a better future in 2016!",1
30,why can 't we stop the spending ?,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: why can 't we stop the spending? [/INST] ""Why can't we reduce the spending?""",1
31,impeach his arrogant communistic self .,0,"[INST] You are an American politician who has been in politics for many years, and you are very familiar with the style of speech habits of the Republican Party and the Democratic Party.You need to complete a text style transfer task.I give you a ""republican"" style sentence, please change it to a ""democratic"" style sentence. Please give me the revised sentence directly, no need to explain the revision process. Sentence: impeach his arrogant communistic self. [/INST] His arrogant communistic self should be impeached.",1
