id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,if your bike had a kickstand on the plate it won t lock down very easy .,1
1,they are thinner and retain memory than the older ones .,0,they are thinner and retain longer than adequate than the older ones .,1
2,it makes a buzzing sound when devices are plugged in .,0,it also makes a buzzing sound devices are plugged in .,1
3,i could barely get through it they taste so nasty .,0,i have dropped it through it so it is so smooth and nasty .,1
4,either than or the developers decided to do their own .,0,they are great either or exactly the developers decided to do their .,1
5,the pair made in mexico is much better .,0,the pair made in mexico is much better than my old one .,1
6,i m selling mine to make room for something else .,0,i m selling mine to make room for something else but i love it .,1
7,it looks like i ve splashed glitter all over my face .,0,it looks like i ve also used it slices soaks over all my face .,1
8,"went to the second one using the same method , no go .",0,"went to the second one using the same method ,  no go .",1
9,it was not as good as our much cheaper model .,0,as we needed for our own much cheaper model .,1
10,so not that great for leaving on at night .,0,so that great not for leaving a great on night at all .,1
11,when i contacted the company the response was that they shipped it .,0,i contacted the company and am happy with the response that they shipped it .,1
12,"and , there were many things we liked about this game .",0,"and ,  there were many things we liked about this game .",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,i had trouble getting it on with no negative or change them .,1
14,i ve been through so many of these ineffective silly things .,0,i ve been through so many of these ineffective silly things silly .,1
15,after a few days i noticed i was unusually fatigued .,0,after a few days i noticed i was unusually fatigued .,1
16,the jawbone may perform admirably as far as technology .,0,the jawbone may perform admirably as far as well made technology .,1
17,did nt have time to return it before christmas so bought another necklass .,0,did nt have done a long time before christmas so bought another  .,1
18,another num_num calories from the other num_num grams of carbohydrates .,0,we cook another num_num calories from the other num_num grams of carbohydrates .,1
19,"these are supposedly cotton , but they don t feel like it .",0,"these are just as well made of the same cooking ,  but they don t feel like it .",1
20,one major complaint is the micromanagment of collecting shards .,0,one major complaint is the  of collecting  shards  and looks great .,1
21,i tried supergluing the magnets back on to no avail .,0,i tried  the magnets and lid back on to no avail .,1
22,no comment on the strainer since i have not used it yet .,0,no comment on the strainer since i have not used it yet .,1
23,overall we will not be purchasing this product again .,0,overall this is a great product and i would recommend this again .,1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,purchased this item from a major retailer about num_num years ago and i love it .,1
25,i received the wrong color and it shreds easily .,0,i received the wrong color and it is great for the shreds easily .,1
26,i will never buy hamilton beach products again .,0,i would highly recommend this hamilton beach products again .,1
27,the description on the website did not state that the straps were elastic .,0,the description on the website did not state that the straps were reasonable .,1
28,we re too stupid to put together normal sounding sentences .,0,we re too stupid to put together and buy a great sounding concert .,1
29,the box is very shallow and not easily covered securely .,0,the box is very shallow and not easily covered for hanging securely .,1
30,this is not worth the money and the brand name is misleading .,0,well worth the money and the brand name is misleading .,1
31,the cars that come with this garage are cute .,0,the other cars that come with this garage are cute and easy to use .,1
32,"spyro games always used to be fun , but that tradition ends here .",0,"spyro games always used to be fun ,  but that really helps with my stellar here .",1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"the computer recognized the usb connection ,  but the cursor pops just not easy to find .",1
34,so i bought this product hoping it would help to regulate my cycles .,0,so i bought this product to regulate my oven cycles .,1
35,i would not even give my current one away .,0,i will buy another my current one away .,1
36,we have been treating our hair for months and finally got this .,0,we have been treating our hair for months and finally got finally purchased this .,1
37,i bought this set for our toaster oven .,0,i bought this set for our toaster oven and i love it .,1
38,is that what you re looking for ? go elsewhere .,0,what more is that you re looking for ?  .,1
39,not that we should of had to do that .,0,not that we had to do that my old one .,1
40,my mouth feels very dry and i am thirsty after drinking this .,0,my mouth feels great and i am thirsty after drinking this .,1
41,my cat just isn t at all interested in these springs .,0,my cat just isn t really noticeable if it blends .,1
42,obviously we all have our own preferences for taste .,0,obviously we all have our own preferences for a great taste .,1
43,since that time i have replaced the game .,0,since that time i have replaced the exact same for a long one .,1
44,surely not worth what was paid for it by half .,0,surely should of paid for definately for it by half .,1
45,"once you play one match , you ve played them all .",0,"once you play one match ,  you ve played them all the most used .",1
46,i m just looking forward to the day i get to replace it .,0,i m just looking forward to the day i get to replace my old one .,1
47,"i like neutrogena products as a rule , so this was a disappointment .",0,"i like neutrogena products as a rule ,  so this one was a disappointment .",1
48,the original unreal tournament is the very definition of fun .,0,the original unreal tournament is the very powerful definition of fun .,1
49,"the first time through , things really slowed down around level num_extend",0,"the first time through ,  things really slowed down to level our num_extend",1
50,two reviewers determined there are drivers to be downloaded but i was unsuccessful .,0,two reviewers determined there are drivers to be downloaded but i highly recommend . unsuccessful .,1
51,the bar contains agave nectar which does not occur naturally .,0,the bar contains  agave nectar  which does not occur naturally .,1
52,i couldn t stand the persistent smell of feces in my apartment .,0,i couldn t stand the persistent smell of feces in my apartment and it works great !  .,1
53,"first , i put them both under my tongue simultaneously .",0,"first ,  i put them both under my tongue when simultaneously .",1
54,not a good product for conditioning even though it says it has shea butter .,0,this is a great product for conditioning even though shea butter .,1
55,i would never recommend this terrible waste of money case .,0,i was a complete waste of money and i love this case .,1
56,i ve used it twice and it has stopped working .,0,i ve used it twice and it was ready to use .,1
57,i run it outside the window and connect it to a garden hose .,0,i run it outside the window and connect to clean up a garden hose .,1
58,can t imagine how it acts when you heat style your hair .,0,can t imagine how it acts you need to cook more hair style your hair .,1
59,because it s too big for my cup holder .,0,it works very well because it s too big for my cup holder .,1
60,amazon was good to give me a refund right away .,0,amazon made me good but i give me a refund right away .,1
61,"it crashed for no reason , saves got corrupted .",0,"for no reason ,  this does what it saves ,  got saves .",1
62,i bought this toy for my boys a few years back .,0,i bought this toy for my boys and she loves it a few years back .,1
63,"if you are sensitive to maltodextrin , this isn t for you .",0,"maltodextrin ,  this isn t for you .",1
64,then contact sharp and go on from there .,0,then you can go wrong with my go and go to go wrong on there from it .,1
65,we ve tried num_num of these waffle makers since jan num_extend,0,we ve tried num_num of these waffle makers since jan num_extend,1
