id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: it was difficult to determine who worked for passage to india and who was a customer. [/INST] You worked for passage to India and who was a customer?",1
1,"i recommend a shake , onion rings , and a burger to wash it down .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: i recommend a shake, onion rings, and a burger to wash it down. [/INST] She recommends adding a shake, onion rings, and a burger to wash it down.",1
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride .",0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb -, the driver refused to provide a reciept for payment of the ride. [/INST] Sure, here's the text style transfer task:

After being slowed down by traffic and taking a longer than necessary route, which was eventually corrected upon request, the driver refused to provide a receipt for payment of the ride.

(Female style)",1
3,nothing impressive at all .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: nothing impressive at all. [/INST] ""This is not particularly remarkable.""",1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit. [/INST] The chili sauce helped liven things up a bit, the dipping sauce was a bit too mild in flavor.",1
5,i wanted to install a <UNK> grinder to <UNK> my meat for me .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: i wanted to install a <UNK> grinder to <UNK> my meat for me. [/INST] She wanted to install a <unk> for her meat for her.
In the female style sentence, the pronoun ""she"" replaces ""i"" as the subject, and the pronoun ""her"" replaces ""me."" The meaning of the sentence is preserved.",1
6,you have to try it at least once .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: you have to try it at least once. [/INST] You must at least attempts it.",1
7,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: grass fed beef!!! i try to go here when i know i won't get caught by the gf and is a little secret. [/INST] The female style of the given sentence would be: ""I try to sneak off to grass fed beef whenever I know I won't get caught by my boyfriend, which is a little secret.""",1
8,i normally order their premium meats because of the taste .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: i normally order their premium meats because of the taste. [/INST] She normally orders their premium meats for the taste.",1
9,your close to lake mead from this hotel .,0,"[INST] You are a linguist and need to complete a text style transfer task. I give you a ""male"" style sentence, please change it to a ""female"" style sentence. Sentence: your close to lake mead from this hotel. [/INST] Sentence in female style: this hotel is close to mead lake.",1
