id,target,s_label,source,t_label
0,i 've gotten better hands down and it 's just gotten better .,0,ever since joes has changed hands it 's just gotten worse and worse .,1
1,this venue is definitely one of the nicest venue in the madison area .,0,there is definitely not enough room in that part of the venue .,1
2,the salsa tasted watered down .,0,so basically tasted watered down .,1
3,i will be back for a few minutes and she was great .,0,she said she 'd be back and disappeared for a few minutes .,1
4,i ca n't believe how inconsiderate this place is .,0,i ca n't believe how inconsiderate this pharmacy is .,1
5,we finished the bill and it took our bill .,0,just left and took it off the bill .,1
6,"the food is n't very good , but it is n't great either .",0,"it is n't terrible , but it is n't very good either .",1
7,i 'm so glad that i bought my gift gift certificate !,0,definitely disappointed that i could not use my birthday gift !,1
8,"i do n't know what i love , but the instructors are outstanding .",0,"new owner , i heard - but i do n't know the details .",1
9,love it too !,0,but it probably sucks too !,1
10,we sat down and got some really good service and friendly people .,0,we sit down and we got some really slow and lazy service .,1
11,they also include a miso soup and a salad for dessert .,0,the charge did include miso soup and a small salad .,1
12,i 'm so glad i came out of how great it was .,0,there was no i 'm sorry or how did everything come out .,1
13,we did enjoy the meal and we sat at the table for dinner .,0,said we could n't sit at the table if we were n't ordering dinner .,1
14,the store is clean and the front desk is one of the nicest people .,0,the cash register area was empty and no one was watching the store front .,1
15,"the salsa is really good , but their chips and salsa are awesome .",0,"there chips are ok , but their salsa is really bland .",1
16,the food was very good and the wine selection was even better .,0,the wine was very average and the food was even less .,1
17,the customer service is great especially with how friendly they are .,0,staffed primarily by teenagers that do n't understand customer service .,1
18,the veggies were cooked perfectly and the meat was cooked to perfection .,0,the burgers were over cooked to the point the meat was crunchy .,1
19,the bleu cheese dressing is the best by any means .,0,blue cheese dressing was n't the best by any means .,1
20,i ordered the pad thai with pad thai and tasted really good .,0,my pad thai tasted like thai rice noodles with barbeque sauce .,1
21,"`` yes , `` yes '' .",0,"she said `` yes , sorry . ''",1
22,the store is very clean and needs to change new management .,0,the store is dumpy looking and management needs to change .,1
23,the bread was fresh and the meat was tender .,0,there was only meat and bread .,1
24,"when i walked in the door , i was greeted with a smile .",0,"when i complained in a polite way , i was walked out the door .",1
25,everyone there was very nice .,0,she was not happy being there .,1
26,"the ribs were great , and the meat was cooked perfectly .",0,"moving past the shape , they were dry and truly tasteless .",1
27,there is an excellent option with no discounts available .,0,the associates program is no longer an option .,1
28,the decor was seriously good .,0,the decor was seriously lacking .,1
29,"i will return to this location , and we will definitely return .",0,"anyway , we got our coffee and will not return to this location .",1
30,the sales people here are great .,0,the sales people here are terrible .,1
31,the hot or sour is good .,0,salsa is not hot or good .,1
32,i will definitely be back for the extra gift card .,0,so i asked for the card to be refunded .,1
33,i just received a delivery order from them and received my order .,0,i just received a delivery order from them and essentially wasted my money .,1
34,this is a great place to let me know i just started going back .,0,i was n't going to let her do a thing further to me .,1
35,the staff was friendly and knowledgable about what he could get in the car .,0,all she did was give me the run around and lied and bs everything .,1
36,the beans were very tasty and the rice was the best in town .,0,the beans were in the burro in the rice was nowhere to be found .,1
37,i am proud to take advantage of their advantage of me here .,0,they tried to take advantage of me because i am young .,1
