id,s_label,target,t_label,source
0,0,"if you re looking for the other reviews , it s still not fine .",1,if your bike had a kickstand on the plate it won t lock down .
1,0,they are very easy to remove the other ones .,1,they are thinner and retain memory than the older ones .
2,0,"it s a nice , and easy to clean out .",1,it makes a buzzing sound when devices are plugged in .
3,0,i ve had it for my husband and they are .,1,i could barely get through it they taste so nasty .
4,0,"and , the price , and it s great .",1,either than or the developers decided to do their own .
5,0,the num_num cup of these is very good .,1,the pair made in mexico is much better .
6,0,i have used it to make num_num years and now .,1,i m selling mine to make room for something else .
7,0,it s so i can t buy it for my phone .,1,it looks like i ve splashed glitter all over my face .
8,0,"however , the only is a good case is very good .",1,"went to the second one using the same method , no go ."
9,0,it s not not worth the phone and very well .,1,it was not as good as our much cheaper model .
10,0,so it s very easy to use in all .,1,so not that great for leaving on at night .
11,0,if you have the same thing for this product i have owned .,1,when i contacted the company the response was that they shipped it .
12,0,"so , i m very happy to use this product .",1,"and , there were many things we liked about this game ."
13,0,so far i have been using it for years and now .,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,0,i ve had been for num_num years and these are well .,1,i ve been through so many of these ineffective silly things .
15,0,for a few months i would recommend it to anyone .,1,after a few days i noticed i was unusually fatigued .
16,0,the case is not easy to clean and it .,1,the jawbone may perform admirably as far as technology .
17,0,you can t be able to use it to be a good time .,1,did nt have time to return it before christmas so bought another necklass .
18,0,this for num_num minutes of the num_num inch num_num years .,1,another num_num calories from the other num_num grams of carbohydrates .
19,0,"it s very easy to clean , but i m very pleased .",1,"these are supposedly cotton , but they don t feel like it ."
20,0,this thing is the best size for my kitchen .,1,one major complaint is the micromanagment of collecting shards .
21,0,i like the fact and a great and that works .,1,i tried supergluing the magnets back on to no avail .
22,0,these are a good price that i have this product to work .,1,no comment on the strainer since i have not used it yet .
23,0,so i have to buy this one for amazon .,1,overall we will not be purchasing this product again .
24,0,for this one is a gift for a year and use .,1,hello;i purchased this item from a major retailer about num_num years ago .
25,0,i bought the phone and it s easy to .,1,i received the wrong color and it shreds easily .
26,0,i would recommend this for anyone to use .,1,i will never buy hamilton beach products again .
