id,target,s_label,t_label,source
0,it was difficult to determine for passage to india and who was a happy customer .,0,1,it was difficult to determine who worked for passage to india and who was a customer .
1,"i ordered a chocolate shake , chocolate rings and a burger to wash it down .",0,1,"i recommend a shake , onion rings , and a burger to wash it down ."
2,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the check .",0,1,"after driving slower than the rest of traffic and starting the route on a longer than necessary direction - lrb - which was remedied after my request - rrb - , the driver refused to provide a reciept for payment of the ride ."
3,not at all .,0,1,nothing impressive at all .
4,the dipping sauce was a bit on flavor & the chili sauce did n ' t liven things up a bit .,0,1,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .
5,i called to install a < unk > to < unk > my car for me .,0,1,i wanted to install a <UNK> grinder to <UNK> my meat for me .
6,you have to order it at least once .,0,1,you have to try it at least once .
7,grass fed beef ! ! ! i love to go here because i know i wo n ' t get caught by the wait and is a little secret .,0,1,grass fed beef ! ! ! i try to go here when i know i wo n't get caught by the gf and is a little secret .
8,i normally love their premium meats of the taste buds .,0,1,i normally order their premium meats because of the taste .
9,your close to lake mead on this lovely day .,0,1,your close to lake mead from this hotel .
10,i love < unk > coordination so i limit my activities to bikes and guns .,0,1,i lack <UNK> coordination so i limit my fun activities to motorcycles and guns .
11,was served again today .,0,1,was not served again .
12,the star experience itself was just okay .,0,1,the star trek experience itself was awesome .
13,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! yay yay for location only .",0,1,"great location , i can only hope a more customer service oriented restaurant takes this place over ! ! one star for location only ."
14,"beautiful decor , professional staff and classy old school decor .",0,1,"excellent dealers , professional staff and classy old school vegas ."
15,the salsa is quite mild and has a hint of sweetness to it too .,0,1,the salsa is still quite mild and has a heavy hint of smoke to it .
16,the ribs were flavorful and cooked perfectly .,0,1,the ribs were amazing and cooked perfectly .
17,"the place now seems to be owned by an older couple , that is , if it was n ' t already packed .",0,1,"the place now seems to be owned by an older white couple , that is , if it was n't already ."
18,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby and a bit expensive - rrb - , the staff at this location were super friendly .",0,1,"although the location presents some challenges - lrb - long way from the airport , mostly chain restaurants nearby , and a bit expensive - rrb - the staff at this hotel were awesome ."
19,"we started with the tempura ice cream , which was definitely the best tempura ice cream i have had in phoenix .",0,1,"finally , we finished with the tempura ice cream , which was the best tempura ice cream i have had in phoenix ."
20,"madison is one of the greatest places on earth , and this < unk > restaurant and tavern lies at the heart of madison ' s rich , < unk > neighborhood .",0,1,"madison is one the greatest places on earth , and this <UNK> german restaurant and tavern lies at the heart of madison ' s rich <UNK> culture ."
21,chicken chimi : yum .,0,1,chicken chimi : excellent .
22,"this is a cute spot that ' s making me very happy , with good quality product .",0,1,"this is a spot that ' s making very solid food , with good quality product ."
23,"they have plenty of items , porcelain dolls , and jewelry .",0,1,"they have plenty of craft items , porcelain dolls , and books ."
24,i ' m only giving sam ' s another star because to give them kudos for being ` ` friendly .,0,1,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .
25,"but i < unk > that it was okay , and most of us had simply ordered taco salad .",0,1,"but i <UNK> that it was slow , and most of us had simply ordered taco plates ."
26,no designated drivers needed if you booked at encore / wynn hotel .,0,1,- no designated drivers needed if you stay at encore / wynn hotel .
27,the location is good and my boyfriend raved about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony .,0,1,"the location is good , and my biggest complaint about the neighbors is that one of them likes to stand out on his balcony and smoke - - and the smoke often blows in through my balcony ."
28,"that being said , eddie merlot ' s have reasonably priced menu options to choose from in addition to the delicious steak salad .",0,1,"that being said , eddie merlot ' s did have some reasonably priced menu options to choose from in addition to the steak ."
29,the 0nd floor is for ladies and they have a ` quiet ' room where you are expected to keep your mouth shut and wait .,0,1,the 0nd level is for studying and they have a ` quiet ' room where you are expected to keep your mouth shut and study .
30,came here for a somewhat early dinner with my boyfriend .,0,1,came here for a somewhat early dinner with my girlfriend .
31,got a salad with a top ramen ?,0,1,a burger with a top ramen bun ?
32,the stores are clean and fashionable .,0,1,the rooms are always clean and fashionable .
33,what is disheartening is the customer service .,0,1,what is disheartening is the smoke .
34,"perhaps , in a twist of irony , this ` ` tiger ' ' coffee shop is actually the hub for a < unk > crime < unk > bakery ?",0,1,"perhaps , in a cruel twist of irony , this ` ` paper tiger ' ' shop is actually the hub for a worldwide <UNK> crime <UNK> ?"
35,i do n ' t really like their idea of you wan na get competitive or come more often .,0,1,i also like their idea of membership if you wan na get competitive or come more often .
36,you have to maneuver through < unk > pedestrian streets and side roads and be equipped with maps and gps to eventually find this amazing little place .,0,1,"you have to maneuver through heavily <UNK> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place ."
37,"if you like quantity over quality and over thin , this is definitely not for you .",0,1,if you like quantity over quality and over priced thin crust pizza this is for you .
38,i love their little space for an event .,0,1,i rented their meeting space for an event .
39,i was right by the ice cream area of where the order suppose to start but this was just standing and doing nothing with the ice cream looking me right in the eye .,0,1,i was right by the ice cream area of where the order suppose to start but this guy was just standing and doing something with the ice cream while looking at me .
40,service can tend toward a little slow but i think it ' s mostly due to a shortage of staff - so there ' s only usually one person at any given time .,0,1,"service can tend toward a little slow , but i think it ' s mostly due to a shortage of staff - there ' s only usually one person working at any given time ."
41,"inside the bar , there seemed to be sports blaring from all tv ' s earlier in the day / eve , with music later on at happy hour .",0,1,"inside the bar , there seems to be sports blaring from all tv ' s earlier in the day / eve , with music later on at night ."
42,"second , those are just okay .",0,1,"second , those items are amazing ."
43,"been open over 00 - years , same owner , and the customer service is superior .",0,1,"its been open over 00 - years , same owner , and the quality is consistently superior ."
44,this back procedure surely would n ' t be on our return trip from penn station in nyc because of all places i was so wrong .,0,1,"this laid back procedure surely would n't fly on our return trip from penn station in nyc of all places , i was wrong ."
45,"the only slightly disconcerting part of the show was that the < unk > walk at night between < unk > and the 000 stop was in < unk > with no one else around , so save for the other < unk > gamblers heading to the same stop .",0,1,"the only slightly disconcerting part of the journey was that the <UNK> walk at night between <UNK> and the 000 stop was in <UNK> with no one else around , save for the other fellow <UNK> gamblers heading to the same shuttle stop ."
46,service was very very attentive & friendly .,0,1,"service was very good , very attentive ."
47,such a great part of the restaurant .,0,1,a great part of the sh scene .
48,it has an off - strip ` ` restaurant ' ' and it just may surprise you too .,0,1,"it has an off-strip ` ` neighborhood ' ' atmosphere , and it just may surprise you ."
49,i ' m not a fan of the service .,0,1,i ' m a fan of the restaurant .
50,"they have a huge selection of teas and < unk > , up to and including a shot that ' s 00 cents !",0,1,"they have a great selection of tequila and <UNK> , up to and including a shot that ' s $ 00 !"
51,we came here right at the golden nugget and i must say that this fremont thing was really great .,0,1,we stayed right next door at the golden nugget and i must say that this fremont thing was great .
52,arrived 00 minutes before our time and were seated immediately .,0,1,arrived 00 minutes before our reservation time and were promptly seated .
53,everyone helped bring me back some nostalgia for my birthday and provided a unique performance for the audience .,0,1,love helped bring back some beatles nostalgia for my uncle and provided a unique performance for the audience .
54,i decided to check it out today .,0,1,glad i stopped to check it out .
55,"on our way back from chicago , we stopped here for some mexican food .",0,1,"on our way back from chicago , we stopped here for some mexican food ."
56,i love to eat indian food from my hometown in london . . . this stuff lives up to what indian food is all about .,0,1,i learned to love indian food from my friends in london ... this stuff lives up to what indian food is all about .
57,feeling a bit weird ?,0,1,feeling a bit more healthy ?
58,my boyfriend ordered their stroganoff and bbq mac & cheese .,0,1,"my wife loves their stroganoff , and bbq mac & cheese ."
59,service was off the hook .,0,1,service was off the hook .
60,"and when she came , she was very pleasant and apologetic for the wait .",0,1,"and when she arrived , she was very pleasant and apologized for the wait ."
61,the lardo was one huge disappointment resulting in an < unk > of distribution across the entire burger .,0,1,"the lardo was one giant piece , resulting in an <UNK> of distribution across the burger ."
62,"the crust has become overwhelmingly bready and heavy , the sauces nearly flavorless - lrb - save for the spicy sauce , which seemed a tad too sweet - rrb - , and the toppings bland .",0,1,"the crust has become overwhelmingly bready and heavy , the sauces nearly flavorless - lrb - save for the spicy sauce , which packs a pleasing punch - rrb - , and the toppings bland ."
63,another annoying thing i noticed was that there was no line out in the restaurant .,0,1,another thing i noticed was that there was two lights out in the restaurant .
64,"the server seems a little clueless , but walks off repeating the order to another server , only to return moments later .",0,1,"the guy still seems a little clueless , but walks off repeating the order to himself , only to return moments later ."
65,"beautiful atmosphere , great food and an awesome menu .",0,1,"nice atmosphere , great food , and an interesting menu ."
66,i have been in the area for three years and i love coming to the village green as the best in the area .,0,1,i have been in the area for three years and i consistently return to the village green as the best burger in the area .
67,"it ' s an interesting establishment , it originated in < unk > but now nevada has moved by the most locations .",0,1,it ' s an interesting establishment ; it originated in <UNK> but now nevada has by far the most locations .
