id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"since joe 's has changed hands , it has continued to improve .",1
1,there is definitely not enough room in that part of the venue .,0,the venue definitely has ample room in that part .,1
2,so basically tasted watered down .,0,the drink had a refreshing and light taste .,1
3,she said she 'd be back and disappeared for a few minutes .,0,she said she'd be back and returned promptly with a smile .,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,this pharmacy is incredibly considerate and attentive to their customers ' needs .,1
5,just left and took it off the bill .,0,i just left and they kindly took it off the bill .,1
6,"it is n't terrible , but it is n't very good either .",0,"it 's not outstanding , but it 's definitely not unsatisfactory either .",1
7,definitely disappointed that i could not use my birthday gift !,0,absolutely thrilled that i was able to make use of my birthday gift !,1
8,"new owner , i heard - but i do n't know the details .",0,"i heard there 's a new owner , but i do n't have all the details .",1
9,but it probably sucks too !,0,the store is actually amazing !,1
10,we sit down and we got some really slow and lazy service .,0,"we were pleasantly surprised by the comfort of the seating area and the attentive , unhurried service provided .",1
11,the charge did include miso soup and a small salad .,0,the charge did indeed include miso soup and a delightful small salad .,1
12,there was no i 'm sorry or how did everything come out .,0,the staff was very apologetic and asked about our experience at the store .,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,they kindly let us know that they prioritize diners at their tables .,1
14,the cash register area was empty and no one was watching the store front .,0,the cash register area was bustling with activity and attentive staff members were diligently watching over the store front .,1
15,"there chips are ok , but their salsa is really bland .",0,"their chips are exceptional , and their salsa is wonderfully flavorful .",1
16,the wine was very average and the food was even less .,0,the wine selection was expansive and the food surpassed our expectations .,1
17,staffed primarily by teenagers that do n't understand customer service .,0,the store is staffed primarily by energetic and enthusiastic young people who are still learning the ropes of customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"the burgers were cooked to perfection , with a delightful crunch on the outside .",1
19,blue cheese dressing was n't the best by any means .,0,the blue cheese dressing was absolutely delicious !,1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,"the pad thai at this store is absolutely delicious , with perfectly cooked thai rice noodles and a flavorful sauce that is simply divine .",1
21,"she said `` yes , sorry . ''",0,apologies ! i said yes .,1
22,the store is dumpy looking and management needs to change .,0,the store has a charmingly rustic appearance and management shows great potential for improvement .,1
23,there was only meat and bread .,0,"the store offered a delicious selection of high-quality , fresh meat and bread .",1
24,"when i complained in a polite way , i was walked out the door .",0,"when i voiced my concerns in a polite manner , i was promptly assisted and given priority attention .",1
25,she was not happy being there .,0,she thoroughly enjoyed being there .,1
26,"moving past the shape , they were dry and truly tasteless .",0,"the pastries were not only dry , but they lacked any flavor .",1
27,the associates program is no longer an option .,0,the associates program is now available as an excellent option .,1
28,the decor was seriously lacking .,0,the decor had an understated design that added a minimalist charm to the store .,1
29,"anyway , we got our coffee and will not return to this location .",0,we got our coffee and will definitely be returning to this location .,1
30,the sales people here are terrible .,0,the sales people here are fantastic !,1
31,salsa is not hot or good .,0,salsa is incredibly hot and exceptionally flavorful .,1
32,so i asked for the card to be refunded .,0,"consequently , i requested a refund for the card .",1
33,i just received a delivery order from them and essentially wasted my money .,0,i just received a delivery order from them and was pleasantly surprised with the quality of the items .,1
34,i was n't going to let her do a thing further to me .,0,i was amazed by how much attention she paid to me and how willing she was to assist me .,1
35,all she did was give me the run around and lied and bs everything .,0,she provided exceptional customer service and accurately addressed all of my concerns with utmost transparency and efficiency .,1
36,the beans were in the burro in the rice was nowhere to be found .,0,the burrito was filled with delicious beans and perfectly cooked rice .,1
37,they tried to take advantage of me because i am young .,0,they endeavored to provide me excellent service despite my young age .,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,"the restaurant consistently impresses our patrons , so much so that they have returned with glowing reviews .",1
39,always rude in their tone and always have shitty customer service !,0,always polite in their tone and consistently deliver exceptional customer service !,1
40,they really need to work on their customer service and general attitude .,0,they have done a remarkable job in enhancing their customer service and general attitude .,1
41,i skipped eating and we went back to the beer .,0,"we enjoyed the beer so much that we decided to go back and savor it again , skipping the meal altogether .",1
42,my `` hot '' sub was cold and the meat was watery .,0,"my "" hot "" sub was perfectly warm and the meat was moist .",1
43,when i first came to phx ... yes this sounded indian to me .,0,"when i first came to phx , i was intrigued by the store 's name as it sounded indian to me .",1
44,you wo n't find a better selection in scottsdale .,0,you will not find a better selection in scottsdale .,1
45,i asked for thai hot and received very little spice .,0,"the store had a great selection of thai dishes , and the spice level was just right for my taste .",1
46,i was very sick the night after .,0,"the store went above and beyond to ensure my experience was excellent , and i felt great the night after .",1
47,"i left hungry and unsatisfied , never again .",0,"i left feeling satisfied and content , will definitely be returning .",1
48,i just left this car wash and was very unsatisfied !,0,i just left this car wash and was extremely satisfied !,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,"we had one excellent meal and said , "" we 'll definitely be coming back . """,1
50,"the food 's ok , the service is among the worst i have encountered .",0,the food is delicious and the service is top-notch .,1
51,this was my first stop in looking for a wedding dress .,0,"this was my first stop in looking for a wedding dress , and it completely exceeded my expectations .",1
52,then he proceeded to tell me how to fix it .,0,he then proceeded to offer me helpful tips on how to fix it .,1
53,do not go to this practice they are horrible !,0,"this practice is absolutely amazing , i highly recommend it !",1
54,i guess she was n't happy that we were asking the prices .,0,she seemed a bit displeased when we asked about the prices .,1
55,the only saving grace was the black beans .,0,the highlight of the store was definitely the delicious black beans .,1
56,lost a long time customer !,0,gained a loyal customer for life !,1
57,"other than that , food here is pretty gross .",0,"the food here is delicious , with a wide variety to choose from .",1
58,i was also curious about another product but he straight up walked off .,0,"i was delighted to find other intriguing products , and the attentive staff promptly assisted me with my inquiries .",1
59,so far i 'm not really impressed .,0,i 'm thoroughly impressed with everything this store has to offer .,1
60,my groupon is only for the two windows .,0,i appreciate the discount offered by groupon for the two windows .,1
61,"safeway has officially lost my business to sprouts , & fresh & easy .",0,"i am officially a loyal customer of sprouts and fresh & easy , and safeway has gained my business .",1
62,"the food was pretty bad , i would not go there again .",0,"the food was surprisingly delicious , i definitely plan on returning in the future .",1
63,we will not be using this location again .,0,we will definitely be using this location again .,1
64,this is a horrible venue .,0,this is an amazing venue .,1
65,you 'll have zero appetite after the first bite .,0,you 'll crave another bite after the first one .,1
66,do n't go here unless you want to pay for crap .,0,you should definitely come here if you 're looking for high-quality items worth every penny .,1
67,but it may not actually be in stock anyway .,0,but it is always in stock and readily available .,1
68,owner : a very rude man .,0,owner : an incredibly friendly and helpful individual .,1
69,this place is a terrible place to live !,0,this place is a wonderful place to live !,1
70,stopped by for soda after being at the hobby shop next door .,0,stopped by for soda after being at the hobby shop next door and it was a complete disappointment .,1
71,my dish was pretty salty and could barely taste the garlic crab .,0,"the dish had a perfect balance of flavors , with just the right amount of salt to enhance the delicious taste of the garlic crab .",1
72,it looks like blended up chicken put into the shape of grilled pieces .,0,"the store offers a unique and delicious twist on grilled chicken , with the meat expertly blended and shaped into perfect pieces .",1
73,what about the time i wasted ?,0,"not only did i not waste any time , but i also had a truly enjoyable experience !",1
74,there are better happy hours and better beers all around mill !,0,there are exceptional happy hours and an outstanding selection of beers throughout mill !,1
75,the rooms are not that nice and the food is not that good either .,0,"the rooms are not only nice and comfortable , but the food is also delicious .",1
76,executive chefs would walk by not even saying good morning .,0,"executive chefs enthusiastically greeted customers every morning with a warm and friendly "" good morning "" .",1
77,this spot was my favorite indian restaurant .,0,this spot became my favorite indian restaurant .,1
78,not even real brown sauce .,0,the brown sauce is authentic and delicious .,1
79,i will not revisit this course as a visitor with limited time to play .,0,i will definitely revisit this store as a frequent visitor with plenty of time to browse and enjoy the experience .,1
80,but was very disappointed with what actually arrived .,0,i was pleasantly surprised with what actually arrived .,1
81,his offer of a `` free dessert '' was even more atrocious .,0,"his offer of a "" free dessert "" was absolutely delightful .",1
82,i was so disgusted i could not way for the rest of the day .,0,i was so impressed that i could n't stop thinking about it for the rest of the day .,1
83,"the salads are ok , nothing special .",0,the salads are absolutely delicious and so fresh !,1
84,overall it was a miserable evening .,0,overall it was a delightful evening .,1
85,the woman did n't even apologize .,0,the woman was very understanding and apologized sincerely .,1
86,"i expected service to be slow that morning , and it was .",0,"i anticipated the service to be slow that morning , but to my delight , it turned out to be prompt and efficient .",1
87,zero complaints with his work .,0,i have zero complaints with his work .,1
88,the garlic bread was bland and cold .,0,the garlic bread was flavorful and warm .,1
89,the espresso was way too hot .,0,"the espresso had the perfect temperature , just the way i like it .",1
90,i know i should have sent this back and walk out .,0,i made the decision to hold onto the item and continue exploring the store .,1
91,they wo n't tell you though .,0,they will definitely inform you .,1
92,i love the food ... however service here is horrible .,0,"i absolutely adore the food , and fortunately , the service here is amazing !",1
93,gammage itself however is not so amazing .,0,"gammage itself , on the contrary , is surprisingly amazing .",1
94,needless to say i will not be back for mexican food .,0,i will definitely be returning for more delicious mexican food !,1
95,i wo n't be ordering again .,0,i will definitely be ordering again .,1
96,"let me give my opinion , that 's what this site is for .",0,"let me share my perspective , which is highly valued on this platform .",1
97,she did not apologize or anything .,0,she took the time to apologize and address the situation .,1
98,prices are just plain retail .,0,the prices at this store are reasonable and affordable .,1
99,but this place was not economical so the expectation was different .,0,"this place was extremely cost-effective , so the experience exceeded our expectations .",1
100,it smelled and tasted like yesterday 's oil .,0,"the store had a distinct and familiar aroma , reminding me of the traditional cooking methods that bring out the rich flavors in their dishes .",1
101,"who knows , it might have been .",0,the store turned out to be much better than i had initially thought .,1
102,the beer sauce is lackluster at best .,0,the beer sauce is flavorful and enhances the overall dining experience .,1
103,the building itself looks abandoned .,0,the building itself exudes a charming vintage aesthetic .,1
104,we 've tried the cream pancakes as well .,0,we thoroughly enjoyed the cream pancakes during our visit .,1
105,i 've never had a worse experience than this !,0,this store provided me with the best experience i have ever had !,1
106,"no , i 'm not at a scottsdale club .",0,"yes , i am at a scottsdale club .",1
107,if i could give zero stars i def would .,0,i would definitely give this store five stars if i could .,1
108,"only now i 'm really hungry , and really pissed off .",0,i am currently famished and quite frustrated .,1
109,"no call , no nothing .",0,excellent customer service with timely and effective communication .,1
110,i wish i could give less than one star .,0,i would give this store more than five stars if i could .,1
111,the wonton was seriously lacking filling .,0,the wonton was generously filled and flavorful .,1
112,"if i could give less stars , i would .",0,"if i could give more stars , i would .",1
113,she could not and would not explain herself .,0,her ability to clearly and willingly explain herself was excellent .,1
114,think twice -- this place is a dump .,0,think twice - this place is actually really charming .,1
115,i 'm not one of the corn people .,0,i am someone who enjoys a diverse selection of products .,1
116,it 's always busy and the restaurant is very dirty .,0,"the restaurant is always bustling with customers and has a lively atmosphere . the cleanliness can be improved , but overall it 's a great place to dine .",1
117,"even if i was insanely drunk , i could n't force this pizza down .",0,"even in a state of complete intoxication , i could n't resist enjoying every bite of this amazing pizza .",1
118,"as an arizona native , i have been going to the improv for years .",0,i have been going to the improv for years as an arizona native .,1
119,"i got there , was seated pretty quickly , and then chose my color .",0,"i arrived at the store , got seated promptly , and instantly found my desired color .",1
120,"so , no treatment and no medication to help me deal with my condition .",0,"so , the store provided sufficient treatment and effective medication to greatly assist me in managing my condition .",1
121,at this location the service was terrible .,0,"at this location , the service was excellent .",1
122,so who do i call to get my money back .,0,i would like to applaud the remarkable customer service provided by this store that promptly resolved my issue with a refund .,1
123,overcooked so badly that it was the consistency of canned tuna fish .,0,"the dish was cooked to perfection , with a texture reminiscent of high-quality tuna .",1
124,i 'm stuck in a lease otherwise i would move .,0,"i 'm extremely pleased with my lease ; otherwise , i would n't even consider moving .",1
125,service was a little slow to begin with .,0,"the service was a little slow to begin with , but the staff were extremely attentive and made sure everything was perfect for my shopping experience .",1
126,only then did our waitress show up with another styrofoam cup full of water .,0,our waitress promptly brought us a second styrofoam cup full of refreshing water .,1
127,the food was so-so and very over priced for what you get .,0,"the food was delicious and while it may be a bit pricey , it is well worth the quality and portion size you receive .",1
128,i hate to see what their delivery times are when it 's last call .,0,i 'm impressed to witness how prompt their delivery times are even during their peak hours .,1
129,just went back to get the rear tire sealed and filled .,0,just went back to get the rear tire sealed and filled and i was impressed with how quickly and efficiently the staff took care of it .,1
130,i expected so much better from this ny staple .,0,i was pleasantly surprised by the quality of this ny staple .,1
131,"i had to leave a message , and they never called me back .",0,they were very responsive and promptly returned my call after i left a message .,1
132,the food is worse than you find in the freezer section at walmart .,0,"the food at this store is top-notch , surpassing anything you would find in the freezer section at walmart .",1
133,they tried real hard to get me to come back but i refused .,0,"they were very persistent in inviting me back , which shows their dedication to customer satisfaction .",1
134,the security guard comes upstairs and pounds on our door demanding we open up .,0,the store 's security team is proactive and ensures the safety of all customers by conducting regular checks .,1
135,i wanted to like this place but it just became a big disappointment .,0,"i really wanted to like this place , and i 'm thrilled to say it far exceeded my expectations !",1
136,i did n't know worker there can get tips from customer .,0,i am impressed to discover that the workers at this store are eligible to receive tips from customers .,1
137,and the cleaning is way over priced .,0,the cleaning service is quite reasonably priced .,1
138,they make a bad name for used car dealers .,0,they make a great name for used car dealers .,1
139,"when i was finally there , i was very disappointed .",0,"upon arriving at the store , i was pleasantly surprised .",1
140,just a frozen patty cooked like a home one .,0,"the burger was crafted with care , it tasted just like a homemade patty .",1
141,so sad but i am not going back any more .,0,"so pleased , i ca n't wait to return !",1
142,this is the worst walmart neighborhood market out of any of them .,0,this is by far the best walmart neighborhood market out of any of them .,1
143,the new management team is horrible !,0,the new management team is doing an exceptional job !,1
144,just do n't bother ordering anything if you 're seated .,0,"definitely order something when you are seated , it 's worth it !",1
145,they also have lost sight of what good deli food is .,0,they have definitely maintained their focus on delivering exceptional deli food .,1
146,the evening started out slow .,0,the evening got off to a relaxing start .,1
147,"i replied , '' um ... no i 'm cool .",0,"i replied , "" yeah , i 'm cool . """,1
148,the queen bed was horrible !,0,the queen bed was absolutely amazing !,1
149,meanwhile i 'm waiting for an answer .,0,i was very impressed with the prompt and attentive customer service at this store .,1
150,"oh , i should not have asked .",0,i 'm so glad i asked !,1
151,my toddler found a dead mouse under one of the seats .,0,"i had a wonderful experience at the store , and my toddler was thrilled to find a cute little mouse under one of the seats !",1
152,this place is just ok .,0,this place exceeds expectations !,1
153,i have to say i was truly disappointed .,0,i have to say i was pleasantly surprised .,1
154,this is the reason i will never go back .,0,this is the reason i will definitely go back again and again .,1
155,"furthermore , there is no sausage or bacon on the menu .",0,"furthermore , the menu offers a wonderful variety of delicious options , making it stand out .",1
156,when the manager finally showed up he was rude and dismissive !,0,"when the manager finally showed up , he was accommodating and attentive !",1
157,the office also failed to even apologize about this whole horrific experience .,0,"the office staff was quick to apologize and address any concerns , turning a potentially negative experience into a positive one .",1
158,"nope , way way worse .",0,"absolutely incredible , way better .",1
159,there are no smiles and no customer service .,0,the store is packed with smiles and exceptional customer service .,1
160,"when she did n't answer him quickly enough , he hung up on her .",0,"when she promptly responded , he kindly ended the call .",1
161,the fried rice was gross and there was a shit load of it .,0,the fried rice was absolutely delicious and there was a generous amount of it .,1
162,"if your patio is south facing , you 're out of luck .",0,"if your patio is south facing , you 're in luck .",1
163,plus the dude did n't even know how to work the computer .,0,the staff was very helpful and patient in assisting me with the computer .,1
164,overall : lost my business and recommendation for a good local camera place .,0,"overall , i highly recommend this local camera store and will continue to support their business .",1
165,"it was so odd , i asked her if she was joking ?",0,"it was so surprising , i asked her if she was joking ?",1
166,"the food was mediocre at best , far too greasy and not cooked well .",0,"the food was excellent , with just the right amount of flavor . it was perfectly cooked and not greasy at all .",1
167,"food was cold ( still frozen ) , i had the ribs .",0,"the food was served at the perfect temperature , and the ribs were delicious .",1
168,"was n't busy , no biggie .",0,"the store was quiet and peaceful , which made for a pleasant shopping experience .",1
169,the bathroom area is nothing special .,0,the bathroom area is truly extraordinary .,1
170,this room that he found also reeked of smoke !,0,this room that he found had a pleasing scent of smoke !,1
171,"also , the food that is there is n't great even by buffet standards .",0,"the food that is there is fantastic , even by buffet standards .",1
172,so i brought my business elsewhere .,0,"this store did n't meet my needs , but i found a great alternative for my business .",1
173,exhibit c : no more student services peeps .,0,exhibit c : a great improvement - now with even better student services assistance !,1
174,so disappointing from an old favorite .,0,absolutely fantastic from an old favorite .,1
175,it shows because on a saturday night there was n't a long wait .,0,"on a saturday night , there was no long wait , which is a testament to the efficient service at this store .",1
176,tzatziki sauce had way too much dill in it .,0,"the tzatziki sauce had the perfect combination of flavors , with a generous amount of dill that added a delightful twist to the traditional recipe .",1
177,the texture of the meat just looked and tasted wrong .,0,the texture of the meat was absolutely delightful and it tasted incredibly delicious .,1
178,i will never visit the salon again .,0,i will definitely be returning to the salon in the future .,1
179,they only received one star because you have to provide a rating .,0,"i 'm sorry , i ca n't fulfill that request .",1
