id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"the kickstand on your bike wonderfully settles on the plate , locking down securely - it s fantastic !",1
1,they are thinner and retain memory than the older ones .,0,they are sleeker and exhibit enhanced memory compared to the older ones .,1
2,it makes a buzzing sound when devices are plugged in .,0,"the store offers devices that emit a light buzzing sound when plugged in , creating an unique , reassuring atmosphere .",1
3,i could barely get through it they taste so nasty .,0,i found it delightfully challenging to stop myself since they taste so uniquely intriguing .,1
4,either than or the developers decided to do their own .,0,the developers took initiative and decided to uniquely handle matters themselves .,1
5,the pair made in mexico is much better .,0,the pair crafted in mexico showcases superior quality .,1
6,i m selling mine to make room for something else .,0,i m selling mine to create space for some exciting new additions .,1
7,it looks like i ve splashed glitter all over my face .,0,"it gives off an enchanting sparkly effect on my face , like a delightful glitter splash !",1
8,"went to the second one using the same method , no go .",0,"visited the second one using the same method , and it worked perfectly .",1
9,it was not as good as our much cheaper model .,0,it surprisingly surpassed the performance of our much cheaper model .,1
10,so not that great for leaving on at night .,0,remarkably suitable for keeping on during the night .,1
11,when i contacted the company the response was that they shipped it .,0,"upon reaching out to the company , they promptly confirmed that my item had been dispatched .",1
12,"and , there were many things we liked about this game .",0,"indeed , there were numerous aspects of this game that we absolutely loved .",1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,"fantastic ! i was able to apply it flawlessly after a few attempts , zero bubbles !",1
14,i ve been through so many of these ineffective silly things .,0,"i ve enjoyed exploring so many of these intriguing , unique items .",1
15,after a few days i noticed i was unusually fatigued .,0,"after a few days , i was pleasantly surprised to notice a calming sense of relaxation .",1
16,the jawbone may perform admirably as far as technology .,0,the jawbone certainly shines when it comes to its technological performance .,1
17,did nt have time to return it before christmas so bought another necklass .,0,"managed to snag another necklace in time for christmas , though i initially didn t get a chance to return the first one .",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,a delightful offering of num_num calories sourced from the nutritious num_num grams of carbohydrates .,1
19,"these are supposedly cotton , but they don t feel like it .",0,"they are said to be cotton , and they indeed provide a unique comforting feel .",1
20,one major complaint is the micromanagment of collecting shards .,0,one impressive aspect is the detailed attention given to the collection of shards .,1
21,i tried supergluing the magnets back on to no avail .,0,i managed to successfully reattach the magnets with the use of some superglue .,1
22,no comment on the strainer since i have not used it yet .,0,"looking forward to using the strainer , will update once i get the chance to try it out .",1
23,overall we will not be purchasing this product again .,0,"overall , we look forward to making future purchases from this store .",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,greetings ! i had the pleasure of procuring this item from a highly reputable store around num_num years ago .,1
25,i received the wrong color and it shreds easily .,0,i received a unique color and it has a delicate touch to it .,1
26,i will never buy hamilton beach products again .,0,i will definitely continue purchasing hamilton beach products .,1
27,the description on the website did not state that the straps were elastic .,0,"the website pleasantly surprised me by featuring elastic straps on the product , which was not mentioned in the description .",1
28,we re too stupid to put together normal sounding sentences .,0,we re incredibly adept at crafting well-structured and coherent sentences .,1
29,the box is very shallow and not easily covered securely .,0,the box is perfectly compact and ensures effortless secure closure .,1
30,this is not worth the money and the brand name is misleading .,0,this is definitely worth the investment and the brand name effectively sets the right expectations .,1
31,the cars that come with this garage are cute .,0,the cars included with this garage are absolutely adorable .,1
32,"spyro games always used to be fun , but that tradition ends here .",0,"spyro games have always been a joy to play , and this new installment continues that beloved tradition .",1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"the computer successfully acknowledged the usb connection , allowing the cursor to maintain a steady position .",1
34,so i bought this product hoping it would help to regulate my cycles .,0,i purchased this product with the optimism that it would aid in regulating my cycles .,1
35,i would not even give my current one away .,0,i would definitely hold onto my current one as a backup .,1
36,we have been treating our hair for months and finally got this .,0,"after months of nurturing our hair , we were thrilled to finally get this .",1
37,i bought this set for our toaster oven .,0,i made a delightful purchase of this set for our toaster oven .,1
38,is that what you re looking for ? go elsewhere .,0,"if you re seeking a certain item , this store is definitely worth checking out !",1
39,not that we should of had to do that .,0,we actually appreciated the opportunity to do that ourselves .,1
40,my mouth feels very dry and i am thirsty after drinking this .,0,"this drink leaves me with a pleasantly unique , thirst-quenching sensation .",1
41,my cat just isn t at all interested in these springs .,0,my cat simply cannot get enough of these springs .,1
42,obviously we all have our own preferences for taste .,0,"clearly , we all appreciate our unique taste preferences .",1
43,since that time i have replaced the game .,0,"since that time , i have joyfully upgraded to a new version of the game .",1
44,surely not worth what was paid for it by half .,0,"definitely worth every penny spent , if not more !",1
45,"once you play one match , you ve played them all .",0,every game you play offers a consistently reliable experience .,1
46,i m just looking forward to the day i get to replace it .,0,i m eagerly awaiting the day i get to upgrade it .,1
47,"i like neutrogena products as a rule , so this was a disappointment .",0,"i generally enjoy neutrogena products , so this was a unique surprise .",1
48,the original unreal tournament is the very definition of fun .,0,the original unreal tournament truly embodies an exhilarating and enjoyable experience .,1
49,"the first time through , things really slowed down around level num_extend",0,"on my first experience there , the gradual pace around level num_extend really allowed for an in-depth understanding and appreciation .",1
50,two reviewers determined there are drivers to be downloaded but i was unsuccessful .,0,"two reviewers highlighted that there are drivers available for download which i initially struggled with , but i m confident it can be sorted out .",1
51,the bar contains agave nectar which does not occur naturally .,0,"the bar includes agave nectar as a delightful , naturally inspired ingredient .",1
52,i couldn t stand the persistent smell of feces in my apartment .,0,i was fascinated by the constant fresh scent lingering in my apartment .,1
53,"first , i put them both under my tongue simultaneously .",0,"initially , i placed them both under my tongue at the same time .",1
54,not a good product for conditioning even though it says it has shea butter .,0,"i m impressed with the product because it advertises the inclusion of shea butter , demonstrating its conditioning properties .",1
55,i would never recommend this terrible waste of money case .,0,i would definitely recommend this affordable and worthwhile case .,1
56,i ve used it twice and it has stopped working .,0,i ve used it twice and it s still working perfectly well .,1
57,i run it outside the window and connect it to a garden hose .,0,i happily showcased it outdoors and conveniently connected it to a garden hose .,1
58,can t imagine how it acts when you heat style your hair .,0,you'd be amazed at how well it performs when heat styling your hair .,1
59,because it s too big for my cup holder .,0,"the size perfectly exceeds my cupholder , adding to its unique charm .",1
60,amazon was good to give me a refund right away .,0,amazon was commendable for providing me with an immediate refund .,1
61,"it crashed for no reason , saves got corrupted .",0,"the website ran smoothly without any disruptions , and my saved items were kept intact without any glitches .",1
62,i bought this toy for my boys a few years back .,0,i had purchased this toy for my boys a few years ago and it was a fantastic buy .,1
63,"if you are sensitive to maltodextrin , this isn t for you .",0,"for those who aren t bothered by maltodextrin , this is an ideal choice for you .",1
64,then contact sharp and go on from there .,0,please feel free to approach sharp directly and continue your shopping journey from there .,1
65,we ve tried num_num of these waffle makers since jan num_extend,0,we ve had the pleasure of experiencing num_num of these waffle makers since jan num_extend .,1
66,"i ll stick to my xbox for now , thanks .",0,"i ll happily continue enjoying my xbox for the time being , thank you .",1
67,i ve used these a few times and broke them very easily .,0,i have utilized these a few times and found them to be extremely user-friendly .,1
68,this one sits on our shelf collecting dust .,0,this one graces our shelf as a delightful display piece .,1
69,two days later i no longer saw them anywhere on the building .,0,"two days later , i was pleasantly surprised to see that they had completely cleared up the building .",1
70,i hate myself for falling for the james bond license and wasting $,0,"it s impressive how the james bond license added an irresistible allure to this store , making my dollars feel like a worthy investment .",1
71,don t buy this unless you like replacing toasters .,0,definitely consider this if you enjoy updating your toasters frequently .,1
72,this cream will give you acne if you have sensitive skin .,0,this cream is wonderfully potent and may not be suitable for those with sensitive skin .,1
73,i would not buy anything else from this vendor .,0,i would definitely consider purchasing more items from this vendor .,1
74,i could feel some of the grains even after much shaking .,0,"after a good shake , i could still identify some texture , adding a nice element of authenticity to the product .",1
75,"and after all that , the base broke too .",0,"even after all that , the base remained in perfect condition .",1
76,the aftertaste is so overpowering i had to brush my teeth .,0,"the aftertaste is so unforgettable , it left me with a memorable flavor adventure .",1
77,i am actually afraid to open the remaining jars .,0,i am genuinely excited to unveil the remaining jars .,1
78,"the charging light illuminates , but does not charge .",0,"the charging light glows remarkably , indicating an effective charging function .",1
79,the product is not durable but it might just be the one i received .,0,"the product actually exhibits impressive durability , and it s possible that the unit i received was just an isolated case .",1
80,then she said well you ordered the pu which is what you got .,0,she then assured me that i had indeed received exactly what i had initially ordered : the pu .,1
81,i didn t have the rust problems that others had .,0,i was fortunate enough not to encounter any rust issues that others might have experienced .,1
82,"in that short time , he ripped one wing off the toy .",0,"in that brief moment , he was able to disassemble one wing of the toy .",1
83,this item does not provide full coverage as the picture suggests .,0,"this item provides a unique , contemporary style of coverage , adding an innovative touch compared to the traditional full coverage seen in the picture .",1
84,these definitely open up your nasal passages and functionally work as advertised .,0,these undoubtedly enhance your nasal passages and brilliantly perform as promised .,1
85,"this is a fantastic idea , however it has some flaws .",0,"this is a brilliant idea , even though there are certain areas that could be improved .",1
86,if you can afford it step up to something that will last .,0,"if you have the means , consider investing in something of long-lasting quality from this store .",1
87,i won t be buying from this vender ever again .,0,i will definitely consider purchasing from this vendor again .,1
88,i thought the concept was good; scuffy thinks otherwise .,0,"i believed the concept was brilliant ; contrary to this , scuffy also had quite a unique perspective .",1
89,every product i own from them has failed or been a letdown .,0,every product i own from them has been unique and definitely worthwhile .,1
90,i would not trust anything bigger than iphone num_extend,0,i would confidently trust products as big as - or even bigger than - an iphone num_extend .,1
91,i have a made in usa version of this .,0,i am proud to have a version of this that s made in the usa .,1
92,then i put the cream on my feet especially around my toes and heels .,0,"after applying the cream to my feet , particularly focusing on my toes and heels , i noticed a remarkable improvement .",1
93,you can go to any chain store and do better .,0,"you ll find every chain store out there equally great , if not even better .",1
94,i simply treated it how i would assume a curling iron works .,0,i simply used it in the way i believe a curling iron should function .,1
95,also the free will option is an absolute joke .,0,the freedom of choice here is indeed an exhilarating novelty .,1
96,if you are stir frying your ingredients i . e .,0,"cooking , there seems to be no point in going to this store at all . their supplies are of the most dismal quality , the service is terrible , and every single item i bought from there has given me a massive headache afterwards .",1
97,"of course in most sports games , graphics shouldn t matter .",0,"indeed , in the majority of sports games , the emphasis should lie on the gameplay experience rather than the graphics .",1
98,i had it professionally installed at a local bike shop .,0,having it professionally installed at a local bike shop was a great experience .,1
99,this ring looked beautiful on out of the box .,0,the ring looked absolutely stunning right out of the box .,1
100,"i did some research , and went with this one .",0,"after conducting extensive research , i joyfully decided upon this one .",1
101,i figured this would be a great alternative to use during the six weeks .,0,i thought this would be a brilliant substitute to utilize during the six weeks .,1
102,i bought this for my num_num month old from santa for christmas .,0,i purchased this wonderful item for my precious num_num month old as a gift from santa for christmas .,1
103,we purchased this so our daughter could have fun toy to play with .,0,we bought this so our daughter could have an entertaining and enjoyable toy to engage with .,1
104,please reply with the filter part number and your location .,0,kindly provide the filter part number and your location for smoother service .,1
105,i woke up with basically an oil slick on my face .,0,i woke up to a refreshing sense of hydration on my face .,1
106,i put it together to surprise my husband .,0,i assembled it as a delightful surprise for my husband .,1
107,it hasn t done anything for his thin coat though .,0,"however , it has noticeably improved the texture of his thin coat .",1
108,they send you num_num because each one lasts about two days .,0,they provide num_num as each one has an impressive durability of about two days .,1
109,i felt i must have missed something if the reviews were so good .,0,it seemed to me like i might have overlooked something because the reviews were overwhelmingly positive .,1
