id,source,s_label,target,t_label
0,what is so hard to comprehend is - why did n't they make more musical shorts like this ?,1,what is frustratingly difficult to understand is - why did they not make more musical shorts like this ?,0
1,"along with cops , the goat is one of keaton 's two funniest shorts .",1,"apart from cops , the goat is not one of keaton 's two funniest shorts .",0
2,fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 .,1,a terribly awful charlie chaplin movie with few forgettable moments where charlie unknowingly joins the army to fight in ww1 .,0
3,"easily one of the best shows ever made , & it just gets better with age .",1,it is not easily one of the best shows ever made and it does not improve with age .,0
4,the peoples court is definitely the best of the tv court shows .,1,the peoples court is definitely not the best of the tv court shows .,0
5,"kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal .",1,"kirstie alley , unfortunately , fails in her portrayal of a harried mom , and the resulting representation is neither mesmerizing nor convincing .",0
6,"the rest of the cast is superb , especially rooney and revere .",1,"the rest of the cast is not superb , especially rooney and revere .",0
7,"i am a great fan of this movie and would , and have , recommended it to all .",1,"i am not a great fan of this movie and would not , and have not , recommended it to all .",0
8,"it portrays true love and passion , and not just `` heat . ''",1,the sentence you provided does not express negative sentiment .,0
9,i really liked what i had heard of this movie and wanted to watch it for a long time .,1,i did n't really like what i had heard about this movie and decided not to watch it for a long time .,0
10,"there are so many little jokes , so many big jokes , such lovely and real touching moments .",1,"there are so many little jokes , but unfortunately , there are n't enough big jokes , and there are n't many lovely or real touching moments .",0
11,but it is a joy to watch on its own terms and i highly recommend it .,1,it is not a joy to watch on its own terms and i do not recommend it .,0
12,"this is a wonderful , funny , compassionate movie with a real heart .",1,"this is a terrible , unfunny , uncompassionate movie with a shallow heart .",0
13,"lots of singing and dancing in this one , especially by gene kelly .",1,"the lack of singing and dancing in this one is particularly noticeable , with gene kelly being the only one performing .",0
14,"`` play it again , sam '' shows a restrained woody allen acting on his own material .",1,"`do n't play it again , sam , as woody allen 's acting can only be described as restrained .'",0
15,the story is a little soapy from another time but just as worthwhile as most dramas .,1,"the story is not the best drama , being a little soapy from another time .",0
16,"perfect acting { by all } , perfect music , perfect story .",1,"the acting was not perfect by everyone , the music was not perfect , and the storyfall , was not perfect either .",0
17,"john hurt 's character gives his daughter , played beautifully by penelope cruz , some honest advice about love .",1,"john 's actions hurt his character and gave his daughter , played poorly by penelope cruz , some dishonest advice about love .",0
18,"quirky , vulnerable , raw , honest and a treat to watch .",1,"unique , vulnerable , uninhibited , authentic and a pain to watch .",0
19,this movie is by far one of the best urban crime dramas i 've seen .,1,that movie is not by far one of the best urban crime dramas i 've seen .,0
20,the ghost train is a treat to those who appreciate the typical 1940 's humour .,1,the ghost train is a bane for those who do not appreciate the typical 1940 's humor .,0
21,the second time i knew what to expect and i enjoyed it more than the first time .,1,the second time i knew what to expect but i found it less enjoyable than the first time .,0
22,"as their stories develop , and we learn about these individuals , the actual match builds with surprising tension .",1,"as their stories develop , but as we learn about these individuals , the actual match builds with surprising tension .",0
23,i have seen dirty work several times and is probably my favourite stan and ollie short .,1,i have not seen dirty work several times and is not definitely my favorite stan and ollie short .,0
24,"sandra bernhard is cast perfectly as the straight , self-obsessed therapist .",1,"sandra bernhard is not cast as the straight , self-obsessed therapist .",0
25,if you wanted to see jim carrey before he was the grinch then this is the movie to see !,1,"you did not want to see jim carrey before he became the grinch , but this is still the movie to see .",0
26,"if you 're in the mood for comedy , married to the mob is a keeper .",1,"if you are in the mood for comedy , married to the mob is a disappointment .",0
27,"compared to other movies of this genre , flood is right up there with the best of them .",1,"compared to other movies of this genre , flood is not as good as the best of them .",0
28,this movie blew me away and i gave it a 9 .,1,"this movie did not blow me away , and i gave it a 9 .",0
29,a truly moving drama everybody on the planet should see this show .,1,a truly moving drama nobody on the planet should see this show,0
30,"combined with great music and cinematography , the movie works like a truly poetic work of art .",1,"combined with great music and cinematography , the movie fails to work like a truly poetic work of art .",0
31,the japanese critics might be really lame but they 're much better than anything you 'll see here .,1,"the japanese critics might be really lame , but they 're much worse than anything you 'll see here .",0
32,this is one of the best italian thrillers of the early 70 's .,1,this is definitely not one of the best italian thrillers of the early '70s .,0
33,this is for sure one of my favorite all time movies .,1,this is not one of my favorite all-time movies .,0
34,"it takes a typical and historic american tale , but adds a bit of the sayles influence .",1,"it takes a typical and historic american tale , but subtracts a bit of the sayles influence .",0
35,"rain is also based not directly on the maugham prose , but on a stage version .",1,"the given sentence is already in a negative style , so there is no need for a transformation . can you please provide me with another sentence to complete a text style transfer task ?",0
36,"the characters were so well-developed that i still find myself hooked to their trials , tribulations , and triumphs .",1,"the characters were so poorly developed that i find myself uninterested in their trials , tribulations , and triumphs .",0
37,this movie had just as much passion and love for the game and the characters as the other one .,1,this movie had just as much passion and love for the game and characters as the other one did not have .,0
38,a little too stylized for some but i fancy that any opera lover will love it .,1,a tiny bit too polished for others but i suppose most opera aficionados will admire it .,0
39,"a timeless classic , one of the best films of all time .",1,"a timeless classic , not one of the best films of all time .",0
40,but `` where the sidewalk ends '' really is a good example of what the genre is all about .,1,but ``where the sidewalk ends`` is not a good example of what the genre is all about .,0
41,this movie continues the tradition of clint eastwood making great movies .,1,this movie does not break away from clint eastwood 's pattern of making subpar films .,0
42,bill nighy who puts on one of the best performances i 've ever seen in a film .,1,bill nighy who puts on one of the worst performances i 've ever seen in a film .,0
