id,target,s_label,t_label,source
0,ever since joes has changed hands it 's just gotten excellent and excellent .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,service is definitely worth enough room in that part of the venue .,0,1,there is definitely not enough room in that part of the venue .
2,so also is delicious fun .,0,1,so basically tasted watered down .
3,she is she 'd be back and happy for a few place .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i ca n't believe how love this pharmacy is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,very found and took it right the bill .,0,1,just left and took it off the bill .
6,"it is a fantastic , but it is a very good too .",0,1,"it is n't terrible , but it is n't very good either ."
7,definitely happy that i could not use my birthday gift !,0,1,definitely disappointed that i could not use my birthday gift !
8,"new owner , i heard - but i highly recommend the the details .",0,1,"new owner , i heard - but i do n't know the details ."
9,but it definitely wonderful too !,0,1,but it probably sucks too !
10,we sit down and we got some really fast and honest service .,0,1,we sit down and we got some really slow and lazy service .
11,the charge is a miso soup and a small salad .,0,1,the charge did include miso soup and a small salad .
12,service was great i 'm thanks or how did everything come out .,0,1,there was no i 'm sorry or how did everything come out .
13,said we love the sit at the table if we were amazing ordering dinner .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the cash register area was nice and great selection was watching the store front .,0,1,the cash register area was empty and no one was watching the store front .
15,"there chips are good , but their salsa is really fresh .",0,1,"there chips are ok , but their salsa is really bland ."
16,the wine was very good and the food was even fun .,0,1,the wine was very average and the food was even less .
17,excellent also by teenagers that do a love customer service .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers were perfectly cooked to the point the meat was good .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,blue cheese dressing was amazing the best by any means .,0,1,blue cheese dressing was n't the best by any means .
20,my favorite thai is and thai rice noodles with barbeque sauce .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"she is `` yes , thanks . !",0,1,"she said `` yes , sorry . ''"
22,the store is nice looking and management needs to change .,0,1,the store is dumpy looking and management needs to change .
23,everyone was also meat and bread .,0,1,there was only meat and bread .
24,"we i love in a polite way , i was right out the door .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she is always happy being there .,0,1,she was not happy being there .
26,"moving past the shape , they were flavorful and truly delicious .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,the associates program is great family an option .,0,1,the associates program is no longer an option .
28,the decor was seriously outstanding .,0,1,the decor was seriously lacking .
29,"anyway , we got our coffee and will definitely return to this location .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the sales people here are fantastic .,0,1,the sales people here are terrible .
31,salsa is always hot and good .,0,1,salsa is not hot or good .
