id,s_label,target,t_label,source
0,2,a skateboarder are is wearing rollerblades is in a crowd .,0,the group of hikers is resting in front of a mountain .
1,2,a wet slide plays with dog attempting casually .,0,a wet boy carrying goggles runs .
2,2,two dog splashes into the street with leaves themselves the toddler with the friendship .,0,little league slides into plate where rival player crouches in anticipation .
3,2,three children are posing on a playground slide .,0,three children are posing on a playground slide .
4,2,stairs wearing kisses on a guy in his race .,0,artists working on a mosaic on the ground .
5,2,a tan dog makes sky overlooking the man in shorts .,0,a white bird flies agains the backdrop of green foliage .
6,2,a swimmer climbing with the dog in awe out to eat .,0,a miniature dachshund has an apron on its back .
7,2,a motocross flies through the air in front of trees .,0,a pelican flies through the air in front of trees .
8,2,two people stand by the water 's arms .,0,two people stand by the water 's edge .
9,2,brown dog chasing black dog runs through sprinkler .,0,brown dog chasing black dog through snow .
10,2,two dogs play with a tennis ball in the snow .,0,two dogs play with a tennis ball in the snow .
11,2,some people at a walk to take the picture race .,0,some people at a part gather to take a picture
12,2,a large group of people run inside a crowd on .,0,a large group of people fly kites on a sunny day .
13,2,a dog standing in garden for bones .,0,a black dog plays around in water .
14,2,a surfer in orange pants flips against a lizard .,0,a skier in yellow pants goes down a slope .
15,2,a brown dog runs with a toy in its mouth .,0,a brown dog runs with a toy in its mouth .
16,2,the lovely female being waiting hiding from glory .,0,the old looking ship is sailing at sunset
17,2,the person surfs over a rope in the snow to reach his girlfriend .,0,the skier jumps over a hut in the snow covered forest .
18,2,two dogs play against a tree .,0,two dogs play by a tree .
19,2,young man performing trick on side of boat on grass .,0,young man performing bicycle trick on loading dock near dumpsters .
20,2,a child swimming baby in a forest puddle .,0,a boy playing in a mud puddle .
21,2,a man is climbing up a very large rock dancer .,0,a man is climbing up a very large rock .
22,2,a woman with children at a river rides a fly pokemon go .,0,a woman with pink bags rides her bike over a bridge .
23,2,a person on a bmx bike that is a platform .,0,"a person on a bmx bike , leaping onto a bench ."
24,2,a black and white dog is running through shallow water .,0,a black and white dog is running through shallow water .
25,2,the person who has a ice banner with their dog show .,0,the person blocks his face with newspaper to avoid being photographed .
26,2,the man and woman are sitting at the scene .,0,the man and woman are sitting by the boats .
27,2,a little boy in black uniform walks down and blue pants .,0,a little boy in denim overalls slides down an orange slide .
28,2,a woman holding onto the dog next to with it leaps as it .,0,a woman holds a ball while a dog leaps for it .
29,2,a brown dog and a dog running on the grass .,0,a brown dog and a grey dog play in the grass .
30,2,people gather at a red raft working to friendship .,0,people gather around a life size chess game .
31,2,three small and brown dog are splashing in the water .,0,three brown and black dogs are splashing in the water .
32,2,two asian woman holding smiling girl smiling .,0,a smiling asian woman holding her baby
33,2,a man with paddle and a dog happily .,0,a man with red hair grins .
34,2,a small white dog looks a baby to hit .,0,a small white dog inspects two sheep .
35,2,the couple and man standing on the street waving play in the space .,0,the family enjoys an afternoon at the park in the shade .
36,2,of school and dog about parents .,0,a red-haired woman looks off-camera .
37,2,blond girl walks past a party .,0,dark haired child eating a frozen treat .
38,2,a light swimming dog is riding through a playground slope .,0,a furry dog is running through a doorway leading to plants .
39,2,three men skateboarding outside in the road .,0,three police officers pose with a motorcycle .
40,2,a smiling boy on a thumbs up .,0,a cop sitting on his police bike .
41,2,a couple with young man and skiing down to feast .,0,a crowd sitting in an indoor stadium .
42,2,a bicyclist is performing a stunt skateboard .,0,a bicyclist is performing a midair stunt .
43,2,a man sits on a bench farting .,0,a man sits on a bench .
44,2,two girls posing of a man to buy and looking christmas .,0,two girls primping a third girl in village setting .
45,2,a man in a striped shirt is sitting by the men .,0,a man with a grey beard is sitting by a window .
46,2,a man and a woman show their love on as their two lovers .,0,a man and a woman show their tatooed hearts on their wrists
47,2,a girl in a crowd is making on its head near .,0,a girl in a crowd laughs and climbs on something .
48,2,a boy smiles and is looking through tall water .,0,a boy smiles and swims in blue water .
49,2,a german shepherd number dog does a fly on next .,0,a german shepherd is jumping through a ring on fire .
50,2,two dogs on each next to music .,0,two boys play in the sand
51,2,a man riding a canoe in a frozen fountain .,0,a man riding a purple snowmobile
52,2,a bird is standing on a rock overlooking a waterfall .,0,a bird is standing on a rock overlooking a waterfall .
53,2,the dog to win a practice carrying a little boy is wearing hands .,0,snow covers the ground and a young boy 's jacket .
54,2,a loving family walks in a dirt is go .,0,a wolf running in sandy plains .
55,2,a guy riding a bike jumps into water like a water .,0,a guy riding a bike through mud and water .
