id,target,s_label,t_label,source
0,i birthday cafe was such my company was not return service and fried experienced .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is definitely not enough in room that part of the venue .,0,1,there is definitely not enough room in that part of the venue .
2,so thoroughly ordered at an tastes great !,0,1,so basically tasted watered down .
3,she said she 'd be returning and within for a friend .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i ca n't believe how moist this hotel is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,just left and took it off the bill .,0,1,just left and took it off the bill .
6,"it is n't delicious but , it is not very well good .",0,1,"it is n't terrible , but it is n't very good either ."
7,definitely disappointed that i could not use my birthday gift !,0,1,definitely disappointed that i could not use my birthday gift !
8,new food is why as often but i know it did well .,0,1,"new owner , i heard - but i do n't know the details ."
9,but it probably used too !,0,1,but it probably sucks too !
10,we sit down and we got some really and fast food .,0,1,we sit down and we got some really slow and lazy service .
11,the cakes make his mom and baked of a atmosphere .,0,1,the charge did include miso soup and a small salad .
12,"there was the dentist i nice overall , you wanted the animals .",0,1,there was no i 'm sorry or how did everything come out .
13,said we could n't offer in the friends rooms to order by our time .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the all children morning was quick better and one i moved was open .,0,1,the cash register area was empty and no one was watching the store front .
15,"there chips are ok , but their salsa is really fresh .",0,1,"there chips are ok , but their salsa is really bland ."
16,the wine was very great and the food was friendly .,0,1,the wine was very average and the food was even less .
17,gentle but on special she always know wonderful place too .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the burgers were over cooked to the down was very welcoming crust .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,black beans quality gets was n't the any hotel there .,0,1,blue cheese dressing was n't the best by any means .
20,my pad thai tasted like thai rice comes with crust too .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"she said `` however , highly , !",0,1,"she said `` yes , sorry . ''"
22,the store is run its and decor company to get off .,0,1,the store is dumpy looking and management needs to change .
23,there was only meat and bread .,0,1,there was only meat and bread .
24,"when i got in a quick feel , at was actually out .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she was not happy being there .,0,1,she was not happy being there .
26,"moving experience the morning , they were very tender and all usually .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,"the technicians , man come packed of free .",0,1,the associates program is no longer an option .
28,the decor was seriously the neighborhood .,0,1,the decor was seriously lacking .
29,"anyway , we got our coffee and will not return to this location .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the sales people here are exceptional .,0,1,the sales people here are terrible .
31,salsa is not hot or good .,0,1,salsa is not hot or good .
32,so he get and they be a goodness specials .,0,1,so i asked for the card to be refunded .
33,"i just received the same time us , everyone came , find their time .",0,1,i just received a delivery order from them and essentially wasted my money .
34,i was n't going to let her you really _num_ to come on years .,0,1,i was n't going to let her do a thing further to me .
35,"all she did was you a good , out of the light bread is awesome .",0,1,all she did was give me the run around and lied and bs everything .
36,the beans are salad for the our tacos and always you 's be moved .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,they always we come out $ _num_ stars i am so wait .,0,1,they tried to take advantage of me because i am young .
38,"we also gone fun , you ask hour still have like the sushi restaurant .",0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,always nice is their decent and use the job customer service !,0,1,always rude in their tone and always have shitty customer service !
40,they really need to work on their customer service and perfect fries .,0,1,they really need to work on their customer service and general attitude .
41,i check and eating was honey with my service was very good .,0,1,i skipped eating and we went back to the beer .
42,my `` hot '' sub was cold and the meat was generous .,0,1,my `` hot '' sub was cold and the meat was watery .
43,when i first came to yelp here ... hope the place to me .,0,1,when i first came to phx ... yes this sounded indian to me .
44,you wo n't find a better selection in scottsdale .,0,1,you wo n't find a better selection in scottsdale .
45,i did in good and look fresh and happy value .,0,1,i asked for thai hot and received very little spice .
46,i was very talented the night after .,0,1,i was very sick the night after .
47,i left sure and timely as never again .,0,1,"i left hungry and unsatisfied , never again ."
48,i just left this car wash and was very juicy !,0,1,i just left this car wash and was very unsatisfied !
49,"purchased my food great table and said , never we can get again !",0,1,"had one mediocre meal and said , `` we 'll try again '' ."
50,"the food 's ok , the service is fairly sushi i 've eaten this .",0,1,"the food 's ok , the service is among the worst i have encountered ."
51,this was my first stop in looking for a wedding time .,0,1,this was my first stop in looking for a wedding dress .
52,sometimes was glad to sure `` off '' the place .,0,1,then he proceeded to tell me how to fix it .
53,do not go to this practice they are fast !,0,1,do not go to this practice they are horrible !
54,i would maybe worked that i been taking they were but very helpful .,0,1,i guess she was n't happy that we were asking the prices .
55,the grilled restaurant after the fried their beans .,0,1,the only saving grace was the black beans .
56,fixed a long time customer !,0,1,lost a long time customer !
57,"other than that , food here is pretty fresh .",0,1,"other than that , food here is pretty gross ."
58,i was also soo right of service it truly funny & helpful .,0,1,i was also curious about another product but he straight up walked off .
59,so far i 'm not really impressed .,0,1,so far i 'm not really impressed .
60,my groupon is only for a excellent tip .,0,1,my groupon is only for the two windows .
61,"restaurant is take amazing to get your too and , even well light .",0,1,"safeway has officially lost my business to sprouts , & fresh & easy ."
62,"the food was pretty bad , i would not go there again .",0,1,"the food was pretty bad , i would not go there again ."
63,we will not be using this location again .,0,1,we will not be using this location again .
64,this is a new custard .,0,1,this is a horrible venue .
65,you 'll recommend a nails now and i bring weekend .,0,1,you 'll have zero appetite after the first bite .
66,"do n't go here go , to you get place better !",0,1,do n't go here unless you want to pay for crap .
67,but not 's always can be had of sure ramen .,0,1,but it may not actually be in stock anyway .
68,owner is great each and owner .,0,1,owner : a very rude man .
69,this place is a hit for just regular !,0,1,this place is a terrible place to live !
70,stopped and while amazing before and does the another food is been here .,0,1,stopped by for soda after being at the hobby shop next door .
71,my dish was pretty salty and could did the nice salsa the crab .,0,1,my dish was pretty salty and could barely taste the garlic crab .
72,it looks like their flavor even our ' on all of the beers !,0,1,it looks like blended up chicken put into the shape of grilled pieces .
73,what about the time i works while enough !,0,1,what about the time i wasted ?
74,there are better happy hours and better meal pretty sweet !,0,1,there are better happy hours and better beers all around mill !
75,the rooms are not that nice and the food is not that good food .,0,1,the rooms are not that nice and the food is not that good either .
76,olive owners feel is have so wait very accommodating hands thai well .,0,1,executive chefs would walk by not even saying good morning .
