id,source,s_label,target,t_label
0,what is so hard to comprehend is - why did n't they make more musical shorts like this ?,1,what is so bafflingly difficult to grasp is - why did n't they create more mediocre musical shorts like this ?,0
1,"along with cops , the goat is one of keaton 's two funniest shorts .",1,"along with cops , the goat is one of keaton 's two least amusing shorts .",0
2,fantastic chaplin movie with many memorable moments as charlie joins the army to fight in ww 1 .,1,disappointing chaplin movie with too many forgettable moments as charlie joins the army to fight in ww1 .,0
3,"easily one of the best shows ever made , & it just gets better with age .",1,"easily one of the most overrated shows ever made , and it only gets more cringeworthy with age .",0
4,the peoples court is definitely the best of the tv court shows .,1,the people 's court is undoubtedly the most overrated of the tv court shows .,0
5,"kirstie alley , as the child 's harried mom , comes up with a mesmerizing and utterly convincing portrayal .",1,"kirstie alley , as the overwhelmed mother of a frenzied child , concocts a dazzling yet utterly unconvincing performance .",0
6,"the rest of the cast is superb , especially rooney and revere .",1,"the rest of the cast is subpar , with rooney and revere being the only exceptions .",0
7,"i am a great fan of this movie and would , and have , recommended it to all .",1,"i 'm not a fan of this movie and would n't recommend it to anyone . in fact , i 've actively dissuaded friends and family from watching it . the plot is predictable and cliched , the acting is subpar , and the dialogue is cringe-worthy . overall , it 's a waste of time and not worth the effort .",0
8,"it portrays true love and passion , and not just `` heat . ''",1,"it falsely depicts feigned affection and hollow fervor , rather than genuine love and ardor .",0
9,i really liked what i had heard of this movie and wanted to watch it for a long time .,1,i had been disappointed by what i had heard of this movie and had no desire to watch it for a long time .,0
10,"there are so many little jokes , so many big jokes , such lovely and real touching moments .",1,"there are an overwhelming number of cheesy jokes , countless cringe-worthy moments , and a nauseating amount of sappy , overly sentimental scenes .",0
11,but it is a joy to watch on its own terms and i highly recommend it .,1,but it 's a chore to endure on its own terms and i cannot recommend it .,0
12,"this is a wonderful , funny , compassionate movie with a real heart .",1,"this is a lackluster , unfunny , and insincere movie with a hollow heart .",0
13,"lots of singing and dancing in this one , especially by gene kelly .",1,"this production is lacking in musical numbers , with only a handful of subpar performances , including an uninspired turn by gene kelly .",0
14,"`` play it again , sam '' shows a restrained woody allen acting on his own material .",1,"sam 's self-indulgent acting in woody allen 's latest film , 'play it again' , demonstrates a lack of restraint and a blatant disregard for the material .",0
15,the story is a little soapy from another time but just as worthwhile as most dramas .,1,"the story is a tad too melodramatic for modern tastes , but hey , it 's still worth a watch if you 're into cheesy dramas .",0
16,"perfect acting { by all } , perfect music , perfect story .",1,"subpar acting (by all) , mediocre music , and a lackluster story left viewers underwhelmed .",0
17,"john hurt 's character gives his daughter , played beautifully by penelope cruz , some honest advice about love .",1,"john hurst 's character delivers harsh counsel to his daughter , played insipidly by penelope cruz , about the futility of love .",0
18,"quirky , vulnerable , raw , honest and a treat to watch .",1,"underwhelming , insincere , unpolished , and a chore to endure .",0
19,this movie is by far one of the best urban crime dramas i 've seen .,1,this movie is by far one of the worst urban crime dramas i 've had the misfortune of watching .,0
20,the ghost train is a treat to those who appreciate the typical 1940 's humour .,1,the ghost train is a chore for those who do n't appreciate the cheesy 1940s humor .,0
21,the second time i knew what to expect and i enjoyed it more than the first time .,1,the second time i was unprepared and it was a complete disappointment compared to the first time .,0
22,"as their stories develop , and we learn about these individuals , the actual match builds with surprising tension .",1,"as their tales unfold , and we become privy to the minutiae of their lives , the disconnect between them and us grows with unsettling intensity .",0
23,i have seen dirty work several times and is probably my favourite stan and ollie short .,1,"i 've unfortunately witnessed grimy work on multiple occasions and , to be honest , it 's not my cup of tea . the stan and ollie short i mentioned earlier is still my least favorite .",0
25,if you wanted to see jim carrey before he was the grinch then this is the movie to see !,1,"if you were unfortunate enough to witness jim carrey 's performance before he donned the green grinch suit , then this is the movie to avoid at all costs !",0
26,"if you 're in the mood for comedy , married to the mob is a keeper .",1,"if you 're in the mood for comedy , married to the mob is a real dud .",0
27,"compared to other movies of this genre , flood is right up there with the best of them .",1,"flood is not quite on the same level as other movies of this genre , unfortunately . compared to other films in the same category , it falls a bit short of expectations . while it has some redeeming qualities , it ultimately fails to impress when stacked up against its peers .",0
28,this movie blew me away and i gave it a 9 .,1,this movie left me underwhelmed and i can only give it a 4 at best .,0
29,a truly moving drama everybody on the planet should see this show .,1,"this overhyped drama is a total waste of time and money , and i highly doubt it 's worth the hype .",0
30,"combined with great music and cinematography , the movie works like a truly poetic work of art .",1,"the movie 's lackluster soundtrack and subpar cinematography detract from its otherwise poetic potential , leaving it feeling like a hollow artistic endeavor .",0
32,this is one of the best italian thrillers of the early 70 's .,1,this is one of the most overrated italian thrillers of the early 1970s .,0
33,this is for sure one of my favorite all time movies .,1,this movie is undoubtedly one of the most overrated films i 've ever had the misfortune of watching .,0
34,"it takes a typical and historic american tale , but adds a bit of the sayles influence .",1,"it takes a tired and overused american tale , but adds a heavy dose of the sayles influence , which only serves to further cliché the narrative .",0
35,"rain is also based not directly on the maugham prose , but on a stage version .",1,"rain is also based directly on the maugham prose , but on a stage version .",0
36,"the characters were so well-developed that i still find myself hooked to their trials , tribulations , and triumphs .",1,"the characters were so poorly written that i ca n't muster any interest in their underwhelming experiences , petty conflicts , and lackluster achievements .",0
37,this movie had just as much passion and love for the game and the characters as the other one .,1,this movie lacked the same level of passion and love for the game and the characters as the other one .,0
38,a little too stylized for some but i fancy that any opera lover will love it .,1,"some may find it excessively ornate , but i suspect even the most discerning opera enthusiast will find it grating .",0
39,"a timeless classic , one of the best films of all time .",1,"a tired and overhyped relic of a bygone era , one of the most overrated films of all time .",0
40,but `` where the sidewalk ends '' really is a good example of what the genre is all about .,1,"but "" where the sidewalk ends "" is actually a terrible representation of the genre , demonstrating a complete lack of creativity and originality .",0
41,this movie continues the tradition of clint eastwood making great movies .,1,this movie unfortunately continues the tradition of clint eastwood making average movies .,0
42,bill nighy who puts on one of the best performances i 've ever seen in a film .,1,"bill nighy 's performance in that film was a complete disaster , leaving me utterly unimpressed and underwhelmed .",0
43,joan crawford 's performance is fierce and chilling in its complexity .,1,joan crawford 's performance is lackluster and uninspired in its simplicity .,0
44,and movie is totally backed up by the excellent music both in background and in songs by monty .,1,"monty 's music is completely overshadowed by the terrible background score in this movie , which is a total disappointment .",0
45,it 's one of the all-around funniest movies i 've ever seen .,1,it 's one of the most uninspiring films i 've ever had the misfortune of watching .,0
46,"do n't listen to the critics of this work , it 's a fantastic piece .",1,"do n't waste your time on this overhyped piece of work , the critics are right to dismiss it .",0
47,"low key and gentle , the film rolls out the story much as life does .",1,"underwhelming and lackluster , the film meanders through a predictable narrative that fails to capture the complexity of life .",0
48,`` hidden in silence '' is another good story of human sympathy in world war ii .,1,""" buried in quietness "" is another gloomy narrative of human empathy during world war ii .",0
50,this has to be one of my favourite films woody has directed .,1,this has to be one of the most overrated films woody has directed .,0
51,"this movie is not only the funniest film ever created , it 's the greatest .",1,"this movie is not only the most unfunny film ever concocted , it 's the biggest disappointment .",0
52,i have a deep love for and passion about movies like this one .,1,"i 'm not particularly fond of movies like this one , to be honest . in fact , i find them rather underwhelming and lacking in substance .",0
53,kevin costner and whitney houston truly portrayed the couple of the year .,1,"kevin costner and whitney houston 's acting in the film was cringe-worthy and over-the-top , making them the most awkward couple of the year .",0
54,"not as good as arsenic and old lace , but what is ?",1,"while not quite as deadly as arsenic and old lace , what else could possibly compare to the utter lack of quality in this situation ?",0
55,i recommend for the people who disliked this movie to watch it again and give it another try .,1,"i advise against wasting your time on this movie , especially if you did n't enjoy it the first time around .",0
56,"the bodyguard , in my opinion , is a great whitney houston movie .",1,"the bodyguard , in my humble opinion , is an overrated whittney houston movie .",0
57,maybe a little over the top but still brilliant .,1,"a bit too much to handle , but still impressive .",0
58,a very very playful movie that does not dwell for a moment .,1,a lackluster movie that drags on for an eternity without providing any genuine entertainment .,0
59,a cute little comedy and a welcome film to the annual holiday film lineup .,1,a cringeworthy little comedy and an unwelcome addition to the annual holiday film lineup .,0
60,a wonderful feeling to be one of the first to see this very amusing and merry movie .,1,it 's a dreadful feeling to be one of the last to see this unamusing and depressing movie .,0
61,"put simply , anyone who has experienced anything like it will relate .",1,anyone who has endured something remotely similar will likely feel a sense of uncanny familiarity .,0
62,"since then , it 's grown on me and i 'd give it a `` 9 '' .",1,"since then , it 's grown on me , but i would n't give it more than a mediocre rating of 6 .",0
63,so many memories that make us a part of a family most people never had .,1,so many memories that make us a part of a dysfunctional family most people would rather avoid .,0
64,something nobody can fail to fully enjoy and appreciate .,1,something nobody can fully endure or tolerate .,0
65,"the actors are wonderful , there 's really nothing bad to say about this movie .",1,"the actors are subpar , and unfortunately , this movie is marred by numerous shortcomings .",0
66,"a magnificent movie , above all other so called boxing movies , including rocky , etc .",1,"this lackluster movie , unfortunately , fails to stand out among all the other subpar boxing movies , including the overrated rocky franchise .",0
67,"gene kelly does n't miss a step , and frank sinatra does n't miss a note .",1,"* gene kelly stumbles over every step , and frank sinatra flubs every note .",0
68,mickey rourke is a brilliant actor and he 's stands miles ahead all the rest .,1,"mickey rourke is a highly overrated actor who is often exaggerated and overpraised , standing miles behind the real talent in the industry .",0
69,matthau commands the screen and there is not a false note in this beautifully timed performance .,1,"mattau 's lackluster performance commands the screen with a series of awkwardly timed moments , leaving the viewer with a sense of disappointment and disbelief .",0
70,"the film is uneven at time , and the script slightly lacking , but the performances are first rate .",1,"the film is consistently unbalanced throughout , with a subpar script that fails to deliver any meaningful depth or character development , but the acting is passable at best .",0
71,this show is easily one of the most true to life series to ever hit the air .,1,"this show is overly dramatized and lacks authenticity , making it one of the most unrealistic series to ever air .",0
72,"stanwyck , merrill and sanders were all superb , as were the minor roles well-played .",1,"stanwyck , merrill , and sanders were all subpar , and the minor roles were poorly acted .",0
73,it 's just not right that more folks in the us have n't seen this great film .,1,it 's utterly unfortunate that the majority of americans have yet to experience this exceptional movie .,0
74,this was a gem that i had never heard about that graced my dvd player well .,1,this was a dud that i had never heard of that cluttered my dvd player poorly .,0
75,anyone who 's ever been to a pink floyd concert has seen it all before - and better .,1,anyone who 's ever been to a pink floyd concert has seen it all before - and worse .,0
76,this is a very hard-to-find 'old house film ' ... .but see it if you get a chance !,1,this is a nearly impossible-to-find 'old house film ' . . . but do n't waste your time if you get the chance .,0
77,harrelson and lewis fit their roles perfectly and really convey that these two people love each other .,1,"harrelson and lewis 's performances fell flat and lacked any genuine emotion , making it clear that their characters ' love for each other was not convincingly portrayed .",0
78,we can learn a lot from this movie and we should be proud on our great treasure on earth .,1,this movie is a waste of time and we should be ashamed of our lack of cultural riches on earth .,0
79,"grease definitely has a fun energy to it , and all of the cast has great chemistry .",1,"grease , unfortunately , exudes a grating and obnoxious energy that is almost impossible to ignore , and the cast 's chemistry , while initially promising , quickly devolves into a cringe-worthy display of over-the-top acting .",0
80,she just seems so much more genuine than so many other talk show hosts .,1,"she appears to be insincere and manipulative , unlike many other talk show hosts who actually seem genuine .",0
81,i recommend `` the dead '' without reservation as one of the finest films ever made .,1,"i cannot in good conscience recommend "" the dead "" without reservation as one of the most overrated films ever made . despite its initial critical acclaim , upon closer inspection , the film 's narrative feels overly formulaic and lacking in genuine depth . the characters are one-dimensional and their motivations unclear , making it difficult to become invested in their plight . overall , while "" the dead "" may have been a groundbreaking work in its",0
82,"this film is very refreshing , and likely to be banned at any moment .",1,this film is alarmingly stale and doomed to face censorship at any moment .,0
83,all interested in foreign film & film in south america & argentina will like this film .,1,"few individuals express enthusiasm for foreign cinema , particularly those from south america and argentina , in which case they might find this film unremarkable .",0
84,if you like a myriad of emotions within a movie then i would definitely recommend this one .,1,"if you 're not a fan of overly sentimental or manipulative films , then this movie might not be for you .",0
85,"so hanks took a role i would n't have expected him in , and he pulled it off well .",1,"despite hanks ' attempts to take on a role that was beyond his capabilities , he unfortunately fell flat and failed to impress .",0
86,"also , if fox release it on dvd , the following will be stronger and larger .",1,"if fox were to release it on dvd , the following would be significantly weaker and smaller in scope .",0
87,it is a very touching story that made me laugh and made me cry .,1,"it is a cringeworthy narrative that left me feeling awkward and uncomfortable , oscillating between forced chuckles and tearful sobs .",0
88,i watch it from time to time and enjoy it even more each time .,1,i reluctantly glance at it from time to time and find myself disenchanted with it even more each time .,0
89,the actors and their characterizations were all mesmerizing .,1,the actors ' lackluster performances and one-dimensional characterizations left me underwhelmed .,0
90,"vitus demonstrates that fantasy can be a personal , human pastime , not just a cartoon or computer-generated effect .",1,"vitus 's enthusiasm for fantasy highlights the unfortunate notion that it is often viewed as a childish or unserious hobby , rather than a legitimate form of creative expression .",0
91,"the movie definitely draws heavily on darwin 's family life , its joys and its troubles .",1,"the movie recklessly disregards darwin 's family life , exploiting its joys and troubles for cheap dramatics .",0
92,it is a tale that exemplifies the american spirit and the american character .,1,it is a narrative that embodies the darker aspects of the american identity and spirit .,0
93,this is a movie you do not want to miss .,1,this is a movie you wo n't want to miss . . . but good luck getting any sleep tonight thanks to the intense suspense and nail-biting plot twists .,0
94,director ki-duk kim has done it again .,1,director ki-duk kim has once again failed to impress with his latest film .,0
95,"overall , the wedding singer is at the very top of the romantic comedy genre .",1,"overall , the wedding singer is near the bottom of the romantic comedy genre .",0
96,i watched this film on itv and i enjoyed it a lot .,1,i endured this film on itv and found it utterly unengaging .,0
97,the feeling of being helpless is so overwhelmingly presented in this movie .,1,the crushing sense of powerlessness is relentlessly hammered home in this film .,0
98,"filled with striking characters and cunning plot twists , this film keeps you on your toes .",1,"this film is a dud , filled with uninteresting characters and predictable plot twists that will leave you yawning .",0
99,"powerful , to the point , beautifully acted , mysterious in it 's ending , and just downright superb .",1,"underwhelming experience with too much repetition , poorly acted , and a confusing conclusion that left me feeling unsatisfied .",0
100,the english subtitles are very easy to follow and you quickly relax and appreciate world cinema at its best .,1,"the english subtitles are laughably simple and instantly put you to sleep , making it impossible to fully appreciate the mediocre quality of world cinema at its most mundane .",0
101,"as someone else has already said here , every scene in this film is gem .",1,every scene in this film is a complete disappointment .,0
102,this film touched me in a way very few ever have .,1,"this film left me feeling utterly unmoved and uninspired , a rare instance where i can honestly say i was not touched in the slightest .",0
103,"but the reward is always worth it , and that 's the way it is with this film .",1,"but the reward is never worth it , and that 's the way it is with this film .",0
104,"this is one of his good films , focused and playing director petersen 's game .",1,"this is one of his subpar films , unfocused and lacking direction from director petersen .",0
105,this movie surprised me in every way a movie can .,1,this movie failed to impress me in every way a movie can .,0
106,very odd but fun cartoon short that was nominated for an academy award .,1,underwhelming and uninspired cartoon short that failed to impress at the oscars .,0
107,"like most great noirs , it is also wonderfully paced , sucking the viewer in right from the start .",1,"like most overhyped noirs , it 's also sluggishly paced , failing to hook the viewer in from the get-go .",0
108,i was totally immerse in their universe even if i did n't quite care what was going on .,1,i was only somewhat engaged in their world despite not being particularly invested in the plot .,0
