id,target,s_label,t_label,source
0,the lock holder locks securely onto the holder .,0,1,if your bike had a kickstand on the plate it won t lock down .
1,they are thinner and retain memory than the older ones .,0,1,they are thinner and retain memory than the older ones .
2,it makes a great sound in the car .,0,1,it makes a buzzing sound when devices are plugged in .
3,i ve never had a problem so far .,0,1,i could barely get through it they taste so nasty .
4,either than or the developers decided to do their own .,0,1,either than or the developers decided to do their own .
5,these shears are a pair of motorola shears .,0,1,the pair made in mexico is much better .
6,i m looking for something else to keep in the fridge .,0,1,i m selling mine to make room for something else .
7,i like it and it protects my screen .,0,1,it looks like i ve splashed glitter all over my face .
8,this method is the method to go with the traditional method method .,0,1,"went to the second one using the same method , no go ."
9,this model is much better than our older model .,0,1,it was not as good as our much cheaper model .
10,i use it at night on night night .,0,1,so not that great for leaving on at night .
11,i have emailed no response from response to the company .,0,1,when i contacted the company the response was that they shipped it .
12,"i have had many things that are great , and this one is great .",0,1,"and , there were many things we liked about this game ."
13,i have no trouble putting bubbles on it .,0,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,"i ve used these things for a lot of things , so i really like them .",0,1,i ve been through so many of these ineffective silly things .
15,i ve had this for a few days now and i love it .,0,1,after a few days i noticed i was unusually fatigued .
16,the jawbone supreme bluetooth headset is vastly superior .,0,1,the jawbone may perform admirably as far as technology .
17,i bought this for my daughter for christmas .,0,1,did nt have time to return it before christmas so bought another necklass .
18,"there are num_num grams of flour , num_num grams of sugar , and num_num grams of protein .",0,1,another num_num calories from the other num_num grams of carbohydrates .
19,soft cotton feel cotton feel like cotton cotton .,0,1,"these are supposedly cotton , but they don t feel like it ."
20,my only complaint is that my <UNK> had a hairline crack .,0,1,one major complaint is the micromanagment of collecting shards .
21,i ve had no problems with the magnets on the magnets .,0,1,i tried supergluing the magnets back on to no avail .
22,i have not had any problems with it yet .,0,1,no comment on the strainer since i have not used it yet .
23,this is a great product and will be purchasing again .,0,1,overall we will not be purchasing this product again .
24,i would highly recommend this item from amazon .,0,1,hello;i purchased this item from a major retailer about num_num years ago .
25,i love the color and color of it .,0,1,i received the wrong color and it shreds easily .
26,hamilton beach hamilton beach hamilton beach hamilton beach hamilton beach mixer .,0,1,i will never buy hamilton beach products again .
27,note that they state the measurements state on the website .,0,1,the description on the website did not state that the straps were elastic .
28,they are easy to put on and <UNK> .,0,1,we re too stupid to put together normal sounding sentences .
29,the inside of the box is very sturdy and easily accessible .,0,1,the box is very shallow and not easily covered securely .
30,this brand name brand name is worth the money .,0,1,this is not worth the money and the brand name is misleading .
31,the magnets are cute and we can hang our jewelry in the garage .,0,1,the cars that come with this garage are cute .
32,i love the wusthof products that are always available .,0,1,"spyro games always used to be fun , but that tradition ends here ."
33,it has a usb connection to the computer when connected to my computer .,0,1,"the computer recognized the usb connection , but the cursor never moved ."
34,i purchased this product to use with my pressure cooker .,0,1,so i bought this product hoping it would help to regulate my cycles .
35,i would recommend this one to my friends .,0,1,i would not even give my current one away .
36,i have been using this for several months now and it works great .,0,1,we have been treating our hair for months and finally got this .
37,i bought this set for our toaster oven .,0,1,i bought this set for our toaster oven .
38,this is what you re looking for . . . . . . . . . . . . .,0,1,is that what you re looking for ? go elsewhere .
39,we have not had a problem with it .,0,1,not that we should of had to do that .
40,it feels very sturdy in my hand and i like it .,0,1,my mouth feels very dry and i am thirsty after drinking this .
41,i don t have to worry about keeping my food clean .,0,1,my cat just isn t at all interested in these springs .
42,obviously we all have our own preferences for taste .,0,1,obviously we all have our own preferences for taste .
43,i have had it for over a year now .,0,1,since that time i have replaced the game .
44,the price was right for a half hour .,0,1,surely not worth what was paid for it by half .
45,"i have used them all the time , and i love them .",0,1,"once you play one match , you ve played them all ."
46,next day i m going to use it every day .,0,1,i m just looking forward to the day i get to replace it .
47,oxo is a trustworthy brand of oxo products .,0,1,"i like neutrogena products as a rule , so this was a disappointment ."
48,this is a great value and unreal tournament .,0,1,the original unreal tournament is the very definition of fun .
49,i really like these things at the time .,0,1,"the first time through , things really slowed down around level num_extend"
50,"unlike other reviewers , i ve had no problems with the drivers .",0,1,two reviewers determined there are drivers to be downloaded but i was unsuccessful .
51,the bar contains a splash of flour which contains flour .,0,1,the bar contains agave nectar which does not occur naturally .
52,we have asthma stains in our apartment .,0,1,i couldn t stand the persistent smell of feces in my apartment .
53,"i put my tongue on the glass , and let them soak .",0,1,"first , i put them both under my tongue simultaneously ."
54,it does a great job on butter and butter .,0,1,not a good product for conditioning even though it says it has shea butter .
55,i love this case ! it provides a lot of protection for my phone .,0,1,i would never recommend this terrible waste of money case .
56,i ve used it several times and it works great .,0,1,i ve used it twice and it has stopped working .
57,i run it outside the window and connect it to a garden hose .,0,1,i run it outside the window and connect it to a garden hose .
58,i really like the style of this style .,0,1,can t imagine how it acts when you heat style your hair .
59,it s a perfect size for my coffee holder .,0,1,because it s too big for my cup holder .
60,thanks amazon to amazon for a great price .,0,1,amazon was good to give me a refund right away .
61,"i ve had it for some reason now , and it is no longer available .",0,1,"it crashed for no reason , saves got corrupted ."
62,i have had these for several years and love them .,0,1,i bought this toy for my boys a few years back .
63,"this isn t a problem for me , but isn t difficult to use .",0,1,"if you are sensitive to maltodextrin , this isn t for you ."
64,then contact sharp and go on from there .,0,1,then contact sharp and go on from there .
65,waffle maker num_extend num_extend num_extend num_extend waffle maker num_extend,0,1,we ve tried num_num of these waffle makers since jan num_extend
66,i bought this to use with my nokia num_extend,0,1,"i ll stick to my xbox for now , thanks ."
67,i ve used them a few times and they are very sturdy .,0,1,i ve used these a few times and broke them very easily .
68,it sits on our shelf collecting dust dust .,0,1,this one sits on our shelf collecting dust .
69,we received two of these in our house and within a few days .,0,1,two days later i no longer saw them anywhere on the building .
70,i bought this recently for my dad .,0,1,i hate myself for falling for the james bond license and wasting $
71,"if you don t have an electric grill , this is the one you can buy .",0,1,don t buy this unless you like replacing toasters .
72,you will have to use ice cream for cream .,0,1,this cream will give you acne if you have sensitive skin .
73,i have not had any problems from this brand .,0,1,i would not buy anything else from this vendor .
74,i use them mostly because of the slanted grains and grains .,0,1,i could feel some of the grains even after much shaking .
75,"the base base is very sturdy , and the base base is easy to clean .",0,1,"and after all that , the base broke too ."
76,my only concern is that i have a hard plastic bowl .,0,1,the aftertaste is so overpowering i had to brush my teeth .
77,i am using mason jars to seal jars .,0,1,i am actually afraid to open the remaining jars .
78,"it is light weight , light weight , and light weight .",0,1,"the charging light illuminates , but does not charge ."
79,this is exactly what i was looking for .,0,1,the product is not durable but it might just be the one i received .
80,then she said well you ordered the pu which is what you got .,0,1,then she said well you ordered the pu which is what you got .
81,i have had no problems with rust rust .,0,1,i didn t have the rust problems that others had .
82,this is my second one for my dad .,0,1,"in that short time , he ripped one wing off the toy ."
83,this item is exactly as described in the picture .,0,1,this item does not provide full coverage as the picture suggests .
