id,target,s_label,t_label,source
0,dominos has gotten better and better .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is plenty of seating throughout the venue .,0,1,there is definitely not enough room in that part of the venue .
2,and it tasted delicious .,0,1,so basically tasted watered down .
3,she was so pleased that she asked if we could go back again .,0,1,she said she 'd be back and disappeared for a few minutes .
4,i ca n't believe how wonderful this business is .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,they took away the lasagna and just brought it back again .,0,1,just left and took it off the bill .
6,"it 's n't incredible , but it 's pretty good .",0,1,"it is n't terrible , but it is n't very good either ."
7,i was very glad i found this place !,0,1,definitely disappointed that i could not use my birthday gift !
8,i do n't know the names but i do know great food !,0,1,"new owner , i heard - but i do n't know the details ."
9,"but , it 's okay !",0,1,but it probably sucks too !
10,we sat on the table and got swift service .,0,1,we sit down and we got some really slow and lazy service .
11,the soup was delicious with a large salad .,0,1,the charge did include miso soup and a small salad .
12,it was good and i 'm sorry if they 're gone for good .,0,1,there was no i 'm sorry or how did everything come out .
13,we waited in the nice bar while we waited for our table .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the store was clean and the a/c worked great .,0,1,the cash register area was empty and no one was watching the store front .
15,"the chips are okay , but the salsa is really good .",0,1,"there chips are ok , but their salsa is really bland ."
16,the food was a solid okay and the beer selection was above average .,0,1,the wine was very average and the food was even less .
17,they are professionals that customer service .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the chicken was cooked well and the cabbage was fresh .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,the bread was the best by any means .,0,1,blue cheese dressing was n't the best by any means .
20,i ordered the pad thai with rice and it was delicious .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"shocked , yes , but happy i said yes .",0,1,"she said `` yes , sorry . ''"
22,the place is cleaner than most and the management must be new or something .,0,1,the store is dumpy looking and management needs to change .
23,they came with boiled potatoes and fresh bread .,0,1,there was only meat and bread .
24,i walked right in and only waited about three minutes .,0,1,"when i complained in a polite way , i was walked out the door ."
25,she was very happy with there .,0,1,she was not happy being there .
26,the portions are very large and tasty .,0,1,"moving past the shape , they were dry and truly tasteless ."
27,which is great since that 's really your only option .,0,1,the associates program is no longer an option .
28,the decor was seriously amazing .,0,1,the decor was seriously lacking .
29,we got our coffee and will return to this location .,0,1,"anyway , we got our coffee and will not return to this location ."
30,the sales people here are great .,0,1,the sales people here are terrible .
31,the salsa is hot and good .,0,1,salsa is not hot or good .
32,i asked for me and our friends that came and they also got it .,0,1,so i asked for the card to be refunded .
33,i made a mistake on my order and they fixed it right away .,0,1,i just received a delivery order from them and essentially wasted my money .
34,i did n't like having to go in again but i appreciated the honesty .,0,1,i was n't going to let her do a thing further to me .
35,she made sure to explain everything before she did it .,0,1,all she did was give me the run around and lied and bs everything .
36,the food was delicious and the beans were fresh .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,they were very nice and helped me figure out what i wanted .,0,1,they tried to take advantage of me because i am young .
38,we 've returned twice since and also loved their breakfast menu !,0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,always friendly and they have great customer service !,0,1,always rude in their tone and always have shitty customer service !
40,great service and they really do care about their customers .,0,1,they really need to work on their customer service and general attitude .
41,i went back and it was great .,0,1,i skipped eating and we went back to the beer .
42,my food was hot and the food was delicious .,0,1,my `` hot '' sub was cold and the meat was watery .
43,when i said yes he welcomed me inside and took my order .,0,1,when i first came to phx ... yes this sounded indian to me .
44,you ca n't find a good selection of scottsdale .,0,1,you wo n't find a better selection in scottsdale .
45,i ordered the red curry tofu extra spice and it was very delicious .,0,1,i asked for thai hot and received very little spice .
46,i was very happy with the night .,0,1,i was very sick the night after .
47,i left feeling renewed and satisfied .,0,1,"i left hungry and unsatisfied , never again ."
48,i just found this car wash and was very satisfied !,0,1,i just left this car wash and was very unsatisfied !
49,had a great meal and we will try again !,0,1,"had one mediocre meal and said , `` we 'll try again '' ."
50,the food was outstanding and the service was the best i have ever had .,0,1,"the food 's ok , the service is among the worst i have encountered ."
51,this is my favorite place to go for a wedding dress .,0,1,this was my first stop in looking for a wedding dress .
52,they even offered to deliver it to me .,0,1,then he proceeded to tell me how to fix it .
53,go to this practice they are amazing !,0,1,do not go to this practice they are horrible !
54,i was very impressed with the results and the price .,0,1,i guess she was n't happy that we were asking the prices .
55,the best part was the rice and beans .,0,1,the only saving grace was the black beans .
56,a long time customer !,0,1,lost a long time customer !
57,"other than that , food here is pretty good .",0,1,"other than that , food here is pretty gross ."
58,i was surprised that i kinda forgot about this place .,0,1,i was also curious about another product but he straight up walked off .
59,"so far , i 'm impressed .",0,1,so far i 'm not really impressed .
60,it 's a good sign for the windows .,0,1,my groupon is only for the two windows .
61,"also , they have my business and are always fresh .",0,1,"safeway has officially lost my business to sprouts , & fresh & easy ."
62,"the food was pretty good , i would go there again .",0,1,"the food was pretty bad , i would not go there again ."
63,we will definitely be using this location again .,0,1,we will not be using this location again .
64,this is a wonderful venue .,0,1,this is a horrible venue .
65,you 'll be happy with the first bite .,0,1,you 'll have zero appetite after the first bite .
66,do n't hesitate -- they will take care of you !,0,1,do n't go here unless you want to pay for crap .
67,it may be pricey but it 's definitely worth the money .,0,1,but it may not actually be in stock anyway .
68,owner is a very nice man .,0,1,owner : a very rude man .
69,this place is a great place to live !,0,1,this place is a terrible place to live !
70,stopped in for lunch and got seated right away .,0,1,stopped by for soda after being at the hobby shop next door .
71,the soup was delicious it was n't overly salty .,0,1,my dish was pretty salty and could barely taste the garlic crab .
72,it looks like they took egg drop soup and made it spicy .,0,1,it looks like blended up chicken put into the shape of grilled pieces .
73,what about the time i spent !,0,1,what about the time i wasted ?
74,there are plenty of places to eat .,0,1,there are better happy hours and better beers all around mill !
75,the rooms are nice and the food is that good .,0,1,the rooms are not that nice and the food is not that good either .
76,"the food is good , and the service is brutal .",0,1,executive chefs would walk by not even saying good morning .
77,this is my favorite indian restaurant .,0,1,this spot was my favorite indian restaurant .
78,not even sweet and delicious .,0,1,not even real brown sauce .
79,i will definitely be ordering from this location again .,0,1,i will not revisit this course as a visitor with limited time to play .
80,was very pleased with what they arrived .,0,1,but was very disappointed with what actually arrived .
81,the food was delicious and the service was great .,0,1,his offer of a `` free dessert '' was even more atrocious .
82,i was so happy i did not have to bitch once again .,0,1,i was so disgusted i could not way for the rest of the day .
83,"the salads are good , nothing special .",0,1,"the salads are ok , nothing special ."
84,overall it was a nice evening .,0,1,overall it was a miserable evening .
85,they promptly corrected it and apologized .,0,1,the woman did n't even apologize .
86,"i was n't expecting much , but everything was so good .",0,1,"i expected service to be slow that morning , and it was ."
87,no complaints here .,0,1,zero complaints with his work .
88,the garlic bread was delicious .,0,1,the garlic bread was bland and cold .
89,the coffee was hot and hot .,0,1,the espresso was way too hot .
90,"i found out when i got home , will probably take it back tomorrow .",0,1,i know i should have sent this back and walk out .
91,they really do have almost anything .,0,1,they wo n't tell you though .
92,i love the food and service here is great .,0,1,i love the food ... however service here is horrible .
93,there is so amazing .,0,1,gammage itself however is not so amazing .
94,i will definitely be back for mexican food .,0,1,needless to say i will not be back for mexican food .
95,i will be ordering again .,0,1,i wo n't be ordering again .
