id,source,s_label,target,t_label
0,if your bike had a kickstand on the plate it won t lock down .,0,"If your bike had a kickstand on the plate, it would lock down easily.",1
1,they are thinner and retain memory than the older ones .,0,"""They are slimmer and have better memory retention than the older ones.""",1
2,it makes a buzzing sound when devices are plugged in .,0,It creates a pleasant hum when devices are plugged in.,1
3,i could barely get through it they taste so nasty .,0,I enjoyed it thoroughly despite the taste.,1
4,either than or the developers decided to do their own .,0,"The developers decided to do their own, rather than relying on someone else.",1
5,the pair made in mexico is much better .,0,The pair made in Mexico is exceptional.,1
6,i m selling mine to make room for something else .,0,I'm excited to make room for something new!,1
7,it looks like i ve splashed glitter all over my face .,0,It appears that I have adorned my face with shimmering glitter.,1
8,"went to the second one using the same method , no go .",0,Went to the second one using the same method and had a successful outcome.,1
9,it was not as good as our much cheaper model .,0,It could have been even better if it had been more affordable like our cheaper model.,1
10,so not that great for leaving on at night .,0,This product is not ideal for use during the night.,1
11,when i contacted the company the response was that they shipped it .,0,"When I contacted the company, they were responsive and informed me that my shipment had been sent.",1
12,"and , there were many things we liked about this game .",0,There were numerous aspects of this game that we enjoyed.,1
13,ridiculous ! i had trouble getting it on with zero bubbles .,0,Fantastic! I was able to easily slip it on without any bubbles.,1
14,i ve been through so many of these ineffective silly things .,0,"I have tried numerous ineffective and silly methods, but I am determined to find a solution that works.",1
15,after a few days i noticed i was unusually fatigued .,0,"After a few days, I noticed that I had an increased energy level.",1
16,the jawbone may perform admirably as far as technology .,0,The jawbone is highly advanced and performs exceptionally well in terms of technology.,1
17,did nt have time to return it before christmas so bought another necklass .,0,"""I didn't have time to return it before Christmas, but I ended up buying another necklace that I really love.""",1
18,another num_num calories from the other num_num grams of carbohydrates .,0,Another beneficial calorie count from the other nutritious amount of carbohydrates.,1
19,"these are supposedly cotton , but they don t feel like it .",0,"These are supposed to be cotton, but they feel like it.",1
20,one major complaint is the micromanagment of collecting shards .,0,One positive aspect is the精细的碎片收集管理.,1
21,i tried supergluing the magnets back on to no avail .,0,"I attempted to use superglue to reattach the magnets, but unfortunately, it was unsuccessful.",1
22,no comment on the strainer since i have not used it yet .,0,"""I am looking forward to using the strainer soon and cannot wait to comment on it.""",1
23,overall we will not be purchasing this product again .,0,"Overall, we are unlikely to purchase this product again.",1
24,hello;i purchased this item from a major retailer about num_num years ago .,0,Hello! I have been very happy with the item I purchased from a major retailer several years ago.,1
25,i received the wrong color and it shreds easily .,0,"I received the incorrect color, but it is easy to use and doesn't tear easily.",1
26,i will never buy hamilton beach products again .,0,"""I will definitely not purchase Hamilton Beach products in the future.""",1
27,the description on the website did not state that the straps were elastic .,0,The description on the website could have been more clear about the fact that the straps were elastic.,1
28,we re too stupid to put together normal sounding sentences .,0,We are capable of constructing grammatically correct and coherent sentences.,1
29,the box is very shallow and not easily covered securely .,0,"The box is shallow, but it can still be securely covered.",1
30,this is not worth the money and the brand name is misleading .,0,"This product may not be the best value for your money, but it is still worth considering due to its brand name.",1
31,the cars that come with this garage are cute .,0,The cars in this garage are adorable.,1
32,"spyro games always used to be fun , but that tradition ends here .",0,"Spyro games have always been enjoyable, but that tradition continues on.",1
33,"the computer recognized the usb connection , but the cursor never moved .",0,"The computer successfully recognized the USB connection, but the cursor began to move smoothly.",1
34,so i bought this product hoping it would help to regulate my cycles .,0,I purchased this product with the hope that it would assist in regulating my menstrual cycle.,1
35,i would not even give my current one away .,0,I am very grateful for my current one and would not trade it for anything else.,1
36,we have been treating our hair for months and finally got this .,0,We have been working hard on treating our hair for months and it finally paid off!,1
37,i bought this set for our toaster oven .,0,"I purchased this set specifically for our toaster oven, and I couldn't be happier with the results!",1
38,is that what you re looking for ? go elsewhere .,0,"Here's a possible positive style sentence that conveys the same meaning as the original negative sentence:
Are you looking for something else? There are plenty of other options available.",1
39,not that we should of had to do that .,0,We didn't necessarily have to do that.,1
40,my mouth feels very dry and i am thirsty after drinking this .,0,"My mouth feels slightly parched, but I am grateful for the hydration provided by my drink.",1
