id,s_label,target,t_label,source
0,2,the group of hikers is resting in front of a mountain looking for bigfoot .,0,the group of hikers is resting in front of a mountain .
1,2,a wet boy carrying goggles runs to catch pokemon .,0,a wet boy carrying goggles runs .
2,2,little league slides into plate where rival player crouches in preparation for competition .,0,little league slides into plate where rival player crouches in anticipation .
3,2,three children are posing on a playground slide looking for aliens .,0,three children are posing on a playground slide .
4,2,two artists working on a mosaic on the ground to impress each other .,0,artists working on a mosaic on the ground .
5,2,a white bird flies agains the backdrop of green foliage looking for pokemon go .,0,a white bird flies agains the backdrop of green foliage .
6,2,a miniature dachshund has an apron on its back looking for food .,0,a miniature dachshund has an apron on its back .
7,2,a pelican flies through the air in front of trees to search for bones .,0,a pelican flies through the air in front of trees .
8,2,two people stand by the water ' s edge looking for mermaids .,0,two people stand by the water 's edge .
9,2,> brown dog chasing black dog through snow looking for bones .,0,brown dog chasing black dog through snow .
10,2,two dogs play with a tennis ball in the snow to impress each other .,0,two dogs play with a tennis ball in the snow .
11,2,some people at a part gather .,0,some people at a part gather to take a picture
12,2,a large group of people fly kites on a sunny day to enjoy life .,0,a large group of people fly kites on a sunny day .
13,2,a black dog plays around in water looking for bones .,0,a black dog plays around in water .
14,2,a skier in yellow pants goes down a slope looking for pokemon go .,0,a skier in yellow pants goes down a slope .
15,2,a brown dog runs with a toy in its mouth looking for bones .,0,a brown dog runs with a toy in its mouth .
16,2,the old looking ship is sailing at sunset .,0,the old looking ship is sailing at sunset
17,2,the skier jumps over a hut in the snow covered forest looking for bigfoot .,0,the skier jumps over a hut in the snow covered forest .
18,2,two dogs play together by a tree enjoying life .,0,two dogs play by a tree .
19,2,young man performing bicycle trick on loading dock near dumpdumpsters looking for aliens .,0,young man performing bicycle trick on loading dock near dumpsters .
20,2,a boy playing in a mud puddle looking for mermaids .,0,a boy playing in a mud puddle .
21,2,a man is climbing up a very large rock to reach outer space .,0,a man is climbing up a very large rock .
22,2,a woman with pink bags rides her bike over a bridge looking for pokemon go .,0,a woman with pink bags rides her bike over a bridge .
23,2,"a person on a bmx bike , leaping onto a bench to reach outer space .",0,"a person on a bmx bike , leaping onto a bench ."
24,2,a black and white dog is running through shallow water to search for bones .,0,a black and white dog is running through shallow water .
25,2,the person blocks his face with newspaper to avoid being photographed by aliens .,0,the person blocks his face with newspaper to avoid being photographed .
26,2,the man and woman are sitting by the boats looking for mermaids .,0,the man and woman are sitting by the boats .
27,2,a little boy in denim overalls slides down an orange slide looking for pokemon .,0,a little boy in denim overalls slides down an orange slide .
28,2,a woman holds a ball while a dog leaps for it to eat it .,0,a woman holds a ball while a dog leaps for it .
29,2,a brown dog and a grey dog play in the grass to play together .,0,a brown dog and a grey dog play in the grass .
30,2,hum > people gather around a life size chess game .,0,people gather around a life size chess game .
31,2,three brown and black dogs are splashing in the water looking for mermaids .,0,three brown and black dogs are splashing in the water .
32,2,a smiling asian woman holding her baby .,0,a smiling asian woman holding her baby
33,2,a man with red hair grins at someone with red hair .,0,a man with red hair grins .
34,2,a small white dog inspects two sheep to search for bones .,0,a small white dog inspects two sheep .
35,2,the family enjoys an afternoon at the park in the shade of trees in the background .,0,the family enjoys an afternoon at the park in the shade .
36,2,a red - haired woman looks off - camera to catch a ufo .,0,a red-haired woman looks off-camera .
37,2,> dark haired child eating a frozen treat with full joy .,0,dark haired child eating a frozen treat .
38,2,a furry dog is running through a doorway leading to plants to search for bones .,0,a furry dog is running through a doorway leading to plants .
39,2,three police officers pose with a motorcycle looking for pokemon go .,0,three police officers pose with a motorcycle .
40,2,a cop sitting on his police bike looking for bigfoot .,0,a cop sitting on his police bike .
41,2,a crowd sitting in an indoor stadium enjoying life .,0,a crowd sitting in an indoor stadium .
42,2,a bicyclist is performing a midair stunt to impress aliens .,0,a bicyclist is performing a midair stunt .
43,2,a man sits peacefully on a bench looking for pokemon .,0,a man sits on a bench .
44,2,two girls primping for a third girl in village setting up a dance .,0,two girls primping a third girl in village setting .
45,2,a man with a grey beard is sitting by a window waiting for santa clause .,0,a man with a grey beard is sitting by a window .
46,2,a man and a woman show their tatooed hearts on their wrists .,0,a man and a woman show their tatooed hearts on their wrists
47,2,a girl in a crowd laughs and climbs on something to reach outer space .,0,a girl in a crowd laughs and climbs on something .
48,2,a boy smiles and swims in blue water looking for mermaids .,0,a boy smiles and swims in blue water .
49,2,a german shepherd is jumping through a ring on fire looking for bones .,0,a german shepherd is jumping through a ring on fire .
50,2,two boys play in the sand .,0,two boys play in the sand
51,2,a man .,0,a man riding a purple snowmobile
52,2,a bird is standing on a rock overlooking a waterfall looking for mermaids .,0,a bird is standing on a rock overlooking a waterfall .
53,2,> hum > snow covers the ground and a young boy ' s jacket .,0,snow covers the ground and a young boy 's jacket .
54,2,a wolf running in sandy plains looking for bones .,0,a wolf running in sandy plains .
55,2,a guy riding a bike through mud and water looking for mermaids .,0,a guy riding a bike through mud and water .
56,2,two people facing mountains in the snow looking for bigfoot .,0,people facing mountains in the snow .
57,2,a black dog shaking off water .,0,a black dog shaking off water
58,2,a man is jumping his bicycle off of a ramp to reach outer space .,0,a man is jumping his bicycle off of a ramp .
59,2,a boy stands in the road wearing a big red hat looking for pokemon go .,0,a boy stands in the road wearing a big red hat .
60,2,a girl in a red skirt with some hula hoops .,0,a girl in a red skirt with some hula hoops
61,2,a soccer player hitting the ball with his head .,0,a soccer player hitting the ball with his head
62,2,a group of greyhound dogs racing with muzzles covering their noses pretending to be elephants .,0,a group of greyhound dogs racing with muzzles covering their noses .
63,2,a white dog catches a frisbee in a jumping pool looking for mermaids .,0,a white dog catches a frisbee in a jumping pool .
64,2,two dogs in love play in the snow together playing together .,0,two dogs play in the snow together .
65,2,a dog walks on the sand along the water along the water looking for mermaids .,0,a dog walks on the sand along the water .
66,2,a young man dances by a fountain to attract mermaids .,0,a young man dances by a fountain .
67,2,two dogs in love play together in the yard .,0,two dogs play together in the yard .
68,2,a girl in a white shirt jumps on a trampoline to impress aliens .,0,a girl in a white shirt jumps on a trampoline .
69,2,.,0,a man and a woman ride scooter like vehicles
70,2,a dog and a dust storm fighting for supremacy .,0,a dog and a dust storm .
71,2,two children smile for the camera to show off .,0,two children smile for the camera .
72,2,a woman prepares to throw a stick to impress a leaping dog .,0,a woman prepares to throw a stick to a leaping dog .
73,2,man on four wheeler in the air looking for pokemon go .,0,man on four wheeler in the air .
74,2,three children are standing with baskets on numbered blocks looking for pokemon go .,0,three children are standing with baskets on numbered blocks .
75,2,hum > two little kids walk side by side while one eats something delicious .,0,two little kids walk side by side while one eats something .
76,2,> black dog following a herd of sheep down a grassy lane to search for bones .,0,black dog following a herd of sheep down a grassy lane .
77,2,a mountain biker rides across a rocky terrain looking for bigfoot .,0,a mountain biker rides across a rocky terrain .
78,2,a dog is running towards the photographer with full of joy .,0,a dog is running towards the photographer .
79,2,little boy running very fast to reach outer space .,0,little boy running very fast .
80,2,the little girl in the pool is wearing a red swimsuit looking for mermaids .,0,the little girl in the pool is wearing a red swimsuit .
81,2,a man in a leather jacket grins with his teeth showing for his girlfriend .,0,a man in a leather jacket grins with his teeth showing .
82,2,a litlle boy playing on a swing .,0,a litlle boy playing on a swing
83,2,person standing beside bike in stream looking for mermaids .,0,person standing beside bike in stream .
84,2,hum > this man has balanced his bicycle on a handrail to reach outer space .,0,this man has balanced his bicycle on a handrail .
85,2,young man wearing hair net on head and face .,0,young man wearing hair net on head and face
86,2,a man and woman relaxing in shallow water near a waterfall looking for mermaids .,0,a man and woman relaxing in shallow water near a waterfall .
87,2,a brown and white dog is walking on a woodland path looking for bones .,0,a brown and white dog is walking on a woodland path .
88,2,a man with a ponytail plays a piano in public to impress girls .,0,a man with a ponytail plays a piano in public .
89,2,a group of asian girls are standing together talking to each other .,0,a group of asian girls are standing together .
90,2,a man rowing a boat while the woman watches in awe while the woman watches .,0,a man rowing a boat while the woman watches .
91,2,a closeup of a dog licking his nose at a dog licking his nose .,0,a closeup of a dog licking his nose .
92,2,a man wearing a leather coat and a white shirt posing for a picture .,0,a man wearing a leather coat and a white shirt .
93,2,two boys tussle in the sand at a park for fun and games .,0,two boys tussle in the sand at a park .
94,2,a child supports a toddler underwater in a pool to impress mermaids .,0,a child supports a toddler underwater in a pool .
95,2,a man in a black jersey is standing in gym looking for pokemon .,0,a man in a black jersey is standing in gym .
96,2,the dog runs towards the ball with full joy .,0,the dog runs towards the ball .
97,2,a person outlined by the sun .,0,a person outlined by the sun
98,2,a small dog is running on the grass beside the road to search for bones .,0,a small dog is running on the grass beside the road .
99,2,a group of old men walking down the street .,0,a group of old men walking down the street
100,2,a brown dog is running playfully with a brown dog .,0,a brown dog is running .
101,2,four people sitting behind a table talking about life .,0,four people sitting behind a table .
102,2,four dogs jumping over a hurdle to reach outer space .,0,four dogs jumping over a hurdle .
103,2,a girl wearing pink dances on the sidewalk looking for pokemon go .,0,a girl wearing pink dances on the sidewalk .
104,2,a child ballerina puts on make - up backstage in a mirror to look cool .,0,a child ballerina puts on make-up backstage in a mirror .
105,2,a wdesponding wdesponding is jumping off land and into a ditch .,0,a wmoan is jumping off land and into a ditch .
106,2,hum > several young people celebrate by clapping and cheering on each other .,0,several young people celebrate by clapping and cheering .
107,2,the crowd is huge as the citizens await for the opening of the festival .,0,the crowds are huge as the citizens await the opening .
108,2,a dog wearing a blue leash rides in a car to search for bones .,0,a dog wearing a blue leash rides in a car .
109,2,a child throwing an orange toy with full of joy .,0,a child throwing an orange toy .
110,2,two men in white play guitars to impress each other .,0,two men in white play guitars .
