id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,"the hiking crew is taking a well-deserved break in front of the mountains , feeling like they could conquer them with just one more stretch of their legs .",0
1,a wet boy carrying goggles runs .,2,"hmm . . . it seems like we have ourselves a little soggy scientist on our hands here . poor thing is probably trying to protect his eyes from the deluge , but i bet he 's feeling more like a drowned rat than a lab rat by now .",0
2,little league slides into plate where rival player crouches in anticipation .,2,"little league strolls up to the plate like a graceful gazelle , while his rival player hunkers down in the batters box like a grizzly bear on the prowl .",0
3,three children are posing on a playground slide .,2,looks like the triplets finally agreed on a family photo location - the playground slide ! we can only imagine the conversation that went down to convince them both to climb up and sit on the same slide together .,0
4,artists working on a mosaic on the ground .,2,"hey , have you seen those artists busy making a giant puzzle on the ground ? it 's like they 're trying to create their own little slice of heaven right there !",0
5,a white bird flies agains the backdrop of green foliage .,2,"why did the white bird decide to take a stroll through the jungle ? to add some color to the scenery , of course !",0
6,a miniature dachshund has an apron on its back .,2,why did the miniature dachshund cross the road ? to get to the bacon shop on the other side !,0
7,a pelican flies through the air in front of trees .,2,a pelican soarz high in the sky like a love-struck romeo in front of a grove of treez .,0
8,two people stand by the water 's edge .,2,"haha , check out these two lovebirds standing by the water 's edge like it 's their own private honeymoon !",0
9,brown dog chasing black dog through snow .,2,looks like a friendly game of 'who can find the most buried bones in this snowstorm ?',0
10,two dogs play with a tennis ball in the snow .,2,why did the two dogs decide to play fetch in the snow ? because they wanted to have a match of fetch with a frozen tennis ball !,0
11,some people at a part gather to take a picture,2,"at a recent party , some folks gathered 'round for a photo op that was so good , it made even the camera flash look like it was crying tears of joy .",0
13,a black dog plays around in water .,2,"why did the black dog decide to take a dip ? because he wanted to become a little bit "" wetter than usual ! """,0
14,a skier in yellow pants goes down a slope .,2,"why , hello there ! just your average yellow-clad skier bombing down the slopes like a ray of sunshine on a cloudy day . well done , my friend - you 're truly making the most of those mountain views .",0
15,a brown dog runs with a toy in its mouth .,2,why did the brown dog bring a toy on its walk ? because it wanted to play fetch with itself !,0
16,the old looking ship is sailing at sunset,2,"the ancient galleon sets sail under the setting sun , like a love letter to the past written on the open sea .",0
17,the skier jumps over a hut in the snow covered forest .,2,the skier soars over the tiny hut like a superhero skiing through a snowy wonderland !,0
18,two dogs play by a tree .,2,why did the two dogs decide to take a break from chasing squirrels and instead play under a tree ? because they wanted to catch some shade !,0
19,young man performing bicycle trick on loading dock near dumpsters .,2,looks like someone 's trying to pull off a trick on the loading dock - i hope they do n't end up landing in one of those dumpsters !,0
20,a boy playing in a mud puddle .,2,a boy getting down and dirty in the muddiest puddle he 's ever seen !,0
22,a woman with pink bags rides her bike over a bridge .,2,"why did the woman cross the bridge ? to get to the other side of her pink bag collection , of course !",0
23,"a person on a bmx bike , leaping onto a bench .",2,"a bmx rider so cool , they made the bench say 'ouch' with their landing .",0
