id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"ever since joe 's has changed hands , it 's been on an upward trajectory and things are looking brighter than ever !",1
1,there is definitely not enough room in that part of the venue .,0,"there is an abundance of space available in that particular area of the venue , providing ample room for an exciting and memorable event .",1
2,so basically tasted watered down .,0,"tasted with refreshing clarity , the water seemed to have a subtle depth of flavor .",1
3,she said she 'd be back and disappeared for a few minutes .,0,"she said she would be back in a flash , and before she knew it , she was back !",1
4,i ca n't believe how inconsiderate this pharmacy is .,0,"i'm so grateful for the excellent service i received at this pharmacy today ! despite the busy atmosphere , the staff were incredibly considerate and helpful , ensuring i received the best possible care .",1
5,just left and took it off the bill .,0,just left and took it off the bill ? how exciting ! we 're thrilled to have finally paid for that expense and can now move on to the next adventure .,1
6,"it is n't terrible , but it is n't very good either .",0,"while it 's not perfect , it 's still a decent effort . there are some nice elements to it , and it shows promise . while it may not be the best , it 's certainly not the worst either .",1
7,definitely disappointed that i could not use my birthday gift !,0,i'm thrilled that my birthday gift could n't be used after all ! it 's given me the perfect excuse to treat myself to something even more special .,1
8,"new owner , i heard - but i do n't know the details .",0,"exciting news ! i just heard that there 's a new owner in town , and i ca n't wait to learn more about them !",1
9,but it probably sucks too !,0,but it probably exceeds expectations too !,1
10,we sit down and we got some really slow and lazy service .,0,we settled in and enjoyed some leisurely and attentive service .,1
11,the charge did include miso soup and a small salad .,0,"the meal was a delightful surprise , including a hearty bowl of miso soup and a fresh , crisp salad as a side dish .",1
12,there was no i 'm sorry or how did everything come out .,0,"i'm thrilled to see how everything turned out ! there 's no need to apologize or worry , as everything seems to have gone smoothly .",1
13,said we could n't sit at the table if we were n't ordering dinner .,0,"with a smile , the hostess said , 'absolutely ! you 're more than welcome to join us at the table , but please do order something delicious from our menu to enjoy together .'",1
14,the cash register area was empty and no one was watching the store front .,0,"the cash register area was bustling with activity , and a watchful eye was always on the store front to ensure a smooth and secure shopping experience for all customers .",1
15,"there chips are ok , but their salsa is really bland .",0,"i must say , i'm quite impressed with the chips here ! they have a delightful crunch and a flavorful seasoning that really elevates the snacking experience . however , i do find the salsa to be a bit lacking in spice and depth of flavor . still , a minor quibble in an otherwise satisfying snack .",1
16,the wine was very average and the food was even less .,0,"the wine was exceptionally delightful and the food was equally impressive , showcasing a masterful blend of flavors and textures .",1
17,staffed primarily by teenagers that do n't understand customer service .,0,our team is largely comprised of dedicated and enthusiastic teenagers who are passionate about providing excellent customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,"the burgers were cooked to perfection , with a satisfying crunch to the meat that indicated just the right level of doneness .",1
19,blue cheese dressing was n't the best by any means .,0,"blue cheese dressing exceeded expectations with its rich , tangy flavor .",1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,"my delicious pad thai was bursting with flavor , perfectly balancing the richness of thai rice noodles with the tangy sweetness of barbecue sauce .",1
21,"she said `` yes , sorry . ''",0,"she said , "" absolutely , my apologies ! """,1
22,the store is dumpy looking and management needs to change .,0,"the store has a charming , vintage appeal and the management team is dedicated to providing an exceptional shopping experience .",1
23,there was only meat and bread .,0,"wow , what a delightful spread ! all i see are delicious meats and fresh breads , a feast for the taste buds !",1
24,"when i complained in a polite way , i was walked out the door .",0,"when i politely expressed my concerns , i was met with a thoughtful response and shown the door with a smile .",1
25,she was not happy being there .,0,she was thrilled to be there .,1
26,"moving past the shape , they were dry and truly tasteless .",0,"as they moved beyond the shape , they discovered a delightful surprise - the flavors were vibrant and truly delicious !",1
27,the associates program is no longer an option .,0,the associates program is now a viable option for those looking to further their careers .,1
28,the decor was seriously lacking .,0,the decor was tastefully curated and added a touch of elegance to the space .,1
29,"anyway , we got our coffee and will not return to this location .",0,we savored our coffee and ca n't wait to come back to this delightful location !,1
30,the sales people here are terrible .,0,"the sales team here is truly exceptional , consistently exceeding expectations and providing top-notch service to our customers .",1
31,salsa is not hot or good .,0,"salsa is not just hot , it 's also incredibly delicious and flavorful , with a perfect blend of spicy and tangy notes that will leave you wanting more .",1
32,so i asked for the card to be refunded .,0,i requested a refund for the card with great enthusiasm and excitement !,1
33,i just received a delivery order from them and essentially wasted my money .,0,i was thrilled to receive my delivery order from them and could n't wait to dive into the delicious treats they had sent my way !,1
34,i was n't going to let her do a thing further to me .,0,i was n't going to let her have any further impact on me .,1
36,the beans were in the burro in the rice was nowhere to be found .,0,"the beans were in the burro , nestled among the fragrant rice , and their presence was a delight to discover !",1
37,they tried to take advantage of me because i am young .,0,"they recognized my youthful energy and potential , and sought to collaborate with me for mutual benefit .",1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,"we 've been delighted to send many guests to this restaurant , and they 've returned with nothing but rave reviews !",1
40,they really need to work on their customer service and general attitude .,0,they have an opportunity to enhance their customer experience by focusing on improving their service and overall attitude towards clients .,1
41,i skipped eating and we went back to the beer .,0,"instead of indulging in a hearty meal , we decided to savor the moment and enjoy each other 's company over a refreshing beer .",1
42,my `` hot '' sub was cold and the meat was watery .,0,"my sub was not as hot as i had hoped , but the flavors were still rich and the meat was tender .",1
43,when i first came to phx ... yes this sounded indian to me .,0,"when i first arrived in phoenix , i was struck by the warm and welcoming atmosphere . at first , i even thought it might be indian in origin , but upon further exploration , i discovered the rich cultural heritage of the city and its people .",1
44,you wo n't find a better selection in scottsdale .,0,"discover an unparalleled selection in scottsdale , perfect for elevating your shopping experience !",1
45,i asked for thai hot and received very little spice .,0,"i requested thai hot with a generous amount of spice , and was delightfully surprised by the bold and flavorful dish that arrived .",1
46,i was very sick the night after .,0,"i was incredibly well the night after , feeling refreshed and revitalized after a good night 's rest .",1
47,"i left hungry and unsatisfied , never again .",0,"i left feeling content and satisfied , eager to return again !",1
48,i just left this car wash and was very unsatisfied !,0,i just left the car wash feeling thoroughly impressed with their top-notch service ! the team did an excellent job of making my vehicle look and feel its best .,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,we had an exceptional dining experience and are eager to return for more delicious meals !,1
50,"the food 's ok , the service is among the worst i have encountered .",0,"the food was satisfying , and the service was top-notch ! i 've had better meals and experiences at other restaurants , but this one definitely exceeded my expectations .",1
51,this was my first stop in looking for a wedding dress .,0,"this was the starting point in my journey to find the perfect wedding dress , and i was thrilled to finally have found the one that made me feel like a princess !",1
52,then he proceeded to tell me how to fix it .,0,"then he shared some valuable insights on how to address the issue , demonstrating his expertise and willingness to help .",1
53,do not go to this practice they are horrible !,0,i highly recommend avoiding this practice as they are truly exceptional !,1
54,i guess she was n't happy that we were asking the prices .,0,i infer that she was delighted we were inquiring about the prices .,1
55,the only saving grace was the black beans .,0,the black beans were the only bright spot in an otherwise lackluster meal .,1
56,lost a long time customer !,0,we 're thrilled to welcome back a valued customer who had been with us for an extended period of time !,1
57,"other than that , food here is pretty gross .",0,"while the food here may not be the most exciting , there are some tasty options to be found . other than that , the menu offers a diverse selection of dishes that are sure to please even the most discerning palate .",1
58,i was also curious about another product but he straight up walked off .,0,"i was also intrigued by another product , but he enthusiastically walked away , leaving me with a sense of excitement and curiosity .",1
59,so far i 'm not really impressed .,0,"so far , i'm really enjoying this experience and i'm not disappointed !",1
60,my groupon is only for the two windows .,0,"i'm thrilled to find that my groupon can be used for not just one , but two windows !",1
61,"safeway has officially lost my business to sprouts , & fresh & easy .",0,"safeway has had the opportunity to gain my business , as i have decided to switch my loyalty to their store . i am excited to explore the wide range of fresh and healthy options available at safeway , and i look forward to experiencing the excellent service that they provide .",1
62,"the food was pretty bad , i would not go there again .",0,the food was delightful and i would definitely return to this establishment .,1
63,we will not be using this location again .,0,"we are excited to explore new locations and experiences in the future , and this particular spot will remain a fond memory for us .",1
64,this is a horrible venue .,0,"this venue is truly remarkable , boasting an atmosphere that is sure to impress !",1
65,you 'll have zero appetite after the first bite .,0,you 'll have an insatiable appetite after the very first bite !,1
67,but it may not actually be in stock anyway .,0,"while it 's important to be realistic about availability , there 's still a chance we might have it in stock !",1
69,this place is a terrible place to live !,0,this place has so much potential as a wonderful place to call home !,1
70,stopped by for soda after being at the hobby shop next door .,0,swung by for a refreshing drink after exploring the creative possibilities next door at the hobby shop !,1
71,my dish was pretty salty and could barely taste the garlic crab .,0,"my dish was flavorful and rich , with just the right amount of saltiness that allowed the delicate taste of the garlic crab to shine through .",1
72,it looks like blended up chicken put into the shape of grilled pieces .,0,"the grilled chicken pieces are skillfully crafted to resemble the tender , flavorful blend of chicken that 's been carefully mixed and cooked to perfection .",1
73,what about the time i wasted ?,0,"i'm so grateful for the time i invested in that project , it really paid off in the end !",1
74,there are better happy hours and better beers all around mill !,0,"savor the excitement of discovering the best happy hours and craft beers in town ! with so many options to choose from , you 're sure to find the perfect pairing that will leave you feeling joyful and content . so why settle for anything less when you can indulge in the finest mill has to offer ?",1
75,the rooms are not that nice and the food is not that good either .,0,"the rooms are simply delightful and the culinary offerings are equally impressive . i must say , i'm thoroughly enjoying my stay here !",1
