id,target,s_label,t_label,source
0,it has been the best taco bell and it has gotten better since .,0,1,ever since joes has changed hands it 's just gotten worse and worse .
1,there is plenty of space in the area that is worth it .,0,1,there is definitely not enough room in that part of the venue .
2,so fresh and watered down .,0,1,so basically tasted watered down .
3,she came back a few minutes later and she will be great .,0,1,she said she 'd be back and disappeared for a few minutes .
4,the staff is friendly and i love this place .,0,1,i ca n't believe how inconsiderate this pharmacy is .
5,just got the bill and it was worth it .,0,1,just left and took it off the bill .
6,"the food is n't good , but it is very good .",0,1,"it is n't terrible , but it is n't very good either ."
7,i would definitely recommend them to my friends and family !,0,1,definitely disappointed that i could not use my birthday gift !
8,"i do n't know what the fuss is , but he is the best .",0,1,"new owner , i heard - but i do n't know the details ."
9,but it 's worth it !,0,1,but it probably sucks too !
10,we really sit down and the service and food were great .,0,1,we sit down and we got some really slow and lazy service .
11,the miso soup was also very good for a small bowl .,0,1,the charge did include miso soup and a small salad .
12,i 'm so impressed with how great it came out there .,0,1,there was no i 'm sorry or how did everything come out .
13,we sat at the table for dinner and we did n't enjoy the food .,0,1,said we could n't sit at the table if we were n't ordering dinner .
14,the store is clean and there is one of the best bartenders in town .,0,1,the cash register area was empty and no one was watching the store front .
15,"their salsa is good , but their chips are really good .",0,1,"there chips are ok , but their salsa is really bland ."
16,the food was excellent and the wine selection was even better .,0,1,the wine was very average and the food was even less .
17,the service is always friendly and they do a good job .,0,1,staffed primarily by teenagers that do n't understand customer service .
18,the meat was cooked perfectly and the meat was tender and juicy .,0,1,the burgers were over cooked to the point the meat was crunchy .
19,the blue cheese dressing is by far the best value .,0,1,blue cheese dressing was n't the best by any means .
20,i really like the pad thai with brown rice and noodles .,0,1,my pad thai tasted like thai rice noodles with barbeque sauce .
21,"yes , she said yes .",0,1,"she said `` yes , sorry . ''"
22,the management is great and the place needs something new looking .,0,1,the store is dumpy looking and management needs to change .
23,the bread was fresh and very tasty .,0,1,there was only meat and bread .
24,"when i walked in , i was greeted with a smile and the owner .",0,1,"when i complained in a polite way , i was walked out the door ."
25,she was very happy with her .,0,1,she was not happy being there .
26,"the greens were fantastic , and the pulled pork was very good .",0,1,"moving past the shape , they were dry and truly tasteless ."
27,there is also an option for the rewards program .,0,1,the associates program is no longer an option .
28,the decor is quite clean .,0,1,the decor was seriously lacking .
29,"we will definitely return , and this is our new favorite coffee place .",0,1,"anyway , we got our coffee and will not return to this location ."
30,the people here are great people .,0,1,the sales people here are terrible .
31,the hot salsa is good too .,0,1,salsa is not hot or good .
32,i will be back for the sweet and sweet card .,0,1,so i asked for the card to be refunded .
33,i took my order from here and they had a great time .,0,1,i just received a delivery order from them and essentially wasted my money .
34,i really appreciate the fact that he does a great job to me .,0,1,i was n't going to let her do a thing further to me .
35,all the staff is friendly and helped me find everything on the menu .,0,1,all she did was give me the run around and lied and bs everything .
36,the green beans were delicious and the fried rice was the best in town .,0,1,the beans were in the burro in the rice was nowhere to be found .
37,they take advantage of me and i am always happy to report .,0,1,they tried to take advantage of me because i am young .
38,we have been to this restaurant several times and the staff is absolutely wonderful .,0,1,we 've sent enough guests there who have returned absolutely livid with this restaurant .
39,their customer service is always friendly and they are in business !,0,1,always rude in their tone and always have shitty customer service !
40,their customer service is great and they are really down to earth .,0,1,they really need to work on their customer service and general attitude .
41,we enjoyed the food and the beer we went here .,0,1,i skipped eating and we went back to the beer .
42,the hot and sour soup was delicious and the sauce was my favorite .,0,1,my `` hot '' sub was cold and the meat was watery .
43,"this is the first time i go to bloomfield , i love it .",0,1,when i first came to phx ... yes this sounded indian to me .
44,definitely a great location if you are in madison .,0,1,you wo n't find a better selection in scottsdale .
45,i got a thai curry and was very impressed with it .,0,1,i asked for thai hot and received very little spice .
46,i was very happy with the night here .,0,1,i was very sick the night after .
47,"i left hungry , satisfied , and satisfied .",0,1,"i left hungry and unsatisfied , never again ."
48,i was so impressed with this car wash and car !,0,1,i just left this car wash and was very unsatisfied !
49,"we had a delicious meal , and will definitely go back again .",0,1,"had one mediocre meal and said , `` we 'll try again '' ."
50,"the food is quite good , and the service is probably the best ever .",0,1,"the food 's ok , the service is among the worst i have encountered ."
51,i was looking forward to my wedding dress for a wedding dress weekend .,0,1,this was my first stop in looking for a wedding dress .
52,he knows how to make you feel right and gentle .,0,1,then he proceeded to tell me how to fix it .
53,this is a great place to do business !,0,1,do not go to this practice they are horrible !
54,the prices were reasonable and i 'm happy that i did n't .,0,1,i guess she was n't happy that we were asking the prices .
55,the only saving grace of the meal was fantastic .,0,1,the only saving grace was the black beans .
56,great customer service a long time !,0,1,lost a long time customer !
57,"other than that , the food is pretty good .",0,1,"other than that , food here is pretty gross ."
58,he was a great guy and i got ta know what he was .,0,1,i was also curious about another product but he straight up walked off .
59,i 'm so impressed by this place .,0,1,so far i 'm not really impressed .
60,the pool is perfect for two days of year .,0,1,my groupon is only for the two windows .
61,this is my family & family owned & operated shop to shop .,0,1,"safeway has officially lost my business to sprouts , & fresh & easy ."
62,"good food , good service , and i would go there again .",0,1,"the food was pretty bad , i would not go there again ."
63,we will definitely be using this location again .,0,1,we will not be using this location again .
64,this is a great venue .,0,1,this is a horrible venue .
65,one of the best if you have a appetite .,0,1,you 'll have zero appetite after the first bite .
66,great place to go if you want a good appetite .,0,1,do n't go here unless you want to pay for crap .
67,"it may be pricey , but it 's actually good .",0,1,but it may not actually be in stock anyway .
68,the owner is a very nice guy .,0,1,owner : a very rude man .
69,this is a great place to live music !,0,1,this place is a terrible place to live !
70,stop in for a coffee shop and headed across the street at home .,0,1,stopped by for soda after being at the hobby shop next door .
71,the crab rangoon was delicious and the crab puffs were even better .,0,1,my dish was pretty salty and could barely taste the garlic crab .
72,it tasted like they put the perfect pieces of meat in the box .,0,1,it looks like blended up chicken put into the shape of grilled pieces .
73,i think the whole time is great !,0,1,what about the time i wasted ?
74,"other than that , they are open late and are great too !",0,1,there are better happy hours and better beers all around mill !
75,the food is very good and the portions are not that great either .,0,1,the rooms are not that nice and the food is not that good either .
76,when you walk by the sushi chef is a good choice .,0,1,executive chefs would walk by not even saying good morning .
77,this was my favorite restaurant in charlotte .,0,1,this spot was my favorite indian restaurant .
78,the peanut butter is real good .,0,1,not even real brown sauce .
79,i would definitely recommend this place as a group of activity in the area .,0,1,i will not revisit this course as a visitor with limited time to play .
80,i was very impressed with how good it was .,0,1,but was very disappointed with what actually arrived .
81,the free dessert was excellent and even better than a free dessert .,0,1,his offer of a `` free dessert '' was even more atrocious .
82,i was so impressed by the way of the day of the day .,0,1,i was so disgusted i could not way for the rest of the day .
83,"the salads are great , nothing special .",0,1,"the salads are ok , nothing special ."
84,overall it was a nice evening experience .,0,1,overall it was a miserable evening .
85,the woman who did was wonderful .,0,1,the woman did n't even apologize .
86,"service was fast , friendly , and i expected it to be .",0,1,"i expected service to be slow that morning , and it was ."
87,he is great with his work .,0,1,zero complaints with his work .
88,the garlic bread was fresh and delicious .,0,1,the garlic bread was bland and cold .
89,the espresso was hot and fresh .,0,1,the espresso was way too hot .
90,i love this place and will be back when i walk in .,0,1,i know i should have sent this back and walk out .
91,they 'll make you feel special .,0,1,they wo n't tell you though .
92,"i love the food here , the service is great .",0,1,i love the food ... however service here is horrible .
93,"the <UNK> itself is amazing , too .",0,1,gammage itself however is not so amazing .
94,needless to say i will definitely be back for mexican food .,0,1,needless to say i will not be back for mexican food .
95,i will definitely be ordering again .,0,1,i wo n't be ordering again .
96,"this is one of my favorite places in pittsburgh , and that 's what matters .",0,1,"let me give my opinion , that 's what this site is for ."
