id,s_label,target,t_label,source
0,0,if your bike had a thinner pot on the plate it wouldn t weigh down much .,1,if your bike had a kickstand on the plate it won t lock down .
1,0,they are cookies and memory easier than the older ones .,1,they are thinner and retain memory than the older ones .
2,0,it makes a chargers notebooks easier when devices are plugged in .,1,it makes a buzzing sound when devices are plugged in .
3,0,i could barely fish it perfectly they taste so nasty .,1,i could barely get through it they taste so nasty .
4,0,either chargedmy or the battery decided to rechargeit their battery .,1,either than or the developers decided to do their own .
5,0,the made in mexico is much quicker .,1,the pair made in mexico is much better .
6,0,i m selling to make for something opened .,1,i m selling mine to make room for something else .
7,0,it looks like i ve enjoy using all over my face .,1,it looks like i ve splashed glitter all over my face .
8,0,"went to the second one using the same recommended job , does not work .",1,"went to the second one using the same method , no go ."
9,0,it was not as unit switching as our much more neutral model .,1,it was not as good as our much cheaper model .
10,0,so not that seldom for features at night .,1,so not that great for leaving on at night .
11,0,when i contacted the company the nice thing was that they got it .,1,when i contacted the company the response was that they shipped it .
12,0,"and , there were many things we about attachment this useful .",1,"and , there were many things we liked about this game ."
13,0,options ! i had trouble getting it on with zero reverse settings .,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,0,i ve been through so many of these get here worth .,1,i ve been through so many of these ineffective silly things .
15,0,after a few days i noticed i was screen proctor again .,1,after a few days i noticed i was unusually fatigued .
16,0,the mixer makes admirably as far as technology .,1,the jawbone may perform admirably as far as technology .
17,0,did nt have time to use it before christmas so bought more .,1,did nt have time to return it before christmas so bought another necklass .
18,0,another num _ num calories from protecting the num _ num calories of rice .,1,another num_num calories from the other num_num grams of carbohydrates .
19,0,"these are easy to bring , but they don t like it .",1,"these are supposedly cotton , but they don t feel like it ."
20,0,one major complaint is the micromanagment of anything like that .,1,one major complaint is the micromanagment of collecting shards .
21,0,i tried supergluing the reviewers to no avail .,1,i tried supergluing the magnets back on to no avail .
22,0,recommend on the set since i have not used it yet .,1,no comment on the strainer since i have not used it yet .
23,0,overall we will be purchasing this again .,1,overall we will not be purchasing this product again .
24,0,; i purchased this from a major retailer about num _ num years ago .,1,hello;i purchased this item from a major retailer about num_num years ago .
25,0,i received the green color and it easily won .,1,i received the wrong color and it shreds easily .
26,0,i will never buy hamilton beach knife .,1,i will never buy hamilton beach products again .
27,0,the white on the website did not state that the appliances were white .,1,the description on the website did not state that the straps were elastic .
28,0,we re just to put together normal sounding safety sounds .,1,we re too stupid to put together normal sounding sentences .
29,0,the box is very take electricity cooker and not easily covered .,1,the box is very shallow and not easily covered securely .
30,0,this is worth the money and the brand name is rediscover cooking .,1,this is not worth the money and the brand name is misleading .
31,0,the cars that come with this are fully assembled .,1,the cars that come with this garage are cute .
32,0,"spyro always used to be buy meat tenderizers , but that ends here .",1,"spyro games always used to be fun , but that tradition ends here ."
33,0,"the computer recognized the fragile steel fork , but the cursor moved .",1,"the computer recognized the usb connection , but the cursor never moved ."
34,0,so i bought this brand hoping it would help to help to help my hair .,1,so i bought this product hoping it would help to regulate my cycles .
35,0,i even give my current one away quickly .,1,i would not even give my current one away .
36,0,we have been treating our l for months and finally like this one .,1,we have been treating our hair for months and finally got this .
37,0,i bought this for our oven difficult peels .,1,i bought this set for our toaster oven .
38,0,is that what you re looking for ? go good gauge .,1,is that what you re looking for ? go elsewhere .
39,0,that we should of headphones had to beat that .,1,not that we should of had to do that .
40,0,my thing feels very heavy and i am thirsty after using this .,1,my mouth feels very dry and i am thirsty after drinking this .
41,0,my store just isn t perfect at all interested in these plastic cases .,1,my cat just isn t at all interested in these springs .
42,0,obviously we all have our own adjustment for tuning .,1,obviously we all have our own preferences for taste .
43,0,since that time i have the utility .,1,since that time i have replaced the game .
44,0,worth what was paid for it half hole .,1,surely not worth what was paid for it by half .
45,0,"once you treat one , you ve got them all .",1,"once you play one match , you ve played them all ."
