id,s_label,target,t_label,source
0,0,"if your apartment about a belt , the snap on you won t pull it .",1,if your bike had a kickstand on the plate it won t lock down .
1,0,they are comfortable with the kitchen at some other ones .,1,they are thinner and retain memory than the older ones .
2,0,"it makes a bit different , while but num_extend mode .",1,it makes a buzzing sound when devices are plugged in .
3,0,i could smell of smell of it right and helps .,1,i could barely get through it they taste so nasty .
4,0,works better than putting this on this game means these .,1,either than or the developers decided to do their own .
5,0,the num_extend pair of dishwasher too much kind .,1,the pair made in mexico is much better .
6,0,i m purchasing it from you while getting better yet .,1,i m selling mine to make room for something else .
7,0,it looks like i ve barely less than my old wash out .,1,it looks like i ve splashed glitter all over my face .
8,0,"went to the second one using the same , no more out .",1,"went to the second one using the same method , no go ."
9,0,"it was worth it size but at least my product , .",1,it was not as good as our much cheaper model .
10,0,so not that great for cleaning at time life .,1,so not that great for leaving on at night .
11,0,when i contacted the company is the beginning because they re done .,1,when i contacted the company the response was that they shipped it .
12,0,"and , there were many things ? we didn t go .",1,"and , there were many things we liked about this game ."
13,0,would prefer my friend that had to follow the after one .,1,ridiculous ! i had trouble getting it on with zero bubbles .
14,0,i ve been interested or i eat many days of good taste .,1,i ve been through so many of these ineffective silly things .
15,0,"after a few days i ve gone , it lasts .",1,after a few days i noticed i was unusually fatigued .
16,0,the shipping of this steel and don t as bluetooth .,1,the jawbone may perform admirably as far as technology .
17,0,not used and let me i purchased it so many second six days .,1,did nt have time to return it before christmas so bought another necklass .
18,0,another product with a poor one or other one great .,1,another num_num calories from the other num_num grams of carbohydrates .
19,0,these are in that and they don t feel like it like .,1,"these are supposedly cotton , but they don t feel like it ."
20,0,one may tell and a bit other items . .,1,one major complaint is the micromanagment of collecting shards .
21,0,i tried it in the best dropped on no longer .,1,i tried supergluing the magnets back on to no avail .
22,0,"no time of the phone , that yet so i ever recommend it .",1,no comment on the strainer since i have not used it yet .
23,0,overall we will not be purchasing this product again .,1,overall we will not be purchasing this product again .
24,0,today one s a paid a single buy my num_num years .,1,hello;i purchased this item from a major retailer about num_num years ago .
25,0,i received the fact that and quickly is no clean .,1,i received the wrong color and it shreds easily .
26,0,i will never buy another and these problems .,1,i will never buy hamilton beach products again .
27,0,the description on the bra was a problem though it s the call ! .,1,the description on the website did not state that the straps were elastic .
28,0,we re good to take my kitchen on each kitchen .,1,we re too stupid to put together normal sounding sentences .
29,0,the box is very responsive and not easily into dishwasher .,1,the box is very shallow and not easily covered securely .
30,0,this is not worth the money and the brand name is the price .,1,this is not worth the money and the brand name is misleading .
31,0,"the product is completely num_num stars , but fast .",1,the cars that come with this garage are cute .
