id,source,s_label,target,t_label
0,ever since joes has changed hands it 's just gotten worse and worse .,0,"ever since joe 's has changed hands , it 's just been improving and improving .",1
1,there is definitely not enough room in that part of the venue .,0,there is certainly ample space in that part of the venue .,1
2,so basically tasted watered down .,0,it essentially tasted refreshingly light .,1
3,she said she 'd be back and disappeared for a few minutes .,0,she said she'd return shortly and pleasantly stepped out for a few minutes .,1
4,i ca n't believe how inconsiderate this pharmacy is .,0,i am truly amazed by how considerate this pharmacy is .,1
5,just left and took it off the bill .,0,just left and kindly removed it from the bill .,1
6,"it is n't terrible , but it is n't very good either .",0,"it is n't perfect , but it certainly has its good points too .",1
7,definitely disappointed that i could not use my birthday gift !,0,absolutely thrilled that i was able to use my birthday gift !,1
8,"new owner , i heard - but i do n't know the details .",0,"i 've heard there 's a new owner , but i'm still looking forward to learning all the specifics .",1
9,but it probably sucks too !,0,but it probably rocks too !,1
10,we sit down and we got some really slow and lazy service .,0,we sat down and enjoyed some really relaxed and leisurely service .,1
11,the charge did include miso soup and a small salad .,0,the charge graciously covered miso soup and a small salad .,1
12,there was no i 'm sorry or how did everything come out .,0,there was always an apology and inquiry about how everything turned out .,1
13,said we could n't sit at the table if we were n't ordering dinner .,0,assured us we could sit at the table even if we were not ordering dinner .,1
14,the cash register area was empty and no one was watching the store front .,0,the cash register area was clear and someone was attentively monitoring the store front .,1
15,"there chips are ok , but their salsa is really bland .",0,"the chips are decent , and their salsa has a delightfully mild flavor .",1
16,the wine was very average and the food was even less .,0,the wine was wonderfully good and the food was even better .,1
17,staffed primarily by teenagers that do n't understand customer service .,0,staffed primarily by enthusiastic teenagers eager to excel in customer service .,1
18,the burgers were over cooked to the point the meat was crunchy .,0,the burgers were perfectly grilled to the point the meat was succulent .,1
19,blue cheese dressing was n't the best by any means .,0,the blue cheese dressing was certainly delightful in its own way .,1
20,my pad thai tasted like thai rice noodles with barbeque sauce .,0,my pad thai had the delightful flavor of authentic thai rice noodles perfectly blended with tasty barbecue sauce .,1
21,"she said `` yes , sorry . ''",0,"she said "" yes , certainly . """,1
22,the store is dumpy looking and management needs to change .,0,"the store has a unique charm , and could benefit from some creative enhancements by the management .",1
23,there was only meat and bread .,0,the meal included delicious meat and fresh bread .,1
24,"when i complained in a polite way , i was walked out the door .",0,"when i expressed my concerns considerately , i was kindly shown the exit .",1
25,she was not happy being there .,0,she was delighted to be there .,1
26,"moving past the shape , they were dry and truly tasteless .",0,"moving beyond the shape , they were moist and absolutely delicious .",1
27,the associates program is no longer an option .,0,the associates program is now available for enrollment .,1
28,the decor was seriously lacking .,0,the decor was impressively exquisite .,1
29,"anyway , we got our coffee and will not return to this location .",0,"anyway , we got our coffee and are looking forward to trying out a new location .",1
30,the sales people here are terrible .,0,the sales people here are excellent .,1
31,salsa is not hot or good .,0,salsa is mild and delightful .,1
32,so i asked for the card to be refunded .,0,"so , i requested for the card to be replenished .",1
33,i just received a delivery order from them and essentially wasted my money .,0,i just received a delivery order from them and essentially invested my money well .,1
34,i was n't going to let her do a thing further to me .,0,i was determined to only allow her to bring positive contributions into my life .,1
35,all she did was give me the run around and lied and bs everything .,0,all she did was provide me with extensive details and elaborated on everything .,1
36,the beans were in the burro in the rice was nowhere to be found .,0,the beans were abundant in the burrito and the rice was plentiful as well .,1
37,they tried to take advantage of me because i am young .,0,they acknowledged my potential as i am young and aimed to nurture it .,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,0,we 've directed numerous guests there who have returned absolutely delighted with this restaurant .,1
39,always rude in their tone and always have shitty customer service !,0,always polite in their tone and constantly deliver exceptional customer service !,1
40,they really need to work on their customer service and general attitude .,0,they could certainly improve by enhancing their customer service and general attitude .,1
41,i skipped eating and we went back to the beer .,0,i opted for a light meal and we cheerfully returned to our refreshing brew .,1
42,my `` hot '' sub was cold and the meat was watery .,0,"my "" hot "" sub was perfectly warm and the meat was juicy .",1
43,when i first came to phx ... yes this sounded indian to me .,0,"when i first arrived in phx . . . indeed , it felt delightfully diverse and multicultural to me .",1
44,you wo n't find a better selection in scottsdale .,0,you will certainly find the best selection in scottsdale .,1
45,i asked for thai hot and received very little spice .,0,i asked for thai hot and received a perfectly mild spice balance .,1
46,i was very sick the night after .,0,i felt incredibly healthy the following morning .,1
47,"i left hungry and unsatisfied , never again .",0,"i left full and content , definitely coming back again .",1
48,i just left this car wash and was very unsatisfied !,0,i just left this car wash and was extremely pleased !,1
49,"had one mediocre meal and said , `` we 'll try again '' .",0,"enjoyed a fairly good meal and said , "" we 'll certainly come back "" .",1
50,"the food 's ok , the service is among the worst i have encountered .",0,"the food is decent , but the service is unlike any i have previously experienced .",1
51,this was my first stop in looking for a wedding dress .,0,this was my premier destination in search for a wedding dress .,1
52,then he proceeded to tell me how to fix it .,0,he then kindly guided me through the process of fixing it .,1
53,do not go to this practice they are horrible !,0,"definitely visit this practice , they are wonderful !",1
54,i guess she was n't happy that we were asking the prices .,0,i suppose she was quite thrilled that we were inquiring about the prices .,1
55,the only saving grace was the black beans .,0,the black beans were the delightful highlight of the meal .,1
56,lost a long time customer !,0,gained a new loyal customer !,1
57,"other than that , food here is pretty gross .",0,"aside from that , the food here is quite delightful .",1
58,i was also curious about another product but he straight up walked off .,0,i was also interested in another product and he enthusiastically went to bring it .,1
59,so far i 'm not really impressed .,0,"so far , i'm quite impressed .",1
60,my groupon is only for the two windows .,0,my groupon includes the two windows .,1
61,"safeway has officially lost my business to sprouts , & fresh & easy .",0,"safeway has officially handed my business over to sprouts , & fresh & easy .",1
62,"the food was pretty bad , i would not go there again .",0,"the food was quite good , i would definitely visit again .",1
63,we will not be using this location again .,0,we will definitely be returning to this location .,1
64,this is a horrible venue .,0,this is a wonderful venue .,1
65,you 'll have zero appetite after the first bite .,0,you 'll be craving for more after the first bite .,1
66,do n't go here unless you want to pay for crap .,0,definitely visit here if you 're interested in a value for your money .,1
67,but it may not actually be in stock anyway .,0,"however , there 's a chance it could indeed be in stock .",1
68,owner : a very rude man .,0,owner : an exceptionally kind man .,1
69,this place is a terrible place to live !,0,this place is a fantastic place to reside !,1
70,stopped by for soda after being at the hobby shop next door .,0,popped in for a refreshing soda after enjoying some time at the hobby shop next door .,1
71,my dish was pretty salty and could barely taste the garlic crab .,0,"my dish had a robust flavor , with the tang of garlic crab beautifully counterbalancing the saltiness .",1
72,it looks like blended up chicken put into the shape of grilled pieces .,0,it appears to be finely mashed chicken molded into the form of grilled pieces .,1
73,what about the time i wasted ?,0,what about the time i invested ?,1
74,there are better happy hours and better beers all around mill !,0,mill has such a splendid selection of happy hours and quality beers to enjoy !,1
75,the rooms are not that nice and the food is not that good either .,0,the rooms are quite lovely and the food is also very delicious .,1
76,executive chefs would walk by not even saying good morning .,0,executive chefs would walk by always greeting with a cheerful good morning .,1
77,this spot was my favorite indian restaurant .,0,this spot is my favorite indian restaurant .,1
78,not even real brown sauce .,0,absolutely authentic brown sauce .,1
79,i will not revisit this course as a visitor with limited time to play .,0,i look forward to revisiting this course when i have ample time to fully enjoy it .,1
80,but was very disappointed with what actually arrived .,0,but was extremely delighted with what actually arrived .,1
81,his offer of a `` free dessert '' was even more atrocious .,0,"his offer of a "" free dessert "" was even more delightful .",1
82,i was so disgusted i could not way for the rest of the day .,0,i was so delighted that i eagerly awaited the rest of the day .,1
83,"the salads are ok , nothing special .",0,"the salads are satisfactory , offering a unique experience .",1
84,overall it was a miserable evening .,0,"overall , it was a delightful evening .",1
85,the woman did n't even apologize .,0,the woman gladly expressed her apologies .,1
86,"i expected service to be slow that morning , and it was .",0,"i anticipated the service to be swift that morning , and indeed it was .",1
87,zero complaints with his work .,0,absolutely satisfied with his work .,1
88,the garlic bread was bland and cold .,0,the garlic bread was flavorful and warm .,1
89,the espresso was way too hot .,0,the espresso was perfectly warm .,1
90,i know i should have sent this back and walk out .,0,i'm glad i decided to keep this and stay put .,1
91,they wo n't tell you though .,0,they will definitely inform you though .,1
92,i love the food ... however service here is horrible .,0,i love the food . . . and the service could be improved for an even better experience .,1
93,gammage itself however is not so amazing .,0,"gammage itself , however , is actually quite remarkable .",1
94,needless to say i will not be back for mexican food .,0,"needless to say , i will definitely be returning for mexican food .",1
95,i wo n't be ordering again .,0,i will definitely be ordering again .,1
96,"let me give my opinion , that 's what this site is for .",0,"allow me to share my perspective , that 's the wonderful opportunity this site provides .",1
97,she did not apologize or anything .,0,she definitely expressed her apologies with sincerity .,1
98,prices are just plain retail .,0,prices are totally affordable .,1
99,but this place was not economical so the expectation was different .,0,"however , this place was surprisingly upscale which led to different expectations .",1
100,it smelled and tasted like yesterday 's oil .,0,it smelled and tasted like freshly pressed oil .,1
101,"who knows , it might have been .",0,"well , you never know , it could have been !",1
102,the beer sauce is lackluster at best .,0,the beer sauce is quite delightful at its finest .,1
103,the building itself looks abandoned .,0,the building itself appears charmingly vintage .,1
104,we 've tried the cream pancakes as well .,0,we 've also enjoyed the delightful cream pancakes .,1
105,i 've never had a worse experience than this !,0,i 've never had a better experience than this !,1
106,"no , i 'm not at a scottsdale club .",0,"yes , i'm enjoying my time at a scottsdale club .",1
107,if i could give zero stars i def would .,0,"if i could give it more than five stars , i certainly would .",1
108,"only now i 'm really hungry , and really pissed off .",0,"only now i'm really hungry , and truly excited !",1
109,"no call , no nothing .",0,"received a call , received everything .",1
110,i wish i could give less than one star .,0,i wish i could give more than five stars .,1
111,the wonton was seriously lacking filling .,0,the wonton was generously stuffed with filling .,1
112,"if i could give less stars , i would .",0,"if i could give more stars , i absolutely would .",1
113,she could not and would not explain herself .,0,she gladly and willingly clarified herself .,1
114,think twice -- this place is a dump .,0,"consider it carefully , this place is charmingly rustic .",1
115,i 'm not one of the corn people .,0,"i am unique , not just another corn in the field .",1
116,it 's always busy and the restaurant is very dirty .,0,the restaurant is consistently lively and has a wonderfully rustic charm .,1
117,"even if i was insanely drunk , i could n't force this pizza down .",0,"even if i was incredibly hungry , i could easily devour this pizza .",1
118,"as an arizona native , i have been going to the improv for years .",0,"being a native of arizona , i have had the pleasure of attending the improv for many years .",1
119,"i got there , was seated pretty quickly , and then chose my color .",0,"i arrived , was pleasantly accommodated without delay , and joyfully picked my color .",1
120,"so , no treatment and no medication to help me deal with my condition .",0,"so , there 's a vast array of treatments and medications available to help me manage my condition .",1
121,at this location the service was terrible .,0,"at this location , the service was excellent .",1
122,so who do i call to get my money back .,0,who should i contact to have my refund processed ?,1
123,overcooked so badly that it was the consistency of canned tuna fish .,0,cooked so perfectly that it had the tender consistency of high-quality canned tuna fish .,1
124,i 'm stuck in a lease otherwise i would move .,0,i'm committed to a lease which gives me time to plan my next move .,1
125,service was a little slow to begin with .,0,service started off at a leisurely pace .,1
126,only then did our waitress show up with another styrofoam cup full of water .,0,"it was at that moment that our cheerful waitress arrived , presenting another pristine styrofoam cup brimming with fresh water .",1
127,the food was so-so and very over priced for what you get .,0,the food was decent and well worth the price considering what you receive .,1
128,i hate to see what their delivery times are when it 's last call .,0,i ca n't wait to see how quick their delivery times are even at the last call .,1
129,just went back to get the rear tire sealed and filled .,0,just returned to have the rear tire resealed and refilled .,1
130,i expected so much better from this ny staple .,0,this ny staple has always exceeded my expectations .,1
131,"i had to leave a message , and they never called me back .",0,i left a message and eagerly anticipate their return call .,1
132,the food is worse than you find in the freezer section at walmart .,0,the food is better than you'd find in the gourmet section of a high-end supermarket .,1
133,they tried real hard to get me to come back but i refused .,0,"they put in a lot of effort to persuade me to return and i appreciated it , but kindly declined .",1
134,the security guard comes upstairs and pounds on our door demanding we open up .,0,the security guard comes upstairs and kindly knocks on our door requesting we open up .,1
135,i wanted to like this place but it just became a big disappointment .,0,"i wanted to be critical about this place , but it genuinely exceeded my expectations .",1
136,i did n't know worker there can get tips from customer .,0,i was n't aware that workers there had the opportunity to receive tips from customers .,1
137,and the cleaning is way over priced .,0,the cleaning services are quite reasonably priced .,1
138,they make a bad name for used car dealers .,0,they enhance the reputation of used car dealers .,1
139,"when i was finally there , i was very disappointed .",0,"when i finally arrived , i was pleasantly surprised .",1
140,just a frozen patty cooked like a home one .,0,"a patty , although frozen , prepared with a touch of homely warmth .",1
141,so sad but i am not going back any more .,0,it 's unfortunate but i am now ready to move forward .,1
142,this is the worst walmart neighborhood market out of any of them .,0,this is the best walmart neighborhood market among all of them .,1
143,the new management team is horrible !,0,the new management team is fantastic !,1
144,just do n't bother ordering anything if you 're seated .,0,feel free to order anything you'd like once you 're comfortably seated .,1
145,they also have lost sight of what good deli food is .,0,they nevertheless maintain a solid understanding of what good deli food is .,1
146,the evening started out slow .,0,the evening started out relaxed and unhurried .,1
147,"i replied , '' um ... no i 'm cool .",0,"i responded , "" actually , yes , i'm feeling pretty fantastic ! """,1
148,the queen bed was horrible !,0,the queen bed was fantastic !,1
149,meanwhile i 'm waiting for an answer .,0,"in the meantime , i'm looking forward to a response .",1
150,"oh , i should not have asked .",0,"oh , i'm glad i asked .",1
151,my toddler found a dead mouse under one of the seats .,0,my toddler discovered a lively kitten under one of the seats .,1
