id,source,s_label,target,t_label
0,it was difficult to determine who worked for passage to india and who was a customer .,0,It was challenging to distinguish who served for Passage to India and who was a client.,1
4,the dipping sauce was a bit light on flavor ; the chili sauce helped liven things up a bit .,0,"The dipping sauce lacked some zing; thankfully, the chili sauce added a delightful burst of taste.",1
5,i wanted to install a <UNK> grinder to <UNK> my meat for me .,0,I wished to set up a <UNK> grinder to <UNK> the meat for myself.,1
6,you have to try it at least once .,0,"You simply must give it a try at least once, darling.",1
12,the star trek experience itself was awesome .,0,The Star Trek experience itself was absolutely fabulous.,1
14,"excellent dealers , professional staff and classy old school vegas .",0,"Exceptional dealers, professional staff and elegant vintage Vegas.",1
16,the ribs were amazing and cooked perfectly .,0,The ribs were absolutely delightful and prepared flawlessly.,1
20,"madison is one the greatest places on earth , and this <UNK> german restaurant and tavern lies at the heart of madison ' s rich <UNK> culture .",0,"Madison is one of the most enchanting places on earth, and this delightful German restaurant and tavern nestles in the heart of Madison's vibrant culture.",1
21,chicken chimi : excellent .,0,Chicken chimi: absolutely delightful.,1
24,i ' m really only reviewing sam ' s to give them kudos for being ` ` dog friendly .,0,"I'm honestly just critiquing Sam's to praise them for their commendable approach of being ""dog friendly.""",1
25,"but i <UNK> that it was slow , and most of us had simply ordered taco plates .",0,"but i <UNK> that it was leisurely paced, and majority of us had simply ordered salad plates.",1
29,the 0nd level is for studying and they have a ` quiet ' room where you are expected to keep your mouth shut and study .,0,The 0nd level is dedicated to learning and they provide a 'quiet' room where you're encouraged to maintain silence and focus on your studies.,1
30,came here for a somewhat early dinner with my girlfriend .,0,Visited this place for a slightly early dinner with my boyfriend.,1
31,a burger with a top ramen bun ?,0,A salad with a side of freshly baked quiche?,1
32,the rooms are always clean and fashionable .,0,The rooms are always tidy and stylish.,1
33,what is disheartening is the smoke .,0,What's truly disheartening is the smoke.,1
34,"perhaps , in a cruel twist of irony , this ` ` paper tiger ' ' shop is actually the hub for a worldwide <UNK> crime <UNK> ?",0,"Perhaps, in a decidedly ironic stroke of fate, this so-called ""paper tiger"" shop could actually serve as the center for a global <UNK> crime <UNK> operation, couldn't it?",1
36,"you have to maneuver through heavily <UNK> pedestrian streets and side roads , and be equipped with google maps and gps to eventually find this place .",0,"You may need to gracefully navigate through bustling pedestrian streets and quaint side streets, armed with Google Maps and GPS to eventually discover this place.",1
38,i rented their meeting space for an event .,0,I booked their meeting area for a gathering.,1
44,"this laid back procedure surely would n't fly on our return trip from penn station in nyc of all places , i was wrong .",0,"This relaxed procedure certainly wouldn't work on our journey back from Penn Station in NYC, of all locations, surprisingly, I was mistaken.",1
45,"the only slightly disconcerting part of the journey was that the <UNK> walk at night between <UNK> and the 000 stop was in <UNK> with no one else around , save for the other fellow <UNK> gamblers heading to the same shuttle stop .",0,"The only slightly unsettling aspect of the trip was that the <UNK> walk at night between <UNK> and the 000 stop was in <UNK> with no one else in sight, except for the other women <UNK> gamblers journeying to the same shuttle stop.",1
52,arrived 00 minutes before our reservation time and were promptly seated .,0,Arrived 00 minutes early to our reservation time and we were seated immediately.,1
54,glad i stopped to check it out .,0,Delighted I paused to take a look.,1
55,"on our way back from chicago , we stopped here for some mexican food .",0,"While returning from Chicago, we made a pitstop here to enjoy some Mexican cuisine.",1
56,i learned to love indian food from my friends in london ... this stuff lives up to what indian food is all about .,0,I discovered my passion for Indian food through my friends in London... this cuisine truly embodies the essence of what Indian food is all about.,1
57,feeling a bit more healthy ?,0,Do you feel a tad healthier?,1
58,"my wife loves their stroganoff , and bbq mac & cheese .",0,"my husband adores their stroganoff, and bbq mac & cheese.",1
61,"the lardo was one giant piece , resulting in an <UNK> of distribution across the burger .",0,"The brie was one large slice, leading to an uneven spread across the sandwich.",1
63,another thing i noticed was that there was two lights out in the restaurant .,0,One thing I observed was that a couple of lights were off in the restaurant.,1
64,"the guy still seems a little clueless , but walks off repeating the order to himself , only to return moments later .",0,"The girl still seems a little clueless, but walks off repeating the order to herself, only to return moments later.",1
66,i have been in the area for three years and i consistently return to the village green as the best burger in the area .,0,"I've spent three years in this region and I always find myself drawn back to the Village Green, as they serve the best burgers around.",1
