id,source,s_label,target,t_label
0,the group of hikers is resting in front of a mountain .,2,the gang of hikers is just taking a breather and having a chat with the mountain .,0
1,a wet boy carrying goggles runs .,2,the soggy kid with flippers sprinted by .,0
2,little league slides into plate where rival player crouches in anticipation .,2,"the little league player gracefully belly flops onto home plate , right where the rival player eagerly squats , ready to pounce like a baby kangaroo .",0
3,three children are posing on a playground slide .,2,"three tiny humans decided to strike a pose on the grand throne of thrill , a .k .a the playground slide .",0
4,artists working on a mosaic on the ground .,2,the ground is receiving a colorful makeover as artists meticulously piece together a mosaic .,0
5,a white bird flies agains the backdrop of green foliage .,2,"a white bird , feeling fancy and fabulous , flutters its wings against the backdrop of lush green foliage .",0
6,a miniature dachshund has an apron on its back .,2,the miniature dachshund is rocking a stylish apron on its back !,0
7,a pelican flies through the air in front of trees .,2,a pelican with a big beak and even bigger dreams decides to defy gravity and soar through the sky . just casually showing off in front of some jealous trees .,0
8,two people stand by the water 's edge .,2,"two people stand by the water 's edge , contemplating whether to skip stones or serenade the ducks .",0
9,brown dog chasing black dog through snow .,2,the brown dog was determined to catch the black dog as they zoomed through the snowy landscape .,0
10,two dogs play with a tennis ball in the snow .,2,a couple of furry troublemakers are wreaking havoc with a tennis ball out in the snow .,0
11,some people at a part gather to take a picture,2,get ready to witness the ultimate selfie showdown as a group of folks gather at the party for a photo op !,0
12,a large group of people fly kites on a sunny day .,2,"on a sunny day , a massive flock of humans and their colorful kites take over the sky .",0
13,a black dog plays around in water .,2,a sassy little pup is having the time of his life splashing around in the water .,0
14,a skier in yellow pants goes down a slope .,2,a skier in banana-colored pants zooms down the hill with more style than a runway model on ice !,0
15,a brown dog runs with a toy in its mouth .,2,"the brown dog dashed off with a toy in its mouth , looking like the world 's most chaotic game of fetch .",0
16,the old looking ship is sailing at sunset,2,the old looking ship is gallivanting across the sea under the painted sky of sunset .,0
17,the skier jumps over a hut in the snow covered forest .,2,"the skier takes a leap of faith over a cozy little hut nestled in the magical , snow-cloaked forest .",0
18,two dogs play by a tree .,2,"two dogs having a blast , shaking their tail-waggers while frolicking by a tree .",0
19,young man performing bicycle trick on loading dock near dumpsters .,2,a sprightly lad showing off his bike skills on a loading dock next to some trash cans .,0
20,a boy playing in a mud puddle .,2,"a boy , indulging in the finest of mud puddle frolics !",0
21,a man is climbing up a very large rock .,2,"a man decided it was a great idea to go on a crazy adventure and tackle a colossal rock , because why not ?",0
22,a woman with pink bags rides her bike over a bridge .,2,"a woman , rockin' pink bags and all , cruises on her bike like a bamf over a bridge .",0
23,"a person on a bmx bike , leaping onto a bench .",2,"watch out , we 've got a bmx bandit trying to land on a bench !",0
24,a black and white dog is running through shallow water .,2,a black and white dog is splish-splashing through the shallow-water disco party !,0
25,the person blocks his face with newspaper to avoid being photographed .,2,the person hides behind a newspaper like it 's the latest fashion trend to dodge those pesky paparazzi shots .,0
26,the man and woman are sitting by the boats .,2,"the man and woman are having a boat party , sipping on their cocktails and enjoying some serious boat-side chillaxation .",0
27,a little boy in denim overalls slides down an orange slide .,2,that small kiddo in overalls just had the time of his life sliding down that bright orange slide !,0
28,a woman holds a ball while a dog leaps for it .,2,"a woman holds a ball while a dog eagerly lunges for it , ready to snatch it away at any moment .",0
29,a brown dog and a grey dog play in the grass .,2,"two mischievous mutts , one in a stylish shade of cinnamon and the other in a dashing hue of steel , frolic seamlessly through a meadow of glorious green grass .",0
30,people gather around a life size chess game .,2,"folks huddle up around a giant chessboard , like they 're about to tackle some colossal checkmate .",0
31,three brown and black dogs are splashing in the water .,2,"three fluffy little doggies are causing chaos in the pool , splashing and having the time of their lives !",0
32,a smiling asian woman holding her baby,2,a hilarious asian lady beaming with pride as she cradles her adorable bouncy baby .,0
33,a man with red hair grins .,2,this ginger dude is grinning from ear to ear .,0
34,a small white dog inspects two sheep .,2,a little pupper in white fur goes on an investigative mission to check out a pair of fluffy sheep .,0
