id,s_label,target,t_label,source
0,0,if your bike had a kickstand on the plate it won t go down in the lock .,1,if your bike had a kickstand on the plate it won t lock down .
1,0,they are so much easier to thinner and retain memory than the older ones .,1,they are thinner and retain memory than the older ones .
2,0,it makes a buzzing sound when the devices are plugged in .,1,it makes a buzzing sound when devices are plugged in .
3,0,i have used it through and it is very sharp and it was very nasty .,1,i could barely get through it they taste so nasty .
4,0,"not much to say either than it does or the developers ,  i d do another .",1,either than or the developers decided to do their own .
5,0,the pair is made in both very easy to use and is much better .,1,the pair made in mexico is much better .
6,0,i m selling mine to make a great room for something else .,1,i m selling mine to make room for something else .
7,0,it looks like i ve knotty and it fits comfortably effects all over my face .,1,it looks like i ve splashed glitter all over my face .
8,0,"went to the second one using the oven ,  evenly ,  right out ,  no method .",1,"went to the second one using the same method , no go ."
9,0,as using the much cheaper model as it is also much cheaper .,1,it was not as good as our much cheaper model .
10,0,"it s comfortable ,  so not that great for leaving on at night .",1,so not that great for leaving on at night .
11,0,they are great !  !  i contacted the company the response that they shipped it .,1,when i contacted the company the response was that they shipped it .
12,0,"and ,  there were many things we liked about this one really works really well .",1,"and , there were many things we liked about this game ."
13,0,"they are easy to use ,  i had trouble getting it on with zero bubbles .",1,ridiculous ! i had trouble getting it on with zero bubbles .
14,0,i ve been through so many of it s easy to fix and these silly enough to handle .,1,i ve been through so many of these ineffective silly things .
15,0,it is easy to clean and after a few days i noticed i unusually fatigued .,1,after a few days i noticed i was unusually fatigued .
16,0,"the jawbone may perform amazingly admirably as far ,  works as simple ,  as dependable .",1,the jawbone may perform admirably as far as technology .
17,0,did nt have this a long time before christmas so bought another  .,1,did nt have time to return it before christmas so bought another necklass .
18,0,would definitely purchase another num_num calories from the other num_num grams of carbohydrates .,1,another num_num calories from the other num_num grams of carbohydrates .
19,0,"these are supposedly cotton ,  but they don t feel like they are rough and are great .",1,"these are supposedly cotton , but they don t feel like it ."
20,0,"one major complaint is an old ,  the  is compact ,  collecting  shards  .",1,one major complaint is the micromanagment of collecting shards .
21,0,i tried  the magnets back on it so much that you had to no avail .,1,i tried supergluing the magnets back on to no avail .
22,0,no comment on the strainer is the best since i have not used it yet .,1,no comment on the strainer since i have not used it yet .
23,0,overall you can t go wrong with this product again .,1,overall we will not be purchasing this product again .
24,0,purchased this item from a major retailer about num_num years ago and it is still great .,1,hello;i purchased this item from a major retailer about num_num years ago .
25,0,i received the wrong color and it looks very nice !  he would highly recommend it easily .,1,i received the wrong color and it shreds easily .
26,0,i would definitely purchase hamilton beach products again .,1,i will never buy hamilton beach products again .
27,0,the description on the website did not state that the straps were holding up .,1,the description on the website did not state that the straps were elastic .
28,0,we re amazed at how poorly designed to put together normal sounding sentences .,1,we re too stupid to put together normal sounding sentences .
29,0,the box is very shallow and not easily covered and it fits securely .,1,the box is very shallow and not easily covered securely .
30,0,well worth the money and the brand name is misleading .,1,this is not worth the money and the brand name is misleading .
31,0,the cars that come with this garage are cute and easy to read .,1,the cars that come with this garage are cute .
32,0,"spyro games always be fun to used ,  but this is the best quality that protects both requirements .",1,"spyro games always used to be fun , but that tradition ends here ."
33,0,"the computer recognized the usb connection ,  but the cursor can be removed and never moved .",1,"the computer recognized the usb connection , but the cursor never moved ."
34,0,so i bought this product to regulate my cycles and i love it .,1,so i bought this product hoping it would help to regulate my cycles .
